ID,英文名稱,中文名稱,圖片,更新日期
21313815,Pitot tube,皮托管,,
21313816,Pitot-static tube,皮托管,,
21313817,Pitot-tube anemometer,皮托管風速計,,
21313818,pivoting high,樞軸高壓,,
21313819,pixel,像素,,
21313820,plage,譜斑,,
21313821,plain,平原,,
21313822,plain-language report,明語氣象報告,,
21313823,plan position indicator  ,平面位置指示器,,
21313824,plan shear indicator (PSI),平面切變指示器,,
21313825,Planck function,普郎克函數,,
21313826,Planckian radiator,普郎克輻射體,,
21313827,Planck's constant,普郎克常數,,
21313828,Planck's law,普郎克定律,,
21313829,Planck's radiation law,普郎克輻射定律,,
21313830,plane atmospheric wave,平面大氣波,,
21313831,plane of the ecliptic,黃道面,,
21313832,plane parallel atmosphere  ,平面平行大氣,,
21313833,plane polarization,面偏極[化],,
21313834,plane source,面源,,
21313835,plane wave,平面波,,
21313836,plane wave pulse,平面波脈衝,,
21313837,plane-dendritic crystal,平枝狀晶,,
21313838,plane-parallel approximation,平面平行近似,,
21313839,plane-parallel medium,平面平行介質,,
21313840,planet,行星,,
21313841,planetary albedo,行星反照率,,
21313842,planetary atmosphere,行星大氣,,
21313843,planetary boundary layer,行星邊界層,,
21313844,planetary circulation,行星環流,,
21313845,planetary equilibrium temperature,行星平衡溫度,,
21313846,planetary motion,行星運動,,
21313847,planetary scale,行星尺度,,
21313848,planetary temperature,行星溫度,,
21313849,planetary vorticity,行星渦度,,
21313850,planetary vorticity effect,行星渦度效應,,
21313851,planetary vorticity gradient,行星渦度梯度,,
21313852,planetary wave,行星波,,
21313853,planetary wind,行星風,,
21313854,planetary wind belt,行星風系,,
21313855,planetary-gravity wave,行星重力波,,
21313856,planetary-scale system,行星尺度系統,,
21313857,planetary-wave formula,行星波公式,,
21313858,planetesimal hypothesis,微行星假說,,
21313859,planetoid,小行星,,
21313860,planimeter,求積計,,
21313861,plant canopy,植[物]冠[蓋],,
21313862,plant climate,植物氣候,,
21313863,plant climatology,植物氣候學,,
21313864,plant cover,植被,,
21313865,plant phenology,植物物候學,,
21313866,plant temperature,植物溫度,,
21313867,planting season,種植季,,
21313868,plasma,電漿,,
21313869,plasma cloud,電漿雲,,
21313870,plasma drift velocity,電漿漂流速度,,
21313871,plasma echo,電漿回波,,
21313872,plasma flow,電漿流,,
21313873,plasma frequency,電漿頻率,,
21313874,plasma mantle,電漿幔,,
21313875,plasma physics,電漿物理[學],,
21313876,plasma process,電漿過程,,
21313877,plasmapause,電漿層頂,,
21313878,plasmasphere,電漿層,,
21313879,plasticity,塑性,,
21313880,plate anemometer,壓板風速計,,
21313881,plate crystal,片狀冰晶,,
21313882,plate tectonics,板塊構造,,
21313883,plateau,高原；台地,,
21313884,plateau climate,高原氣候,,
21313885,plateau glacier,高原冰川,,
21313886,plateau meteorology,高原氣象[學],,
21313887,plateau monsoon,高原季風,,
21313888,plateau station,高原測站,,
21313889,platelet,小片冰晶,,
21313890,platform,觀測平台,,
21313891,platinum resistance thermometer,鉑電阻溫度計,,
21313892,platinum wire thermometer,鉑絲溫度計,,
21313893,platykurtic,平峰[的],,
21313894,platykurtosis,平峰,,
21313895,playback,重放,,
21313896,Pleistocene Climate Optimum,更新世氣候最適期,,
21313897,Pleistocene glacial epoch,更新世冰期,,
21313898,Pleistocene glaciation,更新世冰川作用,,
21313899,Pleistocene Ice Age,更新世冰期,,
21313900,pleochroic halo,多色暈,,
21313901,plidar,多色光達,,
21313902,Pliocene,上新世,,
21313903,plotter,填繪圖機,,
21313904,plotting,填圖,,
21313905,plotting symbols,填圖符號,,
21313906,plouazaou,普洛曹雨,,
21313907,ploughing season,耕作期,,
21313908,plow wind,犁風,,
21313909,plowshares,雪浪楔,,
21313910,plum rains ,梅雨；霉雨,,
21313911,plume,煙流 ；雲羽,,
21313912,plume height,煙流高度,,
21313913,plume model,煙流模式,,
21313914,plume rise,煙流上升,,
21313915,plume rise model,煙流上升模式,,
21313916,plunging breaker,捲浪,,
21313917,Pluto,冥王星,,
21313918,pluvial,雨期,,
21313919,pluvial index,多雨指數；雨量指數,,
21313920,pluvial lake,雨成湖,,
21313921,pluvial period,多雨期,,
21313922,pluvial region,多雨地區,,
21313923,pluviograph,雨量儀,,
21313924,pluviometer,雨量計,,
21313925,pluviometric coefficient,雨量係數,,
21313926,pluviometric quotient,雨量比,,
21313927,pluviometry,雨量測定術,,
21313928,pluvioscope,雨量器,,
21313929,pluviothermic ratio,雨量比,,
21313930,PM10,粗懸浮微粒;10微米懸浮微粒,,
21313931,PM2.5,細懸浮微粒;2.5微米懸浮微粒,,
21313932,pneumatic bridge hygrometer,氣動橋臂溼度計,,
21313933,pocket anemometer,輕便風速計,,
21313934,pocket aspiration psychrometer,輕便通風乾溼計,,
21313935,pocket hygrometer,輕便溼度計,,
21313936,pocky cloud,乳房狀雲,,
21313937,poechore,草生區,,
21313938,pogonip,洛各尼冰霧,,
21313939,Poincare cross section,彭卡瑞剖面,,
21313940,Poincare wave,彭卡瑞波,,
21313941,point,點；雨量點,,
21313942,point attractor,點吸子,,
21313943,point discharge,尖端放電,,
21313944,point discharge current,尖端放電流,,
21313945,point gauge,尖頭水尺;馴尺,,
21313946,point of neutral buoyancy,中性浮力點,,
21313947,point of occlusion,囚錮點,,
21313948,point precipitation,點雨量；點降水量,,
21313949,point rainfall,點雨量,,
21313950,point receiver,點接收機,,
21313951,point source,點源,,
21313952,point spread function,點離勢函數,,
21313953,point target,點標,,
21313954,point vortex,點渦旋,,
21313955,pointed lightning protector,避雷針,,
21313956,pointed summer,短夏,,
21313957,pointer barometer,指針氣壓計,,
21313958,pointers,指極星,,
21313959,point-to-multipoint communication,單多點通信,,
21313960,point-to-point transmission,點間通信,,
21313961,poise,泊,,
21313962,Poiseuille flow,帕醉流,,
21313963,Poiseuille-Hagen law,帕哈定律,,
21313964,Poisson constant,包桑常數,,
21313965,Poisson distribution,包桑分配,,
21313966,Poisson equation,包桑方程,,
21313967,Poisson random variable,包桑隨機變數,,
21313968,polacke,波拉克風,,
21313969,polake,波拉克風,,
21313970,polar air,極地空氣；極地氣團,,
21313971,polar air depression,極地低壓,,
21313972,polar air haze,極地霾,,
21313973,polar angle,極角,,
21313974,polar anticyclone,極地反氣旋,,
21313975,polar aurora,極光,,
21313976,polar axis,極軸,,
21313977,polar band,極帶；極光譜帶,,
21313978,polar belt,極帶,,
21313979,polar black out,極地[無線電]衰弱,,
21313980,polar cap,極冠,,
21313981,polar cell,極地胞,,
21313982,polar circle,極圈,,
21313983,polar climate,極地氣候,,
21313984,polar continental air,極地大陸氣團；極地大陸空氣,,
21313985,polar continental high,極地大陸高壓,,
21313986,polar coordinates,極坐標,,
21313987,polar corona,極光冕,,
21313988,polar current,極地氣流,,
21313989,polar cyclone,極地氣旋,,
21313990,polar day,極晝,,
21313991,polar distance,極距,,
21313992,polar easterlies,極地東風[帶],,
21313993,polar front,極鋒,,
21313994,polar glacier,極地冰川,,
21313995,polar glow,極輝,,
21313996,polar high,極地高壓,,
21313997,polar ice,極冰,,
21313998,polar ice cap,極地冰冠,,
21313999,polar ice sheet,極地冰原,,
21314000,polar light,極光,,
21314001,polar low,極性低壓,,
21314002,polar magnetic disturbance,極地磁擾,,
21314003,polar magnetic storm,極地磁暴,,
21314004,polar magnetic substorm,極地磁亞暴,,
21314005,polar magnetogram,極地地磁儀,,
21314006,polar maritime air  ,極地海洋氣團；極地海洋空氣,,
21314007,polar mesospheric clouds,極地中氣層雲,,
21314008,polar meteorology,極地氣象學,,
21314009,polar night,極夜,,
21314010,polar night jet,極夜噴流,,
21314011,polar night jet (stream),極夜噴流,,
21314012,polar night vortex,極夜渦旋,,
21314013,polar outbreak,寒潮爆發,,
21314014,polar projection,極投影,,
21314015,polar rain,極雨,,
21314016,polar region,極區,,
21314017,polar shower,極地射叢,,
21314018,polar squall,極颮,,
21314019,polar star,北極星,,
21314020,polar stereographic map,極正射地圖,,
21314021,polar stereographic mosaic,極正射拼圖,,
21314022,polar stereographic projection,極正射投影,,
21314023,polar stratospheric cloud,極地平流層雲,,
21314024,polar t jet,極地噴流,,
21314025,polar tropopause,極地對流層頂,,
21314026,polar trough,極性槽,,
21314027,polar type,極地型,,
21314028,polar vortex,極地渦旋,,
21314029,polar vortex index,極渦指數,,
21314030,polar wandering,極地漂移; 磁極漂移,,
21314031,polar wave,極波,,
21314032,polar wind,極風,,
21314033,polar wind belt,極風帶,,
21314034,polar wind divide,極地風界,,
21314035,polar year,極年,,
21314036,polar zone,極區,,
21314037,polar-cap absorption,極冠吸收,,
21314038,polar-cap ice,極冠冰,,
21314039,polar-easterlies index,極地東風指數,,
21314040,polar-front jet ,極鋒噴流,,
21314041,polar-front jet stream,極鋒噴流,,
21314042,polar-front theory,極鋒說,,
21314043,polarimeter,偏極計；偏振器,,
21314044,polaris,北極星,,
21314045,polariscope,偏光鏡,,
21314046,polarity,極性,,
21314047,polarizability,極化度,,
21314048,polarizability tensor,極化張量,,
21314049,polarization,[電]極化；偏極[化]；偏振,,
21314050,polarization curve,極化線,,
21314051,polarization electric field,極化電場,,
21314052,polarization filtering,極化濾波,,
21314053,polarization isocline,偏極等傾線,,
21314054,polarization lidar,極化光達,,
21314055,polarization of light,光偏極化,,
21314056,polarization radar,偏極化雷達,,
21314057,polarized light,偏[極]光,,
21314058,polarized plane,極化面,,
21314059,polarizing radiometer,極化輻射計,,
21314060,polarography,極譜術,,
21314061,polar-orbiting satellite,繞極衛星,,
21314062,pole,極,,
21314063,pole of inaccessibility,難近冰極,,
21314064,pole-star recorder,北極星記雲器,,
21314065,poleward,向極[的],,
21314066,pollen analysis,花粉分析,,
21314067,pollen diagram,花粉圖,,
21314068,pollen indicator,花粉指標,,
21314069,pollen rain,花粉雨,,
21314070,pollen record,花粉紀錄,,
21314071,pollen zone,花粉帶,,
21314072,pollutant,污染物,,
21314073,pollutant emission,污染物排放,,
21314074,pollutant index,污染物指數,,
21314075,pollutant monitoring,污染監測,,
21314076,pollutant transport,污染物傳送,,
21314077,pollutants standard index (PSI),空氣污染指數,,
21314078,polluted air,污染空氣,,
21314079,pollution,污染,,
21314080,pollution control,污染控制,,
21314081,pollution source,污染源,,
21314082,polychromatic lidar,多色光達,,
21314083,polyconic porjection,多圓錐投影,,
21314084,polycylindrical projection,多圓柱投影,,
21314085,polydisperse,多徑瀰散,,
21314086,polyethylene balloon,聚乙烯氣球,,
21314087,polyhedral projection,多面投影,,
21314088,polyhedron,多面體,,
21314089,polymeter,多能溼度計,,
21314090,polynomial,多項式,,
21314091,polynomial fitting,多項式擬合,,
21314092,polyn'ya,無冰區；冰中湖,,
21314093,polytropic atmosphere,多元大氣,,
21314094,polytropic process,多元過程,,
21314095,pondage,堰蓄 ; 蓄水量,,
21314096,ponente,普南特風,,
21314097,poniente,普年特風,,
