ID,英文名稱,中文名稱,圖片,更新日期
2720353,A number,[原子]質量數,,2016-10-24
2720354,A star,A型星,,2016-10-24
2720355,ab urbe condita (a.u.c.),羅馬建城紀年,,2016-10-24
2720356,Abbe comparator,阿貝比長儀,,2016-10-24
2720357,Abell Catalog,艾伯耳星系團表,,2021-12-09
2720358,Abell cluster,艾伯耳星系團,,2016-10-24
2720359,Abell richness classes,艾伯耳豐級{星系團},,2016-10-24
2720360,aberration,像差；光行差,,2016-10-24
2720361,aberration constant,光行差常數,,2016-10-24
2720362,aberration ellipse,光行差橢圓,,2016-10-24
2720363,aberration of light,光行差,,2016-10-24
2720364,aberration shift,光行差位移,,2016-10-24
2720365,ablation,燒蝕{流星},,2016-10-24
2720366,abridged armilla,簡儀,,2016-10-24
2720367,absolute age,絕對年齡,,2016-10-24
2720368,absolute black body,絕對黑體,,2016-10-24
2720369,absolute bolometric magnitude,絕對全波段星等；絕對熱星等,,2016-10-24
2720370,absolute brightness,絕對亮度,,2016-10-24
2720371,absolute error,絕對誤差,,2016-10-24
2720372,absolute gradient,絕對梯度,,2016-10-24
2720373,absolute height,真高度；絕對高度；絕對高程,,2016-10-24
2720374,absolute magnitude,絕對星等,,2016-10-24
2720375,absolute magnitude effect,絕對星等效應,,2016-10-24
2720376,absolute parallax,絕對視差,,2016-10-24
2720377,absolute perturbation,絕對攝動,,2016-10-24
2720378,absolute photoelectric magnitude,絕對光電星等,,2016-10-24
2720379,absolute photographic magnitude,絕對照相星等,,2016-10-24
2720380,absolute photometry,絕對測光；絕對光度學,,2016-10-24
2720381,absolute photovisual magnitude,絕對擬視星等；絕對仿視星等,,2016-10-24
2720382,absolute proper motion,絕對自行,,2016-10-24
2720383,absolute radiometric magnitude,絕對輻射星等,,2016-10-24
2720384,absolute space,絕對空間,,2016-10-24
2720385,absolute spectrophotometric gradient,絕對分光光度梯度,,2016-10-24
2720386,absolute temperature,絕對溫度,,2016-10-24
2720387,absolute time,絕對時間,,2016-10-24
2720388,absolute visual magnitude,絕對目視星等,,2016-10-24
2720389,absolute zero,絕對零度；絕對零點,,2016-10-24
2720390,absorber,吸收體；吸收器,,2016-10-24
2720391,absorption,吸收,,2016-10-24
2720392,absorption band,吸收帶,,2016-10-24
2720393,absorption coefficient,吸收係數,,2016-10-24
2720394,absorption edge,吸收邊限,,2016-10-24
2720395,absorption line,吸收[譜]線,,2016-10-24
2720396,absorption spectrum,吸收[光]譜,,2016-10-24
2720397,abundance,豐度；豐存度；豐盛度,,2016-10-24
2720398,abundance anomaly,豐度異常,,2016-10-24
2720399,accelerated motion,加速運動,,2016-10-24
2720400,acceleration,加速度,,2016-10-24
2720401,acceleration of gravity,重力加速度,,2016-10-24
2720402,accelerometer,加速度計,,2016-10-24
2720403,accidental connection,偶然關聯,,2016-10-24
2720404,accidental error,偶[然誤]差,,2016-10-24
2720405,accommodation,調節,,2016-10-24
2720406,accreting binary,吸積雙星,,2016-10-24
2720407,accretion,吸積,,2016-10-24
2720408,accretion column,吸積柱,,2016-10-24
2720409,accretion disk,吸積盤,,2016-10-24
2720410,accumulation,累積,,2016-10-24
2720411,accuracy,準確度,,2016-10-24
2720412,Achernar (α Eri),水委一；波江[座]α[星],,2016-10-24
2720413,Achilles,阿基里斯[小行星]；588號小行星,,2016-10-24
2720414,achondrite,無[球]粒隕石,,2016-10-24
2720415,achromat,消色差透鏡,,2016-10-24
2720416,achromatic eyepiece,消色差目鏡,,2016-10-24
2720417,achromatic objective,消色差物鏡,,2016-10-24
2720418,achromatic telescope,消色差望遠鏡,,2016-10-24
2720419,achromatism,消色差,,2016-10-24
2720420,acicular nebula,針狀星雲,,2016-10-24
2720421,acoustic mode,聲模,,2016-10-24
2720422,Acrab (β Sco),房宿四；天蝎[座]β[星],,2016-10-24
2720423,acronical rising,偕日升,,2016-10-24
2720424,acronical setting,偕日降,,2016-10-24
2720425,Acrux (α Crucis),十字架二；南十字[座]α[星],,2016-10-24
2720426,actinograph,日射儀,,2016-10-24
2720427,actinometer,日射計；露光計,,2016-10-24
2720428,actinometry,日射測定術,,2016-10-24
2720429,action,作用[量],,2016-10-24
2720430,activation,活化,,2016-10-24
2720431,activation coefficient,活化係數,,2016-10-24
2720432,active galactic nucleus (AGN),活躍星系核,,2016-10-24
2720433,active galaxy,活躍星系,,2016-10-24
2720434,active optics,主動光學,,2016-10-24
2720435,active prominence,活躍日珥；活動日珥,,2016-10-24
2720436,active prominence region (APR),活躍日珥區；活動日珥區,,2016-10-24
2720437,active region,活躍區；活動區,,2016-10-24
2720438,active sun,活躍太陽,,2016-10-24
2720439,active sunspot prominence,活躍黑子日珥；活動黑子日珥,,2016-10-24
2720440,actual frequency,真實頻率；實際頻率,,2016-10-24
2720441,actual syzygy method,定朔,,2016-10-24
2720442,adaptation,適應,,2016-10-24
2720443,adaptive optics,自適應光學,,2016-10-24
2720444,adiabat,絕熱線,,2016-10-24
2720445,adiabatic collapse,絕熱塌縮,,2016-10-24
2720446,adiabatic equilibrium,絕熱平衡,,2016-10-24
2720447,adiabatic fluctuation,絕熱起伏,,2016-10-24
2720448,adiabatic index (γ),絕熱指數,,2016-10-24
2720449,adiabatic process,絕熱過程,,2016-10-24
2720450,adiabatic pulsation,絕熱脈動,,2016-10-24
2720451,adiabatic temperature gradient,絕熱溫度梯度,,2016-10-24
2720452,adjacent angle,鄰角,,2016-10-24
2720453,adjacent side,鄰邊,,2016-10-24
2720454,adjusting screw,調整螺絲,,2016-10-24
2720455,adjustment,校正；調整,,2016-10-24
2720456,Adonis,阿多尼斯[小行星]；2101號小行星,,2016-10-24
2720457,adopted latitude,緯度採用值,,2016-10-24
2720458,adopted longitude,經度採用值,,2016-10-24
2720459,Adrastea,木衛十五,,2016-10-24
2720460,adsorption,吸附[作用],,2016-10-24
2720461,adsorption equilibrium,吸附平衡,,2016-10-24
2720462,adsorptive power,吸附力,,2016-10-24
2720463,advance of apsidal line,拱線運動,,2016-10-24
2720464,advance of periastron,近星點前移,,2016-10-24
2720465,advance of perihelion,近日點前移,,2016-10-24
2720466,"Advanced Liquid mirror Probe for Astrophysics, Cosmology and Asteroids (ALPACA)",阿爾帕卡望遠鏡,,2016-10-24
2720467,advection,徑移,,2016-10-24
2720468,Aegaeon,土衛五十三,,2016-10-24
2720469,Aegir,土衛三十六,,2016-10-24
2720470,aeon,十億年,,2016-10-24
2720471,aerial,天線,,2016-10-24
2720472,aerolite,[石]隕石,,2016-10-24
2720473,aerolith,[石]隕石,,2016-10-24
2720474,aeronomy,高層大氣學,,2016-10-24
2720475,aerosiderite,鐵隕石,,2016-10-24
2720476,aerosiderolite,石鐵隕石,,2016-10-24
2720477,afocal system,無焦系統,,2016-10-24
2720478,afterglow,餘輝,,2016-10-24
2720479,age characteristics,年齡特徵,,2016-10-24
2720480,age of the Moon,月齡{月相},,2016-10-24
2720481,AI Vel star,船帆[座]AI型[變]星,,2016-10-24
2720482,aim point,瞄準點,,2016-10-24
2720483,Air Almanac (A. A. ),[美國]航空曆書,,2016-10-24
2720484,air cap,[空]氣冠{流星},,2016-10-24
2720485,air mass,大氣質量,,2016-10-24
2720486,air shower,空氣射叢,,2016-10-24
2720487,airborne telescope,機載望遠鏡,,2016-10-24
2720488,airglow,氣輝,,2016-10-24
2720489,Airy disk,艾瑞盤,,2016-10-24
2720490,Airy-0,火星基準子午線,,2016-10-24
2720491,Aitken,艾肯環形山{月面},,2016-10-24
2720492,Aitne,木衛三十二,,2016-10-24
2720493,albedo,反照率,,2016-10-24
2720494,albedometer,反照計,,2016-10-24
2720495,Albiorix,土衛二十六,,2016-10-24
2720496,Albireo (β Cyg),輦道增七；天鵝[座]β[星],,2016-10-24
2720497,Alcor (80 UMa),輔；開陽伴星；大熊[座]ζ[星],,2016-10-24
2720498,Alcyone (η Tau),昴宿六；金牛[座]η[星],,2016-10-24
2720499,Aldebaran (α Tau),畢宿五；金牛[座]α[星],,2016-10-24
2720500,Alderamin (α Cep),天鉤五；仙王[座]α[星],,2016-10-24
2720501,Alfvén speed,阿耳芬速率,,2016-10-24
2720502,Alfvén wave,阿耳芬波,,2016-10-24
2720503,Algenib (γ Peg),壁宿一；飛馬[座]γ[星],,2016-10-24
2720504,Algol (β Per),大陵五；英仙[座]β[星],,2016-10-24
2720505,Algol system,大陵[型]食雙星,,2016-10-24
2720506,Algol variable,大陵[型]變星,,2016-10-24
2720507,Alhena (γ Gem),井宿三；雙子[座]γ[星],,2016-10-24
2720508,aliasing,假頻；假訊,,2016-10-24
2720509,alidade,照準儀；游標盤,,2016-10-24
2720510,alignment star,定位星,,2016-10-24
2720511,Alioth (ε UMa),玉衡；北斗五；大熊[座]ε[星],,2016-10-24
2720512,Allende meteorite,阿顏德隕石,,2016-10-24
2720513,Almach (γ And),天大將軍一；仙女[座]γ[星],,2016-10-24
