ID,英文名稱,中文名稱,圖片,更新日期
2717437,ablation,冰融,,2016-10-24
2717438,ablation breccia,消融角礫岩,,2016-10-24
2717439,ablation cone,消融錐,,2016-10-24
2717440,ablatograph,冰融儀,,2016-10-24
2717441,abraded bedrock surface,浪蝕基岩面,,2016-10-24
2717442,abrasion,磨蝕,,2016-10-24
2717443,abrasion mark,磨蝕痕跡,,2016-10-24
2717444,abrasion platform,海蝕平台；海蝕台地,,2016-10-24
2717445,abrasion shoreline,浪蝕海岸線,,2016-10-24
2717446,abrasion surface,海蝕面；浪蝕面,,2016-10-24
2717447,abrasion tableland,海蝕台地；浪蝕台地,,2016-10-24
2717448,abrasion terrace,海蝕階地；浪蝕階地,,2016-10-24
2717449,absorptivity,吸收性；吸收率,,2016-10-24
2717450,abyssal,深淵底；深海的,,2016-10-24
2717451,abyssal ooze,深海軟泥,,2016-10-24
2717452,abyssal plain,深淵底平原；深海平原,,2016-10-24
2717453,abyssal red earth,深海紅土,,2016-10-24
2717454,abyssopelagic,深淵水層{4000–6000 公尺},,2016-10-24
2717455,accelerator mass spectrometry (AMS),加速器質譜儀,,2016-10-24
2717456,accreting plate boundary,增積板塊邊界；增生型板塊邊界,,2016-10-24
2717457,accretion,固結；凝聚；堆積,,2016-10-24
2717458,accretion beach face,增積海灘面；加積海灘面,,2016-10-24
2717459,accretion bed,增積層；加積層,,2016-10-24
2717460,accretion ridge,增積砂嶺；外展灘脊,,2016-10-24
2717461,accretion ripple mark,加積波痕,,2016-10-24
2717462,accretion topography,加積地形,,2016-10-24
2717463,accretion vein,填加脈,,2016-10-24
2717464,accretionary bar,增積砂壩；加積砂壩,,2016-10-24
2717465,accretionary basin,增積盆地,,2016-10-24
2717466,accretionary belt,增積帶；加積帶,,2016-10-24
2717467,accretionary coast,增積海岸；加積海岸,,2016-10-24
2717468,accretionary lapilli,增積火山泥礫,,2016-10-24
2717469,accretionary lava ball,增積熔岩球,,2016-10-24
2717470,accretionary plate boundary,增積板塊邊界；增生型板塊邊界,,2016-10-24
2717471,accretionary prism,增積岩體,,2016-10-24
2717472,accretionary ridge,增積海脊,,2016-10-24
2717473,accretionary subduction complex,增積隱沒複合體,,2016-10-24
2717474,accretionary wedge,增積楔形體,,2016-10-24
2717475,accumulated island,堆積島,,2016-10-24
2717476,accumulation rate,堆積速率,,2016-10-24
2717477,acidification,酸化作用,,2016-10-24
2717478,acidity,酸度；酸性,,2016-10-24
2717479,acoustic basement,聲波基盤,,2016-10-24
2717480,acoustic release,聲波釋放,,2016-10-24
2717481,acoustic sounding,聲波測深；聲學探測,,2016-10-24
2717482,acoustic swath-mapping,聲波條帶測繪,,2016-10-24
2717483,Actinaraea,輻線珊瑚屬,,2016-10-24
2717484,Actinaria,肉珊瑚目,,2016-10-24
2717485,Actinastrum,星形藻屬{綠藻類},,2016-10-24
2717486,actine,星狀骨針{海綿動物},,2016-10-24
2717487,Actiniaria,海葵目,,2016-10-24
2717488,Actinocamax,星樁箭石屬,,2016-10-24
2717489,Actinocyclus,輻環藻屬,,2016-10-24
2717490,Actinocystidae,輻射泡沫珊瑚科,,2016-10-24
2717491,Actinophycus,放射線藻屬,,2016-10-24
2717492,Actinopoda,射足蟲類{原生動物}；射足類{棘皮動物},,2016-10-24
2717493,Actinoporella,輻孔藻屬,,2016-10-24
2717494,Actinosiphon,輻管蟲屬{有孔蟲類},,2016-10-24
2717495,Actinostroma,放射層孔蟲屬,,2016-10-24
2717496,Actinostromaria,仿放射層孔蟲屬,,2016-10-24
2717497,Actinothecaceae,翼脈藻[囊孢]科,,2016-10-24
2717498,active continental margin,活動大陸邊緣,,2016-10-24
2717499,active microwave,主動微波,,2016-10-24
2717500,active plate,活動板塊,,2016-10-24
2717501,active plate margin,活動板塊邊緣,,2016-10-24
2717502,active sensor,主動感測器,,2016-10-24
2717503,active volcano,活火山,,2016-10-24
2717504,acuate delta,弓形三角洲,,2016-10-24
2717505,Acuturris,尖石屬{鈣質超微化石},,2016-10-24
2717506,Adelocyrtis,隱籠蟲屬{放射蟲屬},,2016-10-24
2717507,Adeonidae,滿苔蘚蟲科,,2016-10-24
2717508,Adetopora,自由孔珊瑚屬；樹枝管珊瑚屬,,2016-10-24
2717509,adhesion,黏附；黏附力,,2016-10-24
2717510,adhesive force,附著力；黏附力,,2016-10-24
2717511,adiabatic,絕熱,,2016-10-24
2717512,adiabatic cooling,絕熱冷卻,,2016-10-24
2717513,adiabatic heating,絕熱增溫,,2016-10-24
2717514,adiabatic lapse rate,絕熱遞減率,,2016-10-24
2717515,adiabatic phenomenon,絕熱現象,,2016-10-24
2717516,adiabatic process,絕熱過程,,2016-10-24
2717517,adiabatic temperature gradient,絕熱溫度梯度,,2016-10-24
2717518,adiabatic warming,絕熱增溫,,2016-10-24
2717519,adit,平坑,,2016-10-24
2717520,admiralty chart,海圖,,2016-10-24
2717521,adolescent coast,青年期海岸,,2016-10-24
2717522,advanced coast,前移海岸,,2016-10-24
2717523,advancing coast,前進海岸,,2016-10-24
2717524,adventitious deposit,外源堆積,,2016-10-24
2717525,aeolation,風成沉積；風積物,,2016-10-24
2717526,aeolian,風成相；風成的,,2016-10-24
2717527,aeolian deposit,風成沉積；風積物,,2016-10-24
2717528,aeolian sediment,風積物；風成沉積,,2016-10-24
2717529,Aeolis,蛞蝓屬,,2016-10-24
2717530,aerial photography,航空攝影,,2016-10-24
2717531,aerobic,好氧性；嗜氧性；好氧的；有氧的,,2016-10-24
2717532,aerobic bacteria,好氧細菌；需氧菌；有氧菌；嗜氧性細菌,,2016-10-24
2717533,aerobic digestion,有氧消化[作用],,2016-10-24
2717534,aerobic respiration,有氧呼吸[作用],,2016-10-24
2717535,Aerobryopsis,灰氣蘚屬{苔蘚植物},,2016-10-24
2717536,aerosol,氣溶膠；氣膠,,2016-10-24
2717537,affinity,親合力,,2016-10-24
2717538,Agallospira,圓環螺屬{腹足類},,2016-10-24
2717539,Agalmatoaster,首飾星石屬{鈣質超微化石},,2016-10-24
2717540,Agarum,孔葉藻屬,,2016-10-24
2717541,age dating,定年,,2016-10-24
2717542,age determination,年代測定,,2016-10-24
2717543,aged sea water,老化海水,,2016-10-24
2717544,Agetolitella,小阿蓋特珊瑚屬,,2016-10-24
2717545,Agetolites,阿蓋特珊瑚屬,,2016-10-24
2717546,aggregate,聚合體,,2016-10-24
2717547,aggregation plain,集積平原,,2016-10-24
2717548,aging,老化,,2016-10-24
2717549,Aglaiocypris,彩星介屬{介形類},,2016-10-24
2717550,Aglestheria,華美葉肢介屬,,2016-10-24
2717551,Agoniatites,無棱菊石屬,,2016-10-24
2717552,Agoniatitida,無角菊石目{頭足類},,2016-10-24
2717553,agonic line,無磁偏差線,,2016-10-24
2717554,Agulhas Current,阿古拉斯洋流,,2016-10-24
2717555,Agulhas Plateau,阿古拉斯海台,,2016-10-24
2717556,ahermatypic,非造礁性,,2016-10-24
2717557,Ahmuellerella,阿繆石屬{鈣質超微化石},,2016-10-24
2717558,Ahnfeltia,伊谷草屬{紅藻類},,2016-10-24
2717559,Aipichthys,艾皮魚屬,,2016-10-24
2717560,air bubble,氣泡,,2016-10-24
2717561,air contaminant,空氣污染物,,2016-10-24
2717562,air heave,空氣推舉作用,,2016-10-24
2717563,air hoar,大氣冰晶沈積,,2016-10-24
2717564,air mass,氣圈,,2016-10-24
2717565,air pollutants,空氣污染物質,,2016-10-24
2717566,air pollution,空氣污染；大氣污染,,2016-10-24
2717567,air shooting,大氣爆炸探測法,,2016-10-24
2717568,airborne electromagnetic survey,空中電磁測勘,,2016-10-24
2717569,air-borne substance,空氣傳播物,,2016-10-24
2717570,airgun,空氣槍,,2016-10-24
2717571,airgun array,空氣槍陣列,,2016-10-24
2717572,airgun bubble pulse,空氣槍氣泡脈波,,2016-10-24
2717573,air-lift method,氣舉法,,2016-10-24
2717574,air-sea exchange,海氣交換,,2016-10-24
2717575,air-sea flux,海氣通量,,2016-10-24
2717576,air-sea interaction,氣海交互作用,,2016-10-24
2717577,air-sea interface,氣海界面,,2016-10-24
2717578,air-water interface,氣水界面,,2016-10-24
2717579,Airy isostatic hypothesis,艾里均衡假說,,2016-10-24
2717580,Airy's spiral,艾氏螺旋,,2016-10-24
2717581,Airy-Heiskanen system,艾里–海斯肯寧系統；艾里海斯肯寧均衡說,,2016-10-24
2717582,Alabaminidae,阿拉巴馬蟲科{有孔蟲類},,2016-10-24
2717583,Alaiophyllum,阿萊珊瑚屬,,2016-10-24
2717584,Alaria,翅藻屬{褐藻類},,2016-10-24
2717585,Alatacythere,翅女神介屬{介形類},,2016-10-24
2717586,alb,冰谷棚,,2016-10-24
2717587,albedo,反照率,,2016-10-24
2717588,Albian,阿爾布期{白堊紀},,2016-10-24
2717589,Albileberis,潔面介屬,,2016-10-24
2717590,Alcyonaria,八射珊瑚亞綱,,2016-10-24
2717591,Alcyonidium,海冠苔蘚蟲屬,,2016-10-24
2717592,Alderina,阿爾德苔蘚蟲屬{苔蘚類},,2016-10-24
2717593,Aleutian Basin,阿留申海盆,,2016-10-24
2717594,Aleutian island arc,阿留申島弧,,2016-10-24
2717595,Aleutian Trench,阿留申海溝,,2016-10-24
2717596,Alexandrian,阿力山得期,,2016-10-24
2717597,alga,藻類,,2016-10-24
