ID,英文名稱,中文名稱,圖片,更新日期
2649763,β-argentite,β-輝銀礦,,2016-08-26
2649764,β-cerolite,β-蠟蛇紋石,,2016-08-26
2649765,β-chalcocite,β-輝銅礦,,2016-08-26
2649766,β-fergusonite,β-褐釔鈮礦,,2016-08-26
2649767,β-hypersthene,β-紫蘇輝石,,2016-08-26
2649768,β-quartz,β-石英,,2016-08-26
2649770,β-uranopilite,β-鈾灰石,,2016-08-26
2649771,β-uranotile,β-矽鈣鈾礦,,2016-08-26
2650714,β-sepiolite,β-海泡石,,2016-08-26
2651357,αeffect,α效應；阿爾法效應,,2016-08-26
2651359,αionization,α射線電離；阿爾法射線電離,,2016-08-26
2651361,αparticle,α粒子；阿爾法粒子,,2016-08-26
2651363,α-ray,α射線；阿爾法射線,,2016-08-26
2651365,αscale,α尺度；阿爾法尺度,,2016-08-26
2652438,β effect,β效應；貝他效應,,2016-08-26
2652440,β particle,β粒子；貝他粒子,,2016-08-26
2652442,β ray,β射線；貝他射線,,2016-08-26
2652444,β scale,β尺度；貝他尺度,,2016-08-26
2652446,β-plane (approximation),β平面[近似]；貝他平面[近似],,2016-08-26
2681076,W2 wave,W2波,,2016-08-26
2681077,W3 wave,W3波,,2016-08-26
2681078,Waagenoceras,瓦氏角石,,2016-08-26
2681079,Waagenoconcha,瓦氏貝,,2016-08-26
2681080,Waagenophyllum,瓦氏珊瑚,,2016-08-26
2681081,Waal warm age,瓦爾冰間期,,2016-08-26
2681082,wacke,玄土；泥質砂岩,,2016-08-26
2681083,wad,錳土,,2016-08-26
2681084,wadeite,鉀鈣板鋯石,,2016-08-26
2681085,Wadell's law of settling velocity,瓦氏沉〔降〕速〔度定〕律,,2016-08-26
2681086,wadi; arroyo; chebka wadis; dry valley; nullah; shebka; wady; wash,乾谷,,2016-08-26
2681087,wagnerite,磷鎂石,,2016-08-26
2681088,wake,尾流,,2016-08-26
2681089,Walchia,瓦契木,,2016-08-26
2681090,walkerite; Walker's clay,漂白土,,2016-08-26
2681091,wall,盤；壁,,2016-08-26
2681092,wall effect,壁效應,,2016-08-26
2681093,wall friction,壁面摩擦力,,2016-08-26
2681094,wall rock,圍岩,,2016-08-26
2681095,wall rock alternation,圍岩換質,,2016-08-26
2681096,wall-sided glacier,谷壁冰河,,2016-08-26
2681097,Wallachian movement,瓦拉赤運動｛上新世｝,,2016-08-26
2681098,walpurgite,砷鈾鉍礦,,2016-08-26
2681099,wandering,漂移,,2016-08-26
2681100,Wanhsien fauna,萬縣動物群,,2016-08-26
2681101,waning slope,下凹坡,,2016-08-26
2681102,Wanwanoceras,灣灣角石上科,,2016-08-26
2681103,wapplerite,三斜鈣砷石,,2016-08-26
2681104,wardite,水磷鋁石,,2016-08-26
2681105,warm air-mass,暖氣團,,2016-08-26
2681106,warm anticyclone,暖反氣旋,,2016-08-26
2681107,warm braw,暖布勞風,,2016-08-26
2681108,warm current,暖流,,2016-08-26
2681109,warm cyclone,暖氣旋,,2016-08-26
2681110,warm forest zone,暖温帶林,,2016-08-26
2681111,warm front,暖鋒,,2016-08-26
2681112,warm front rain,暖鋒雨,,2016-08-26
2681113,warm high,暖高壓,,2016-08-26
2681114,warm low,暖低壓,,2016-08-26
2681115,warm occluded front,暖囚錮鋒,,2016-08-26
2681116,warm rain,暖雨,,2016-08-26
2681117,warm sector,暖區,,2016-08-26
2681118,warm tongue,暖舌,,2016-08-26
2681119,warm water sphere,暖水圈,,2016-08-26
2681120,warm wave,熱浪,,2016-08-26
2681121,warm-air drop; warm drop; warm pool,暖氣潭,,2016-08-26
2681122,warm-core anticyclone,暖心反氣旋,,2016-08-26
2681123,warm-core cyclone,暖心氣旋,,2016-08-26
2681124,warm-core high,暖心高壓,,2016-08-26
2681125,warm-core low,暖心低壓,,2016-08-26
2681126,warm-front-type occlusion,暖鋒型囚錮,,2016-08-26
2681127,warm-tongue steering,暖舌駛引,,2016-08-26
2681128,warm-type occlusion,暖型囚錮,,2016-08-26
2681129,warning,警報,,2016-08-26
2681130,warning stage,警戒水位,,2016-08-26
2681131,warp soil,淤積土,,2016-08-26
2681132,warped basin,撓曲盆地,,2016-08-26
2681133,warping,撓屈,,2016-08-26
2681134,warping earthquake,撓曲地震,,2016-08-26
2681135,warrenite,脆硫銻鉛礦；鈷菱鋅礦,,2016-08-26
2681136,warwickite,鈦硼鎂鐵石,,2016-08-26
2681137,Wasatch wind,窩塞赤風,,2016-08-26
2681138,wash load,沖洗負荷,,2016-08-26
2681139,wash slope,沖洗坡,,2016-08-26
2681140,wash-bottle,洗瓶,,2016-08-26
2681141,wash-out gravel,水蝕礫,,2016-08-26
2681142,wash; donga; shebka,乾谷,,2016-08-26
2681143,washability,可選性,,2016-08-26
2681144,washboard moraines,洗衣板狀磧群,,2016-08-26
2681145,washingtonite,鈦鐵礦,,2016-08-26
2681146,Washoe zephyr,瓦休來菲風,,2016-08-26
2681147,washout; cut and fill,切塡,,2016-08-26
2681148,wastage,消融,,2016-08-26
2681149,waste,廢石,,2016-08-26
2681150,waste slope,崩壞坡,,2016-08-26
2681151,wastefilled valley,埋積谷,,2016-08-26
2681152,wasting land,崩壞地,,2016-08-26
2681153,water,水,,2016-08-26
2681154,water (moisture) sorption,著水作用,,2016-08-26
2681155,water atmosphere,水〔汽〕大氣,,2016-08-26
2681156,water balance,水平衡；水文平衡,,2016-08-26
2681157,water bloom,水華,,2016-08-26
2681158,water body,水體,,2016-08-26
2681159,water bottle,探水器,,2016-08-26
2681160,water budget,水收支,,2016-08-26
2681161,water cloud,水雲,,2016-08-26
2681162,water color,水色,,2016-08-26
2681163,water content,含水量,,2016-08-26
2681164,water culture,水培,,2016-08-26
2681165,water deficit,缺水,,2016-08-26
2681166,water drive,水驅（油田）,,2016-08-26
2681167,water equivalent,水當量,,2016-08-26
2681168,water erosion,水蝕,,2016-08-26
2681169,water exchange,水交換,,2016-08-26
2681170,water film,水膜,,2016-08-26
2681171,water gage,水位標尺,,2016-08-26
2681172,water gap,水口,,2016-08-26
2681173,water gas,水溶性天然氣,,2016-08-26
2681174,water ice,水冰,,2016-08-26
2681175,water level; water stage,水位,,2016-08-26
2681176,water logging,積水,,2016-08-26
2681177,water loss,水耗,,2016-08-26
2681178,water mark,水痕,,2016-08-26
2681179,water mass,水團,,2016-08-26
2681180,water mass analysis,水團分析,,2016-08-26
2681181,water meter,水表,,2016-08-26
2681182,water of constitution,成分水,,2016-08-26
2681183,water of crystallization,結晶水,,2016-08-26
2681184,water of imbibition,滲吸水,,2016-08-26
2681185,water of plasticity,起塑水,,2016-08-26
2681186,water permeability,水滲透率,,2016-08-26
2681187,water pocket; water vein,水脈,,2016-08-26
2681188,water power,水力,,2016-08-26
2681189,water pressure,水壓,,2016-08-26
2681190,water requirement,需水量,,2016-08-26
2681191,water retention,保水性,,2016-08-26
2681192,water sapphire,藍堇青石；水藍寶石,,2016-08-26
2681193,water saturation,水飽和率,,2016-08-26
2681194,water seepage,泉苗,,2016-08-26
2681195,water shed; water divide,分水界；分水嶺,,2016-08-26
2681196,water sky,水映空,,2016-08-26
2681197,water smoke,水煙；蒸氣霧,,2016-08-26
2681198,Water snake; Hydrus,水蛇座,,2016-08-26
2681199,water snow,濕雪,,2016-08-26
2681200,water sphere,水圈,,2016-08-26
2681201,water spout,水龍捲,,2016-08-26
2681202,water spreading,分散滲透,,2016-08-26
2681203,water substance,水份,,2016-08-26
2681204,water surplus,剩水,,2016-08-26
2681205,water system,水系,,2016-08-26
2681206,water table map,地下水面圖,,2016-08-26
2681207,water table; ground water surface,地下水面；地下水位,,2016-08-26
2681208,water thermometer,水温計,,2016-08-26
2681209,water transport,水運送,,2016-08-26
2681210,water type,水型,,2016-08-26
2681211,water vapor,水汽,,2016-08-26
