ID,英文名稱,中文名稱,圖片,更新日期
3226693,3-dimension surface model,三维地表模型,,2017-08-08
3226694,A/D conversion,類比-數位轉換,,2017-08-08
3226695,absolute altitude,絕對高程,,2017-08-08
3226696,absolute coordinate,絕對坐標,,2017-08-08
3226697,absolute position,絕對位置,,2017-08-08
3226698,absorption,吸收,,2017-08-08
3226699,abstract data type{=ADT},抽象資料類型,,2017-08-08
3226700,abstraction,抽象化,,2017-08-08
3226701,access,存取,,2017-08-08
3226702,access control,存取控制,,2017-08-08
3226703,access directory,存取目錄,,2017-08-08
3226704,access level,存取等級,,2017-08-08
3226705,access method,存取方法,,2017-08-08
3226706,access path,存取路徑,,2017-08-08
3226707,access right,存取權限,,2017-08-08
3226708,access security,存取安全性,,2017-08-08
3226709,access technology,存取技術,,2017-08-08
3226710,access time,存取時間,,2017-08-08
3226711,access type,存取類型,,2017-08-08
3226712,accessibility,可存取性；易達性,,2017-08-08
3226713,account,帳號,,2017-08-08
3226714,account name,帳戶名稱,,2017-08-08
3226715,accuracy,準確度,,2017-08-08
3226716,accuracy assessment,準確度評估,,2017-08-08
3226717,ACSM{=American congress on surveying and mapping},美國測量及繪圖學會,,2017-08-08
3226718,active database,現用資料庫,,2017-08-08
3226719,active sensor,主動式感測器,,2017-08-08
3226720,active tracking system,主動式追蹤系統,,2017-08-08
3226721,ADA{=automatic data acquisition},自動資料獲取,,2017-08-08
3226722,additive primary colors,加色{=法}三原色,,2017-08-08
3226723,address,位址；地址,,2017-08-08
3226724,address access type,位址存取類型,,2017-08-08
3226725,address bus,位址匯流排,,2017-08-08
3226726,address coding,位址編碼,,2017-08-08
3226727,address matching,地址對位,,2017-08-08
3226728,address range,地址範圍,,2017-08-08
3226729,addressing,定址；尋址,,2017-08-08
3226730,adjacency,相鄰,,2017-08-08
3226731,adjacency analysis,相鄰性分析,,2017-08-08
3226732,adjacent areas,相鄰區域,,2017-08-08
3226733,adjoining sheets,圖幅接合表,,2017-08-08
3226734,ADS{=automated digitizing system},自動數化系統,,2017-08-08
3226735,ADT{=abstract data type },抽象資料類型,,2017-08-08
3226736,advanced very high resolution radiometer{=AVHRR},進階極高解析度輻射儀,,2017-08-08
3226738,aerial photograph,航照;航空照片,,2017-08-08
3226739,aerial photograph interpretation,航照判讀,,2017-08-08
3226740,aerial triangulation,空中三角測量,,2017-08-08
3226741,affine transformation,仿射轉換,,2017-08-08
3226742,agent,代理人{=程式}；行動者,,2017-08-08
3226743,aggregation,聚合,,2017-08-08
3226744,AI{=artificial intelligence},人工智慧,,2017-08-08
3226745,airphoto,航空像片,,2017-08-08
3226746,Albers projection,亞爾勃斯投影,,2017-08-08
3226747,algebraic model,代數模型,,2017-08-08
3226748,algorithm,演算法,,2017-08-08
3226749,aliase,別名,,2017-08-08
3226750,aliasing,混淆現象,,2017-08-08
3226751,allocation,分派；配置,,2017-08-08
3226752,along-track scanning,沿軌掃描,,2017-08-08
3226753,alphanumeric,文數字,,2017-08-08
3226754,alphanumeric symbol,文數字符虢,,2017-08-08
3226755,altitude,高度,,2017-08-08
