ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3158219,[earthquake] focus,震源,,震源,2017-07-20
3158220,[fluvial] terrace surface,河階面,,河阶面,2017-07-20
3158221,[glacial] trough lake,槽湖,,[冰川]槽湖,2017-07-20
3158222,[land-]tied island,陸連島 ,,陆连岛 ,2017-07-20
3158223,3D｛three dimension｝,三維,,三维,2017-07-20
3158224,aborigines,原住民,,土著居民,2017-07-20
3158225,abrasion,磨蝕,,磨蚀作用 ,2017-07-20
3158226,abrasion platform,海蝕平台,,海蚀台[地],2017-07-20
3158227,accessibility,易達性,,可访问性，可达性,2017-07-20
3158228,acid rain,酸雨,,酸雨,2017-07-20
3158229,acid soil,酸性土,,酸性土壤,2017-07-20
3158230,active volcano,活火山,,活火山,2017-07-20
3158231,ADB,亞洲開發銀行,,亚洲开发银行,2017-07-20
3158232,adiabatic cooling,絕熱冷卻,,绝热冷却 ,2017-07-20
3158233,advanced economies,已開發經濟體　,,先进经济体,2017-07-20
3158234,aerial photographs,航空照片；像片基本圖,,航空摄影,2017-07-20
3158235,afforestation,[荒地]造林,,造林,2017-07-20
3158236,Afro-Asiatic languages,亞非語系　,,亚非语系,2017-07-20
3158237,AFTA｛ASEAN Free Trade Agreement｝,東協自由貿易協定,,东盟自由贸易区,2017-07-20
3158238,agglomeration economy,聚集經濟　,,集聚经济,2017-07-20
3158239,aging society,高齡化社會　,,高龄化社会,2017-07-20
3158240,Agreement on Technical Barrier to Trade,技術性貿易障礙協定,,技术性贸易壁垒(TBT),2017-07-20
3158241,agribusiness,農企業,,农业综合企业,2017-07-20
3158242,agricultural location,農業區位　,,农业区位,2017-07-20
3158243,agricultural systems,農業系統 ,,农业系统 ,2017-07-20
3158244,agricultural transformation,農業轉型,,农业转型,2017-07-20
3158245,agriculture,農業,,农业,2017-07-20
3158246,agriculture enterprization,農業企業化,,农业企业化,2017-07-20
3158247,agriculture specialization,農業專業化,,农业专业化,2017-07-20
3158248,agri-technologies industry,農業科技產業,,农业科技行业,2017-07-20
3158249,AI｛Amnesty International｝,國際特赦組織,,国际特赦组织,2017-07-20
3158250,Ainu,愛奴人　,,阿伊努人,2017-07-20
3158251,air mass,氣團,,气团,2017-07-20
3158252,air pressure,氣壓　,,气压,2017-07-20
3158253,air temperature,大氣溫度　,,气温 ,2017-07-20
3158254,alfisol,淋餘土,,淋溶土,2017-07-20
3158255,alkaline soil,鹼性土,,碱性土 ,2017-07-20
3158256,alluvial fan,沖積扇,,冲积扇 ,2017-07-20
