ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3136733,A horizon,A層；表土層,,,2017-07-20
3136734,abiogenic landscape,非生物景觀,,非生源景观,2017-07-20
3136735,ablation,消融,,,2017-07-20
3136736,abrasion,磨蝕[作用],,磨蚀作用,2017-07-20
3136737,abrasion platform,海蝕平台,,海蚀台[地],2017-07-20
3136738,abrupt change of climate,氣候突變,,气候突变,2017-07-20
3136739,absolute age of soil,土壤絕對年齡,,土壤绝对年龄,2017-07-20
3136740,absolute distance,絕對距離,,绝对距离,2017-07-20
3136741,absolute geographical space,絕對地理空間,,绝对地理空间,2017-07-20
3136742,absolute location,絕對位置,,绝对区位,2017-07-20
3136743,absolute sea level change,絕對海[平]面變化,,绝对海[平]面变化,2017-07-20
3136744,absorption,吸收[作用],,吸收,2017-07-20
3136745,absorptivity,吸收率,,吸收率,2017-07-20
3136746,abyssal deep,海淵,,海渊,2017-07-20
3136747,abyssal plain,深海平原,,深海平原,2017-07-20
3136748,academic geography,學術地理學,,学术地理学,2017-07-20
3136749,accelerated erosion,加速侵蝕,,加速侵蚀,2017-07-20
3136750,acceptable erosion,允許侵蝕量,,允许侵蚀量,2017-07-20
3136751,access control,資料分發；存取控制,,,2017-07-20
3136752,accessibility,易達性；可達性,,可达性,2017-07-20
3136753,accessibility index,易達性指數；可達性指數,,可达性指数,2017-07-20
3136754,acclimatization,氣候適應；生物馴化,,1.适应；2.驯化,2017-07-20
3136755,accumulated temperature,積溫,,积温,2017-07-20
3136756,acid rain,酸雨,,酸雨,2017-07-20
3136757,acid sulphate soil,酸性硫酸鹽土,,酸性硫酸盐土,2017-07-20
3136758,acrisol,澱積土,,强淋溶土,2017-07-20
3136759,action space,行動空間,,行动空间,2017-07-20
3136760,active dispersal,主動散布,,主动散布,2017-07-20
3136761,active layer,活動層,,活动层,2017-07-20
3136762,active remote sensing,主動式遙測,,主动遥感,2017-07-20
3136763,active tectonics,活動構造[作用],,活动构造,2017-07-20
3136764,active volcano,活火山,,活火山,2017-07-20
3136765,activity allocation model,活動分派模式,,活动配置模型,2017-07-20
3136766,activity diaries survey,行為日誌調查,,活动日志调查,2017-07-20
3136767,activity space,活動空間,,活动空间,2017-07-20
3136768,actor,行動者,,行动者,2017-07-20
3136769,adaptation,調適；適應,,适应,2017-07-20
3136770,adaptive radiation,適應性擴張,,适应辐射,2017-07-20
3136771,address geo-coding,地址編碼,,地址地理编码,2017-07-20
3136772,address matching,地址對位,,地址匹配,2017-07-20
3136773,administrative boundary,行政界線,,行政界线,2017-07-20
3136774,administrative geography,行政地理學,,行政地理学,2017-07-20
