ID,英文名稱,中文名稱,圖片,更新日期
3230081,3S integration,3S整合科技,,2017-08-08
3230082,a priori standard deviation,先驗中誤差,,2017-08-08
3230083,abate process,減薄法,,2017-08-08
3230084,Abbe comparator principle,亞貝比長原理,,2017-08-08
3230085,Abbe condenser,亞貝聚光透鏡,,2017-08-08
3230086,aberration,像差,,2017-08-08
3230087,aberration correction,像差改正; 光行差改正,,2017-08-08
3230088,aberration of light,光行差,,2017-08-08
3230089,aberration of sphericity,球面像差,,2017-08-08
3230090,ablatograph,融化測量儀,,2017-08-08
3230091,ablaze,發光作用(高),,2017-08-08
3230092,Abney level,阿伯尼水準儀,,2017-08-08
3230093,abnormal magnetic variation,異常磁變,,2017-08-08
3230094,abscissa,橫坐標,,2017-08-08
3230095,abscissa of image point,像點橫坐標,,2017-08-08
3230096,absolute altitude,絕對高程,,2017-08-08
3230097,absolute catalog,絕對星表,,2017-08-08
3230098,absolute datum,絕對基準,,2017-08-08
3230099,absolute error,絕對誤差,,2017-08-08
3230100,absolute flying height,絕對航高,,2017-08-08
3230101,absolute gravimeter,絕對重力儀,,2017-08-08
3230102,absolute gravity,絕對重力,,2017-08-08
3230103,absolute gravity measurement,絕對重力測量,,2017-08-08
3230104,absolute magnitude,絕對星等,,2017-08-08
3230105,absolute orientation,絕對方位,,2017-08-08
3230106,absolute parallax,絕對視差,,2017-08-08
3230107,absolute proper motion,絕對自行,,2017-08-08
3230108,absolute radial velocity,絕對輻射速度,,2017-08-08
3230109,absolute reflector,完全反射體,,2017-08-08
3230110,absolute star catalog,絕對星表,,2017-08-08
3230111,absolute stereoscopic parallax,絕對立體視差,,2017-08-08
3230112,absolute threshold,絕對閾值,,2022-07-19
3230113,absorption,吸收,,2017-08-08
3230114,absorption band,吸收波段,,2017-08-08
3230115,absorption filter,吸收濾光片,,2017-08-08
3230116,abstract symbol,抽象符號,,2017-08-08
3230117,abyss,海溝,,2017-08-08
3230118,abyssal,深淵,,2017-08-08
3230119,abyssal basin,深海盆地,,2017-08-08
3230120,abyssal hill,深海山丘,,2017-08-08
3230121,abyssal plain,深海平原,,2017-08-08
3230122,acceleration of gravity,重力加速度,,2017-08-08
3230123,accidental error,偶然誤差,,2017-08-08
3230124,acclivity,上升坡,,2017-08-08
3230125,accommodation of human eye,人眼調節,,2017-08-08
3230126,accordion,折式地圖,,2017-08-08
3230127,accumulated divergence,累積閉合差,,2017-08-08
3230128,accumulated error,累積誤差,,2017-08-08
3230129,acetate film,醋酸鹽膠片,,2017-08-08
3230130,achromatic double lens,消色差雙透鏡,,2017-08-08
3230131,achromatic film,消色差片,,2017-08-08
3230132,achromatic lens,消色差透鏡,,2017-08-08
3230133,aclinic line,磁赤道,,2017-08-08
3230134,acoustic beacon on bottom,海底聲標,,2017-08-08
3230135,acoustic bearing,音波方位,,2017-08-08
3230136,acoustic doppler current profiler{=ADCP},都卜勒流剖儀,,2017-08-08
3230137,acoustic holography system,聲波全像系統,,2017-08-08
3230138,acoustic positioning,聲波定位,,2017-08-08
3230139,acoustic positioning system,聲波定位系統,,2017-08-08
3230140,acoustic responder,聲波應答器,,2017-08-08
3230141,acoustic water level,聲波水位計,,2017-08-08
3230142,actinic light,感光燈,,2017-08-08
3230143,actinograph,自記曝光計;光能測定儀,,2017-08-08
3230144,actinometer,測光計,,2017-08-08
3230145,active radar calibrator,主動雷達校準器,,2017-08-08
3230146,active remote sensing,主動式遙感探測,,2017-08-08
3230147,active satellite,現用衛星,,2017-08-08
3230148,actual error,實際誤差,,2017-08-08
3230149,adaptation level,適應水準,,2017-08-08
3230150,ADCP{=acoustic doppler current profiler},都卜勒流剖儀,,2017-08-08
3230151,addition constant,加常數,,2017-08-08
3230152,additive color mixing,加色混合,,2017-08-08
3230153,additive process,加色法,,2017-08-08
3230154,adhesive binding,膠裝,,2017-08-08
3230155,adhesive tester,附著力測試儀,,2017-08-08
3230156,adit,橫坑,,2017-08-08
3230157,adit planimetric map,坑道平面圖,,2017-08-08
3230158,adit prospecting engineering survey,坑探工程測量,,2017-08-08
3230159,adjacent flight line,相鄰航線,,2017-08-08
3230160,adjacent map,鄰接圖幅,,2017-08-08
3230161,adjacent model,相鄰模型,,2017-08-08
3230162,adjustable eyepiece,可調目鏡,,2017-08-08
3230163,adjustable legs,伸縮式腳架,,2017-08-08
3230164,adjustable mount,可調基座,,2017-08-08
3230165,adjusted angle,改正角,,2017-08-08
3230166,adjusted elevation,平差高程,,2017-08-08
3230167,adjusted position,平差位置,,2017-08-08
3230168,adjusted quantity,平差值,,2017-08-08
3230169,adjusted value,平差值,,2017-08-08
3230170,adjustment in groups,分組平差,,2017-08-08
3230171,adjustment in one case,整體平差,,2017-08-08
3230172,adjustment of astro-geodetic network,天文大地網平差,,2017-08-08
3230173,adjustment of conditional observation,條件觀測平差,,2017-08-08
3230174,adjustment of correlated observation,相關觀測平差,,2017-08-08
3230175,adjustment of direct observation,直接觀測平差,,2017-08-08
3230176,adjustment of indirect observation,間接觀測平差,,2017-08-08
3230177,adjustment of leveling circuit,水準路線平差,,2017-08-08
3230178,adjustment of observations,觀測值平差,,2017-08-08
3230179,adjustment using minimal constraints,最小約制平差,,2017-08-08
3230180,administrative map,行政區劃圖,,2017-08-08
3230181,advance heading,導坑,,2017-08-08
3230182,aerial camera,航空攝影機,,2017-08-08
3230183,aerial camera cone,航空攝影機鏡筒,,2017-08-08
3230184,aerial camera mount,航空攝影機座架,,2017-08-08
3230185,aerial cartography,航空攝影測量製圖;航測製圖,,2017-08-08
3230186,aerial mapping,航空攝影測量製圖;航測製圖,,2017-08-08
3230187,aerial mapping camera,航測製圖攝影機,,2017-08-08
