ID,英文名稱,中文名稱,圖片,更新日期
11571971,3D{three dimension},三維,,2020-12-03
11571972,A horizon,A層；表土層,,2020-12-03
11571973,AAG{Association of American Geographers},美國地理學家協會,,2020-12-03
11571974,abiogenic landscape,非生物景觀,,2020-12-03
11571975,ablation,消融,,2020-12-03
11571976,aborigines,原住民,,2020-12-03
11571977,abrasion,磨蝕[作用],,2020-12-03
11571978,abrasion platform,海蝕平台,,2020-12-03
11571979,abrupt change of climate,氣候突變,,2020-12-03
11571980,absolute age of soil,土壤絕對年齡,,2020-12-03
11571981,absolute distance,絕對距離,,2020-12-03
11571982,absolute geographical space,絕對地理空間,,2020-12-03
11571983,absolute location,絕對位置,,2020-12-03
11571984,absolute sea level change,絕對海[平]面變化,,2020-12-03
11571985,absorption,吸收[作用],,2020-12-03
11571986,absorptivity,吸收率,,2020-12-03
11571987,abyssal deep,海淵,,2020-12-03
11571988,abyssal plain,深海平原,,2020-12-03
11571989,academic geography,學術地理學,,2020-12-03
11571990,accelerated erosion,加速侵蝕,,2020-12-03
11571991,accelerated eutrophication,加速優養化,,2020-12-03
11571992,acceptable erosion,允許侵蝕量,,2020-12-03
11571993,access control,資料分發；存取控制,,2020-12-03
11571994,accessibility,易達性；可達性,,2020-12-03
11571995,accessibility index,易達性指數；可達性指數,,2020-12-03
11571996,acclimatization,氣候適應；生物馴化,,2020-12-03
11571997,accompanied effect,共伴效應　,,2020-12-03
11571998,acculturation,涵化,,2020-12-03
11571999,accumulated temperature,積溫,,2020-12-03
11572000,acid rain,酸雨,,2020-12-03
11572001,acid soil,酸性土,,2020-12-03
11572002,acid sulphate soil,酸性硫酸鹽土,,2020-12-03
11572003,acrisol,澱積土,,2020-12-03
11572004,action space,行動空間,,2020-12-03
11572005,active dispersal,主動散布,,2020-12-03
11572006,active layer,活動層,,2020-12-03
11572007,active remote sensing,主動式遙測,,2020-12-03
11572008,active tectonics,活動構造[作用],,2020-12-03
11572009,active volcano,活火山,,2020-12-03
11572010,activity allocation model,活動分派模式,,2020-12-03
11572011,activity diaries survey,行為日誌調查,,2020-12-03
11572012,activity space,活動空間,,2020-12-03
11572013,actor,行動者,,2020-12-03
11572014,adaptation,調適；適應,,2020-12-03
11572015,adaptive radiation,適應性擴張,,2020-12-03
11572016,ADB{Asian Development Bank},亞洲開發銀行,,2020-12-03
11572017,address geo-coding,地址編碼,,2020-12-03
11572018,address matching,地址對位,,2020-12-03
11572019,adiabatic cooling,絕熱冷卻,,2020-12-03
11572020,administrative boundary,行政界線,,2020-12-03
11572021,administrative geography,行政地理學,,2020-12-03
11572022,administrative principle,行政原則,,2020-12-03
11572023,administrative region,行政區,,2020-12-03
11572024,adoption curves,採用曲線,,2020-12-03
11572025,adret,向陽坡,,2020-12-03
11572026,adsorption,吸附[作用],,2020-12-03
11572027,advanced capitalism,先進資本主義,,2020-12-03
11572028,advanced economies,已開發經濟體　,,2020-12-03
11572029,adventure tourism,探險旅遊,,2020-12-03
11572030,aeolian deposit,風成堆積物；風積物,,2020-12-03
11572031,aeolian deposition,風成堆積,,2020-12-03
11572032,aeolian dune,[風成]沙丘,,2020-12-03
11572033,aeolian landform,風成地形,,2020-12-03
11572034,aeolian sand,風成沙,,2020-12-03
11572035,aeolian sandy soil,風沙土,,2020-12-03
11572036,aeolian soil,風積土,,2020-12-03
11572037,aeration zone,飽和氣帶,,2020-12-03
11572038,aerial migratory elements,氣遷移元素,,2020-12-03
11572039,aerial photographs,航空照片；像片基本圖,,2020-12-03
11572040,aerial remote sensing,空載遙測,,2020-12-03
11572041,aeroclimatology,高空氣候學,,2020-12-03
11572042,aeronautical chart,航空圖,,2020-12-03
11572043,aeronautical climatology,航空氣候學,,2020-12-03
11572044,aestivation,夏蟄,,2020-12-03
11572045,afforestation,[荒地]造林,,2020-12-03
11572046,Afro-Asiatic languages,亞非語系　,,2020-12-03
11572047,AFTA{ASEAN Free Trade Agreement},東協自由貿易協定,,2020-12-03
11572048,age and sex structure,年齡與性別結構,,2020-12-03
11572049,agency,行動者,,2020-12-03
11572050,agent,外營力,,2020-12-03
11572051,agglomeration,聚集[作用]；集塊[作用],,2020-12-03
11572052,agglomeration economy,聚集經濟　,,2020-12-03
11572053,aggradation,積夷；加積作用,,2020-12-03
11572054,aging society,高齡化社會　,,2020-12-03
11572055,Agreement on Technical Barrier to Trade,技術性貿易障礙協定,,2020-12-03
11572056,agribusiness,農企業,,2020-12-03
11572057,agricultural atlas,農業地圖集,,2020-12-03
11572058,agricultural density,農業密度,,2020-12-03
11572059,agricultural ecological system,農業生態系,,2020-12-03
11572060,agricultural economics,農業經濟學,,2020-12-03
11572061,agricultural geography,農業地理學,,2020-12-03
11572062,agricultural hearths,農業發源地,,2020-12-03
11572063,agricultural hydrology,農業水文學,,2020-12-03
11572064,agricultural industrialization,農業工業化,,2020-12-03
11572065,agricultural location,農業區位,,2020-12-03
11572066,agricultural location theory,農業區位論,,2020-12-03
11572067,agricultural potential productivity,農業生產潛力,,2020-12-03
11572068,agricultural region,農業區,,2020-12-03
11572069,agricultural regionalization,農業區劃,,2020-12-03
11572070,agricultural remote sensing,農業遙[感探]測,,2020-12-03
11572071,agricultural revolution,農業革命,,2020-12-03
11572072,agricultural systems,農業系統 ,,2020-12-03
11572073,agricultural town,農業市鎮,,2020-12-03
11572074,agricultural transformation,農業轉型,,2020-12-03
11572075,agricultural zone,農業區{帶},,2020-12-03
11572076,agriculture,農業,,2020-12-03
11572077,agriculture enterprization,農業企業化,,2020-12-03
11572078,agriculture location model,農業區位模式,,2020-12-03
11572079,agriculture specialization,農業專業化,,2020-12-03
11572080,agri-technologies industry,農業科技產業,,2020-12-03
11572081,agritourism,農業觀光,,2020-12-03
11572082,agroclimatology,農業氣候學,,2020-12-03
11572083,agro-commodity production system,農業商品生產體系,,2020-12-03
11572084,agro-food system,農糧體系,,2020-12-03
11572085,agronomy,農藝學,,2020-12-03
11572086,AGS{American Geographical Society},美國地理學會,,2020-12-03
11572087,air mass,氣團,,2020-12-03
11572088,air pollution,空氣污染,,2020-12-03
11572089,air pressure,氣壓,,2020-12-03
11572090,air temperature,大氣溫度　,,2020-12-03
11572091,air transport,航空運輸,,2020-12-03
11572092,air transport hub,航空樞紐,,2020-12-03
11572093,air-land interaction,陸-氣交互作用,,2020-12-03
11572094,air-sea interaction,海-氣交互作用,,2020-12-03
11572095,albedo,反照率,,2020-12-03
11572096,alfisol,淋溶土,,2020-12-03
11572097,algorithm,演算法,,2020-12-03
11572098,alisol,高活性強酸土,,2020-12-03
11572099,alkaline soil,鹼性土,,2020-12-03
11572100,allitization,鋁鐵土化,,2020-12-03
11572101,allocation of agriculture,農業分派,,2020-12-03
11572102,allocation of commercial network,商業網絡分派,,2020-12-03
11572103,allocation of communication and transportation,通訊與運輸分派; 交通分派,,2020-12-03
11572104,allocation of crops,作物分派,,2020-12-03
11572105,allocation of productive forces,生產力分派,,2020-12-03
11572106,allocative processes,分派性歷程,,2020-12-03
11572107,allocative resource,分派性資源,,2020-12-03
11572108,allopatric speciation,異域種化,,2020-12-03
11572109,alluvial fan,沖積扇,,2020-12-03
11572110,alluvial plain,沖積平原,,2020-12-03
11572111,alluvial soil,沖積土,,2020-12-03
11572112,alluvium,沖積層,,2020-12-03
11572113,Alonso model,阿隆索[競租]模式,,2020-12-03
11572114,alpha-diversity,α多樣性,,2020-12-03
11572115,alpine belt,高山帶,,2020-12-03
11572116,alpine faunal group,高山動物群,,2020-12-03
11572117,alpine frost desert soil,高山凍漠土,,2020-12-03
11572118,alpine frost soil,高山凍土,,2020-12-03
11572119,alpine glacier,高山冰河,,2020-12-03
11572120,alpine krummholz,高山矮曲林,,2020-12-03
11572121,alpine lake,高山湖,,2020-12-03
11572122,alpine meadow soil,高山草原土,,2020-12-03
11572123,Alpine orogeny,阿爾卑斯[造山]運動,,2020-12-03
11572124,alpine permafrost,高山永凍土,,2020-12-03
11572125,alpine soil,高山土,,2020-12-03
11572126,alpine steppe soil,高山草原土,,2020-12-03
11572127,alpine tundra,高山苔原,,2020-12-03
11572128,Altaic languages,阿爾泰語系　,,2020-12-03
11572129,alternative energy,替代能源,,2020-12-03
11572130,alternative tourism,另類旅遊,,2020-12-03
11572131,altitude,海拔；高度,,2020-12-03
11572132,altitudinal belt,垂直分帶,,2020-12-03
11572133,altitudinal belt of vegetation,植被垂直分帶,,2020-12-03
11572134,altitudinal zonality,垂直成帶性,,2020-12-03
11572135,amalgamation theory,融合論,,2020-12-03
11572136,American depository receipt,美國存托憑證,,2020-12-03
11572137,American Geographical Society{=AGS},美國地理學會,,2020-12-03
11572138,anaerobic digestion,厭氧分解,,2020-12-03
11572139,anaglyphic stereoscopic map,互補色立體地圖,,2020-12-03
11572140,analog,類比,,2020-12-03
11572141,analogue,類比,,2020-12-03
11572142,analogue model,類比模式,,2020-12-03
11572143,ancient aeolian soil,古風成土,,2020-12-03
11572144,ancient map,古地圖,,2020-12-03
11572145,ancient sand dune,古沙丘,,2020-12-03
11572146,Andean Group,安地諾集團　,,2020-12-03
11572147,andisol,火山灰土,,2020-12-03
11572148,angle of gradient,坡角,,2020-12-03
11572149,animal distribution area,動物分布區,,2020-12-03
11572150,animal husbandry in agriculture regions,農區畜牧業,,2020-12-03
11572151,animation map,動畫地圖,,2020-12-03
11572152,animism,泛靈論,,2020-12-03
11572153,Annales School,年鑑學派,,2020-12-03
11572154,annual normal runoff,年正常徑流,,2020-12-03
11572155,annual precipitation,年雨量　,,2020-12-03
11572156,annual range of temperature,年溫差　,,2020-12-03
11572157,anomalies,距平；異常,,2020-12-03
11572158,anomie,社會紊亂；道德頹廢,,2020-12-03
11572159,antarctic circle,南極圈,,2020-12-03
11572160,Antarctic realm,南極洲界[測量]；南極界[動物],,2020-12-03
11572161,antecedent boundaries,先成邊界,,2020-12-03
11572162,antecedent river,先成河,,2020-12-03
11572163,anthropochory,人為散佈,,2020-12-03
11572164,anthropogenic soil,人為土壤,,2020-12-03
11572165,anthropogeography,人類地理學,,2020-12-03
11572166,Anthrosol,人為土,,2020-12-03
11572167,anticline,背斜[構造]　,,2020-12-03
11572168,anticyclone,反氣旋,,2020-12-03
11572169,anticyclone,反氣旋,,2020-12-03
11572170,antidumping duties,反傾銷稅　,,2020-12-03
11572171,anti-globalization,反全球化　,,2020-12-03
11572172,antipode,對蹠,,2020-12-03
11572173,antique tourism,仿古旅遊,,2020-12-03
11572174,anti-tourism,逆向旅遊；逆勢觀光,,2020-12-03
11572175,apartheid,種族隔離,,2020-12-03
11572176,APEC {Asia-Pacific Economic Cooperation},亞太經濟合作,,2020-12-03
11572177,application schema,應用綱要,,2020-12-03
11572178,applied cartography,應用地圖學,,2020-12-03
11572179,applied climatology,應用氣候學,,2020-12-03
11572180,applied geography,應用地理學,,2020-12-03
11572181,applied geomorphology,應用地形學,,2020-12-03
11572182,applied physical geography,應用自然地理學,,2020-12-03
11572183,aquaculture,水產養殖,,2020-12-03
11572184,aquaculture fishery,水產養殖業,,2020-12-03
11572185,aquatic ecosystem,水生生態系,,2020-12-03
11572186,aquatic faunal group on the land,陸域水生動物群,,2020-12-03
11572187,aqueous migratory elements,水遷移元素,,2020-12-03
11572188,aquifer,含水層,,2020-12-03
11572189,arable land,可耕地,,2020-12-03
11572190,arc,線段{GIS},,2020-12-03
11572191,archipelago,群島,,2020-12-03
11572192,archipelago state,群島國,,2020-12-03
11572193,arc-node topology,線段-節點位相,,2020-12-03
11572194,arctic,北極,,2020-12-03
11572195,arctic circle,北極圈,,2020-12-03
11572196,Arctic haze,北極霾,,2020-12-03
11572197,arctic tundra,極地苔原,,2020-12-03
11572198,area,地區，地域,,2020-12-03
11572199,area analysis tradition,地域分析傳統；區域傳統,,2020-12-03
11572200,area of survival archaic language,古語遺留區,,2020-12-03
11572201,area studies tradition,區域{地域}研究傳統,,2020-12-03
11572202,areal center,地區中心,,2020-12-03
11572203,areal combination of ports,港口地域群體,,2020-12-03
