ID,英文名稱,中文名稱,圖片,更新日期
199215,pseudo-kaliophilite,假鉀霞石,,2012-11-26
208293,pseudoisometric crystal,假等軸晶體,,2012-11-26
208295,pseudoisometric,假等軸狀,,2012-11-26
208297,pseudointerarea,雙假尖合面〔無關節綱專用〕,,2012-11-26
208300,pseudohexagonal twin,假六方雙晶,,2012-11-26
208303,pseudohexagonal crystal,假六方晶體,,2012-11-26
208306,pseudogradational bedding,假分級層理,,2012-11-26
208309,pseudogley,堅壤土,,2012-11-26
208310,Pseudogastrioceras,假腹稜角石,,2012-11-26
208312,pseudofossil,偽化石,,2012-11-26
208314,pseudofibrous peat,假纖維泥煤,,2012-11-26
208316,pseudoeutectic textures,假共結結構,,2012-11-26
208320,Pseudodoliolina,假瓜形【虫+筵】,,2012-11-26
208322,pseudodeltidium,假三角板,,2012-11-26
208325,Pseudocytherura,假金星介,,2012-11-26
208328,Pseudocycas(cycadites),假蘇鐵葉,,2012-11-26
208329,Pseudoctenis,假櫛羽葉,,2012-11-26
208333,Pseudocrystal,假晶,,2012-11-26
208334,pseudocreodi,假古肉食附目,,2012-11-26
208336,Pseudocoumella,假中軸,,2012-11-26
208337,Pseudocotunnite,假氯鉛礦,,2012-11-26
208340,pseudo-conglomerate,假礫岩,,2012-11-26
208341,pseudocolumella,假中軸,,2012-11-26
208343,pseudo-col,假山口,,2012-11-26
208346,pseudochitin,假幾丁質,,2012-11-26
208352,Pseudoceratites,假菊面石；假鋸菊石,,2012-11-26
208353,pseudobrookite,鐵板鈦礦,,2012-11-26
208355,pseudobreccia,假角礫岩,,2012-11-26
208357,Pseudo-bombs,岩漿彈,,2012-11-26
208359,pseudoboleite,銅氯鉛礦,,2012-11-26
208360,pseudoapatite,假磷灰石,,2012-11-26
208363,Pseudoamplenno,仮包珊瑚,,2012-11-26
208365,pseudoallochem,假生化堆積物,,2012-11-26
208366,pseudoalbite,假鈉長石,,2012-11-26
208369,pseudo slickensides,假擦痕,,2012-11-26
208371,pseudo ripple mark,假波痕,,2012-11-26
208372,pseudo mountain,假蝕山,,2012-11-26
208377,pseudo crossbedding,假交錯層,,2012-11-26
208378,pseudo cannel coal,假燭煤,,2012-11-26
208380,pseudo-,假一,,2012-11-26
208382,Pseudasaphus,假櫛蟲,,2012-11-26
208384,Pseudamplexus,假包珊瑚,,2012-11-26
208386,Pseudagnostus,假球接子,,2012-11-26
208388,psephyte,礫質岩,,2012-11-26
208390,psephitic,礫狀,,2012-11-26
208392,psephite,礫質岩,,2012-11-26
208394,psephicity,硬圓度,,2012-11-26
208395,Psaronius,輝木,,2012-11-26
208397,psammyte(psammite),砂質岩,,2012-11-26
208398,psammitic-gneiss,砂屑片麻岩,,2012-11-26
208400,psammitic,砂質的,,2012-11-26
208402,psammite,砂屑岩,,2012-11-26
208404,przibramite,鎘閃鋅礦；絹針鐵礦,,2012-11-26
208405,proximate analysis,實用分析,,2012-11-26
208408,proximate admixture,近似混合物,,2012-11-26
208411,proximal,近岸的；尾端的,,2012-11-26
208413,prowersite,正長雲煌岩,,2012-11-26
208414,province,區；省,,2012-11-26
208416,provenience,來源地,,2012-11-26
208417,provenance,來源地,,2012-11-26
208419,proved ore,證實礦量；確實礦量,,2012-11-26
208421,proustite,淡紅銀礦,,2012-11-26
208423,protype,完型,,2012-11-26
208424,protrusion,突出構造；硬體侵入,,2012-11-26
208427,Protrocheata,原氣管亞綱,,2012-11-26
208429,Protremata,前穴目；前孔目,,2012-11-26
208431,protractor,量角規,,2012-11-26
208434,protozone,原生動物學,,2012-11-26
208436,Protozoa,原生動物,,2012-11-26
208438,prototype,原型,,2012-11-26
208440,Prototheria,原獸亞綱,,2012-11-26
208442,Protosuchus,原鱷,,2012-11-26
208443,Protosuchia,原鱷目,,2012-11-26
208445,Protostomia,原口動物,,2012-11-26
208448,protostele,原生中柱,,2012-11-26
208451,Protospongia,原始海綿,,2012-11-26
208452,Protorthoptera,古直翅目,,2012-11-26
208454,Protorosaurus,原龍,,2012-11-26
208457,Protorosauria,原龍類；前嘴龍目目,,2012-11-26
208459,protore,礦胎；胚胎礦,,2012-11-26
208461,protoquartzite,原石英岩,,2012-11-26
208463,protopyramid,原錐,,2012-11-26
208465,Protopteridium,原始蕨,,2012-11-26
208467,Protopteridiales,原始蕨類植物,,2012-11-26
208468,protophyte,原生植物,,2012-11-26
