ID,英文名稱,中文名稱,圖片,所在國,經緯坐標,備註,更新日期
3015988,Teronoh,端洛,,馬來西亞,4° 25′ N 100° 59′ E,,2017-06-09
3015989,Terowie,特勞伊,,澳大利亞,33° 10′ S 138° 54′ E,,2017-06-09
3015990,"Terpeniya, Zaliv",帖爾佩尼雅灣,,俄羅斯,48° 51′ N 143° 40′ E,,2017-06-09
3015991,Terra Nova,特拉諾瓦,,加拿大,48° 29′ N 54° 12′ W,,2017-06-09
3015992,Terra Santa,特拉桑塔,,巴西,2° 06′ S 56° 29′ W,,2017-06-09
3015993,Terrace Bay,特勒斯貝,,加拿大,48° 48′ N 87° 06′ W,,2017-06-09
3015994,Terracina,泰拉契納,,義大利,41° 17′ N 13° 15′ E,,2017-06-09
3015995,Terrazas,特拉薩斯,,墨西哥,27° 59′ N 106° 05′ W,,2017-06-09
3015996,Terre Haute,特勒荷特,,美國,40° 26′ N 93° 14′ W,,2017-06-09
3015997,Terrebonne,特赫波恩,,加拿大,45° 42′ N 73° 38′ W,,2017-06-09
3015998,Terrebonne B.,特勒波恩灣,,美國,29° 08′ N 90° 33′ W,,2017-06-09
3015999,Terrell,特勒爾,,美國,32° 44′ N 96° 16′ W,,2017-06-09
3016000,Terrell Hill,特勒爾丘,,美國,29° 28′ N 98° 27′ W,,2017-06-09
3016001,Terror Mt.,特羅爾山,,{南極洲},77° 31′ S 168° 32′ E,,2017-06-09
3016002,Terry,特里,,美國,32° 05′ N 90° 17′ W,,2017-06-09
3016003,Terryville,特里維,,美國,41° 40′ N 73° 00′ W,,2017-06-09
3016004,Terschelling,泰爾斯海陵島,,荷蘭,53° 24′ N 5° 22′ E,,2017-06-09
3016005,"Terschelling, Duinen",泰斯海林沙丘,,荷蘭,53°24′N5°22′E,,2017-06-09
3016006,Teruel,特魯埃爾,,西班牙,40° 21′ N 1° 06′ W,,2017-06-09
3016007,Tervala,泰爾瓦拉,,芬蘭,61° 58′ N 25° 10′ E,,2017-06-09
3016008,Tervuren,特爾非倫,,比利時,50° 49′ N 4° 31′ E,,2017-06-09
3016009,Tesanj,泰沙尼,,波赫,44° 37′ N 17° 59′ E,,2017-06-09
3016010,Teschendorf,特森道夫,,德國,53° 27′ N 13° 21′ E,,2017-06-09
3016011,Teshekpuk L.,特榭普克湖,,美國,70° 35′ N 153° 34′ W,,2017-06-09
3016012,Teshikaga,弟子屈,,日本,43° 29′ N 144° 27′ E,,2017-06-09
3016013,Teshio,天鹽,,日本,44° 53′ N 141° 44′ E,,2017-06-09
3016014,Teshio-dake,天盬岳,,日本,43° 58′ N 142° 54′ E,,2017-06-09
3016015,Teslin,特斯林,,加拿大,60° 09′ N 132° 43′ W,,2017-06-09
3016016,Teslin L.,特斯林湖,,加拿大,60° 14′ N 132° 58′ W,,2017-06-09
3016017,Teslin R.,特斯林河,,加拿大,61° 34′ N 134° 54′ W,,2017-06-09
3016018,Tessaoua,泰薩瓦,,尼日,13° 45′ N 7° 59′ E,,2017-06-09
3016019,Tessenderlo,泰森德洛,,比利時,51° 04′ N 5° 05′ E,,2017-06-09
3016020,"Test, R",泰斯特河,,英國,50° 56′ N 1° 28′ W,,2017-06-09
3016021,"Testa, Capo",泰斯塔岬,,義大利,41° 14′ N 9° 08′ E,,2017-06-09
3016022,Tetachuck L.,泰特查克湖,,加拿大,53° 19′ N 125° 50′ W,,2017-06-09
3016023,Tete,台特,,莫三比克,16° 09′ S 33° 35′ E,,2017-06-09
3016024,Teteriv (Teterev),帖帖里夫河,,烏克蘭,51° 02′ N 30° 18′ E,,2017-06-09
3016025,Teterow,泰特羅,,德國,53° 47′ N 12° 35′ E,,2017-06-09
3016026,Teteven,泰特文,,比利時,42° 55′ N 24° 16′ E,,2017-06-09
3016027,Teton Ra.,提頓嶺,,美國,43° 45′ N 110° 53′ W,,2017-06-09
3016028,Tetouan (Tetuan),德土安,,摩洛哥,35° 34′ N 5° 22′ W,,2017-06-09
3016029,Tetovo,特托伏,,北馬其頓,42° 01′ N 20° 58′ E,,2019-03-25
3016030,Tetyukhe-Pristan (Rudnaya Pristan),帖秋黑普里斯坦(魯德納雅普里斯坦),,俄羅斯,44° 21′ N 135° 49′ E,,2017-06-09
3016031,Tetyushi,帖秋希,,俄羅斯,54° 34′ N 46° 02′ E,,2017-06-09
3016032,Teulada,特烏拉達,,義大利,38° 58′ N 8° 46′ E,,2017-06-09
3016033,"Teulada, Capo",特烏拉達角,,義大利,38° 52′ N 8° 38′ E,,2017-06-09
3016034,Teupitz,托伊匹次,,德國,52° 08′ N 13° 37′ E,,2017-06-09
3016035,Teuri-to,天賣島,,日本,44° 25′ N 141° 19′ E,,2017-06-09
3016036,Teutoburger Wald,托伊托堡林山,,德國,51° 58′ N 8° 38′ E,,2017-06-09
3016037,Teuva,泰烏瓦,,芬蘭,62° 29′ N 21° 44′ E,,2017-06-09
3016038,"Tevere, Fiume (Tiber R.)",台瓦拉河(台伯河),,義大利,41° 44′ N 12° 14′ E,,2017-06-09
3016039,"Teviot, R.",提維厄特河,,英國,55° 35′ N 2° 26′ W,,2017-06-09
3016040,Tevriz,帖夫里茲,,俄羅斯,57° 31′ N 72° 24′ E,,2017-06-09
3016041,Tewkesbury,圖克斯柏立,,英國,51° 59′ N 2° 09′ W,,2017-06-09
3016042,Texada I.,特克薩達島,,加拿大,49° 39′ N 124° 24′ W,,2017-06-09
3016043,Texarkana,特克薩卡納,,美國,33° 25′ N 94° 02′ W,,2017-06-09
3016044,Texas City,德克薩斯城,,美國,29° 24′ N 94° 54′ W,,2017-06-09
3016045,"Texas, State of",德克薩斯州,,美國,31° 58′ N 99° 14′ W,,2017-06-09
3016046,Texcaltitlan,特斯卡提特蘭,,墨西哥,18° 54′ N 99° 55′ W,,2017-06-09
3016047,Texcoco,特斯科科,,墨西哥,19° 31′ N 98° 53′ W,,2017-06-09
3016048,Texel (Tessel),泰瑟爾島,,荷蘭,53° 05′ N 4° 50′ E,,2017-06-09
3016049,"Texel, Duinen",泰瑟爾沙丘,,荷蘭　,53°08′N4°48′E,,2017-06-09
3016050,Texistepec,特希斯特佩克,,墨西哥,17° 54′ N 94° 49′ W,,2017-06-09
3016051,Texmelucan,特斯美魯坎,,墨西哥,19° 17′ N 98° 26′ W,,2017-06-09
3016052,"Texoma, L.",德克索馬湖,,美國,33° 49′ N 96° 34′ W,,2017-06-09
3016053,Tezpur,提斯浦,,印度,26° 38′ N 92° 48′ E,,2017-06-09
3016054,Tha Uthen (Mueang Tha Uthen),他吁廷[縣],,泰國,17° 35′ N 104° 36′ E,,2017-06-09
3016055,Tha-anne R.,塔安尼河,,加拿大,60° 31′ N 94° 37′ W,,2017-06-09
3016056,Thabana Ntlenyana,塔巴納恩特倫雅納山,,賴索托,29° 28′ S 29° 16′ E,,2017-06-09
3016057,Thabazimbi,塔巴津比,,南非,24° 36′ S 27° 25′ E,,2017-06-09
3016058,"Thabor, Mont",塔波山,,法國,45° 07′ N 6° 34′ E,,2017-06-09
3016059,Thadiq,塔地克,,沙烏地阿拉伯,25° 17′ N 45° 52′ E,,2017-06-09
3016060,Kingdom of Thailand,泰王國{=泰國},,{亞洲},,20190425修訂,2019-04-25
3016061,"Thailand, G. of (Siam, G. of)",泰國灣(暹羅灣),,{亞洲},10° 00′ N 102° 00′ E,,2017-06-09
3016062,Thakhek,他曲,,寮國,17° 24′ N 104° 48′ E,,2017-06-09
3016063,Thal,塔爾,,巴基斯坦,33° 22′ N 70° 33′ E,,2017-06-09
3016064,Thal (Thalkirch),塔爾[基希],,瑞士,46° 38′ N 9° 17′ E,,2017-06-09
3016065,Thala (Talah ),塔拉,,突尼西亞,35° 34′ N 8° 40′ E,,2017-06-09
3016066,"Thaleb, Bir",塔列布井,,茅利塔尼亞,21° 26′ N 12° 25′ W,,2017-06-09
