ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
3605949,"Abbe, Ernst Karl",阿貝,,物理,,2018-11-20
3605950,"Alt, Bernhard",阿爾特,,音樂,,2018-11-20
3605951,"Alzheimer, Alois",阿滋海默,,生命科學,,2018-11-20
3605952,"Arne, Michael",阿爾內,,音樂,,2018-11-20
3605953,"Back, Ernst Emil Alexander",巴柯,,物理,,2018-11-20
3605954,"Baermann, Carl Ludwig Wilhelm",貝爾曼，卡爾,,音樂,,2018-11-20
3605955,"Baermann, Heinrich Joseph",貝爾曼，海因利希,,音樂,,2018-11-20
3605956,"Balbulus, Notker",巴布魯斯,,音樂,,2018-11-20
3605957,"Balling, Michael Josef",巴陵,,音樂,,2018-11-20
3605958,"Balmer, Johann Jakob",巴爾默,,化學,,2018-11-20
3605959,"Balmer, Johann Jakob",巴爾默,,物理,,2018-11-20
3605960,"Bamberger, Carl",巴姆貝爾格,,音樂,,2018-11-20
3605961,"Bargiel, Woldemar",巴吉爾,,音樂,,2018-11-20
3605962,"Bargmann, Valentine",巴柯曼,,物理,,2018-11-20
3605963,"Barkhausen, Heinrich Georg",巴柯郝仁,,物理,,2018-11-20
3605964,"Barth, Hans",巴爾特，漢斯,,音樂,,2018-11-20
3605965,"Barth, Richard",巴爾特，理查,,音樂,,2018-11-20
3605966,"Barylli, Walter",巴瑞里,,音樂,,2018-11-20
3605967,"Batka, Richard",巴特卡,,音樂,,2018-11-20
3605968,"Baumann, Hermann",鮑曼,,音樂,,2018-11-20
3605969,"Baur, Jürg",鮑爾,,音樂,,2018-11-20
3605970,"Bauschinger, Johann",鮑荀額,,物理,,2018-11-20
3605971,"Beck, Conrad",貝柯，孔拉德,,音樂,,2018-11-20
3605972,"Beck, Franz Ignaz",貝柯，法蘭茲,,音樂,,2018-11-20
3605973,"Beck, Hermann",貝柯，赫爾曼,,音樂,,2018-11-20
3605974,"Beck, Karl",貝柯，卡爾,,音樂,,2018-11-20
3605975,"Becker, Günther Hugo",貝可爾，君特,,音樂,,2018-11-20
3605976,"Becker, Hugo",貝可爾，忽苟,,音樂,,2018-11-20
3605977,"Becker, Reinhold",貝可爾，萊因厚爾特,,音樂,,2018-11-20
3605978,"Beer, August",貝爾,,物理,,2018-11-20
3605979,"Behrens, Hildegard",貝倫斯,,音樂,,2018-11-20
3605980,"Behrens, Peter",貝倫斯,,物理,,2018-11-20
3605981,"Beier, Franz",拜爾,,音樂,,2018-11-20
3605982,"Belcke, Christian Gottlieb",貝爾可，克里斯提安,,音樂,,2018-11-20
3605983,"Belcke, Friedrich August",貝爾可，弗里德里希,,音樂,,2018-11-20
3605984,"Bender, Paul",班德爾,,音樂,,2018-11-20
3605985,"Berg, Alban Maria Johannes",貝爾柯，阿爾班,,音樂,,2018-11-20
3605986,"Berger, Carl Ludwig Heinrich",貝爾格，卡爾,,音樂,,2018-11-20
3605987,"Berger, Erna",貝爾格，艾娜,,音樂,,2018-11-20
3605988,"Berger, Theodor",貝爾格，特歐多,,音樂,,2018-11-20
3605989,"Bergmann, Carl",貝爾柯曼，卡爾,,音樂,,2018-11-20
3605990,"Bergmann, Ernst David",貝爾柯曼,,化學,,2018-11-20
3605991,"Beringer, Oscar",貝林額,,音樂,,2018-11-20
3605992,"Berry, Walter",貝呂，瓦特,,音樂,,2018-11-20
3605993,"Berté, Heinrich",貝爾貼,,音樂,,2018-11-20
3605994,"Bessel, Friedrich Wilhelm",貝瑟爾,,物理,,2018-11-20
3605995,"Bethe, Hans Albrecht",貝特,,物理,,2018-11-20
3605996,"Betz, Franz",貝慈,,音樂,,2018-11-20
3605997,"Beyer, Ferdinand",拜爾,,音樂,,2018-11-20
3605998,"Beyschlag, Adolf",拜許拉柯,,音樂,,2018-11-20
3605999,"Bibl, Rudolf",畢伯,,音樂,,2018-11-20
3606000,"Biehl, Albert",畢爾,,音樂,,2018-11-20
3606001,"Bittner, Julius",畢特納,,音樂,,2018-11-20
3606002,"Bizony, Celia",畢綢尼,,音樂,,2018-11-20
3606003,"Blacher, Boris",布拉何爾,,音樂,,2018-11-20
3606004,"Blasius, Heinrich Wilhelm",布拉西烏斯,,物理,,2018-11-20
3606005,"Blau, Andreas",布勞,,音樂,,2018-11-20
3606006,"Blech, Leo",布列希,,音樂,,2018-11-20
3606007,"Bloch, Felix",布洛何,,物理,,2018-11-20
3606008,"Blume, Friedrich",布路默,,音樂,,2018-11-20
3606009,"Blumenthaler, Volker",布路門塔勒,,音樂,,2018-11-20
3606010,"Bockelmann, Rudolf",博可爾曼,,音樂,,2018-11-20
3606011,"Bodanzky, Artur",博丹慈奇,,音樂,,2018-11-20
3606012,"Bode, Johann Elert",博德,,物理,,2018-11-20
3606013,"Bode, Johann Joachim Christoph",博德,,音樂,,2018-11-20
3606014,"Bodorová , Sylvie",博多洛瓦,,音樂,,2018-11-20
3606015,"Boehm(Böhm), Theobald",波姆，特歐巴爾特,,音樂,,2018-11-20
3606016,"Boehmer, Konrad",波默,,音樂,,2018-11-20
3606017,"Böhe, Ernst",波爾,,音樂,,2018-11-20
3606018,"Böhm, Georg",波姆，葛歐克,,音樂,,2018-11-20
3606019,"Böhm, Joseph",波姆，約瑟夫,,音樂,,2018-11-20
3606020,"Böhm, Karl August Leopold",波姆，卡爾,,音樂,,2018-11-20
3606021,"Böhme, Kurt",波默,,音樂,,2018-11-20
3606022,"Bohnen, Franz Michael",博能,,音樂,,2018-11-20
3606023,"Bohnke, Emil",博恩可,,音樂,,2018-11-20
3606024,"Boltzmann, Ludwig Eduard",博爾慈曼,,物理,,2018-11-20
3606025,"Borkh, Inge",博爾柯,,音樂,,2018-11-20
3606026,"Born, Max",博爾恩,,物理,,2018-11-20
3606027,"Borrmann, Gerhard",博爾曼,,物理,,2018-11-20
3606028,"Borsdorf, Friedrich Adolf",博斯朵夫,,音樂,,2018-11-20
3606029,"Borup-Jørgensen, Axel",玻魯普-尤根仁,,音樂,,2018-11-20
3606030,"Bosch, Carl",博許,,化學,,2018-11-20
3606031,"Bösendorfer, Ignaz",波仁朵佛,,音樂,,2018-11-20
3606032,"Boskovsky, Alfred",博斯寇夫斯奇，阿爾弗列特,,音樂,,2018-11-20
3606033,"Boskovsky, Willi",博斯寇夫斯奇，威利,,音樂,,2018-11-20
3606034,"Botstiber, Hugo",博特許提伯,,音樂,,2018-11-20
3606035,"Böttcher, Wilfried",波特歇爾,,音樂,,2018-11-20
3606036,"Bottenberg, Wolfgang",博騰貝爾柯,,音樂,,2018-11-20
3606037,"Brahms, Johannes",布拉姆斯,,音樂,,2018-11-20
3606038,"Brainin, Norbert",布萊寧,,音樂,,2018-11-20
3606039,"Brandt, Marianne",布朗特，瑪莉安娜,,音樂,,2018-11-20
3606040,"Braunfels, Walter",布勞恩費斯,,音樂,,2018-11-20
3606041,"Brecher, Gustav",布瑞歇爾,,音樂,,2018-11-20
3606042,"Brehme, Hans",布瑞默,,音樂,,2018-11-20
3606043,"Brendel, Alfred",布連德爾,,音樂,,2018-11-20
3606044,"Bröder, Alois",布略德,,音樂,,2018-11-20
3606045,"Brodhun, Eugen Heinrich Eduad Ernst",布洛特胡恩,,物理,,2018-11-20
3606046,"Brosig, Moritz",布洛西希,,音樂,,2018-11-20
3606047,"Bruch, Max Christian Friedrich",布路何,,音樂,,2018-11-20
3606048,"Bruckner, Anton",布路柯納,,音樂,,2018-11-20
3606049,"Brüggen, Frans",布呂根,,音樂,,2018-11-20
3606050,"Bruhns, Nicolaus",布路恩斯,,音樂,,2018-11-20
3606051,"Brüll, Ignaz",布呂爾,,音樂,,2018-11-20
3606052,"Brün, Herbert",布林,,音樂,,2018-11-20
3606053,"Buchbinder, Rudolf",布何賓德,,音樂,,2018-11-20
3606054,"Buns, Benedictus",布恩斯,,音樂,,2018-11-20
3606055,"Bunsen, Robert Wilhelm Eberhard",布恩仁,,物理,,2018-11-20
3606056,"Burgmüller, Johann Friedrich Franz",布爾柯繆勒，約翰,,音樂,,2018-11-20
3606057,"Burgmüller, Norbert",布爾柯繆勒，諾貝爾特,,音樂,,2018-11-20
3606058,"Burkhard, Paul",布爾柯哈特，保羅,,音樂,,2018-11-20
3606059,"Burkhard, Willy",布爾柯哈特，威利,,音樂,,2018-11-20
3606060,"Burmester, Willy",布爾梅斯特,,音樂,,2018-11-20
3606061,"Busch, Adolf Georg Wilhelm",布許，阿道夫,,音樂,,2018-11-20
3606062,"Busch, Fritz",布許，弗里茲,,音樂,,2018-11-20
3606063,"Butting, Max",布廷,,音樂,,2018-11-20
3606064,"Buttstett, Johann Heinrich",布特許貼特,,音樂,,2018-11-20
3606065,"Caduff, Sylvia",卡杜夫,,音樂,,2018-11-20
