ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
3603914,"Ampère, André-Maire",安培(安培爾),,物理,,2018-11-20
3603915,"Arago, François Jean Dominique",阿哈戈,,物理,,2018-11-20
3603916,"Argand, François Pierre Ami",阿岡，弗杭絲瓦,,物理,,2018-11-20
3603917,"Argand, Jean-Robert",阿岡，冉-洛貝爾,,物理,,2018-11-20
3603918,"Auger, Pierre Victor",歐傑,,物理,,2018-11-20
3603919,"Babinet, Jacques",巴比內,,物理,,2018-11-20
3603920,"Balard, Antoine Jérôme",巴拉爾,,化學,,2018-11-20
3603921,"Bayard, Hippolyte",巴亞,,物理,,2018-11-20
3603922,"Becquerel, Henri",貝克雷勒,,物理,,2018-11-20
3603923,"Bénard, Henri",貝拿爾,,物理,,2018-11-20
3603924,"Berthelot, Marcellin Pierre Eugène",貝特羅,,物理,,2018-11-20
3603925,"Bertrand, Joseph Louis François",貝特杭,,物理,,2018-11-20
3603926,"Biot, Jean-Baptiste",比歐,,物理,,2018-11-20
3603927,"Borrmann, Gerhard",博曼,,物理,,2018-11-20
3603928,"Bouguer, Pierre",布給,,物理,,2018-11-20
3603929,"Bourdon, Eugene",布東,,物理,,2018-11-20
3603930,"Boussinesq, Joseph Valentin",布西內斯克,,物理,,2018-11-20
3603931,"Boveri, Theodor Heinrich",博伏里,,生命科學,,2018-11-20
3603932,"Bravais, Auguste",布哈維,,物理,,2018-11-20
3603933,"Brillouin, Léon Nicolas",布里萬,,物理,,2018-11-20
3603934,"Brossel, Jean",布洛賽勒,,物理,,2018-11-20
3603935,"Carnot, Nicolas Léonard Sadi",卡諾,,物理,,2018-11-20
3603936,"Cartan, Élie Joseph",卡當,,物理,,2018-11-20
3603937,"Cassegrain, Laurent",卡瑟格翰,,物理,,2018-11-20
3603938,"Cauchy, Augustin-Louis",柯希,,物理,,2018-11-20
3603939,"Cavendish, Henry",卡旺地什,,化學,,2018-11-20
3603940,"Charles, Jacques Alexandre César",夏勒,,化學,,2018-11-20
3603941,"Charles, Jacques Alexandre César",夏勒,,物理,,2018-11-20
3603942,"Charpy, Georges Augustin Albert",夏皮,,物理,,2018-11-20
3603943,"De Clairaut, Alexis Claude",德‧克列洛,,物理,,2018-11-20
3603944,"Clapeyron, Benoît Paul Émile",克拉培隆,,物理,,2018-11-20
3603945,"De Coriolis, Gaspard-Gustave",德‧柯里歐利,,物理,,2018-11-20
3603946,"Cornu, Marie Alfred",柯釹,,物理,,2018-11-20
