ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
3605258,"Altarelli, Guido",阿爾塔瑞里,,物理,,2018-11-20
3605259,"Avogadro di Quaregna e di Cerreto, Lorenzo Romano Amedeo Carlo",阿沃加德柔,,物理,,2018-11-20
3605260,"Avogadro di Quaregna e di Cerreto, Lorenzo Romano Amedeo Carlo",同第2則,,化學,,2018-11-20
3605261,"Betti, Enrico",貝緹,,物理,,2018-11-20
3605262,"Bianchi, Luigi",比漾齊,,物理,,2018-11-20
3605263,"Cabibbo, Nicola",卡畢博,,物理,,2018-11-20
3605264,"Cassini, Giovanni Domenico (also known as Cassini, Giandomenico or Cassini, Jean-Dominique)",卡夕尼,,物理,,2018-11-20
3605265,"Castigliano, Carlo Alberto",卡斯緹里亞挪,,物理,,2018-11-20
3605266,"Corbino, Orso Mario",寇爾畢挪,,物理,,2018-11-20
3605267,"Corti, Alfonso Giacomo Gaspare",寇爾緹,,生命科學,,2018-11-20
3605268,"Fanno, Gino Girolamo",范挪,,物理,,2018-11-20
3605269,"Fano, Ugo",法挪,,物理,,2018-11-20
3605270,"Fermi, Enrico",費爾米,,物理,,2018-11-20
3605271,"Fibonacci, Leonardo Pisano Bigollo (also known as Leonardo of Pisa, Leonardo Pisano, Leonardo Bonacci, Leonardo Fibonacci, or, most commonly, simply Fibonacci)",菲博納齊,,物理,,2018-11-20
3605272,"Fubini, Guido",弗畢尼,,物理,,2018-11-20
3605273,"Galilei, Galileo",伽利略（加里勒歐）,,化學,,2018-11-20
3605274,"Galilei, Galileo",同第17則,,物理,,2018-11-20
3605275,"Galvani, Luigi Aloisio",加爾瓦尼,,物理,,2018-11-20
3605276,"Giorgi, Giovanni",宙爾吉,,物理,,2018-11-20
3605277,"Grimaldi, Francesco Maria",格里馬爾迪,,物理,,2018-11-20
3605278,"Levi-Civita, Tullio",勒維-契維塔,,物理,,2018-11-20
3605279,"Marconi, Guglielmo",馬爾寇尼,,物理,,2018-11-20
3605280,"Mercalli, Giuseppe",梅爾卡里,,物理,,2018-11-20
3605281,"Mossotti, Ottaviano-Fabrizio",牟梭緹,,物理,,2018-11-20
3605282,"Parisi, Giorgio",琶利吉,,物理,,2018-11-20
3605283,"Pockels, Friedrich Carl Alwin",珀科爾斯,,物理,,2018-11-20
3605284,"Racah, Giulio (Yoel)",臘卡,,物理,,2018-11-20
3605285,"Redi, Francesco",瑞迪,,生命科學,,2018-11-20
3605286,"Regge, Tullio",瑞哲,,物理,,2018-11-20
3605287,"Ricci-Curbastro, Gregorio",利齊-庫爾巴斯特柔,,物理,,2018-11-20
3605288,"Righi, Augusto",利吉,,物理,,2018-11-20
3605289,"Ronchi, Vasco",榮齊,,物理,,2018-11-20
3605290,"Rossi, Bruno Benedetto",柔席,,物理,,2018-11-20
3605291,"Segrè, Emilio Gino",瑟格瑞,,物理,,2018-11-20
3605292,"Torricelli, Evangelista",投里徹里,,物理,,2018-11-20
