ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
6961596,"Aavik, Juhan",阿維克,,音樂,,2020-03-16
6961597,"Abaco, Evaristo Felice dall'",阿巴科,,音樂,,2020-03-16
6961598,"Abba-Cornaglia, Pietro",阿巴－寇納利亞,,音樂,,2020-03-16
6961599,"Abbado, Claudio","阿巴多,克勞迪歐",,音樂,,2020-03-16
6961600,"Abbado, Marcello","阿巴多,馬切羅",,音樂,,2020-03-16
6961601,"Abbatini, Antonio Maria",阿巴悌尼,,音樂,,2020-03-16
6961602,"Abbe, Ernst Karl",阿貝,,物理,,2020-03-16
6961603,"Abbott, Emma",艾伯特,,音樂,,2020-03-16
6961604,"Abeille, Johann Christian Ludwig",阿拜勒,,音樂,,2020-03-16
6961605,"Abel, Niels Henrik","阿貝爾,尼爾斯",,物理,,2020-03-16
6961606,"Abel, Carl Friedrich","阿貝爾,卡爾",,音樂,,2020-03-16
6961607,"Abel, Leopold August","阿貝爾,里歐波德",,音樂,,2020-03-16
6961608,"Abels, Michael",艾伯斯,,音樂,,2020-03-16
6961609,"Abercrombie, Alexander",艾伯克隆比,,音樂,,2020-03-16
6961610,"Abert, Hermann",阿貝特,,音樂,,2020-03-16
6961611,"Abondante, Giulio",阿邦丹特,,音樂,,2020-03-16
6961612,"Abos, Girolamo",阿伯斯,,音樂,,2020-03-16
6961613,"Aboulker, Isabelle",阿布克,,音樂,,2020-03-16
6961614,"Abrahamsen, Hans",阿布拉韓森,,音樂,,2020-03-16
6961615,"Abram, Jacques",艾布蘭,,音樂,,2020-03-16
6961616,"Abramovitz, David    ",艾布拉莫維茨,,音樂,,2020-03-16
6961617,"Abramsky, Alexander",阿布拉姆斯基,,音樂,,2020-03-16
6961618,"Abras, Juan Manuel",阿布拉斯,,音樂,,2020-03-16
6961619,"Abravanel, Maurice",艾布拉瓦內,,音樂,,2020-03-16
6961620,"Abt, Franz",阿普特,,音樂,,2020-03-16
6961621,"Abyngdon, Henry",阿賓登,,音樂,,2020-03-16
6961622,"Accardo, Salvatore",阿卡多,,音樂,,2020-03-16
6961623,"Achterkamp, Jan",阿許特坎普,,音樂,,2020-03-16
6961624,"Achucarro, Joaquín",阿楚卡若,,音樂,,2020-03-16
6961625,"Ackermann, Otto",阿克門,,音樂,,2020-03-16
6961626,"Ackte, Aino",阿克特,,音樂,,2020-03-16
