ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
3603619,"Achucarro, Joaquín",阿丘卡若,,音樂,西班牙,2018-11-20
3603620,"Aguado, Dionisio",阿古瓜多,,音樂,西班牙,2018-11-20
3603621,"Aguirre, Julián",阿吉瑞,,音樂,阿根廷,2018-11-20
3603622,"Albéniz, Isaac",阿爾貝尼茲,,音樂,西班牙,2018-11-20
3603623,"Alemann, Eduardo",阿雷曼,,音樂,阿根廷,2018-11-20
3603624,"Allende, Pedro Humberto",阿言德,,音樂,智利,2018-11-20
3603625,"Alonso-Crespo, Eduardo",阿隆索－克瑞斯波,,音樂,阿根廷,2018-11-20
3603626,"Alsuyet, Claudio",阿爾蘇葉特,,音樂,阿根廷,2018-11-20
3603627,"Arbos, Enrique",阿爾玻斯,,音樂,西班牙,2018-11-20
3603628,"Argerich, Martha",阿爾赫里奇,,音樂,阿根廷,2018-11-20
3603629,"Arias, Luis",阿里亞斯,,音樂,阿根廷,2018-11-20
3603630,"Arrau, Claudio",阿勞,,音樂,智利,2018-11-20
3603631,"Arriaga, Juan Crisostomo",阿里亞加,,音樂,西班牙,2018-11-20
3603632,"Arronte, Aitor",阿隆特,,音樂,西班牙,2018-11-20
3603633,"Ayala-Pérez, Daniel",阿亞拉－佩瑞茲,,音樂,墨西哥,2018-11-20
3603634,"Balada, Leonardo",巴拉達,,音樂,西班牙,2018-11-20
3603635,"Balart, Gabriel",巴拉爾特,,音樂,西班牙,2018-11-20
3603636,"Barbieri, Francisco",巴爾別里,,音樂,西班牙,2018-11-20
3603637,"Barce, Ramon",巴爾瑟,,音樂,西班牙,2018-11-20
3603638,"Barletta, Alejandro",巴爾列塔,,音樂,阿根廷,2018-11-20
3603639,"Barrientos, Maria",巴里耶托斯,,音樂,西班牙,2018-11-20
3603640,"Barrios Mangoré, Augustín",巴里歐斯˙曼哥瑞,,音樂,巴拉圭,2018-11-20
3603641,"Barrios, Angel",巴里歐斯,,音樂,西班牙,2018-11-20
3603642,"Bautista, Julian",鮑堤斯塔,,音樂,西班牙,2018-11-20
3603643,"Belloc, Enrique",貝悠克,,音樂,阿根廷,2018-11-20
3603644,"Berganza, Teresa",貝爾甘札,,音樂,西班牙,2018-11-20
3603645,"Bermudo, Juan",貝爾穆多,,音樂,西班牙,2018-11-20
3603646,"Bernal-Jiménez, Miguel",貝爾納爾－希梅內茲,,音樂,墨西哥,2018-11-20
3603647,"Bernaola, Carmelo Alonso",貝爾瑙拉,,音樂,西班牙,2018-11-20
3603648,"Berutti, Arturo",貝若堤,,音樂,阿根廷,2018-11-20
3603649,"Blardony, Sergio",布拉爾多尼,,音樂,西班牙,2018-11-20
3603650,"Boero, Felipe",玻也若,,音樂,阿根廷,2018-11-20
3603651,"Bori, Lucrezia",玻里,,音樂,西班牙,2018-11-20
3603652,"Bretón, Tomás",布瑞通,,音樂,西班牙,2018-11-20
3603653,"Broqua, Alfonso",布若夸,,音樂,烏拉圭,2018-11-20
3603654,"Brosa, Antonio",布若薩,,音樂,西班牙,2018-11-20
3603655,"Brouwer, Leo",布若烏威爾,,音樂,古巴,2018-11-20
3603656,"Busto, Javier",布斯托,,音樂,西班牙,2018-11-20
3603657,"Caballé, Monsterrat",卡巴葉,,音樂,西班牙,2018-11-20
3603658,"Cabanilles, Juan Bautista José",卡巴尼葉斯,,音樂,西班牙,2018-11-20
3603659,"Calatayud, Bartolomé",卡拉塔尤德,,音樂,西班牙,2018-11-20
3603660,"Campbell Batista, Ramon",坎姆普貝利‧巴提斯塔,,音樂,智利,2018-11-20
3603661,"Campmany, Montserrat",坎曼,,音樂,阿根廷,2018-11-20
3603662,"Camps, Pompeyo",坎珊普斯,,音樂,阿根廷,2018-11-20
3603663,"Cárceres, Bartomeu (Bartolome)",卡爾瑟瑞斯,,音樂,西班牙,2018-11-20
3603664,"Carnago, Johannes",卡爾納哥,,音樂,西班牙,2018-11-20
3603665,"Carreno, Teresa",卡瑞諾,,音樂,委內瑞拉,2018-11-20
3603666,"Carreras, Jose",卡瑞拉斯,,音樂,西班牙,2018-11-20
3603667,"Carrillo, Julian",卡里悠,,音樂,墨西哥,2018-11-20
3603668,"Casals, Pablo",卡薩爾斯,,音樂,西班牙,2018-11-20
3603669,"Cassadó, Gaspar",卡薩多,,音樂,西班牙,2018-11-20
3603670,"Castillo, Jesús",卡斯堤悠˙黑蘇斯,,音樂,瓜地馬拉,2018-11-20
3603671,"Castillo, Ricardo",卡斯堤悠˙里卡爾多,,音樂,瓜地馬拉,2018-11-20
3603672,"Castro, Juan Jose",卡斯特若,,音樂,阿根廷,2018-11-20
3603673,"Cererols, Joan",瑟瑞若爾斯,,音樂,西班牙,2018-11-20
3603674,"Cervantes, Ignacio",瑟爾班特斯,,音樂,古巴,2018-11-20
3603675,"Cervetti, Sergio",瑟爾貝堤,,音樂,烏拉圭,2018-11-20
3603676,"Chapií, Ruperto",恰皮,,音樂,西班牙,2018-11-20
3603677,"Chávez, Carlos",恰貝茲士,,音樂,墨西哥,2018-11-20
3603678,"Chueca, Federico",丘也卡,,音樂,西班牙,2018-11-20
3603679,"Colbran, Isabella [Angela]",科爾布然,,音樂,西班牙,2018-11-20
3603680,"Contrerás-Sánchez, Salvador",孔特瑞拉斯－桑杰士,,音樂,墨西哥,2018-11-20
3603681,"Cordero, Alvaro",科爾德若,,音樂,委內瑞拉,2018-11-20
3603682,"Curubeto Godoy, María I.",庫儒貝拉˙哥多伊,,音樂,阿根廷,2018-11-20
3603683,"Daluisio, Rodolfo",達路伊席歐,,音樂,阿根廷,2018-11-20
3603684,"Davidovsky, Mario",達維多夫斯基,,音樂,阿根廷,2018-11-20
3603685,"de Alba, Alonso",德˙阿爾巴,,音樂,西班牙,2018-11-20
3603686,"de Baratta, María",德˙巴拉塔,,音樂,薩爾瓦多,2018-11-20
3603687,"de Cabezón, Antonio",德˙卡貝宗,,音樂,西班牙,2018-11-20
3603688,"de Esquivel, Juan Barahona",德•也斯基貝爾,,音樂,西班牙,2018-11-20
3603689,"de Falla, Manuel",德˙法亞,,音樂,西班牙,2018-11-20
3603690,"de Fuenllana, Miguel",德˙富恩亞納,,音樂,西班牙,2018-11-20
3603691,"de Hidalgo, Elvira",德•伊達爾哥,,音樂,西班牙,2018-11-20
3603692,"de Larrocha, Alicia",德．拉若恰,,音樂,西班牙,2018-11-20
3603693,"de Lasernia, Blas",德．拉賽爾尼亞,,音樂,西班牙,2018-11-20
3603694,"de la Cruz Mena, José",德˙拉˙克儒茲˙梅納,,音樂,尼加拉瓜,2018-11-20
3603695,"de la Torre, Francisco",德•拉•托瑞,,音樂,西班牙,2018-11-20
3603696,"de Los Ángeles, Victoria",德．洛斯．安赫雷斯,,音樂,西班牙,2018-11-20
3603697,"de Marchena, Enrique",德˙馬爾切納,,音樂,多明尼加,2018-11-20
3603698,"de Milán, Luis",德‧米蘭,,音樂,西班牙,2018-11-20
3603699,"de Morales, Cristóbal",德˙莫拉雷斯,,音樂,西班牙,2018-11-20
3603700,"de Mudarra, Alonso",德˙穆達拉,,音樂,西班牙,2018-11-20
3603701,"De Pedro, Roque",德˙佩德若,,音樂,阿根廷,2018-11-20
3603702,"De Rogatis, Pascual",德˙若加提斯,,音樂,阿根廷,2018-11-20
