ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
3604702,Muḥammad al-Battānī,*巴特踏倪，穆罕默德,,,,2018-11-20
3604703,Abū al-Wafā al-Būzjānī,*布茲佳倪，阿布．*瓦琺,,,,2018-11-20
3604704,Sahl bn Bishr,沙河勒．本．比須爾,,,,2018-11-20
3604705,Ya‘qūb bn Ṭāriq,亞厄谷卜．本．托里葛,,,,2018-11-20
3604706,Ibrāhīm al-Fazārī,*法柵歷，伊卜喇熙姆,,,,2018-11-20
3604707,Muḥammad al-Fazārī,*法柵歷，穆罕默德,,,,2018-11-20
3604708,Ibn Ṭāhir al-Baghdādī,*巴格達帝，伊本．托錫爾,,,,2018-11-20
3604709,Ibn Yūnus,伊本．攸努斯,,,,2018-11-20
3604710,Jābir bn Aflaḥ,佳比爾．本．阿弗拉合,,,,2018-11-20
3604711,Ibn ash-Shāṭir,伊本．*夏提爾,,,,2018-11-20
3604712,Sharaf ad-Dīn aṭ-Ṭūsī,*凃熙，俠剌弗*定,,天文,,2018-11-20
3604713,Ibn Kathīr al-Farghānī,*法爾家倪，伊本．卡皙爾,,,,2018-11-20
3604714,Abū Ma‘shar al-Balkhī,*巴勒琪，阿布．馬厄俠爾,,,,2018-11-20
3604715,Harbī al-Ḥimyarī,*希姆亞歷，哈爾碧,,化學,,2018-11-20
3604716,‘Abbās bn Firnās,艾卜霸斯．本．腓爾那斯,,,,2018-11-20
3604717,Aḥmad al-Balādhurī,*巴臘都歷，阿合馬德,,,,2018-11-20
3604718,Aḥmad bn Waḥshīyah,阿合馬德．本‧瓦合絮亞,,,,2018-11-20
3604719,Muḥammad at-Tamīmī,*塔密密，穆罕默德,,,,2018-11-20
3604720,Abū Naṣr al-Fārābī,*法喇碧，阿布．納舍爾,,,,2018-11-20
3604721,Abū al-Faraj an-Nadīm,*納帝姆，阿布．*法剌几,,,,2018-11-20
3604722,Ibn Miskawayh,伊本．米斯卡威河,,,,2018-11-20
3604723,Mu’ayyad ad-Dīn aṭ-Ṭughrā’ī,*突格喇易，穆埃亞德*定,,,,2018-11-20
3604724,Abū Ḥamīd Ibrāhīm,阿布．哈密德．伊卜喇熙姆,,,,2018-11-20
3604725,‘Izz ad-Dīn al-Jaldakī,*加勒答琦，邑茲*定,,,,2018-11-20
