ID,英文名稱,中文名稱,圖片,更新日期
3601215,Adıvar,阿德瓦,,2018-11-20
3601216,Ağaoğlu,阿阿歐魯,,2018-11-20
3601217,Akan,阿亢,,2018-11-20
3601218,Akar,阿卡爾,,2018-11-20
3601219,Akay,阿楷,,2018-11-20
3601220,Akaydın,阿開鄧,,2018-11-20
3601221,Akbulut,阿克布魯特,,2018-11-20
3601222,Akgül,阿克莒爾,,2018-11-20
3601223,Akışık,阿可社克,,2018-11-20
3601224,Akman,阿克曼,,2018-11-20
3601225,Aksoy,阿克索倚,,2018-11-20
3601226,Aksu,阿克蘇,,2018-11-20
3601227,Aktaş,阿克塔示,,2018-11-20
3601228,Aktürk,阿克土耳克,,2018-11-20
3601229,Akyürek,阿克佑雷克,,2018-11-20
3601230,Akyüz,阿克佑茲,,2018-11-20
3601231,Alkan,奧康,,2018-11-20
3601232,Alnıaçık,奧訥阿徹克,,2018-11-20
3601233,Alyanak,奧亞納克,,2018-11-20
3601234,Aras,阿臘斯,,2018-11-20
3601235,Arıcan,阿惹將,,2018-11-20
3601236,Arıkan,阿惹康,,2018-11-20
3601237,Arslan /Aslan,阿爾斯嵐 / 阿斯嵐,,2018-11-20
3601238,Aslanoğlu,阿斯嵐諾魯,,2018-11-20
3601239,Aşıkoğlu,阿舍闊魯,,2018-11-20
3601240,Atakol,阿塔闊爾,,2018-11-20
3601241,Atan,阿趟,,2018-11-20
3601242,Ateş,阿帖示,,2018-11-20
3601243,Avcı,阿弗浙,,2018-11-20
3601244,Avşar,阿弗沙爾,,2018-11-20
3601245,Aybar,艾巴爾,,2018-11-20
3601246,Aydan,艾丹,,2018-11-20
3601247,Aydın,艾登,,2018-11-20
3601248,Aydoğan,艾朵安,,2018-11-20
3601249,Aydoğdu,艾朵杜,,2018-11-20
3601250,Ayverdi,艾維爾地,,2018-11-20
3601251,Babacan,巴巴將,,2018-11-20
3601252,Babaoğlu,巴巴歐魯,,2018-11-20
3601253,Bademci,巴碟姆紀,,2018-11-20
3601254,Bakırcıoğlu,巴克爾哲歐魯,,2018-11-20
3601255,Bal,鮑爾,,2018-11-20
3601256,Balcı,包浙,,2018-11-20
3601257,Baş,巴石,,2018-11-20
3601258,Başaran,巴沙讓,,2018-11-20
3601259,Başoğlu,巴修魯,,2018-11-20
3601260,Berberoğlu,貝爾貝洛魯,,2018-11-20
3601261,Beşerler,貝歇爾列爾,,2018-11-20
3601262,Beşok,貝朔克,,2018-11-20
3601263,Biçer,比切爾,,2018-11-20
3601264,Bolatlı,博拉特勒,,2018-11-20
3601265,Bulut,布魯特,,2018-11-20
3601266,Can,姜*,,2018-11-20
3601267,Çakır,查克爾,,2018-11-20
3601268,Çalışkan,查勒石康,,2018-11-20
3601269,Çamdalı,查姆達勒,,2018-11-20
3601270,Çapanoğlu,查帕諾魯,,2018-11-20
3601271,Çatalbaş,查塔爾巴石,,2018-11-20
3601272,Çavuşoğlu,查午朔魯,,2018-11-20
3601273,Çelik,切立克,,2018-11-20
3601274,Çetin,切提恩,,2018-11-20
3601275,Ayaydın,阿崖鄧,,2018-11-20
3601276,Çetinkaya,切提恩卡亞,,2018-11-20
3601277,Çevik,切未克,,2018-11-20
3601278,Çilingiroğlu,啟臨吉絡魯,,2018-11-20
3601279,Dalkıran,島克讓,,2018-11-20
3601280,Demir,碟密爾,,2018-11-20
3601281,Demirel,碟米雷爾,,2018-11-20
3601282,Dizdar,抵茲達爾,,2018-11-20
3601283,Doğan,朵安,,2018-11-20
3601284,Durak,杜拉克,,2018-11-20
3601285,Durmaz,杜爾馬茲,,2018-11-20
3601286,Duygulu,度倚古路,,2018-11-20
3601287,Dümen,堆緬,,2018-11-20
3601288,Egeli,耶給立,,2018-11-20
3601289,Eker,耶克爾,,2018-11-20
3601290,Ekici,耶克倚紀,,2018-11-20
3601291,Ekşi,耶克夕,,2018-11-20
3601292,Ekşioğlu,耶克夕歐魯,,2018-11-20
3601293,Erbay,耶爾拜,,2018-11-20
3601294,Erbulak,耶爾布拉克,,2018-11-20
3601295,Erçetin,耶爾切提恩,,2018-11-20
3601296,Erdem,耶爾碟姆,,2018-11-20
3601297,Erdoğan,耶爾朵安,,2018-11-20
3601298,Erez,耶雷茲,,2018-11-20
3601299,Ergen,耶爾根,,2018-11-20
3601300,Erkekli,耶爾克可立,,2018-11-20
3601301,Eroğlu,耶洛魯,,2018-11-20
3601302,Ertürk,耶爾土耳克,,2018-11-20
3601303,Evliyaoğlu,耶弗立亞歐魯,,2018-11-20
3601304,Eyüboğlu,耶尤柏魯,,2018-11-20
3601305,Gökçe,格克切,,2018-11-20
3601306,Gökçek,格克切克,,2018-11-20
3601307,Gökdemir,格克碟密爾,,2018-11-20
3601308,Gül,莒爾,,2018-11-20
3601309,Gümüşpala,掬繆旭帕拉,,2018-11-20
3601310,Güneş,掬內夕,,2018-11-20
3601311,Gürmen,掬爾緬,,2018-11-20
3601312,Çetiner,切提聶爾,,2018-11-20
3601313,Güzel,掬澤爾,,2018-11-20
3601314,Hakyemez,哈克耶梅茲,,2018-11-20
3601315,Hamzaoğlu,哈姆札歐魯,,2018-11-20
3601316,Ilıcalı,峨勒札勒,,2018-11-20
3601317,İlhan,伊爾翰,,2018-11-20
3601318,İnce,因介,,2018-11-20
3601319,Kahveci,卡啡紀,,2018-11-20
3601320,Kalafatoğlu,卡拉法托魯,,2018-11-20
3601321,Kaplangı,卡普嵐各,,2018-11-20
3601322,Kar,喀爾,,2018-11-20
3601323,Kara,卡拉,,2018-11-20
3601324,Karabulut,卡拉布魯特,,2018-11-20
3601325,Karacan,卡拉將,,2018-11-20
3601326,Karaduman,卡拉杜曼,,2018-11-20
3601327,Karaer,卡拉耶爾,,2018-11-20
3601328,Karakaya,卡拉卡亞,,2018-11-20
3601329,Karanfil,卡讓費倚,,2018-11-20
3601330,Kavaklıoğlu,卡瓦克勒歐魯,,2018-11-20
3601331,Kaya,喀亞,,2018-11-20
3601332,Kılıç,克勒啟,,2018-11-20
3601333,Kılıççı,克勒徹,,2018-11-20
3601334,Kıraç,克臘啟,,2018-11-20
3601335,Koç,闊曲,,2018-11-20
3601336,Koçyiğit,闊曲宜益特,,2018-11-20
3601337,Korkmaz,闊爾克馬茲,,2018-11-20
3601338,Koyuncu,闊允注,,2018-11-20
3601339,Körmükçü,柯爾繆克趣,,2018-11-20
3601340,Köse,柯瑟,,2018-11-20
3601341,Köseoğlu,柯瑟歐魯,,2018-11-20
3601342,Köylüoğlu,柯俞呂歐魯,,2018-11-20
3601343,Kurt,庫爾特,,2018-11-20
3601344,Kuzucu,庫祖注,,2018-11-20
3601345,Küçük,庫趣克,,2018-11-20
3601346,Küçükler,庫趣克列爾,,2018-11-20
3601347,Limoncuoğlu,黎孟注歐魯,,2018-11-20
3601348,Menemencioğlu,梅內緬紀歐魯,,2018-11-20
3601349,Gürsoy,掬爾梭倚,,2018-11-20
3601350,Nalbantoğlu,鐃邦託魯,,2018-11-20
3601351,Okumuş,歐庫穆述,,2018-11-20
3601352,Okur,歐庫爾,,2018-11-20
3601353,Ozansoy,歐藏梭倚,,2018-11-20
3601354,Öymen,約宜緬,,2018-11-20
3601355,Öz,約茲,,2018-11-20
3601356,Özberk,烏茲別克,,2018-11-20
3601357,Özbey,約茲貝,,2018-11-20
3601358,Özcan,約茲將,,2018-11-20
3601359,Özdal,約茲道爾,,2018-11-20
3601360,Özdemir,約茲碟密爾,,2018-11-20
3601361,Özer,約澤爾,,2018-11-20
3601362,Özkan,約茲康,,2018-11-20
3601363,Öztuna,約茲圖納,,2018-11-20
3601364,Öztürk,約茲土耳克,,2018-11-20
3601365,Polat,頗拉特,,2018-11-20
3601366,Poyrazoğlu,頗宜拉昨魯,,2018-11-20
3601367,Sabancı,薩邦哲,,2018-11-20
3601368,Samancı,薩曼哲,,2018-11-20
3601369,Sancak,桑札克,,2018-11-20
3601370,Sarı,薩熱,,2018-11-20
3601371,Sarıoğlu,薩惹歐魯,,2018-11-20
3601372,Solmaz,梭馬茲,,2018-11-20
3601373,Sökmen,梭克緬,,2018-11-20
3601374,Sönmez,孫梅茲,,2018-11-20
3601375,Sözeri,梭澤里,,2018-11-20
3601376,Süleymanoğlu,蘇列曼諾魯,,2018-11-20
3601377,Şahin,沙辛,,2018-11-20
3601378,Şentürk,咸土耳克,,2018-11-20
3601379,Şimşek,希姆謝克,,2018-11-20
3601380,Tanrıkulu,唐惹庫魯,,2018-11-20
3601381,Tanrıverdi,唐惹維爾地,,2018-11-20
3601382,Mete,梅帖,,2018-11-20
3601383,Taş,塔示,,2018-11-20
3601384,Taşçı,塔石徹,,2018-11-20
3601385,Taşlı,塔石勒,,2018-11-20
3601386,Tekelioğlu,貼克里歐魯,,2018-11-20
3601387,Tekin,帖欽,,2018-11-20
3601388,Tokgöz,陀克各茲,,2018-11-20
3601389,Topaloğlu,陀帕洛魯,,2018-11-20
3601390,Toprak,陀普拉克,,2018-11-20
3601391,Toraman,陀拉曼,,2018-11-20
3601392,Tuğlu,圖魯,,2018-11-20
3601393,Türk,土耳克,,2018-11-20
3601394,Türkmen,土庫曼,,2018-11-20
3601395,Türkoğlu,圖闊魯,,2018-11-20
3601396,Tüzün,圖俊,,2018-11-20
3601397,Uzun,烏圳,,2018-11-20
3601398,Ünal,俞瑙,,2018-11-20
3601399,Üztünel,俞茲圖聶爾,,2018-11-20
3601400,Üzümcü,俞祖姆聚,,2018-11-20
3601401,Velioğlu,維立歐魯,,2018-11-20
