ID,英文名稱,中文名稱,圖片,領域,獲獎年份,國籍,更新日期
3605813,Alder,阿爾德,,化學獎,1950,,2018-11-20
3605814,Arber,阿爾伯,,生理學或醫學獎,1978,,2018-11-20
3605815,Bednorz,貝德諾爾慈,,物理學獎,1987,,2018-11-20
3605816,Bergius,貝爾吉烏斯,,化學獎,1931,,2018-11-20
3605817,Bethe,貝特,,物理學獎,1967,,2018-11-20
3605818,Binnig,畢尼希,,物理學獎,1986,,2018-11-20
3605819,Blobel,布洛伯爾,,生理學或醫學獎,1999,,2018-11-20
3605820,Bloch,布洛何,,物理學獎,1952,,2018-11-20
3605821,Böll,波爾,,文學獎,1972,,2018-11-20
3605822,Born,博爾恩,,物理學獎,1954,,2018-11-20
3605823,Bosch,博許,,化學獎,1931,,2018-11-20
3605824,Bothe,博特,,物理學獎,1954,,2018-11-20
3605825,Brandt,布朗特,,和平獎,1971,,2018-11-20
3605826,Braun,布勞恩,,物理學獎,1909,,2018-11-20
3605827,Brenner,布瑞納,,生理學或醫學獎,2002,,2018-11-20
3605828,Buchner,布何納,,化學獎,1907,,2018-11-20
3605829,Butenandt,布特南特,,化學獎,1939,,2018-11-20
3605830,Canetti,卡內提,,文學獎,1981,,2018-11-20
3605831,Cori,寇呂,,生理學或醫學獎,1947,,2018-11-20
3605832,Dehmelt,迭默爾特,,物理學獎,1989,,2018-11-20
3605833,Deisenhofer,戴仁侯佛,,化學獎,1988,,2018-11-20
3605834,Delbrück,迭爾布呂柯,,生理學或醫學獎,1969,,2018-11-20
3605835,Diels,第爾斯,,化學獎,1950,,2018-11-20
3605836,Domagk,竇馬柯,,生理學或醫學獎,1939,,2018-11-20
3605837,Ehrlich,艾爾里希,,生理學或醫學獎,1908,,2018-11-20
3605838,Eigen,艾根,,化學獎,1967,,2018-11-20
3605839,Ernst,艾恩斯特,,化學獎,1991,,2018-11-20
3605840,Ertl,艾爾特,,化學獎,2007,,2018-11-20
3605841,Eucken,歐宇肯,,文學獎,1908,,2018-11-20
3605842,Fischer,費雪,,化學獎,1902,,2018-11-20
3605843,Fischer,費雪,,化學獎,1930,,2018-11-20
3605844,Fischer,費雪,,化學獎,1973,,2018-11-20
3605845,Fischer,費雪,,生理學或醫學獎,1992,,2018-11-20
3605846,Forßmann,佛爾斯曼,,生理學或醫學獎,1956,,2018-11-20
3605847,Franck,弗朗柯,,物理學獎,1925,,2018-11-20
3605848,Fried,弗瑞特,,和平獎,1911,,2018-11-20
3605849,Goeppert-Mayer,歌培特-麥爾,,物理學獎,1963,,2018-11-20
3605850,Grass,葛拉斯,,文學獎,1999,,2018-11-20
3605851,Grünberg,葛林貝柯,,物理學獎,2007,,2018-11-20
3605852,Haber,哈伯,,化學獎,1918,,2018-11-20
3605853,Hahn,漢恩,,化學獎,1944,,2018-11-20
3605854,Hänsch,亨許,,物理學獎,2005,,2018-11-20
3605855,Hauptmann,浩普特曼,,文學獎,1912,,2018-11-20
3605856,Heisenberg,海森堡,,物理學獎,1932,,2018-11-20
3605857,Hertz,赫茲,,物理學獎,1925,,2018-11-20
3605858,Herzberg,黑慈貝柯,,化學獎,1971,,2018-11-20
3605859,Hess,黑斯,,物理學獎,1936,,2018-11-20
3605860,Hess,黑斯,,生理學或醫學獎,1949,,2018-11-20
3605861,Hesse,赫塞,,文學獎,1946,,2018-11-20
3605862,Hoffmann,霍夫曼,,化學獎,1981,,2018-11-20
3605863,Hoffmann,霍夫曼,,生理學或醫學獎,2011,,2018-11-20
