ID,英文名稱,中文名稱,圖片,領域,獲獎年份,國籍,更新日期
3605177,Simon Kuznets,庫茲涅茨,,經濟學獎,1971,白俄羅斯,2018-11-20
3605178,Menachem Begin,貝金,,和平獎,1978,白俄羅斯,2018-11-20
3605179,Shimon Peres,培列斯,,和平獎,1994,白俄羅斯,2018-11-20
3605180,Zhores Ivanovich Alferov,阿爾費洛夫,,物理學獎,2000,白俄羅斯,2018-11-20
3605181,Svetlana Aleksandrovna Aleksievitz,亞歷塞維奇,,文學獎,2015,白俄羅斯,2018-11-20
3605182,Ivo Andrić,安德里奇,,文學獎,1961,波希尼亞,2018-11-20
3605183,Vladimir Prelog,普列洛格,,化學獎,1975,波希尼亞,2018-11-20
3605184,Elias Canetti,卡涅堤,,文學獎,1981,保加利亞,2018-11-20
3605185,Leopold Ružička,魯季池卡,,化學獎,1939,克羅埃西亞,2018-11-20
3605186,Vladimir Prelog,普列洛格,,化學獎,1975,克羅埃西亞,2018-11-20
3605187,Jaroslav Heyrovský,黑依羅夫斯基,,化學獎,1959,捷克,2018-11-20
3605188,Jaroslav Seifert,塞佛爾特,,文學獎,1984,捷克,2018-11-20
3605189,Mother Theresa,德勒莎修女,,和平獎,1979,馬其頓,2018-11-20
3605190,"Marie Curie, née Maria Sklodowska",瑪里 居禮（本姓名：瑪莉亞 斯克沃多夫斯卡）,,物理獎,1903,波蘭,2018-11-20
3605191,Henryk Sienkiewicz,顯克維奇,,文學獎,1905,波蘭,2018-11-20
3605192,Albert Abraham Michelson,米赫爾松,,物理獎,1907,波蘭,2018-11-20
3605193,"Curie,Marie",居禮，瑪里,,化學獎,1911,波蘭,2018-11-20
3605194,Władysław Reymont,雷蒙特,,文學獎,1924,波蘭,2018-11-20
3605195,Tadeus Reichstein,萊斯坦,,醫學獎,1950,波蘭,2018-11-20
3605196,Andrew Schally,沙里,,醫學獎,1977,波蘭,2018-11-20
3605197,Isaac Bashevis Singer,辛格爾,,文學獎,1978,波蘭,2018-11-20
3605198,Czesław Miłosz,米沃什,,文學獎,1980,波蘭,2018-11-20
3605199,Roald Hoffmann,霍夫曼,,化學獎,1981,波蘭,2018-11-20
3605200,Lech Wałęsa,華勒沙,,和平獎,1983,波蘭,2018-11-20
3605201,Georges Charpak,查爾帕克,,物理獎,1992,波蘭,2018-11-20
3605202,Shimon Peres,佩雷斯,,和平獎,1994,波蘭,2018-11-20
3605203,Joseph Rotblat,羅特布拉特,,和平獎,1995,波蘭,2018-11-20
3605204,Wisława Szymborska,辛波絲卡,,文學獎,1996,波蘭,2018-11-20
3605205,Leonid Hurwicz,胡爾維奇,,經濟學獎,2007,波蘭,2018-11-20
3605206,Ivan Petrovich Pavlov,巴伏洛夫,,醫學獎,1904,俄羅斯,2018-11-20
3605207,Ilya Ilyich Mechnikov,梅赫尼科夫,,醫學獎,1908,俄羅斯,2018-11-20
3605208,Wilhelm Ostwald,沃斯特瓦德,,化學獎,1909,俄羅斯,2018-11-20
3605209,Ivan Bunin,布寧,,文學獎,1933,俄羅斯,2018-11-20
3605210,Nikolay Nikolayevich Semyonov,謝莫諾夫,,化學獎,1956,俄羅斯,2018-11-20
3605211,Ilya Mikhailovich Frank,法郎克,,物理學獎,1958,俄羅斯,2018-11-20
3605212,Igor Yevgenyevich Tamm,塔姆,,物理學獎,1958,俄羅斯,2018-11-20
3605213,Pavel Alekseyevich Cherenkov,契倫科夫,,物理學獎,1958,俄羅斯,2018-11-20
3605214,Boris Leonidovich Pasternak,巴斯特納克,,文學獎,1958,俄羅斯,2018-11-20
3605215,Lev Landau,藍道,,物理學獎,1962,俄羅斯,2018-11-20
3605216,Aleksandr M. Prokhorov,波洛訶羅夫,,物理學獎,1964,俄羅斯,2018-11-20
3605217,Nicolay G. Basov,巴索夫,,物理學獎,1964,俄羅斯,2018-11-20
3605218,Michail Sholokhov,蕭洛霍夫,,文學獎,1965,俄羅斯,2018-11-20
3605219,Aleksandr Solzhenitsyn,索忍尼辛,,文學獎,1970,俄羅斯,2018-11-20
3605220,Andrei Dmitrievich Sakharov,沙卡洛夫,,和平獎,1975,俄羅斯,2018-11-20
3605221,Leonid Vitalyevich Kantorovich,坎拓羅維奇,,經濟學獎,1975,俄羅斯,2018-11-20
3605222,Ilya Prigogine,普里哥基尼,,化學獎,1977,俄羅斯,2018-11-20
3605223,Pyotr Leonidovich Kapitsa,卡比查,,物理學獎,1978,俄羅斯,2018-11-20
3605224,Iosif Aleksandrovich Brodsky,布洛茨基,,文學獎,1987,俄羅斯,2018-11-20
3605225,Mikhail Sergeyevich Gorbachev,戈巴契夫,,和平獎,1990,俄羅斯,2018-11-20
3605226,Zhores Ivanovich Alferov,阿爾費羅夫,,物理學獎,2000,俄羅斯,2018-11-20
3605227,Vitaly Ginzburg,金茨布爾格,,物理學獎,2003,俄羅斯,2018-11-20
3605228,Alexei A. Abrikosov,阿布里科索夫,,物理學獎,2003,俄羅斯,2018-11-20
3605229,Leonid Hurwicz,胡爾維奇,,經濟學獎,2007,俄羅斯,2018-11-20
3605230,Andre Geim,格姆,,物理學獎,2010,俄羅斯,2018-11-20
3605231,Konstantin Novoselov,諾沃謝洛夫,,物理學獎,2010,俄羅斯,2018-11-20
3605232,Ivo Andrić,安德里奇,,文學獎,1961,塞爾維亞,2018-11-20
3605233,Friderik Pregl,普內格爾,,化學獎,1923,斯洛維尼亞,2018-11-20
3605234,Ilya Ilyich Mechnikov,梅赫尼科夫,,醫學獎,1908,烏克蘭,2018-11-20
3605235,Roald Hoffmann,霍夫曼,,化學獎,1981,烏克蘭,2018-11-20
3605236,Georges Charpak,查爾巴克,,物理學獎,1992,烏克蘭,2018-11-20
3605237,Ivo Andrić,安德里奇,,文學獎,1961,南斯拉夫,2018-11-20
