ID,英文名稱,中文名稱,圖片,領域,獲獎年份,國籍,更新日期
3604668,Charles Louis Alphonse Laveran,拉伏杭,,生理學或醫學獎,,,2018-11-20
3604669,Alexis Carrel,卡雷勒,,生理學或醫學獎,,,2018-11-20
3604670,Charles Richet,李歇,,生理學或醫學獎,,,2018-11-20
3604671,Jules Bordet,博德,,生理學或醫學獎,,,2018-11-20
3604672,Charles Jules Henri Nicolle,尼科勒,,生理學或醫學獎,,,2018-11-20
3604673,Corneille Jean François Heymans,埃曼斯,,生理學或醫學獎,,,2018-11-20
3604674,François Jacob,賈科布,,生理學或醫學獎,,,2018-11-20
3604675,André Lwoff,勒沃夫,,生理學或醫學獎,,,2018-11-20
3604676,Jacques Monod,莫諾,,生理學或醫學獎,,,2018-11-20
3604677,Albert Claude,克羅德,,生理學或醫學獎,,,2018-11-20
3604678,Christian de Duve,德•迪伏,,生理學或醫學獎,,,2018-11-20
3604679,Jean Dausset,多賽,,生理學或醫學獎,,,2018-11-20
3604680,Françoise Barré-Sinoussi,巴雷-西努西,,生理學或醫學獎,,,2018-11-20
3604681,Luc Montagnier,蒙塔尼耶,,生理學或醫學獎,,,2018-11-20
3604682,Jules A. Hoffmann,霍夫曼(歐夫曼),,生理學或醫學獎,,,2018-11-20
3604683,Sully Prudhomme,普律多姆,,文學獎,,,2018-11-20
3604684,Frédéric Mistral,米斯特哈勒,,文學獎,,,2018-11-20
3604685,Maurice Maeterlinck,梅泰林克,,文學獎,,,2018-11-20
3604686,Romain Rolland,羅曼羅蘭(洛朗),,文學獎,,,2018-11-20
3604687,Anatole France,法郎士(弗杭斯),,文學獎,,,2018-11-20
3604688,Henri Bergson,柏格森(貝格頌),,文學獎,,,2018-11-20
3604689,Roger Martin du Gard,馬丹迪加爾,,文學獎,,,2018-11-20
3604690,André Gide,紀德,,文學獎,,,2018-11-20
3604691,François Mauriac,莫里亞克,,文學獎,,,2018-11-20
3604692,Albert Camus,卡繆,,文學獎,,,2018-11-20
3604693,Saint-John Perse,培斯,,文學獎,,,2018-11-20
3604694,Jean-Paul Sartre,沙特(沙特赫),,文學獎,,,2018-11-20
3604695,Claude Simon,西蒙,,文學獎,,,2018-11-20
3604696,Gao Xingjian,高行健,,文學獎,,,2018-11-20
3604697,J. M. G. Le Clézio,勒克列吉歐,,文學獎,,,2018-11-20
3604698,Gérard Debreu,德布赫,,經濟學獎,,,2018-11-20
3604699,Maurice Allais,阿列,,經濟學獎,,,2018-11-20
3604700,Patrick Modiano,莫地阿諾,,文學獎,,,2018-11-20
3604701,Jean Tirole,狄洛勒,,經濟學獎,,,2018-11-20
