ID,英文名稱,中文名稱,圖片,領域,獲獎年份,國籍,更新日期
3605238,Camillo Golgi,勾爾吉，卡密婁,,生理或醫學,1906,,2018-11-20
3605239,Daniel Bovet,博魏，大聶爾,,生理或醫學,1957,,2018-11-20
3605240,Salvador Luria,路里亞，薩爾瓦斗爾,,生理或醫學,1969,,2018-11-20
3605241,Renato Dulbecco,杜爾貝寇，雷納投,,生理或醫學,1975,,2018-11-20
3605242,Rita Levi-Montalcini,勒維-蒙塔爾契尼，利塔,,生理或醫學,1986,,2018-11-20
3605243,Mario Capecchi,卡佩齊，馬流,,生理或醫學,2007,,2018-11-20
3605244,Giosuè Carducci,卡爾杜齊，舟蘇葉,,文學,1906,,2018-11-20
3605245,Grazia Deledda,德勒達，格臘恰,,文學,1926,,2018-11-20
3605246,Luigi Pirandello,皮藍德羅，路伊吉（皮然德婁，魯易吉）,,文學,1934,,2018-11-20
3605247,Salvatore Quasimodo,夸季牟斗，撒爾瓦透雷,,文學,1959,,2018-11-20
3605248,Eugenio Montale,蒙踏雷，耶武浙紐,,文學,1975,,2018-11-20
3605249,Dario Fo,福，達里奧（佛，大流）,,文學,1997,,2018-11-20
3605250,Franco Modigliani,牟迪里亞尼，弗然寇,,經濟學,1985,,2018-11-20
3605251,Giulio Natta,納塔，祝流,,化學,1963,,2018-11-20
3605252,Guglielmo Marconi,馬可尼，古列爾莫（馬爾寇尼，古里葉爾牟）,,物理學,1909,,2018-11-20
3605253,Enrico Fermi,費米，恩里科（費爾米，恩利寇）,,物理學,1938,,2018-11-20
3605254,Emilio Segrè,瑟格瑞，耶密流,,物理學,1959,,2018-11-20
3605255,Carlo Rubbia,入比亞，卡爾婁,,物理學,1984,,2018-11-20
3605256,Riccardo Giacconi,札寇尼，里卡爾斗,,物理學,2002,,2018-11-20
3605257,Ernesto Teodoro Moneta,牟內塔，耶爾內斯投-特歐竇柔,,和平獎,1907,,2018-11-20
