ID,英文名稱,中文名稱,圖片,領域,獲獎年份,國籍,更新日期
3604726,Ronald Ross,若斯，羅納德,,生理及醫學,,,2018-11-20
3604727,Charles Louis Alphonse Laveran,拉弗朗,,生理及醫學,,,2018-11-20
3604728,Alexis Carrel,卡雷勒,,生理及醫學,,,2018-11-20
3604729,Charles Richet,李歇,,生理及醫學,,,2018-11-20
3604730,Jules Bordet,博爾代,,生理及醫學,,,2018-11-20
3604731,Archibald Vivian Hill,希爾，阿奇博爾德,,生理及醫學,,,2018-11-20
3604732,Frederick Grant Banting,班廷，弗雷德里克．格蘭特,,生理及醫學,,,2018-11-20
3604733,John James Richard Macleod,馬克勞德，約翰,,生理及醫學,,,2018-11-20
3604734,Charles Jules Henri Nicolle,尼科勒,,生理及醫學,,,2018-11-20
3604735,Sir Frederick Gowland Hopkins,霍普金斯，弗雷德里克,,生理及醫學,,,2018-11-20
3604736,Sir Charles Scott Sherrington,薛凌騰，查爾斯．斯科特,,生理及醫學,,,2018-11-20
3604737,Edgar Douglas Adrian,艾綴恩，埃德加,,生理及醫學,,,2018-11-20
3604738,Thomas Hunt Morgan,莫爾根，托馬斯．韓特,,生理及醫學,,,2018-11-20
3604739,George Hoyt Whipple,衛波，喬治,,生理及醫學,,,2018-11-20
3604740,George Richards Minot,麥拿特，喬治,,生理及醫學,,,2018-11-20
3604741,William Parry Murphy,莫菲，威廉,,生理及醫學,,,2018-11-20
3604742,Sir Henry Hallett Dale,戴爾，亨利．哈利特,,生理及醫學,,,2018-11-20
3604743,Corneille Jean François Heymans,葉茫斯,,生理及醫學,,,2018-11-20
3604744,Edward Adelbert Doisy,竇伊奇，愛德華．阿德爾伯特,,生理及醫學,,,2018-11-20
3604745,Joseph Erlanger,厄朗爾，喬瑟夫,,生理及醫學,,,2018-11-20
3604746,Herbert Spencer Gasser,賈瑟，赫伯特·斯潘塞,,生理及醫學,,,2018-11-20
3604747,Sir Alexander Fleming,傅雷明，亞歷山大,,生理及醫學,,,2018-11-20
3604748,Ernst Boris Chain,闕恩，恩斯特．伯利斯,,生理及醫學,,,2018-11-20
3604749,Howard Walter Florey,傅婁理，郝沃德,,生理及醫學,,,2018-11-20
3604750,Hermann Joseph Muller,馬勒，赫爾曼．喬瑟夫,,生理及醫學,,,2018-11-20
3604751,Carl Ferdinand Cori,寇理，卡爾．斐迪南,,生理及醫學,,,2018-11-20
3604752,"Gerty Theresa Cori, née Radnitz",寇理，格蒂．特蕾瑟,,生理及醫學,,,2018-11-20
3604753,Philip Showalter Hench,亨曲，菲利普．修瓦特,,生理及醫學,,,2018-11-20
3604754,Edward Calvin Kendall,肯斗，愛德華．卡爾文,,生理及醫學,,,2018-11-20
3604755,Max Theiler,泰勒，馬克斯,,生理及醫學,,,2018-11-20
3604756,Selman Abraham Waksman,瓦克斯門，賽爾曼,,生理及醫學,,,2018-11-20
