ID,英文名稱,中文名稱,圖片,領域,獲獎年份,國籍,更新日期
3603900,Santiago Ramón y Cajal,拉蒙‧伊‧卡哈爾，桑堤亞哥,,生理學或醫學,1906,西班牙,2018-11-20
3603901,Bernardo Alberto Houssay,阿爾貝爾托‧奧薩，貝爾納爾多,,生理學或醫學,1947,阿根廷,2018-11-20
3603902,José Echegaray,也切加賴，霍賽,,文學,1904,西班牙,2018-11-20
3603903,Jacinto Benavente,貝納本特，哈辛托,,文學,1922,西班牙,2018-11-20
3603904,Gabriela Mistral,米斯特拉爾，加布里耶拉,,文學,1945,智利,2018-11-20
3603905,Juan Ramón Jiménez,希梅內茲，胡安·拉蒙,,文學,1956,西班牙,2018-11-20
3603906,Miguel Ángel Asturias,阿斯圖里阿斯，米格爾·安赫爾,,文學,1967, 瓜地馬拉,2018-11-20
3603907,Pablo Neruda,內儒達，帕布洛,,文學,1971, 智利,2018-11-20
3603908,Vicente Aleixandre,阿雷伊桑德瑞，比先特,,文學,1977,西班牙,2018-11-20
3603909,Gabriel García Márquez,加爾西阿·馬爾克茲，加布里耶爾,,文學,1982, 哥倫比亞,2018-11-20
3603910,Camilo José Cela,瑟拉，卡米洛‧霍塞,,文學,1989,西班牙,2018-11-20
3603911,Octavio Paz,帕茲，歐克塔比歐,,文學,1990, 墨西哥,2018-11-20
3603912,Mario Vargas Llosa,巴爾加斯‧悠薩，馬里歐,,文學,2010, 秘魯,2018-11-20
3603913,José Saramago,喬瑟·薩拉馬古,,文學,1998, 葡萄牙,2018-11-20
