ID,英文名稱,中文名稱,圖片,更新日期
261246,radio interferometer,電波干涉儀,,2012-11-26
261247,radio index,電波指數,,2012-11-26
261248,radio heliograph,電波日象儀,,2012-11-26
261249,radio galaxy,電波星系,,2012-11-26
261250,radio emission,電波發射,,2012-11-26
261251,radio dish,電波碟形天線,,2012-11-26
261252,radio direction finding,無線電定向,,2012-11-26
261253,radio diameter,電波直徑,,2012-11-26
261254,radio communication,無線電通訊,,2012-11-26
261255,radio brightness,電波亮度,,2012-11-26
261256,radio astronomy,電波天文[學],,2012-11-26
261257,radio astronomical observatory,電波天文台,,2012-11-26
261258,radiator,輻射體,,2012-11-26
261259,radiative transfer,輻射轉移,,2012-11-26
261260,radiative temperature gradient,輻射溫度梯度,,2012-11-26
261261,radiative recombination,輻射復合,,2012-11-26
261262,radiative equilibrium,輻射平衡,,2012-11-26
261263,radiative envelope,輻射殼,,2012-11-26
261264,radiative cooling,輻射致冷,,2012-11-26
261265,radiative capture,輻射捕獲,,2012-11-26
261266,radiative braking,輻射制動,,2012-11-26
261267,radiation-bounded,輻射界限,,2012-11-26
261268,radiation zone,輻射帶,,2012-11-26
261269,radiation temperature,輻射溫度,,2012-11-26
261270,radiation resistance,輻射電阻,,2012-11-26
261271,radiation receiver,輻射接收器,,2012-11-26
261272,radiation pressure,輻射壓[力],,2012-11-26
261273,radiation length,輻射長度,,2012-11-26
261274,radiation flux,輻射通[量],,2012-11-26
261275,radiation flow,輻射流[量],,2012-11-26
261276,radiation field,輻射場,,2012-11-26
261277,radiation era,輻射時代,,2012-11-26
261278,radiation efficiency of antenna,天線輻射效率,,2012-11-26
261279,radiation damping,輻射阻尼,,2012-11-26
261280,radiation belts of earth,地球輻射帶,,2012-11-26
261281,radiation,輻射,,2012-11-26
261282,radiating ridge,輻射紋(月面),,2012-11-26
261283,radiating point,輻射點(流星；移動星團),,2012-11-26
261284,radiant intensity,輻射強度,,2012-11-26
261285,radiant flux,輻射通[量],,2012-11-26
261286,radiant energy,輻射能,,2012-11-26
261287,radiant density,輻射點[分布]密度,,2012-11-26
261288,radiant,輻射點(流星；移動星團),,2012-11-26
261289,radiance,輻射率,,2012-11-26
261290,radian,弧度,,2012-11-26
261291,radial velocity curve,視向速度曲線,,2012-11-26
261292,radial velocity,視向速度；徑向速度,,2012-11-26
261293,radial pulsation,徑向脈動,,2012-11-26
261294,radial motion,徑向運動,,2012-11-26
261295,radial momentum,徑向動量,,2012-11-26
261296,radar meteor,雷達流星,,2012-11-26
261297,radar echo,雷達回波,,2012-11-26
261298,radar astronomy,雷達天文[學],,2012-11-26
261299,rad,雷得(輻射吸收單位),,2012-11-26
261300,Ra-Shalom,2100號小行星,,2012-11-26
261301,r-process,r—過程(中子快捕獲過程),,2012-11-26
261302,R-branch,R—支(光譜),,2012-11-26
261303,R stars,R型星,,2012-11-26
261304,R magnitude,R星等,,2012-11-26
261305,R galaxy,R星系,,2012-11-26
261306,R associations,R星協,,2012-11-26
261307,quiet Sun,寧靜太陽,,2012-11-26
261308,quiet solar radio radiation,寧靜太陽電波,,2012-11-26
261309,quiescent prominence,寧靜日珥,,2012-11-26
261310,quiescence spectrum,寧靜光譜,,2012-11-26
261311,quasi-uniform time,準均勻時,,2012-11-26
261312,quasi-stellar [radio] source,類星電波源,,2012-11-26
261313,quasi-stellar object (QSO),類星體,,2012-11-26
261314,quasi-stellar galaxy,類星星系,,2012-11-26
261315,quasi-static process,似靜過程,,2012-11-26
261316,quasi-polymer structure,似聚合體結構,,2012-11-26
261317,quasi-eruptive prominence,準爆發日珥,,2012-11-26
261318,quasi-equilibrium state,準平衡態,,2012-11-26
261319,quasi-adiabatic convection,準絕熱對流,,2012-11-26
261320,quasar,類星電波源；類星體,,2012-11-26
261321,quartz-polaroid monochromator,石英偏振片單色器,,2012-11-26
261322,quartz spectrograph,石英[稜鏡]攝譜儀,,2012-11-26
261323,quartz monochromator,石英單色器,,2012-11-26
261324,quartz clock,石英鐘,,2012-11-26
261325,quartet,四重[譜]線；四合系統,,2012-11-26
261326,quarter-wave plate,四分之一波[晶]片,,2012-11-26
261327,quarter,弦(月相),,2012-11-26
261328,quark star,夸克星,,2012-11-26
261329,quark,夸克；阞子,,2012-11-26
261330,quantum yield (in photochemistry),量子產率(光化學),,2012-11-26
261331,quantum theory,量子論,,2012-11-26
261332,quantum statistics,量子統計[學],,2012-11-26
261333,quantum solid,量子固體,,2012-11-26
261334,quantum number,量子數,,2012-11-26
261335,quantum field theory,量子場論,,2012-11-26
261336,quantum efficiency,量子效率(光電),,2012-11-26
261337,quantum electrodynamics (QED),量子電[動]力學,,2012-11-26
261338,quantum defect,量子欠缺,,2012-11-26
261339,quantum,量子,,2012-11-26
261340,quantization,量子化,,2012-11-26
261341,quadrupole radiation,四極輻射,,2012-11-26
261342,quadruple star,四合星,,2012-11-26
261343,quadrature,方照；積分,,2012-11-26
261344,quadratic Stark effect,二次史塔克效應,,2012-11-26
261345,Quadrantids,象限儀[座]流星雨,,2012-11-26
261346,quadrantal triangle,象限三角形,,2012-11-26
261347,Quadrant,象限儀座(古),,2012-11-26
261348,quadrant,象限；象限儀,,2012-11-26
261349,Q-magnitude,Q—星等,,2012-11-26
261350,Q-branch,Q—支(光譜),,2012-11-26
261351,Q (type) asteroid,Q型小行星,,2012-11-26
261352,Pyxis,羅盤[星]座,,2012-11-26
261353,pyroxene,輝石,,2012-11-26
261354,pyridine (C5H5N),吡啶,,2012-11-26
261355,pyrheliometer,日射強度計,,2012-11-26
261356,pyrex,硼矽酸玻璃；耐熱玻璃,,2012-11-26
261357,pyranometer,日射強度計,,2012-11-26
261358,pyramidal antenna,角錐天線,,2012-11-26
261359,pycnonuclear reaction,超密態核反應,,2012-11-26
261360,Purkinje effect,浦肯頁效應,,2012-11-26
261361,purely scattering atmosphere,純散射大氣,,2012-11-26
261362,pure temperature radiation,純溫度輻射,,2012-11-26
261363,pure local time,純粹地方時(原子時),,2012-11-26
261364,pure coordinated time,純粹協調時(原子時),,2012-11-26
261365,Puppis,船尾[星]座,,2012-11-26
261366,pumping (optical),[光]起能,,2012-11-26
261367,pulsed signals,脈衝訊號,,2012-11-26
