ID,英文名稱,中文名稱,圖片,更新日期
89409,Schaumann bodies,謝氏小體（類肉瘤病之紅色或棕色結節性貝殼狀病灶）,,2012-11-26
89410,Schaedler flora,謝德拉微生物叢,,2012-11-26
89411,Sceloporus undulatus,條紋蜥蜴,,2012-11-26
89412,Sceloporus,蜥蜴屬,,2012-11-26
89413,scarlet R,猩紅,,2012-11-26
89414,scapula,肩胛,,2012-11-26
89415,scaly leg,鳥的石灰腳病,,2012-11-26
89416,scaly face,石灰臉病,,2012-11-26
89417,scala tympani,鼓階,,2012-11-26
89418,scala media [=ductus cochlearis],蝸管,,2012-11-26
89419,scala media complex,蝸管複合體,,2012-11-26
89420,Sauromys,南非扁頭蝠屬,,2012-11-26
89421,Saunders' myositis,桑德氏肌炎；天竺鼠肌炎,,2012-11-26
89422,satratoxin,芝麻黴菌毒素,,2012-11-26
89423,Satellite,衛星小體,,2012-11-26
89424,sarkomycin,沙克黴素,,2012-11-26
89425,sarcosporidiosis,肌肉孢子蟲症,,2012-11-26
89426,Sarcoptes scabie,疥癬蟲,,2012-11-26
89427,Sarcophaga,肉蠅屬,,2012-11-26
89428,sarcoma virus,肉瘤病毒,,2012-11-26
89429,sarcoma,肉瘤,,2012-11-26
89430,sarcoidlike granuloma,類肉狀瘤肉芽腫,,2012-11-26
89431,sarcoid,肉狀瘤,,2012-11-26
89432,Sarcocystis muris,鼠肉孢子蟲,,2012-11-26
89433,Sarcocystis cuniculi,兔子肉孢子蟲,,2012-11-26
89434,Sarcocystis caviae,天竺鼠肉孢子蟲,,2012-11-26
89435,Sarcocystis,肉孢子蟲屬,,2012-11-26
89436,sarco-,與「肉」、「肌」有關之字首,,2012-11-26
89437,saprophyte,腐物寄生物,,2012-11-26
89438,saprophagous,腐食性,,2012-11-26
89439,saprolegniasis,水黴病（魚）,,2012-11-26
89440,Saprolegnia parasitica,寄生水黴,,2012-11-26
89441,Saprolegnia ferax,水黴；水生菌,,2012-11-26
89442,sapro-,與「腐敗」有關的字首,,2012-11-26
89443,saphenous vein,隱靜脈,,2012-11-26
89444,sanitizing compound,衛生清潔劑,,2012-11-26
89445,sanitization,衛生清潔法,,2012-11-26
89446,sanitation,衛生,,2012-11-26
89447,sanguinous,多血的；血的,,2012-11-26
89448,Sandhoff's disease,山多夫氏病,,2012-11-26
89449,sand viper,沙蛇,,2012-11-26
89450,sand rat,沙鼠,,2012-11-26
89451,sampling,取樣；採樣,,2012-11-26
89452,Samoyed,撒摩耶犬,,2012-11-26
89453,Salvelinus namaycush,湖鮭,,2012-11-26
89454,Salvelinus fontinalis,溪鮭,,2012-11-26
89455,salt hypertension,食鹽性高血壓,,2012-11-26
89456,salt gland,鹽腺（在某些魚類的鰓裡發現的細胞群）,,2012-11-26
89457,salt fractionation,鹽析法,,2012-11-26
89458,salpingitis,輸卵管炎；耳咽管炎,,2012-11-26
89459,salmonid,類鮭魚,,2012-11-26
89460,salmonellosis,沙門氏桿菌症,,2012-11-26
89461,Salmonella typhisuis,豬傷寒沙氏桿菌,,2012-11-26
89462,Salmonella typhimurium,鼠傷寒沙氏桿菌,,2012-11-26
89463,Salmonella typhi [=Salmonella typhosa],傷寒沙氏桿菌,,2012-11-26
89464,salmonella test system,沙氏桿菌試驗系統,,2012-11-26
89465,Salmonella pullorum,雛白痢沙氏桿菌,,2012-11-26
89466,Salmonella pestis caviae,天竺鼠疫桿菌,,2012-11-26
89467,Salmonella paratyphi C,C型副傷寒桿菌,,2012-11-26
89468,Salmonella paratyphi B,B型副傷寒桿菌,,2012-11-26
89469,Salmonella paratyphi A,A型副傷寒桿菌,,2012-11-26
89470,Salmonella oranienberg,奧連堡沙氏桿菌,,2012-11-26
89471,Salmonella newport,新港沙氏桿菌,,2012-11-26
89472,Salmonella montivideo,人胃腸炎沙氏桿菌,,2012-11-26
89473,Salmonella meleagridis,火雞沙氏桿菌,,2012-11-26
89474,Salmonella heidelberg,海登堡沙氏桿菌,,2012-11-26
89475,Salmonella gallinarum,雞沙氏桿菌,,2012-11-26
89476,Salmonella enteritis,腸炎沙氏桿菌,,2012-11-26
89477,Salmonella enteritidis,腸炎桿菌,,2012-11-26
89478,Salmonella enteriditis serovar typhimurium,腸炎桿菌（小鼠傷寒桿菌血清變異型）,,2012-11-26
89479,Salmonella dublin,都伯林沙氏桿菌,,2012-11-26
89480,Salmonella derby,德貝沙氏桿菌,,2012-11-26
89481,Salmonella cholerasuis,豬霍亂沙氏桿菌,,2012-11-26
89482,Salmonella bredeny,雞副傷寒沙氏桿菌,,2012-11-26
89483,Salmonella anatum,鴨敗血病桿菌,,2012-11-26
89484,Salmonella,沙門氏桿菌屬,,2012-11-26
89485,salmon-eye locus,鮭魚眼部基因,,2012-11-26
89486,salmon disease,鮭魚中毒病（貓）,,2012-11-26
89487,salmon,鮭魚,,2012-11-26
89488,Salmo salar,大西洋鮭,,2012-11-26
89489,Salmo gairdneri,虹鮭,,2012-11-26
89490,Salk vaccine,沙克氏疫苗,,2012-11-26
89491,salivation,流涎,,2012-11-26
89492,Salivary gland virus,唾液腺病毒,,2012-11-26
89493,salivary gland neoplasm,唾液腺贅生物,,2012-11-26
89494,salivary gland,唾液腺,,2012-11-26
89495,salivary duct cannulation,唾液導管術,,2012-11-26
89496,saliva,唾液,,2012-11-26
89497,Salientia,無尾目（兩棲類）,,2012-11-26
89498,salicylazosulfapyridine,柳醯偶氮磺胺吡啶,,2012-11-26
89499,salamander,蠑螈,,2012-11-26
89500,Sakis,狐尾猴屬,,2012-11-26
89501,saki,狐尾猴（產於南美）,,2012-11-26
89502,Saint Bernard,聖伯納犬,,2012-11-26
89503,Saimiri sciureus,松鼠猴,,2012-11-26
89504,Saimiri oerstedi,紅背松鼠猴,,2012-11-26
89505,Saguinus oedipus oedipus,棉冠獠狨,,2012-11-26
