ID,英文名稱,中文名稱,圖片,更新日期
150611,psychophysical quantity,心理物理量,,2012-11-26
150612,psychophysical method,心理物理法,,2012-11-26
150613,psychomotor task,心理動作工作,,2012-11-26
150614,psychomotor ability,心理動作能力,,2012-11-26
150615,psychometrics,心理量測學,,2012-11-26
150616,pseudo random number,虛擬亂數,,2012-11-26
150617,pseude code,虛擬碼,,2012-11-26
150618,proximity sensor,近似感測,,2012-11-26
150619,proximal stimuli,中繼刺激,,2012-11-26
150620,prototyping,雛型法,,2012-11-26
150621,prototype,雛型,,2012-11-26
150622,protocol,通訊協定,,2012-11-26
150623,protocol description,協議說明,,2012-11-26
150624,protective coating,防護塗層,,2012-11-26
150625,protective clothing,防護衣,,2012-11-26
150626,prospective value,預期價值,,2012-11-26
150627,prospective rate of return,預期報酬率,,2012-11-26
150628,prospective price level,預期價格水準,,2012-11-26
150629,prospective differential price,預期差別取價,,2012-11-26
150630,proprioceptor,本體刺激感受器,,2012-11-26
150631,proposal form,提案計劃書,,2012-11-26
150632,proportional-integral-derivative control,比例性微積分控制,,2012-11-26
150633,proportional control,比例控制,,2012-11-26
150634,property damage accident (PDA),財物損失事故,,2012-11-26
150635,project scheduling and control,專案排程與管制,,2012-11-26
150636,project network,專案網路,,2012-11-26
150637,project management,專案管理,,2012-11-26
150638,project,專案計劃,,2012-11-26
150639,progression wage,職級薪資,,2012-11-26
150640,progress report,進度報告,,2012-11-26
150641,progress curve,進度曲線,,2012-11-26
150642,progress chart,進度圖,,2012-11-26
150643,programming problem,規劃問題,,2012-11-26
150644,programming language,程式語言,,2012-11-26
150645,programming,程式設計,,2012-11-26
150646,programmer,程式設計員,,2012-11-26
150647,programmable formula file,可程式公式檔,,2012-11-26
150648,programmable control (PC),可程式控制,,2012-11-26
150649,program testing,程式測試,,2012-11-26
150650,program structure,程式結構,,2012-11-26
150651,program scan,程式搜巡,,2012-11-26
150652,program library,程式庫,,2012-11-26
150653,program graph,程式圖,,2012-11-26
150654,program evaluation and review technique (PERT),計劃評核術,,2012-11-26
150655,program documentation,程式說明書,,2012-11-26
150656,program development cycle,程式發展週期,,2012-11-26
150657,program design language (PDL),程式設計語言,,2012-11-26
150658,program control,程式控制,,2012-11-26
150659,program coding,編寫程式,,2012-11-26
150660,program,程式；計劃,,2012-11-26
150661,profitability index,獲利力指標,,2012-11-26
150662,profit sharing,利潤分享,,2012-11-26
150663,profit range,利潤範圍,,2012-11-26
150664,profit and loss statement,損益表,,2012-11-26
150665,profile,輪廓；態勢,,2012-11-26
150666,productivity metrics,生產力衡量法,,2012-11-26
150667,productivity index,生產力指數,,2012-11-26
150668,productivity,生產力,,2012-11-26
150669,productive time,生產時間,,2012-11-26
150670,productive labor,生產人力,,2012-11-26
150671,production test,生產測試,,2012-11-26
150672,production supervisor,生產督導人員,,2012-11-26
150673,production study,生產研究,,2012-11-26
150674,production station,生產工作站,,2012-11-26
150675,production standard,生產標準,,2012-11-26
150676,production smoothing problem,生產平滑問題,,2012-11-26
150677,production scheduling,生產排程,,2012-11-26
150678,production run,生產運作時間,,2012-11-26
150679,production routing,生產途程,,2012-11-26
150680,production record,生產記錄,,2012-11-26
150681,production rate change cost,生產率變動成本,,2012-11-26
150682,production rate,生產率,,2012-11-26
150683,production process control,生產程序控制,,2012-11-26
150684,production process,生產程序,,2012-11-26
150685,production policies,生產政策,,2012-11-26
150686,production planning,生產規劃,,2012-11-26
150687,production oriented coding system,生產導向編碼系統,,2012-11-26
150688,production monitoring,產程監控,,2012-11-26
150689,production management cycle,生產管理週期,,2012-11-26
150690,production line,生產線,,2012-11-26
150691,production level,生產水準,,2012-11-26
150692,production hour,生產時數,,2012-11-26
150693,production function,生產函數,,2012-11-26
150694,production flow analysis (PFA),生產流程分析,,2012-11-26
150695,production efficiency,生產效率,,2012-11-26
150696,production cycle,生產週期,,2012-11-26
150697,production control,生產管制,,2012-11-26
150698,production center method,生產中心法,,2012-11-26
150699,production capacity,產能,,2012-11-26
150700,production and inventory planning and control,生產與存貨規劃控制,,2012-11-26
150701,product structure tree,產品結構樹,,2012-11-26
150702,product structure file,產品結構檔,,2012-11-26
150703,product software,產品軟體,,2012-11-26
150704,product mix,產品組合,,2012-11-26
150705,product liability (PL),產品責任,,2012-11-26
150706,product layout,產品導向佈置,,2012-11-26
150707,product group forecast,產品群預測,,2012-11-26
150708,product group,產品群,,2012-11-26
150709,product flow,產品流程,,2012-11-26
150710,product development,產品開發,,2012-11-26
150711,product design,產品設計,,2012-11-26
150712,product data,產品資料,,2012-11-26
150713,product cost comparison,產品成本比較,,2012-11-26
150714,product assurance,產品保証,,2012-11-26
150715,product analysis,產品分析,,2012-11-26
150716,producibility,可生產性,,2012-11-26
150717,producer's risk,生產者風險,,2012-11-26
150718,procurement cost,取得成本,,2012-11-26
150719,processor,處理器,,2012-11-26
150720,processing program,處理程式,,2012-11-26
150721,process time schedule,程序時間表,,2012-11-26
150722,process time,程序時間,,2012-11-26
150723,process sheet,程序表,,2012-11-26
150724,process sequencing,製程排序,,2012-11-26
150725,process selection problem,程序挑選問題,,2012-11-26
150726,process quality,過程品質,,2012-11-26
150727,process planning,程序規劃,,2012-11-26
150728,process plan,製程計畫,,2012-11-26
150729,process layout,程序導向佈置,,2012-11-26
150730,process instruction,製程解說,,2012-11-26
150731,process engineer,程序工程師,,2012-11-26
150732,process detailing,製程細節化,,2012-11-26
150733,process design,程序設計,,2012-11-26
150734,process control computer,程序控制電腦,,2012-11-26
150735,process control chart,程序控制圖,,2012-11-26
150736,process control,製程管制,,2012-11-26
150737,process chart symbols,程序圖符號,,2012-11-26
150738,process capability,製程能力,,2012-11-26
150739,process chart,程序圖,,2012-11-26
150740,process analysis,程序分析,,2012-11-26
150741,process,程序；製程,,2012-11-26
150742,procedure design,程序設計,,2012-11-26
150743,procedure chart,程序圖,,2012-11-26
150744,procedure,電腦程序,,2012-11-26
150745,procedural task,程序性工作,,2012-11-26
150746,procedural language,程序性語言,,2012-11-26
150747,procedural cohesion,程序緊密性,,2012-11-26
150748,problem-solving system,問題解決系統,,2012-11-26
150749,problem-solving capability,問題解決能力,,2012-11-26
150750,problem space,問題領域,,2012-11-26
