ID,英文名稱,中文名稱,圖片,更新日期
263563,seam,縫,,2012-11-26
263564,script,草體字母,,2012-11-26
263565,scriber,劃線器,,2012-11-26
263566,screw-thread class,螺紋配合等級,,2012-11-26
263567,screw thread,螺紋,,2012-11-26
263568,screw pitch gage,螺距規,,2012-11-26
263569,screw flange joint,螺釘凸緣接頭,,2012-11-26
263570,screw & nut template,螺釘螺帽模板,,2012-11-26
263571,screw,1.螺旋 2.螺釘 3.螺桿,,2012-11-26
263572,screen,1.網 2.網線(印刷),,2012-11-26
263573,scratch paper,草稿紙,,2012-11-26
263574,scratch board drawing,草圖,,2012-11-26
263575,scratch board,草圖板,,2012-11-26
263576,scrap,廢料,,2012-11-26
263577,scorch-pencil,炭筆,,2012-11-26
263578,scheming,規劃,,2012-11-26
263579,scheme of wiring,線路略圖,,2012-11-26
263580,scheme of colors,配色法,,2012-11-26
263581,schematic sketch,示意草圖,,2012-11-26
263582,schematic drawing,"示意圖,略圖",,2012-11-26
263583,schematic diagram,"示意圖,略圖",,2012-11-26
263584,schedule number,編定號碼(管厚),,2012-11-26
263585,scatter diagram,點圖表,,2012-11-26
263586,scarf weld,1.斜面熔接 2.嵌鍛接,,2012-11-26
263587,scarf joint,嵌接頭,,2012-11-26
263588,scalene triangle,不等邊三角形,,2012-11-26
263589,scalene right triangle,不等邊直角三角形,,2012-11-26
263590,scalene obtuse triangle,不等邊鈍角三角形,,2012-11-26
263591,scale value,比例數值,,2012-11-26
263592,scale rule,1.尺 2.比例尺,,2012-11-26
263593,scale paper,格子紙,,2012-11-26
263594,scale of foreshortening,縮尺,,2012-11-26
263595,scale of drawing,製圖比例,,2012-11-26
263596,scale of chord,弦線量角度尺,,2012-11-26
263597,scale layout of piping,複線管系圖,,2012-11-26
263598,scale caption,比例尺標釋,,2012-11-26
263599,scale,1.比例 2.比例尺 3.尺 4.標度,,2012-11-26
263600,sanitary ware,衛生器材,,2012-11-26
263601,sanitary installation,衛生設備,,2012-11-26
263602,sanitary fittings,衛生設備配件,,2012-11-26
263603,sandwich material,夾層材料,,2012-11-26
263604,sandpaper pad,砂紙板,,2012-11-26
263605,sandpaper file,砂紙板,,2012-11-26
263606,sandpaper block,砂紙板,,2012-11-26
263607,sand paper,砂紙,,2012-11-26
263608,sand dunes,沙丘,,2012-11-26
263609,sand clay,沙黏土,,2012-11-26
263610,sand casting,砂模鑄造,,2012-11-26
263611,sand blasting,噴砂,,2012-11-26
263612,sand,砂,,2012-11-26
263613,sampling length,取樣長度(表面粗糙度),,2012-11-26
263614,sample,樣品,,2012-11-26
263615,salt marsh,鹹水沼澤,,2012-11-26
263616,sag ties,繫桿(建築),,2012-11-26
263617,safety valve,安全閥,,2012-11-26
263618,safety switch,安全開關,,2012-11-26
263619,safety glass,安全玻璃,,2012-11-26
263620,safe load,安全負荷,,2012-11-26
263621,safe light,安全燈(紅燈),,2012-11-26
263622,safe guard,安全設備,,2012-11-26
263623,SAE steels,SAE規格鋼,,2012-11-26
263624,SAE Standards,SAE標準,,2012-11-26
263625,SAE Standard thread,SAE標準螺紋,,2012-11-26
263626,SAE number,SAE編號,,2012-11-26
263627,saddle-shape surface,鞍形面,,2012-11-26
263628,saddle key,鞍形鍵,,2012-11-26
263629,rust-proof,防銹,,2012-11-26
263630,rustless steel,不銹鋼,,2012-11-26
263631,rust,銹,,2012-11-26
263632,runway,跑道,,2012-11-26
263633,runout tolerance,偏轉公差,,2012-11-26
263634,runout,1.偏轉 2.螺紋退刀,,2012-11-26
263635,run of slope,水平距(斜度),,2012-11-26
263636,running fit,轉動配合,,2012-11-26
263637,ruling pen,鴨嘴筆，直線筆,,2012-11-26
263638,ruler,尺,,2012-11-26
263639,ruled surface,直紋面,,2012-11-26
263640,ruled space,格線空間,,2012-11-26
263641,ruled projector,投影線（投射線的投影）,,2012-11-26
263642,ruled off,以直線分隔,,2012-11-26
263643,ruled line & short zigzag,長折斷線,,2012-11-26
263644,ruled line,用儀器畫的線,,2012-11-26
263645,rule of stability,[字法]穩定原則,,2012-11-26
263646,rule,1.尺 2.規則,,2012-11-26
263647,ruby pencil eraser,粉紅色軟橡皮,,2012-11-26
263648,rubber stamp,橡皮印章,,2012-11-26
263649,rubber,橡皮,,2012-11-26
263650,row of letters,字行,,2012-11-26
263651,routing diagram,程序圖,,2012-11-26
263652,route chart,過程圖表，路線圖表,,2012-11-26
263653,roundness,正圓度,,2012-11-26
