ID,英文名稱,中文名稱,圖片,更新日期
248007,Quarterly Survey of Consumer Buying Intentions,消費者購買意願季節性調查,,2012-11-26
248008,Quantity discounts,數量折扣,,2012-11-26
248010,Quantitative market analysis,市場計量分析,,2012-11-26
248012,Quality-cost ratio,品質—成本比率,,2012-11-26
248013,Quality stores,高品質商店,,2012-11-26
248015,Quality of life,生活素質,,2012-11-26
248016,Quality index,品質指數,,2012-11-26
248018,Quality image,品質形象,,2012-11-26
248019,Quality effect,品質效果,,2012-11-26
248021,Quality,品質,,2012-11-26
248022,Qualitative market analysis,屬質市場分析,,2012-11-26
248023,Qualitative information,屬質資訊,,2012-11-26
248024,Qualified expert rule,合格專家規則,,2012-11-26
248025,Q-analysis,Q—分析,,2012-11-26
248028,Pyramid sales schemes,金字塔型銷售計畫,,2012-11-26
248029,Pushing policy,推性政策,,2012-11-26
248030,Purely competitive pricing,純競爭定價,,2012-11-26
248032,Pure monopoly,純粹獨占,,2012-11-26
248033,Pure competition,純粹競爭,,2012-11-26
248034,Purchasing unit,購買單位,,2012-11-26
248035,Purchasing strategies,採購策略,,2012-11-26
248036,Purchasing process,購買過程,,2012-11-26
248037,Purchasing procedures,購買程式序,,2012-11-26
248039,Purchasing power,購買力,,2012-11-26
248040,Purchasing performance,採購績效,,2012-11-26
248041,Purchasing officer,採購人員,,2012-11-26
248042,Purchasing managers,採購經理,,2012-11-26
248044,Purchasing function,採購功能,,2012-11-26
248045,Purchasing agents,採購代理商,,2012-11-26
248047,Purchasing,採購,,2012-11-26
248048,Purchase-probability surveys,購買機率調查,,2012-11-26
248049,Purchase transition matrix,購買轉移矩陣,,2012-11-26
248050,purchase motivation study,購買動機研究,,2012-11-26
248051,Purchase discounts,購買折扣,,2012-11-26
248052,Purchase behavior,購買行為,,2012-11-26
248053,Public transportation,公共運輸,,2012-11-26
248055,Public service,公共服務,,2012-11-26
248056,Public sector,公共部門,,2012-11-26
248057,Public environment,公共環境,,2012-11-26
248059,Psychological tests,心理測試,,2012-11-26
248060,Psychological segmentation,心理區隔,,2012-11-26
248062,Psychological law of suggestion selling,建議銷售的心理法則,,2012-11-26
248063,Psychological and physical buying motives,心理及生理的購買動機,,2012-11-26
248064,Psychographic market segmentation,心理性市場區隔,,2012-11-26
248065,Protective warranty,保護性保證,,2012-11-26
248066,Protective packaging,保護性包裝,,2012-11-26
248067,Propensity to spend,支出傾向,,2012-11-26
248070,Propensity to consume,消費傾向,,2012-11-26
248071,Promotional warranties,推廣性保證,,2012-11-26
248072,Promotional value,推廣價值,,2012-11-26
248073,Promotional package,推廣性包裝,,2012-11-26
248074,Promotional orientation,推廣導向,,2012-11-26
248076,Promotional objectives,推廣目標,,2012-11-26
248078,Promotional mix,推廣組合,,2012-11-26
248079,Promotional games,推廣競賽,,2012-11-26
248080,Promotional effectiveness,推廣效果,,2012-11-26
248082,Promotional discounts,推廣折扣,,2012-11-26
248083,Promotional decisions,推廣決策,,2012-11-26
248084,Promotional decision game,推廣決策競賽,,2012-11-26
248086,Promotional competition,推廣性競爭,,2012-11-26
248087,Promotional assistance,推廣協助,,2012-11-26
248088,Promotional activities,推廣活動,,2012-11-26
248091,Promotion strategy,推廣策略,,2012-11-26
248092,Promotion opportunity,推廣機會,,2012-11-26
248093,Promotion experimentation,推廣實驗,,2012-11-26
248094,Promotion,推廣,,2012-11-26
248095,Promoting and selling,推廣與銷售,,2012-11-26
248097,Project planning decisions,方案規劃決策,,2012-11-26
