ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3281489,360-degree feedback,360度回饋,,360度回馈,2017-08-18
3281490,360-degree performance appraisal,360度績效評估,,360度绩效评估,2017-08-18
3281491,5-hydroxytryptamine ； 5-HT,5-羥基色胺,,5-羟色胺,2017-08-18
3281492,5-hydroxytryptophan ； 5-HTP,5-羥基色胺酸,,5-羟色氨酸,2017-08-18
3281493,6-hydroxydopamine (6-OHDA),6-羥基多巴胺,,6-羟多巴胺,2017-08-18
3281494,80/20 principle ；80/20 rule,80/20法則；80/20定律,,二八法则；二八定律,2017-08-18
3281495,AAMD Adaptive Behavior Scale,美國智能障礙學會適應行為量表,,"美国心理缺陷协会适应行为量表,AAMD适应行为量表",2017-08-18
3281496,ABBA counterbalancing,ABBA對抗平衡,,ABBA平衡法,2017-08-18
3281497,ABC assessment,ABC衡鑑,,ABC评估,2017-08-18
3281498,ABC attitude hierarchies of effect,ABC態度階層效果,,ABC态度层级效应,2017-08-18
3281499,ABC model of attitude,態度的ABC模式,,态度ABC模型,2017-08-18
3281500,ABC model of behavior,行為的ABC模式,,行为ABC模型,2017-08-18
3281501,abducens nerve ； abducent nerve,外旋神經,,展神经；外展神经,2017-08-18
3281502,abducens nucleus,外旋神經核,,展神经核；外展神经核,2017-08-18
3281503,ability,能力,,能力,2017-08-18
3281504,ability grouping,能力分組,,能力分组,2017-08-18
3281505,ability test,能力測驗,,能力测验,2017-08-18
3281506,ability trait,能力特質,,能力特质,2017-08-18
3281507,ablation,損傷,,损伤,2017-08-18
3281508,abnormal behavior,異常行為；違常行為；偏態行為,,异常行为,2017-08-18
3281509,abnormal psychology,異常心理學；變態心理學,,异常心理学,2017-08-18
3281510,abnormality ； abnormal,異常；違常；偏態,,异常,2017-08-18
3281511,absence state,失神狀態,,失神状态,2017-08-18
3281512,absenteeism,曠職；缺勤,,缺勤,2017-08-18
3281513,absolute decision,絕對決策,,绝对决策,2017-08-18
3281514,absolute sensitivity,絕對感受性,,绝对感受性,2017-08-18
3281515,absolute threshold,絕對閾[限],,绝对阈限,2017-08-18
3281516,absorption spectrum,吸收光譜,,吸收光谱,2017-08-18
3281517,absorptive phase,吸收期,,吸收期,2017-08-18
3281518,abstinence violation effect   (AVE),違反禁戒效應,,破堤效应,2017-08-18
3281519,abstract concept,抽象概念,,抽象概念,2017-08-18
3281520,abstract thinking,抽象思考,,抽象思维,2017-08-18
3281521,abstraction,抽象[歷程],,抽象,2017-08-18
3281522,abulia,意志缺失,,意志缺失,2017-08-18
3281523,abuse,濫用,,滥用,2017-08-18
3281524,academic achievement,學業成就,,学业成就,2017-08-18
3281525,academic achievement test,學業成就測驗,,学业成就测验,2017-08-18
3281526,academic potential test,學業潛力測驗,,学业潜力测验,2017-08-18
3281527,acceptance,接受；接納,,接受,2017-08-18
3281528,accessibility,易提取性；易觸及性,,"可达性,可存取性",2017-08-18
3281529,accessibility heuristics,易提取性捷思法；易觸及性捷思法,,易获得性启发法,2017-08-18
3281530,accessory olfactory bulb   (AOB),副嗅球,,副嗅球,2017-08-18
3281531,accident analysis,事故分析,,事故分析,2017-08-18
3281532,accident proneness,事故傾向,,事故倾向,2017-08-18
3281533,accidental error,偶然誤差,,偶然误差,2017-08-18
3281534,accommodation,調適；調節,,顺应,2017-08-18
3281535,acculturation ； enculturation,涵化；文化適應,,文化适应,2017-08-18
3281536,acetylcholine esterase  ( AChE),乙醯膽鹼酯化酶,,乙酰胆碱酯酶,2017-08-18
3281537,acetylcholine  ( Ach),乙醯膽鹼,,乙酰胆碱,2017-08-18
3281538,achievement,成就,,成就,2017-08-18
3281539,achievement attributional theory,成就歸因理論,,成就归因理论,2017-08-18
3281540,achievement motivation,成就動機,,成就动机,2017-08-18
3281541,achievement motivation theory,成就動機理論,,成就动机理论,2017-08-18
3281542,achievement quotient,成就商數,,成就商数,2017-08-18
3281543,achievement striving,追求成就,,追求成就,2017-08-18
3281544,achievement test,成就測驗,,成就测验,2017-08-18
3281545,achiever,成就者,,成就者,2017-08-18
3281546,achromatic color,無彩顏色；非彩色,,非彩色,2017-08-18
3281547,achromatopsia,色彩感應失能症；失色症,,全色盲,2017-08-18
3281548,acoustic buffers,聽覺緩衝器,,听觉缓冲器,2017-08-18
3281549,acoustic code,聲碼,,声音编码,2017-08-18
3281550,acoustic memory,聽覺記憶,,听觉记忆,2017-08-18
3281551,acoustic nerve ； auditory nerve,聽[覺]神經,,听神经,2017-08-18
3281552,acoustic pressure level,聲壓水準,,声压级,2017-08-18
3281553,acoustic reflex,聽[覺]反射,,听觉反射,2017-08-18
3281554,acoustic shadow,聲音陰影,,声音阴影,2017-08-18
3281555,acoustic stimulus,聽覺刺激,,听觉刺激,2017-08-18
3281556,acquiescence response set,默從反應心向,,默认反应心向；默许心向反应,2017-08-18
3281557,acquired dyslexsia,後天性閱讀障礙；後天性失讀症；後天型失讀症,,习得性失读症,2017-08-18
3281558,acquired immune deficiency syndrome  ( AIDS),後天免疫不全症候群；愛滋病,,"获得性免疫缺陷综合征,艾滋病",2017-08-18
3281559,acquired need,習得需求,,习得需要,2017-08-18
3281560,acquisition,獲得[歷程]；習得[歷程]；購倂,,习得,2017-08-18
3281561,acrophobia,懼高症,,恐高症,2017-08-18
3281562,act,行動；動作,,行动,2017-08-18
3281563,act-frequency approach,行動-頻率取向,,行动-频率法,2017-08-18
3281564,actigraph,活動記錄器,,活动记录仪,2017-08-18
3281565,action,動作,,动作,2017-08-18
3281566,action imitation,動作模仿,,动作模仿,2017-08-18
3281567,action learning,行動學習法,,行动学习法,2017-08-18
3281568,action modeling,動作示範；動作仿效；動作模仿,,动作建模,2017-08-18
3281569,action orientation,行動導向,,动作定向,2017-08-18
3281570,action potential,動[作]電位,,动作电位,2017-08-18
3281571,action research,行動研究,,行动研究,2017-08-18
3281572,action stability,動作穩定性,,动作稳定性,2017-08-18
3281573,action tendency,行動傾向,,行动倾向,2017-08-18
3281574,activating event,觸發事件,,触发事件,2017-08-18
3281575,activation,活化作用,,启动作用,2017-08-18
3281576,activation model,激發模式；活化模式,,启动模型,2017-08-18
3281577,activation model of memory,記憶激發模式；記憶活化模式,,记忆启动模型,2017-08-18
3281578,activational effect of hormone,激素啟動效果,,激素启动效应,2017-08-18
3281579,active listening,積極傾聽,,积极倾听,2017-08-18
3281580,active perception,主動知覺,,主动知觉,2017-08-18
3281581,active process,主動處理,,"主动加工,主动处理",2017-08-18
3281582,active touch,主動觸覺,,主动触觉,2017-08-18
3281583,activity,活動,,活动,2017-08-18
3281584,activity analysis,活動分析,,活动分析,2017-08-18
3281585,activity approach,活動取向,,活动取向,2017-08-18
3281586,activity level,活動量；活動程度,,活动水平,2017-08-18
3281587,activity theory,活動理論,,活动理论,2017-08-18
3281588,actor-observer bias,行動者-觀察者偏誤,,行动者-观察者偏倚,2017-08-18
