ID,英文名稱,中文名稱,圖片,更新日期
3270405,"""Aha"" experience",「啊哈」頓悟經驗,,2017-08-18
3270406,16PF(Cattell's 16 personality factor questionnaire),卡特爾十六種人格因素測驗,,2017-08-18
3270407,2-deoxyglucose(2-DG),2－去氧葡萄糖,,2017-08-18
3270408,360-degree feedback,360度回饋,,2017-08-18
3270409,360-degree performance appraisals,360度績效評估,,2017-08-18
3270410,3-methoxy-4-hydroxy phenylglycol(MHPG),3－甲氧基－4羥基苯乙二醇｛註：正腎上腺素之代謝物｝,,2017-08-18
3270411,5-HIAA(5-Hydroxyindoleacetic acid),5－氫氧靛基醋酸、5－羥吲哚乙酸,,2017-08-18
3270412,5-HT(5-hydroxytryptamine),5－羥色胺、血清素,,2017-08-18
3270413,5-HTP(5-hydroxytryptophan),5－羥基色胺酸,,2017-08-18
3270414,5-hydroxindoleacetic acid(5-HIAA),5－羥色胺酸、5－羥吲哚 乙酸｛註：血清素之代謝物｝,,2017-08-18
3270415,6-OHDA(6-hydroxydopamine),6－羥基多巴胺,,2017-08-18
3270416,80/20 principle,80/20定律,,2017-08-18
3270417,80/20 rule,80/20法則,,2017-08-18
3270418,AA(Alcoholics Anonymous),戒酒匿名團體,,2017-08-18
3270419,AAA(Alcoholics Anonymous Association),戒酒匿名協會,,2017-08-18
3270420,AAMD Adaptive Behavior Scale,美國智能障礙學會適應行為量表,,2017-08-18
3270421,AARP(American Association of Retired Persons),美國退休人員協會,,2017-08-18
3270422,ABA own-control research,ABA自我－控制研究,,2017-08-18
3270423,ABA research,ABA（自我－控制）研究,,2017-08-18
3270424,abasement,貶抑,,2017-08-18
3270425,ABC assessment,ABC衡鑑,,2017-08-18
3270426,ABC attitude hierarchies effect,ABC態度階層效果,,2017-08-18
3270427,ABC model of attitude,態度的ABC模式,,2017-08-18
3270428,ABC model of behavior,行為的ABC模式,,2017-08-18
3270429,ABC model of REBT,理情行為治療的ABC模式,,2017-08-18
3270430,abducens nerve,外旋神經,,2017-08-18
3270431,abducens nucleus,外旋神經核,,2017-08-18
3270432,abient behavior,畏避行為,,2017-08-18
3270433,ability,能力,,2017-08-18
3270434,ability avoidance goal,能力逃避目標,,2017-08-18
3270435,ability goal,能力目標,,2017-08-18
3270436,ability grouping,能力分組,,2017-08-18
3270437,ability test,能力測驗,,2017-08-18
