ID,英文名稱,中文名稱,圖片,更新日期
3354519,0 to 6-year-old child development screening scale,零至六歲兒童發展篩檢量表,,2018-03-20
3354520,abstraction,抽象化,,2018-03-20
3354521,accessibility,無障礙設施,,2018-03-20
3354522,accommodation,調適,,2018-03-20
3354523,accountability,績效評鑑,,2018-03-20
3354524,accreditation,認可制,,2018-03-20
3354525,achievement tests,成就測驗,,2018-03-20
3354526,action research,行動研究,,2018-03-20
3354527,activity level,活動量,,2018-03-20
3354528,adaptability,適應程度,,2018-03-20
3354529,adaptation,適應,,2018-03-20
3354530,Adaptive Behavior Assessment System-second edition {=ABAS-II},適應行為評量系統 (第二版幼兒版),,2018-03-20
3354531,adventure playground,冒險性遊戲場,,2018-03-20
3354532,aesthetic education,美感教育；美育,,2018-03-20
3354533,aesthetic experience,審美經驗,,2018-03-20
3354534,aggression,攻擊,,2018-03-20
3354535,alternative education,另類教育,,2018-03-20
3354536,alternative school,另類學校,,2018-03-20
3354537,altruism,利他行為主義,,2018-03-20
3354538,anal stage,肛門期,,2018-03-20
3354539,analogical reasoning,類比推理,,2018-03-20
3354540,anecdotal record,軼事記錄,,2018-03-20
3354541,animism,泛靈論,,2018-03-20
3354542,anthroposophy,人智學,,2018-03-20
3354543,anti-bias curriculum,反偏見課程,,2018-03-20
3354544,anti-intellectualism,反智主義,,2018-03-20
3354545,approach/ withdrawal,趨近或退縮,,2018-03-20
3354546,appropriate use of technology and media,科技與媒體的適切使用,,2018-03-20
3354547,arbitrary inference,任意推斷,,2018-03-20
3354548,area objectives,領域目標,,2018-03-20
3354549,art area；art center,美勞區,,2018-03-20
3354550,Art as experience,藝術即經驗,,2018-03-20
3354551,artifacts,作品,,2018-03-20
3354552,asocial phase,非社會期,,2018-03-20
3354553,assimilation,同化,,2018-03-20
3354554,assistive technology,輔助科技,,2018-03-20
3354555,at-risk children and families,高風險兒童與家庭,,2018-03-20
3354556,attachment,依附行為,,2018-03-20
3354557,attachment parenting styles,依附教養風格,,2018-03-20
3354558,attention span,注意廣度,,2018-03-20
3354559,attention span and persistence,注意廣度和堅持度,,2018-03-20
3354560,Attention-deficit hyperactivity disorder {=ADHD},注意力不足過動症,,2018-03-20
3354561,authentic evaluation,真實評量,,2018-03-20
3354562,authoritarian parenting,獨裁式教養,,2018-03-20
3354563,authoritative parenting,權威式教養,,2018-03-20
3354564,authority and social-order maintaining orientation,遵守法規取向,,2018-03-20
3354565,autism,自閉症,,2018-03-20
3354566,axial balance,身體中軸的平衡,,2018-03-20
3354567,babbles; babbling,咿咿呀呀；呀語,,2018-03-20
3354568,baby biography,幼兒傳記法,,2018-03-20
3354569,Bank street approach,河濱街學前教育模式,,2018-03-20
3354570,Barbinski reflex,巴賓斯反射,,2018-03-20
3354571,Barclay Classroom Climate Inventory {=BCCI},巴克雷班級氣氛量表,,2018-03-20
3354572,bedside teaching,床邊教學,,2018-03-20
3354573,behavior of courses pedagogy,行為課程教學法,,2018-03-20
3354574,behavioral inhibition,行為抑制,,2018-03-20
3354575,Berry-Buktenica Developmental Test of Visual-Motor Integration {=VMI},拜瑞－布坦尼卡 視覺－動作統整發展測驗,,2018-03-20
3354576,bilingual education,雙語教學,,2018-03-20
3354577,block area；block center,積木區,,2018-03-20
3354578,bodily-kinesthetic intelligence,肢體-動覺智能,,2018-03-20
3354579,borderland discourse,邊界論述,,2018-03-20
3354580,broad-fields curriculum,廣域課程,,2018-03-20
3354581,budget analysis,預算分析,,2018-03-20
3354582,bulletin board,布告欄,,2018-03-20
3354583,caregiver ,托育人員,,2018-03-20
3354584,caregiving hypothesis,照顧假說,,2018-03-20
3354585,catching,補抓,,2018-03-20
3354586,catgorical self,分類自我,,2018-03-20
3354587,centration,集中化,,2018-03-20
3354588,cephalocaudal principle,頭尾原則,,2018-03-20
3354589,certificate of service,服務證明書,,2018-03-20
3354590,"Chen,Hao Qin",陳鶴琴,,2018-03-20
3354591,child,幼兒,,2018-03-20
3354592,child abuse,兒童虐待,,2018-03-20
3354593,child care center inspection and coaching,托嬰中心訪視輔導,,2018-03-20
3354594,child care provider,保母人員,,2018-03-20
3354595,Child Development Program Evaluation Scale {=CDPES},兒童發展方案評估表,,2018-03-20
3354596,child guidance,兒童輔導,,2018-03-20
3354597,child neglect,兒童疏忽,,2018-03-20
3354598,child Welfare,兒童福利,,2018-03-20
3354599,childcare allowance,育兒津貼,,2018-03-20
3354600,childcare providers,托育服務人員,,2018-03-20
3354601,childcare providers' registrations,托育人員登記,,2018-03-20
3354602,child-centered,兒童中心,,2018-03-20
3354603,Children's Home,兒童之家,,2018-03-20
3354604,children's museums,兒童博物館,,2018-03-20
3354605,Chinese Version of Pediatric Evaluation of Disability Invertory {=PEDI-C},兒童生活功能量表(中文版),,2018-03-20
3354606,chronosystem,時間系統,,2018-03-20
3354607,class organization,班級組成,,2018-03-20
3354608,classical conditioning,古典制約,,2018-03-20
3354609,classification,分類,,2018-03-20
