ID,英文名稱,中文名稱,圖片,更新日期
3390194,3 R's,讀寫算,,2018-03-21
3390195,a despotism in perilous equilibrium,危險平衡狀態的專制,,2018-03-21
3390196,ability grouping within class,班級內能力分組,,2018-03-21
3390197,ability tracking,能力分軌,,2018-03-21
3390198,ability grouping,能力分組,,2018-03-21
3390199,ability streaming,能力分班；能力分流,,2018-03-21
3390200,academic capitaism,學術資本主義,,2018-03-21
3390201,academic colonialism,學術殖民主義,,2018-03-21
3390202,academic curriculum,學術課程,,2018-03-21
3390203,academic dishonesty,學術不誠實,,2018-03-21
3390204,academic freedom,學術自由,,2018-03-21
3390205,academic procession,學術過程,,2018-03-21
3390206,academic program,學術課程,,2018-03-21
3390207,academic radicalism,學術基進主義；學術激進主義,,2018-03-21
3390208,academic self-concept,學術自我觀念；學術自我概念,,2018-03-21
3390209,accommodation model,適應方式,,2018-03-21
3390210,acculturation,涵化,,2018-03-21
3390211,achieved identity,成就式認同,,2018-03-21
3390212,achievement,成就,,2018-03-21
3390213,achieved status,獲致的地位；成就的地位,,2018-03-21
3390214,achieved characteristics,成就特徵,,2018-03-21
3390215,achievement gap,成就落差,,2018-03-21
3390216,ascribed role,歸屬[的]角色；天賦角色,,2018-03-21
3390217,ascribed status,歸屬的地位；天賦的地位,,2018-03-21
3390218,achievement ideology,成就的意識型態,,2018-03-21
3390219,achievement motivation,成就動機,,2018-03-21
3390220,achievement press,成就壓力,,2018-03-21
3390221,achievement test,成就測驗,,2018-03-21
3390222,act,行為,,2018-03-21
3390223,action,行動,,2018-03-21
3390224,action resources,行動資源,,2018-03-21
3390225,action space,行動空間,,2018-03-21
3390226,adequate yearly progress {=AYP},年度進步情形,,2018-03-21
3390227,advanced differentiation,提前分化,,2018-03-21
3390228,affective neutrality,情感中立,,2018-03-21
3390229,affective or emotional action,情緒行動；情感行動,,2018-03-21
3390230,affectivity,情感性,,2018-03-21
3390231,affirmative action,優惠措施；肯定行動,,2018-03-21
3390232,age group,年齡組,,2018-03-21
3390233,agency,施為；能動性；創新行動,,2018-03-21
3390234,agency of socialization,社會化機構,,2018-03-21
3390235,socialization agents,社會化機構,,2018-03-21
3390236,AGIL social system model,帕深思的社會系統模式,,2018-03-21
3390237,alienation,異化；疏離,,2018-03-21
3390238,all-ability groups,混合能力團體,,2018-03-21
3390239,allocation,分配；分派,,2018-03-21
3390240,allocation theory,分配論,,2018-03-21
3390241,alternative school movement,另類學校運動,,2018-03-21
3390242,alternative schools,變通學校；另類學校,,2018-03-21
3390243,alternative ways of knowing,另類認知方式,,2018-03-21
3390244,American association for the educational sociology,美國教育社會學研究協會,,2018-03-21
3390245,Journal of Sociology of Education,教育社會學刊 {美國},,2018-03-21
3390246,American Federation of Teachers,美國教師聯盟,,2018-03-21
3390247,anomie,脫序,,2018-03-21
3390248,anti-apartheid,{南非社會}反種族隔離,,2018-03-21
3390249,desegregation,{美國社會}反種族隔離,,2018-03-21
3390250,anticipatory socialization,預期社會化,,2018-03-21
3390251,anti-essentialism,反本質論,,2018-03-21
3390252,anti-intellectualism,反智主義,,2018-03-21
3390253,anti-intellectuall society,反智社會,,2018-03-21
3390254,anti-racism,反種族歧視主義,,2018-03-21
3390255,anti-racist education,反種族主義的教育,,2018-03-21
3390256,Apollonian,阿波羅型；太陽神型,,2018-03-21
3390257,Dionysian,酒神型；戴奧尼型,,2018-03-21
3390258,apprenticeship,學徒制,,2018-03-21
3390259,approval-seeker,贊同的尋求者,,2018-03-21
3390260,aristocratic ideology,貴族意識型態,,2018-03-21
3390261,ascription,歸因,,2018-03-21
3390262,assertive group,抗訴團體,,2018-03-21
3390263,assimilation,同化,,2018-03-21
3390264,attendance rate,出席率,,2018-03-21
3390265,authoritarian leadership,威權領導,,2018-03-21
3390266,authoritarianism,威權主義,,2018-03-21
3390267,authority,權威,,2018-03-21
3390268,authority of specialized competence,專門知能的權威,,2018-03-21
3390269,authority-figure,權威形象,,2018-03-21
3390270,autonomy,自主,,2018-03-21
3390271,back stage,後台,,2018-03-21
3390272,Back to the Basics,回歸基礎學科,,2018-03-21
3390273,Balkanization,巴爾幹化,,2018-03-21
3390274,banding,能力分段,,2018-03-21
3390275,banking pedagogy,囤積式教學,,2018-03-21
3390276,base,底層,,2018-03-21
3390277,infrastructure,基礎結構,,2018-03-21
3390278,basic repression,基本的壓抑,,2018-03-21
3390279,bearer of social relations,社會關係的腳夫,,2018-03-21
3390280,behavioural conformity,行為順從,,2018-03-21
3390281,bias,偏見；成見,,2018-03-21
3390282,Big business,大生意,,2018-03-21
