ID,英文名稱,中文名稱,圖片,更新日期
3545211,aberrant behavior,異常行為,,2018-06-26
3545212,academic learning disabilities,學業性學習障礙,,2018-06-26
3545213,acceleration curriculum,加速課程,,2018-06-26
3545214,accessibility,可及性,,2018-06-26
3545215,Adapted Physical Education{=APE},適應體育,,2018-06-26
3545216,adaptive behavior,適應行為,,2018-06-26
3545217,adaptive equipment,擺位輔具,,2018-06-26
3545218,Advanced Placement {=AP},進階安置,,2018-06-26
3545219,affective curriculum,情意課程,,2018-06-26
3545220,affective disorders,情感性疾患,,2018-06-26
3545221,age-inappropriate behavior,不適齡行為,,2018-06-26
3545222,Aided Language Modeling {=ALM},輔助性語言示範,,2018-06-26
3545223,Aided Language Stimulation {=ALgS},輔助性語言刺激,,2018-06-26
3545224,alternative assessment,替代性評量(特教),,2018-06-26
3545225,American Sign Language {=ASL},美國手語,,2018-06-26
3545226,Americans with Disabilities Act{=ADA},美國身心障礙者法案,,2018-06-26
3545227,anchor activities,定錨活動,,2018-06-26
3545228,animal-assisted therapy,動物輔助治療,,2018-06-26
3545229,antisocial personality disorder,反社會性格,,2018-06-26
3545230,anxiety disorders,焦慮性疾患,,2018-06-26
3545231,aphasia,失語症,,2018-06-26
3545232,apraxia,失用症,,2018-06-26
3545233,art therapy,藝術治療,,2018-06-26
3545234,articulation disorders,構音異常,,2018-06-26
3545235,Ascending Levels of Intellectual Demand{=ALID},智慧需求層次,,2018-06-26
3545236,Asperger's Syndrome,亞斯伯格症,,2018-06-26
3545237,assessment accommodation,評量調整,,2018-06-26
3545238,assessment-based,評量本位,,2018-06-26
3545239,assistive device,輔具,,2018-06-26
3545240,assistive technology,輔助科技,,2018-06-26
3545241,at-risk gifted learner,高風險資優學習者,,2018-06-26
3545242,Attention-Deficit Hyperactivity Disorder {=ADHD},注意力缺陷過動症,,2018-06-26
3545243,audiologist,聽力師,,2018-06-26
3545244,audiology,聽力學,,2018-06-26
3545245,auditory memory,聽覺記憶,,2018-06-26
3545246,auditory-verbal approach,聽覺口語法,,2018-06-26
3545247,Augmentative and Alternative Communication {=AAC},擴大性和替代性溝通系統；輔助溝通系統,,2018-06-26
3545248,Autism {=Autistic Disorder},自閉症,,2018-06-26
3545249,Autism Spectrum,自閉症光譜；自閉症譜系,,2018-06-26
3545250,Autism Spectrum Disorders {=ASD},自閉症光譜障礙,,2018-06-26
3545251,Autism Spectrum Quotient,自閉症光譜量表,,2018-06-26
3545252,Autism therapies,自閉症療法,,2018-06-26
3545253,Autonomous Learner Model {=ALM},自主學習者模式,,2018-06-26
3545254,barrier-free environment,無障礙環境,,2018-06-26
3545255,behavior modification,行為改變技術,,2018-06-26
3545256,behavioral therapy,行為治療,,2018-06-26
3545257,bilingual-bicultural approach,雙語雙文化教學；雙語教學,,2018-06-26
3545258,blind,全盲,,2018-06-26
3545259,blurred vision,視力模糊,,2018-06-26
3545260,Braille,點字,,2018-06-26
3545261,brain control interface,腦控介面,,2018-06-26
3545262,career counseling,職業輔導,,2018-06-26
3545263,career transition,生涯轉銜,,2018-06-26
3545264,case manager,個案管理員,,2018-06-26
3545265,Cerebral Palsy{=CP},腦性麻痺,,2018-06-26
3545266,charter school,特許學校,,2018-06-26
3545267,child with disability,身心障礙兒童,,2018-06-26
3545268,Childhood Autism Rating Scale {=CARS},自閉症兒童行為檢核表,,2018-06-26
3545269,Childhood Disintegrative Disorder,兒童期崩解症,,2018-06-26
3545270,Children Developmental Milestone Checking List,兒童發展里程檢核表,,2018-06-26
3545271,cleft palate,唇顎裂,,2018-06-26
3545272,cochlear implantation,耳蝸植入術；人工電子耳,,2018-06-26
3545273,cognitive behavioral therapy,認知行為治療,,2018-06-26
3545274,cognitive training,認知訓練,,2018-06-26
3545275,collaborative consultation,合作諮詢,,2018-06-26
3545276,color blindness,色盲,,2018-06-26
3545277,common core standards,共同核心標準,,2018-06-26
3545278,communication disorder,溝通障礙,,2018-06-26
3545279,communication functions,溝通功能,,2018-06-26
3545280,communication intent,溝通意圖,,2018-06-26
3545281,community integration,社區整合,,2018-06-26
3545282,Complex Communication Needs {=CCN},複雜溝通需求,,2018-06-26
3545283,Computer Adaptive Testing {=CAT},電腦化適性測驗,,2018-06-26
3545284,conceptual skills,概念技能,,2018-06-26
3545285,conduct disorders,行為規範障礙；素行不良,,2018-06-26
3545286,conductive hearing impairment,傳音性聽力損失,,2018-06-26
3545287,content acceleration,學科加速,,2018-06-26
3545288,cooperative learning,合作學習,,2018-06-26
3545289,Core Curriculum,核心課程(資優教育Parallel Curriculum Model),,2018-06-26
3545290,core vocabulary,核心詞彙,,2018-06-26
3545291,corrective shoes,矯正鞋,,2018-06-26
3545292,Creative Problem Solving{=CPS},創造性問題解決,,2018-06-26
3545293,cued speech,暗示法,,2018-06-26
3545294,Curriculum of Connections,連結課程(資優教育Parallel Curriculum Model),,2018-06-26
3545295,Curriculum of Identity,認同課程(資優教育Parallel Curriculum Model),,2018-06-26
3545296,Curriculum of Practice,實務課程(資優教育Parallel Curriculum Model),,2018-06-26
3545297,curriculum-based vocational assessment,課程本位職業評估,,2018-06-26
3545298,daily life function,日常生活功能,,2018-06-26
3545299,daily living skills,日常生活技能,,2018-06-26
3545300,day care,日間照護,,2018-06-26
3545301,deaf culture,聾人文化,,2018-06-26
3545302,deaf or hard of hearing,聾；重聽,,2018-06-26
3545303,deaf-blind child,聾盲兒童,,2018-06-26
3545304,de-institutionalization,去機構化,,2018-06-26
3545305,developmental delay,發展遲緩,,2018-06-26
3545306,Developmental Disability {=DD},發展障礙,,2018-06-26
3545307,developmental learning disabilities,發展性學習障礙,,2018-06-26
3545308,developmental milestone,發展里程碑,,2018-06-26
3545309,devient characteristics,偏差個性,,2018-06-26
3545310,Diagnostic Testing and Prescriptive Instruction {=DT/PI},診斷測驗處方教學,,2018-06-26
3545311,differential curriculum,區分性課程(資優教育名詞),,2018-06-26
3545312,differentiated instruction,區分性教學(資優教育名詞),,2018-06-26
3545313,direct selection,直接選擇,,2018-06-26
3545314,Discovering Intellectual Strengths and Capabilities while Observing Varied Ethnic Responses,DISCOVER課程模式 (資優教育名詞),,2018-06-26
3545315,Discrete Trial Training {=DTT},離散試訓,,2018-06-26
3545316,disorientation,喪失知覺方向,,2018-06-26
3545317,double-labeled,雙重標記,,2018-06-26
3545318,Down Syndrome {=DS} {=DNS},唐氏症,,2018-06-26
3545319,dual exceptionality,雙重殊異,,2018-06-26
3545320,due process hearing,正當程序的公聽,,2018-06-26
3545321,dysarthria,呐吃,,2018-06-26
3545322,dyscalculia,算術障礙,,2018-06-26
3545323,dysfluencies,口語不流暢,,2018-06-26
3545324,dysgraphia,書寫障礙,,2018-06-26
3545325,dyslexia,失讀症；閱讀障礙,,2018-06-26
3545326,Early Expressive Language Delay {=EELD},早期表達性語言遲緩,,2018-06-26
3545327,early intervention,早期介入,,2018-06-26
3545328,early-intervention transition,早期療育階段轉銜,,2018-06-26
3545329,Education Program for Gifted Youth {=EPGY},資優青少年教育方案,,2018-06-26
3545330,electric wheelchair,電動輪椅,,2018-06-26
3545331,Electroencephalogram {=EEG},腦電波圖,,2018-06-26
3545332,elimination diets,消除飲食,,2018-06-26
3545333,emotional intelligence,情緒智商,,2018-06-26
3545334,Emotional or Behavior Disorders {=EBD},情緒行為障礙,,2018-06-26
3545335,empathizing–systemizing theory,同理心─系統化理論,,2018-06-26
3545336,employment service,就業服務,,2018-06-26
3545337,employment specialist,就業服務員,,2018-06-26
3545338,Enrichment Matrix Model,充實矩陣,,2018-06-26
3545339,Enrichment Triad Model,三合充實模式,,2018-06-26
3545340,Epilepsy {=Seizure Disorder},癲癇；癲癇發作,,2018-06-26
3545341,expressive language,表達性語言,,2018-06-26
3545342,extended employment,延續性就業,,2018-06-26
3545343,eye-hand coordination ,手眼協調,,2018-06-26
3545344,family systems theory,家庭系統理論,,2018-06-26
3545345,family therapy,家族治療,,2018-06-26
3545346,Fetal Alcohol Syndrome {=FAS},胎兒酒精症候群,,2018-06-26
3545347,fine motor,精細動作,,2018-06-26
3545348,fine motor skills,精細動作技能,,2018-06-26
3545349,fingerspelling,手指語,,2018-06-26
3545350,flaccid cerebral palsy,低張力型腦性麻痺,,2018-06-26
3545351,flexibility,柔軟度,,2018-06-26
3545352,fragile X syndrome,X染色體脆折症,,2018-06-26
3545353,free appropriate public education,免費且適性的公立教育,,2018-06-26
3545354,functional academic curriculum,功能性學科課程,,2018-06-26
3545355,functional behavior analysis,功能性行為分析,,2018-06-26
3545356,functional curriculum,功能性課程,,2018-06-26
3545357,functional Magnetic Resonance Imaging  {=fMRI},功能性核磁共振造影,,2018-06-26
3545358,functional Magnetic Resonance Spectroscopy  {=fMRS},功能性核磁共振頻譜,,2018-06-26
3545359,functional visual assessment,功能性視覺評量,,2018-06-26
3545360,gifted and talented,資賦優異,,2018-06-26
3545361,graphic organizers ,圖形組織器,,2018-06-26
3545362,gross motor skills,粗大動作技能,,2018-06-26
3545363,guide dog,導盲犬,,2018-06-26
3545364,hearing aids,助聽器,,2018-06-26
3545365,High-functioning Autism {=HFA},高功能自閉症,,2018-06-26
3545366,high-incidence disabilities,高出現率障礙,,2018-06-26
3545367,high-risk families,高風險家庭,,2018-06-26
3545368,homeschooling,在家教育,,2018-06-26
3545369,hospital instruction,床邊教學,,2018-06-26
3545370,hybrid displays,混合式的版面；混合顯示,,2018-06-26
3545371,hydrocephalus,水腦症,,2018-06-26
3545372,hypertonicity,張力過高,,2018-06-26
3545373,iconicity representation,圖像表徵,,2018-06-26
3545374,IEP meeting,個別化教育計畫會議,,2018-06-26
3545375,IEP team,個別化教育計畫小組,,2018-06-26
3545376,inclusive education,融合教育,,2018-06-26
3545377,independent study,獨立研究,,2018-06-26
3545378,Individual Health Plan {=IHP},個別化健康計畫,,2018-06-26
3545379,Individual Program Plan {=IPP},個別化方案計畫,,2018-06-26
3545380,Individual Support Plan,個別化支持計畫,,2018-06-26
3545381,Individual Transition Plan {=ITP},個別化轉銜計畫,,2018-06-26
3545382,Individualized Education Program {=IEP},個別化教育計畫,,2018-06-26
3545383,Individualized Family Service Plan {=IFSP},個別化家庭服務計畫,,2018-06-26
3545384,Individualized Service Plan {=ISP},個別化服務方案,,2018-06-26
3545385,Individualized Written Rehabilitation Plan {=IWRP},個別化書面復健計畫,,2018-06-26
3545386,Individuals with Disabilities Education Act{=IDEA},特殊教育法(美國),,2018-06-26
3545387,Integrated Curriculum Model,統合課程模式,,2018-06-26
3545388,Integrative Education Model {=IEM},統整教育模式,,2018-06-26
3545389,intellectual disability,智能障礙,,2018-06-26
3545390,intellectual functioning,心智功能,,2018-06-26
3545391,Interdisciplinary Team Approach,專業間團隊合作,,2018-06-26
3545392,intrapersonal intelligence,內省智能,,2018-06-26
3545393,IQ-achievement discrepancy,智力-成就差距,,2018-06-26
3545394,job accommodation,職務再設計,,2018-06-26
3545395,job analysis,工作分析,,2018-06-26
3545396,job trainers,工作訓練師,,2018-06-26
3545397,joint attention,共享式注意力,,2018-06-26
3545398,juvenile delinquency,青少年犯罪,,2018-06-26
3545399,Landolt C,萬國視力量表,,2018-06-26
3545400,language disorders,語言障礙,,2018-06-26
3545401,learned helplessness,習得無助感,,2018-06-26
3545402,Learning Disabilities{=LD},學習障礙,,2018-06-26
3545403,learning transfer,學習遷移,,2018-06-26
3545404,Least Restrictive Environment{=LRE},最少限制環境,,2018-06-26
3545405,life career rainbow,生涯彩虹圖,,2018-06-26
3545406,life reconstruction,生活重建,,2018-06-26
3545407,lifelong transition,終身轉銜,,2018-06-26
3545408,linguistic intelligence,語文智能,,2018-06-26
3545409,logical-mathematical intelligence,邏輯-數學智能,,2018-06-26
3545410,low vision,弱視,,2018-06-26
3545411,low-incidence disabilities,低出現率障礙,,2018-06-26
3545412,mainstreaming,回歸主流,,2018-06-26
3545413,Maternal Serun Screening{=MSS},母親血液篩檢,,2018-06-26
3545414,mental acuity,心智敏銳度,,2018-06-26
3545415,mental age,心理年齡,,2018-06-26
3545416,mental disorders,精神性疾患,,2018-06-26
3545417,mentorship program,良師典範方案,,2018-06-26
3545418,microcephalus,小腦症,,2018-06-26
3545419,milieu teaching,自然情境教學,,2018-06-26
3545420,Minimal Brain Dysfunction {=MBD},輕微腦功能失調,,2018-06-26
3545421,mnemonics,記憶術,,2018-06-26
3545422,morphology,構詞,,2018-06-26
3545423,motor development,動作發展,,2018-06-26
3545424,mounting system,支撐系統,,2018-06-26
3545425,multidisciplinary team,多專業團隊,,2018-06-26
3545426,Multidisciplinary Team Approach,多專業團隊合作,,2018-06-26
3545427,multi-level instruction,多層次教學,,2018-06-26
3545428,Multiple Intelligences{=MI},多元智能,,2018-06-26
3545429,Multiple Menu Model,多種菜單模式,,2018-06-26
3545430,muscle strength,肌肉力氣,,2018-06-26
3545431,muscle tone,肌肉張力,,2018-06-26
3545432,musical intelligence,音樂智能,,2018-06-26
3545433,National Association for Gifted Children {=NAGC},國家資優教育學會(美國),,2018-06-26
3545434,naturalist intelligence,自然觀察智能,,2018-06-26
3545435,Next Generation Science Standards {=NGSS},次世代的科學標準,,2018-06-26
3545436,No Child Left Behind Act {=NCLB},不讓任何一個孩子落後法(美國)；無孩子落後法,,2018-06-26
3545437,Nonverbal Learning Disabilities {=NLD},非語文學習障礙,,2018-06-26
3545438,normalization,常態化；正常化,,2018-06-26
3545439,nuchal translucency ultrasound,頸部透明帶檢查,,2018-06-26
3545440,occupational therapist,職能治療師,,2018-06-26
3545441,Occupational Therapy {=OT},職能治療,,2018-06-26
3545442,Operation Houndstooth Theory,千鳥格經緯論,,2018-06-26
3545443,Optical Character Recognition {=OCR} ,光學文字辨識,,2018-06-26
3545444,optical devices,光學輔助工具,,2018-06-26
3545445,optimum placement,適當安置,,2018-06-26
3545446,oral method,口語法,,2018-06-26
3545447,Orientation and Mobility {=O&M},定向行動 ,,2018-06-26
3545448,orthographic symbols,讀音拼字法符號,,2018-06-26
3545449,physical disabilities,肢體障礙,,2018-06-26
3545450,orthotics,裝具,,2018-06-26
3545451,Osteogenesis Imperfecta,成骨不全症,,2018-06-26
3545452,Overexcitabilities{=OEs},過度激動特質,,2018-06-26
3545453,overlearning,過度學習,,2018-06-26
3545454,Parallel Curriculum Model{=PCM},平行課程模式,,2018-06-26
3545455,parent education,親職教育,,2018-06-26
3545456,parent involvment,家長參與,,2018-06-26
3545457,parent-teacher  cooperation,親師合作,,2018-06-26
3545458,participation models,參與模式,,2018-06-26
3545459,pathological disorders,病態性格,,2018-06-26
3545460,pencil grip,握筆器,,2018-06-26
3545461,Phenylketonuria {=PKU},苯酮尿症,,2018-06-26
3545462,phobia disorders,恐懼性疾患,,2018-06-26
3545463,phonemes,音素,,2018-06-26
3545464,phonological awareness,音韻覺識,,2018-06-26
3545465,phonological disorders,音韻障礙；音韻異常,,2018-06-26
3545466,phonology,語音,,2018-06-26
3545467,physical aggression,身體攻擊,,2018-06-26
3545468,Physical Fitness,體適能,,2018-06-26
3545469,physical therapist,物理治療師,,2018-06-26
3545470,Physical Therapy,物理治療,,2018-06-26
3545471,pictorial symbols,圖像符號,,2018-06-26
3545472,Picture Exchange Communication System {=PECS},圖片兌換溝通系統,,2018-06-26
3545473,Pivotal Response Treatment{=PRT},應答反應治療,,2018-06-26
3545474,pivotal response training,核心反應訓練,,2018-06-26
3545475,poor vision,視力不良,,2018-06-26
3545476,position awareness,方位認識,,2018-06-26
3545477,Positive Behaivior Support {=PBS},正向行為支持,,2018-06-26
3545478,positive behavior intervention plan,正向行為介入計畫,,2018-06-26
3545479,positive reinforcement,正增強,,2018-06-26
3545480,postlingual deafness,習語後聾,,2018-06-26
3545481,practical intelligence,實用智能,,2018-06-26
3545482,practical skills,實用技能,,2018-06-26
3545483,Pragmatic Organization Dynamic Display {=PODD},語用組織的動態版面,,2018-06-26
3545484,pragmatics,語用(特教專有名詞),,2018-06-26
3545485,prelingual deafness,習語前聾,,2018-06-26
3545486,pre-referral intervention,轉介前介入,,2018-06-26
3545487,present level of performance,目前表現水準,,2018-06-26
3545488,Primary Integration,初級統整,,2018-06-26
3545489,prosthetics,義肢,,2018-06-26
3545490,psychiatric disorders,精神性疾患,,2018-06-26
3545491,Psychotherapy,心理治療,,2018-06-26
3545492,Public  Law 94-142,94-142公法(美國),,2018-06-26
3545493,pure-tone audiometry,純音聽力檢查,,2018-06-26
3545494,quadriplegia,四肢麻痺,,2018-06-26
3545495,receptive language,接受性語言,,2018-06-26
3545496,Recreation Therapy {=RT},休閒治療,,2018-06-26
3545497,reevaluation,重新評估,,2018-06-26
3545498,referral procedure,轉介流程,,2018-06-26
3545499,regression behavior,退縮性行為,,2018-06-26
3545500,rehabilitation,復健,,2018-06-26
3545501,Rehabilitation Act,復健法(美國),,2018-06-26
3545502,remedial service,補救服務；矯治性服務,,2018-06-26
3545503,respite care service,喘息服務,,2018-06-26
3545504,Response to Intervention{=RTI},介入反應模式,,2018-06-26
3545505,retinal and optic nerve lesions,視網膜與視神經之病變,,2018-06-26
3545506,Rett's Disorder,雷特氏症,,2018-06-26
3545507,reverse mainstreaming,逆向回歸主流,,2018-06-26
3545508,Revolving Door Identification Model{=RDIM},旋轉門鑑定模式,,2018-06-26
3545509,schizophrenia,精神分裂症；思覺失調症,,2018-06-26
3545510,Schoolwide Enrichment Model {=SEM},全校性充實模式,,2018-06-26
3545511,screen reader,螢幕報讀軟體,,2018-06-26
3545512,seamless transition,無縫轉銜,,2018-06-26
3545513,secondary transition,中學階段轉銜,,2018-06-26
3545514,self-care skills,自理技能,,2018-06-26
3545515,Self-directed Learning{=SDL} Model,自我引導學習模式,,2018-06-26
3545516,self-help skills,自助技能,,2018-06-26
3545517,self-instruction,自我指導,,2018-06-26
3545518,self-monitoring,自我監控,,2018-06-26
3545519,self-stimulatory behavior,自我刺激行為,,2018-06-26
3545520,semantics,語意,,2018-06-26
3545521,sensorineural hearing impairment,感音性聽力損失,,2018-06-26
3545522,sensory integration,感覺統合,,2018-06-26
3545523,sensory integration therapy,感覺統合治療,,2018-06-26
3545524,serious emotionally disturbed,嚴重情緒困擾,,2018-06-26
