ID,英文名稱,中文名稱,圖片,更新日期
3814505,abacus instruction,珠算教學,,2019-05-31
3814506,ability distribution,能力分布,,2019-05-31
3814507,ability grouping,能力分組,,2019-05-31
3814508,ability identification,能力鑑定,,2019-05-31
3814509,ability level,能力層次；能力水準,,2019-05-31
3814510,abridged scientific literacy instrument,簡化式科學素養工具,,2019-05-31
3814511,absolute value,絕對值,,2019-05-31
3814512,abstract intelligence,抽象智力,,2019-05-31
3814513,abstract level,抽象層次,,2019-05-31
3814514,abstract reasoning,抽象推理,,2019-05-31
3814515,academic ability,學業能力；學術能力,,2019-05-31
3814516,academic achievement,學業成就；學術成就,,2019-05-31
3814517,academic aptitude,學業性向；學術性向,,2019-05-31
3814518,academic aspiration,學業抱負；學術抱負,,2019-05-31
3814519,academic enrichment,學業充實法,,2019-05-31
3814520,academic failure,學業失利,,2019-05-31
3814521,academic interest measure,學業興趣測量,,2019-05-31
3814522,academic performance,學業表現,,2019-05-31
3814523,academic probation,學業預警,,2019-05-31
3814524,academic rank,學術等級；學業等第；學術排名,,2019-05-31
3814525,academic record,學業成績,,2019-05-31
3814526,academic self concept scale,學業自我概念量表,,2019-05-31
3814527,academic standards,學業標準,,2019-05-31
3814528,academic structure,學術結構,,2019-05-31
3814529,academic talent search program,學術人才發掘計畫,,2019-05-31
3814530,academically gifted,學業資優；學術資優,,2019-05-31
3814531,academiccally handicapped,學業障礙,,2019-05-31
3814532,academiccally oriented preschool program,學業導向學前計畫,,2019-05-31
3814533,acadmeic ability test,學業能力測驗,,2019-05-31
3814534,accelerated course,加速課程,,2019-05-31
3814535,accommodation,調適,,2019-05-31
3814536,accountability,績效性；績效責任,,2019-05-31
3814537,accountability based learning environment,績效本位學習環境,,2019-05-31
3814538,accreditation,認可；認證,,2019-05-31
3814539,acculturation,涵化；濡化,,2019-05-31
3814540,accuracy,準確度,,2019-05-31
3814541,achievement,成就,,2019-05-31
3814542,achievement age,成就年齡,,2019-05-31
3814543,achievement anxiety test,成就焦慮測驗,,2019-05-31
3814544,achievement gap,成就落差,,2019-05-31
3814545,achievement motivation inventory,成就動機量表,,2019-05-31
3814546,achievement need,成就需求,,2019-05-31
3814547,achievement quotient,成就商數,,2019-05-31
3814548,achievement rating,成就評定,,2019-05-31
3814549,achievement rating scale,成就評定量表,,2019-05-31
3814550,achievement test,成就測驗,,2019-05-31
3814551,acquisition behavior,習得行為,,2019-05-31
3814552,action programs,行動計畫,,2019-05-31
3814553,action research,行動研究,,2019-05-31
3814554,active learning,主動學習,,2019-05-31
3814555,activities oriented curriculum,活動導向課程,,2019-05-31
3814556,activities preference questionnaire,活動偏好問卷,,2019-05-31
3814557,activity learning,活動學習,,2019-05-31
3814558,activity level,活動水準,,2019-05-31
3814559,activity record,活動紀錄,,2019-05-31
3814560,activity scale,活動量表,,2019-05-31
3814561,activity units,活動單元,,2019-05-31
3814562,adaptability index,適應指標,,2019-05-31
3814563,adaptability test,適應測驗,,2019-05-31
3814564,adaptation,適應,,2019-05-31
3814565,adaptation concept,適應概念,,2019-05-31
3814566,adaptation effect,適應效應,,2019-05-31
3814567,adaptation frame,適應架構,,2019-05-31
3814568,adjustment level,適應水準,,2019-05-31
3814569,adjustment problem,適應問題,,2019-05-31
3814570,advance organizers,前導組體,,2019-05-31
3814571,advanced level examination,進階考試,,2019-05-31
3814572,advanced placement,跳級安置,,2019-05-31
