ID,英文名稱,中文名稱,圖片,備註,更新日期
2711171,Abbey School,大修道院學校,,,2016-10-04
2711172,ability,能力,,,2016-10-04
2711173,ability grouping,能力分班；能力分組,,,2016-10-04
2711174,ability test,能力測驗,,,2016-10-04
2711175,abnormal psychology,變態心理學,,,2016-10-04
2711176,aboriginal education,原住民民族教育,,,2016-10-04
2711177,aboriginal education class,原住民教育班,,,2016-10-04
2711178,Aboriginal Education Law,原住民教育法,,,2016-10-04
2711179,aboriginal inhabited area,原住民聚居地區,,,2016-10-04
2711180,abstract intelligence,抽象智力,,,2016-10-04
2711181,academic attainment indicators,學力指標,,,2016-10-04
2711182,academic attainment testing,學力測驗,,,2016-10-04
2711183,academic award,學術獎,,,2016-10-04
2711184,Academic Award of Ministry of Education,教育部學術獎,,,2016-10-04
2711185,Academic Competence Contest,學業能力競賽,,,2016-10-04
2711186,academic costume,學位服,,,2016-10-04
2711187,Academic Council,學術委員會,,,2016-10-04
2711188,academic degree,學位,,,2016-10-04
2711189,academic dissertation,學位論文,,,2016-10-04
2711190,academic education,學術教育,,,2016-10-04
2711191,academic examination,學業考試,,,2016-10-04
2711192,academic freedom,學術自由,,,2016-10-04
2711193,academic gown,學位袍,,,2016-10-04
2711194,academic hood,學位巾,,,2016-10-04
2711195,academic work,專門著作,,,2016-10-04
2711196,academic year,學年,,,2016-10-04
2711197,academy,學府 {古希臘}；大學區 {法}；中學{英、美舊制}；學術性質之會社；軍事院校,,,2016-10-04
2711198,academy inspector,大學區視導員 {法}；大學區督學,,,2016-10-04
2711199,accelerated child,加速學習的兒童,,,2016-10-04
2711200,acceleration-student,加速學習的學生,,,2016-10-04
2711201,accident injury prevention system,事故傷害防制,,,2016-10-04
2711202,accidental teaching method,隨機教學法,,,2016-10-04
2711203,accomplishment quotient {= A.Q.},學業成績商數,,,2016-10-04
2711204,accomplishment ratio,學業成績比率,,,2016-10-04
2711205,accomplishment test,學業成績測驗,,,2016-10-04
2711206,accreditation,審定；認可,,,2016-10-04
2711207,accredited college,經認可之學院,,,2016-10-04
2711208,accredited school,經認可之學校,,,2016-10-04
2711209,accredited teacher,經認可之教師,,,2016-10-04
2711210,accredited university,經認可之大學,,,2016-10-04
2711211,accretion learning,附學習,,,2016-10-04
2711212,achievement quotient,成就商數,,,2016-10-04
2711213,acquired character,習得的特性,,,2016-10-04
2711214,acquired characteristic,習得的特性,,,2016-10-04
2711215,acquired tendency,習得的傾向,,,2016-10-04
2711216,acquisition instinct,習得本能,,,2016-10-04
2711217,act,動作；法案,,,2016-10-04
2711218,action,動作,,,2016-10-04
2711219,action forum,執行委員會 {英},,英國教育學,2016-10-04
2711220,action research,行動研究,,,2016-10-04
2711221,action system,動作系統,,,2016-10-04
2711222,active attention,主動注意,,,2016-10-04
2711223,active experience,活動經驗,,,2016-10-04
2711224,active forgetting,自動遺忘,,,2016-10-04
2711225,active principle,主動原則,,,2016-10-04
2711226,active recall,主動回憶,,,2016-10-04
2711227,active recollection,主動回憶,,,2016-10-04
2711228,activity,活動；作業,,,2016-10-04
2711229,activity analysis,活動分析,,,2016-10-04
2711230,activity curriculum,活動課程,,,2016-10-04
2711231,activity school,活動學校,,,2016-10-04
2711232,adaptation,適應,,,2016-10-04
2711233,adjustable desk,可調式課桌,,,2016-10-04
2711234,adjustable seat,可調式座椅,,,2016-10-04
2711235,adjustment,順應；調整,,,2016-10-04
2711236,administration of students' enrollment status,學籍管理,,,2016-10-04
2711237,admission age,入學年齡,,,2016-10-04
2711238,admission by application,申請入學,,,2016-10-04
2711239,admission by placement,分發入學,,,2016-10-04
2711240,admission by recommendation and screening,甄選入學,,,2016-10-04
2711241,admission by registration and placement,登記分發入學,,,2016-10-04
2711242,admission qualification,入學資格,,,2016-10-04
2711243,admission requirement,入學資格；入學條件,,,2016-10-04
2711244,admission via examination and placement,考試分發入學,,,2016-10-04
2711245,adoption-guidance program,認輔制度,,,2016-10-04
2711246,adult education,成人教育,,,2016-10-04
2711247,adult school,成人學校,,,2016-10-04
2711248,advanced skills teacher {=AST},優異級教師 {英},,英國教育學,2016-10-04
2711249,advancement,升級,,,2016-10-04
2711250,adviser,顧問；指導教授；指導人員,,,2016-10-04
2711251,advisory committee,指導委員會；諮詢委員會；審議委員會,,,2016-10-04
2711252,Advisory Committee of Teacher Education,師資培育審議委員會,,,2016-10-04
2711253,advisory teacher,諮詢老師 {英},,英國教育學,2016-10-04
2711254,aerial navigation school,航空學校,,,2016-10-04
2711255,aesthetic appreciation,審美,,,2016-10-04
2711256,aesthetic education,美育,,,2016-10-04
2711257,aesthetic feeling,美感,,,2016-10-04
2711258,aesthetics,美學,,,2016-10-04
2711259,affection,情感 [作用]；感情,,,2016-10-04
2711260,affirmative action of entrance examination,升學考試優待,,,2016-10-04
2711261,after image,後象,,,2016-10-04
2711262,after-school club,安親班,,,2016-10-04
2711263,age distribution,年齡分配,,,2016-10-04
2711264,age norm,年齡常模,,,2016-10-04
2711265,age scale,年齡量表,,,2016-10-04
2711266,age-grade table,年齡學級表,,,2016-10-04
2711267,age-grade-progress,年齡-年級-進度,,,2016-10-04
2711268,agricultural education,農業教育,,,2016-10-04
2711269,aided school,受政府補助之學校 {英},,英國教育學,2016-10-04
2711270,allowance,教師職務加給,,,2016-10-04
2711271,alma mater,母校,,,2016-10-04
2711272,almonry school,施濟學校 {英},,英國教育學,2016-10-04
2711273,alternating plan,建教計畫；建教方案,,,2016-10-04
2711274,alternating system,建教制度,,,2016-10-04
2711275,alternation of studies,學科輪替制,,,2016-10-04
2711276,alternative learning sections,彈性學習節數,,,2016-10-04
2711277,altruistic instinct,利他本能,,,2016-10-04
2711278,alumna,女校友,,,2016-10-04
2711279,alumni {pl.},校友,,,2016-10-04
2711280,alumni association,校友會,,,2016-10-04
2711281,alumnus,校友,,,2016-10-04
