ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
1218520,abscissa,橫坐標,,横坐标,2012-11-26
1218521,absolute deviation,絕對偏差,,绝对偏差,2012-11-26
1218522,absolute extremum,絕對極值,,绝对极值,2012-11-26
1218523,absolute inequality,絕對不等式,,绝对不等式,2012-11-26
1218524,absolute maximum,最大值；絕對極大值,,绝对极大值,2012-11-26
1218525,absolute minimum,最小值；絕對極小值,,绝对极小值,2012-11-26
1218526,absolute value,絕對值,,绝对值,2012-11-26
1218527,absolutely extreme value,絕對極值,,绝对极值,2012-11-26
1218528,acceleration,加速度,,加速度,2012-11-26
1218529,acute angle,銳角,,锐角,2012-11-26
1218530,addend,加數,,加数,2012-11-26
1218531,addition,加法,,加法,2012-11-26
1218532,addition formula　　　　　　 ,加法公式,,加法公式,2012-11-26
1218533,addition of vectors ,向量加法,,向量的加法,2012-11-26
1218534,addition principle,加法原理,,加法原理,2012-11-26
1218535,additive inverse　,加法反元素,,加法逆,2012-11-26
1218536,adjacent side,鄰邊,,邻边,2012-11-26
1218537,algebra,代數學；代數,,代数学,2012-11-26
1218538,algorithm,演算法；算則,,算法,2012-11-26
1218539,amplitude,幅度；輻角,,振幅;幅度,2012-11-26
1218540,amplitude of vibration  ,振幅,,振幅,2012-11-26
1218541,analytic geometry,解析幾何[學],,解析几何[学],2012-11-26
1218542,angle,角,,角,2012-11-26
1218543,angle in standard position ,標準位置角,,标准位置角,2012-11-26
1218544,angle of depression,俯角,,俯角,2012-11-26
1218545,angle of elevation,仰角,,仰角,2012-11-26
1218546,angle of inclination　　　　　　　,[傾]斜角,,倾角,2012-11-26
1218547,angular bisector,角平分線；分角線,,角平分线,2012-11-26
1218548,annual rate of interest,年利率,,年利率,2012-11-26
1218549,antilogarithm,真數,,反对数,2012-11-26
1218550,approximate value,近似值,,近似值,2012-11-26
1218551,arc length,弧長,,弧长,2012-11-26
1218552,area function,面積函數,,面积函数,2012-11-26
1218553,argument,輻角；自變數；論證,,辐角,2012-11-26
1218554,arithmetic average,算術平均數；算術平均值；等差中項,,算术平均值,2012-11-26
1218555,arithmetic mean,算術平均數；算術平均值；等差中項,,算术平均,2012-11-26
1218556,arithmetic progression,等差數列；算術數列,,等差数列,2012-11-26
1218557,arithmetic sequence,等差數列；算術數列,,等差数列,2012-11-26
1218558,arithmetic series,算術級數；等差級數,,等差级数,2012-11-26
1218559,arithmetic-geometric mean inequality,算幾不等式,,算术几何平均不等式,2012-11-26
1218560,arrangement in ascending power,升冪排列；升次排列,,升幂排列,2012-11-26
1218561,arrangement in descending power,降冪排列；降次排列,,降幂排列,2012-11-26
1218562,ascending power,升冪,,升幂排列,2012-11-26
1218563,associative law,結合律,,结合律,2012-11-26
1218564,associative law of addition,加法結合律,,加法结合律,2012-11-26
1218565,associative law of multiplication,乘法結合律,,乘法结合律,2012-11-26
1218566,asymptote,漸近線,,渐近线,2012-11-26
1218567,asymptotic line,漸近線,,渐近线,2012-11-26
1218568,augmented matrix,增廣矩陣,,增广矩阵,2012-11-26
1218569,average,平均,,平均,2012-11-26
1218570,average rate of change,平均變化率,,平均变化率,2012-11-26
1218571,average velocity,平均速度,,平均速度,2012-11-26
1218572,axiom                     ,公理；公設,,公理,2012-11-26
1218573,axiom of parallel,平行公設；平行公理 ,,平行公理,2012-11-26
1218574,axis,軸　,,轴,2012-11-26
1218575,axis of abscissas  ,橫坐標軸,,横[坐标]轴,2012-11-26
1218576,axis of ordinates  ,縱坐標軸,,纵[坐标]轴,2012-11-26
1218577,axis of symmetry,對稱軸,,对称轴,2012-11-26
1218578,azimuth,方位,,方位角,2012-11-26
1218579,bar graph,長條圖　,,直方图,2012-11-26
1218580,base,底；基[數]；基底,,基数,2012-11-26
1218581,base number,底數,,底数,2012-11-26
1218582,Bayes theorem,貝氏定理,,贝叶斯定理,2012-11-26
1218583,Bernoulli trial　,Bernoulli試探,,伯努利试验,2012-11-26
1218584,binomial,二項式,,二项式,2012-11-26
1218585,binomial coefficient,二項式係數,,二项式系数,2012-11-26
1218586,binomial distribution,二項分布；二項分配,,二项分布,2012-11-26
1218587,binomial theorem,二項式定理,,二项式定理,2012-11-26
1218588,bisector of an angle  ,角平分線；分角線,,角平分线,2012-11-26
1218589,broken line graph,折線圖,,折线图,2012-11-26
1218590,cancellation law of addition,加法消去律,,加法消去法,2012-11-26
1218591,cancellation law of multiplication,乘法消去律,,乘法消去法,2012-11-26
1218592,capacity,容量,,容量,2012-11-26
1218593,Cartesian coordinates,笛卡兒坐標,,直角坐标,2012-11-26
1218594,Cartesian product,笛卡兒積,,笛卡儿积,2012-11-26
1218595,cauchy inequality,柯西不等式,,柯西不等式,2012-11-26
1218596,census,普查　,,普查,2012-11-26
1218597,center,中心,,中心,2012-11-26
1218598,center of a circle,圓心,,圆心,2012-11-26
1218599,center of sphere,球心,,球心,2012-11-26
1218600,centimeter,公分,,厘米,2012-11-26
1218601,central angle,圓心角,,圆心角,2012-11-26
1218602,certain event,必然事件,,必然事件,2012-11-26
1218603,chain rule,連鎖律,,链式法则,2012-11-26
1218604,characteristic,特徵的；特性的；示性的；特徵數；示性數,,特征,2012-11-26
1218605,characteristic of logarithm　　　　,對數的首數,,对数的首数,2012-11-26
1218606,chord,弦,,弦,2012-11-26
1218607,circle,圓,,圆,2012-11-26
1218608,circle of Apollonius ,Apollonius圓,,阿波罗尼奥斯圆,2012-11-26
1218609,circular conical surface,圓錐[面],,圆锥面,2012-11-26
1218610,circular cylinder          ,圓柱,,圆柱,2012-11-26
1218611,circular measure,弧度法；弳量法,,弧度法,2012-11-26
1218612,circular permutation,環狀排列,,[循]环排列,2012-11-26
1218613,circulating decimal,循環小數,,循环小数,2012-11-26
1218614,circumference of a circle,圓周,,圆周,2012-11-26
1218615,circumradius,外接圓半徑,,外接圆半径,2012-11-26
1218616,class interval,類區間；組距,,组距；组区间,2012-11-26
1218617,class limit,組限,,组限,2012-11-26
1218618,class midpoint,組中點,,组中点,2012-11-26
1218619,clockwise direction,順時針方向,,顺时针方向,2012-11-26
1218620,clockwise sense,順時針方向,,顺时针,2012-11-26
1218621,closed interval,閉區間,,闭区间,2012-11-26
1218622,closure property,封閉性,,封闭性,2012-11-26
1218623,cluster sampling,群落抽樣；群體抽樣,,整群抽样,2012-11-26
1218624,codomain,對應域,,值域；陪域,2012-11-26
1218625,coefficient,係數,,系数,2012-11-26
1218626,cofactor　,餘因子,,余子式,2012-11-26
1218627,coincidence,重合,,重合,2012-11-26
1218628,column,行,,列,2012-11-26
1218629,column matrix　,行矩陣,,列矩阵,2012-11-26
1218630,combination,組合；配合,,组合,2012-11-26
1218631,common difference,公差,,公差,2012-11-26
1218632,common factor,公因子；公因數；公因式,,公共因子,2012-11-26
1218633,common logarithm,常用對數,,常用对数,2012-11-26
1218634,common multiple,公倍(數),,公倍数,2012-11-26
1218635,common ratio,公比,,公比,2012-11-26
1218636,commutative law,交換律,,交换律,2012-11-26
1218637,commutative law of multiplication,乘法交換律,,乘法交换律,2012-11-26
1218638,complement,餘；補；補碼；補數；餘補,,余；补充,2012-11-26
1218639,complement angle,餘角,,余角,2012-11-26
1218640,complement identity　　　  ,餘角恆等式,,余角恒等式,2012-11-26
1218641,complement relation,餘角關係[式],,互补关系,2012-11-26
1218642,complementary angle,餘角,,余角,2012-11-26
1218643,complementary event,餘事件,,互补的事件,2012-11-26
1218644,complementary set,餘集[合],,补集,2012-11-26
1218645,completing the square,配方[法],,配方法,2012-11-26
1218646,complex conjugate,共軛複數,,复共轭的,2012-11-26
1218647,complex fraction,繁分數；繁分式,,繁分数,2012-11-26
1218648,complex number,複數,,复数,2012-11-26
1218649,complex plane,複數平面,,复平面,2012-11-26
1218650,component,分量；連通支,,分量,2012-11-26
1218651,composite function,合成函數,,复合函数,2012-11-26
1218652,composite number,合數,,合数,2012-11-26
1218653,compound interest,複利,,复利,2012-11-26
1218654,compound number,複名數,,复合数,2012-11-26
1218655,concave downward　,凹口向下,,凹向上的,2012-11-26
1218656,concave upward,凹口向上,,凹向下的,2012-11-26
1218657,concavity,凹性,,凹[性],2012-11-26
1218658,conditional inequality　,條件不等式,,条件不等式,2012-11-26
1218659,conditional probability,條件機率,,条件概率,2012-11-26
1218660,cone,錐；錐面,,锥[体],2012-11-26
1218661,confidence interval,信賴區間,,置信区间,2012-11-26
1218662,confidence level,信心水準,,置信水平,2012-11-26
1218663,congruence　　　　　　　　　　 ,同餘；疊合；全等；線匯,,同余方程,2012-11-26
1218664,conic section,圓錐截痕,,圆锥曲线,2012-11-26
1218665,conjugate axis,共軛軸,,共轭轴,2012-11-26
1218666,conjugate complex number,共軛複數,,共轭复数,2012-11-26
1218667,conjugate hyperbola,共軛雙曲線,,共轭双曲线,2012-11-26
1218668,conjugate hyperbola,共軛雙曲線,,共轭双曲线,2012-11-26
1218669,consistent equations,相容方程,,相容方程,2012-11-26
1218670,consistent system of equations,相容方程組,,相容方程组,2012-11-26
1218671,constant function,常數函數,,常数函数,2012-11-26
1218672,constant term,常數項,,常数项,2012-11-26
1218673,contingency table　,列聯表,,列联表,2012-11-26
1218674,continuous data,連續數據,,连续数据,2012-11-26
1218675,continuous function,連續函數,,连续函数,2012-11-26
1218676,convergence,收斂,,收敛[性],2012-11-26
1218677,convergent sequence,收斂序列；收斂數列,,收敛序列,2012-11-26
1218678,convergent series,收斂級數,,收敛级数,2012-11-26
1218679,coordinate                ,坐標,,坐标,2012-11-26
1218680,coordinate axis           ,坐標軸,,坐标轴,2012-11-26
1218681,coordinate plane,坐標平面,,坐标平面,2012-11-26
1218682,coordinate representation,坐標表示法,,坐标表示法,2012-11-26
1218683,coprime,互質,,互素,2012-11-26
1218684,correlation coefficient,相關係數,,相关系数,2012-11-26
1218685,cosecant ,餘割,,余割,2012-11-26
1218686,cosecant function,餘割函數,,余割函数,2012-11-26
1218687,cosine ,餘弦,,余弦,2012-11-26
1218688,cotangent ,餘切,,余切,2012-11-26
1218689,cotangent function　　　　　　,餘切函數,,余切函数,2012-11-26
1218690,coterminal angles　　　　　　　  ,同界角　,,同界角,2012-11-26
1218691,counterclockwise ,逆時針的,,逆时针,2012-11-26
1218692,counterclockwise direction,逆時針方向,,逆时针方向,2012-11-26
1218693,Cramer's formula,克拉瑪公式,,克拉姆公式,2012-11-26
1218694,Cramer's rule　,克拉瑪法則,,克拉姆法则,2012-11-26
1218695,critical point,臨界點,,临界点,2012-11-26
1218696,critical value　,臨界值,,临界值,2012-11-26
1218697,cross analysis,交叉分析,,交叉分析,2012-11-26
1218698,cross product ,叉積；向量積；外積,,向量积,2012-11-26
1218699,cube ,立方；立方體,,立方体,2012-11-26
1218700,cubic　　　　　　　　　　　　　　,三次的,,立方体,2012-11-26
1218701,cubic root,立方根,,立方根,2012-11-26
1218702,cuboid,長方體,,长方体,2012-11-26
1218703,cumulative frequency curve,累積頻率曲線,,累积频率曲线,2012-11-26
1218704,cumulative frequency distribution,累積次數分配,,累积频率分布,2012-11-26
1218705,cumulative relative frequency polygon,累積相對次數折線圖,,累积相对频数多边形,2012-11-26
1218706,cylinder,柱；柱面,,圆柱,2012-11-26
1218707,data,資料；數據,,数据,2012-11-26
1218708,De Moivre formula,棣美弗公式,,棣莫弗公式,2012-11-26
1218709,De morgan law,笛摩根法則,,德摩根法则,2012-11-26
1218710,decimal ,小數；十進制小數,,十进制；小数,2012-11-26
1218711,decimal point,小數點,,小数点,2012-11-26
1218712,definite integral,定積分,,定积分,2012-11-26
1218713,degree,次[數]；度[數],,度,2012-11-26
1218714,degree measure　　　　　　　  ,角度[法],,角度[法],2012-11-26
1218715,denominator,分母,,分母,2012-11-26
1218716,denseness,稠密性,,稠密性,2012-11-26
1218717,density,密度；稠密性,,密度,2012-11-26
1218718,dependent event,相依事件,,相关事件,2012-11-26
1218719,dependent system of equations,相依方程組,,相关系统方程,2012-11-26
1218720,dependent variable,應變數；依變數；因變數；應變量,,因变量,2012-11-26
1218721,derivative,導數,,导数,2012-11-26
1218722,derivatives of higher order,高階導數,,高阶导数,2012-11-26
1218723,descending power,降冪,,降幂,2012-11-26
1218724,descriptive statistics,敘述統計[學],,描述性统计[学],2012-11-26
1218725,determinant,行列式,,行列式,2012-11-26
