ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3185709,a priori estimate,先驗估計,,先验估计,2017-07-24
3185710,Abelian category,Abel範疇,,阿贝尔范畴,2017-07-24
3185711,Abelian function,Abel函數,,阿贝尔函数,2017-07-24
3185712,Abelian group,Abel群 {交換群},,阿贝尔群,2017-07-24
3185713,Abelian integral,Abel積分,,阿贝尔积分,2017-07-24
3185714,Abelian variety,Abel曲體,,阿贝尔簇,2017-07-24
3185715,abscissa,橫坐標,,横坐标,2017-07-24
3185716,absolute differential calculus,絕對微分學,,绝对微分学,2017-07-24
3185717,absolute error,絕對誤差,,绝对误差,2017-07-24
3185718,absolute extremum,絕對極值,,绝对极值,2017-07-24
3185719,absolute geometry,絕對幾何[學],,绝对几何,2017-07-24
3185720,absolute inequality,絕對不等式,,绝对不等式,2017-07-24
3185721,absolute maximum,最大值；絕對極大值,,绝对极大值,2017-07-24
3185722,absolute minimum,最小值；絕對極小值,,绝对极小值,2017-07-24
3185723,absolute moment,絕對動差；絕對級矩,,绝对矩,2017-07-24
3185724,absolute neighbourhood retract,絕對[鄰域]收縮核,,绝对邻域收缩核,2017-07-24
3185725,absolute optimal solution,絕對最佳解,,绝对最优解,2017-07-24
3185726,absolute rank,絕對秩,,绝对秩,2017-07-24
3185727,absolute retract,絕對回縮核,,绝对收缩核,2017-07-24
3185728,absolute stability,絕對穩定[性],,A稳定性,2017-07-24
3185729,absolute value,絕對值,,绝对值,2017-07-24
3185730,absolutely continuous,絕對連續,,绝对连续[的],2017-07-24
3185731,absolutely convergent,絕對收斂,,绝对收敛,2017-07-24
3185732,absolutely convex,絕對凸,,绝对凸,2017-07-24
3185733,absolutely irreducible representation,絕對不可約表現,,绝对不可约表示,2017-07-24
3185734,absorbing,吸收,,吸收[的],2017-07-24
3185735,absorbing boundary condition,吸收邊界條件,,吸收边界条件,2017-07-24
3185736,absorbing state,吸收[狀]態,,吸收状态,2017-07-24
3185737,absorption law,吸收律,,吸收律,2017-07-24
3185738,abstract harmonic analysis,抽象調和分析,,抽象调和分析,2017-07-24
3185739,abstract simplex,抽象單體,,抽象单形,2017-07-24
3185740,acceptable indexing,允收標號,,可接受标号,2017-07-24
3185741,accessibility,可達性,,可达性,2017-07-24
3185742,accidental error,偶然誤差,,偶然误差,2017-07-24
3185743,accretive operator,添增算子,,增生算子,2017-07-24
3185744,accuracy,準確[性]；準確度,,精[确]度,2017-07-24
3185745,achievable point,可達點,,可达点,2017-07-24
3185746,achievable rate,可達率,,可达率,2017-07-24
3185747,achievable region,可達區域,,可达区域,2017-07-24
3185748,action of group,群作用,,群作用,2017-07-24
3185749,active constraint,起作用的約束,,积极约束,2017-07-24
3185750,activity analysis,活動[性]分析,,活动分析,2017-07-24
3185751,actual infinity,真[實]無窮,,实无穷,2017-07-24
3185752,acute angle,銳角,,锐角,2017-07-24
3185753,acute triangle,銳角三角形,,锐角三角形,2017-07-24
3185754,acyclic,非循環的；零調的,,零调[的],2017-07-24
3185755,acyclic graph,無圈圖,,无圈图,2017-07-24
3185756,adaptive control,適應控制,,适应控制,2017-07-24
3185757,adaptive system,[自]適應系統,,[自]适应系统,2017-07-24
3185758,addend,加數,,加数,2017-07-24
3185759,addition,加法,,加法,2017-07-24
3185760,addition of vectors,向量加法,,向量的加法,2017-07-24
3185761,additive,加性；加法的,,加性[的],2017-07-24
3185762,additive number theory,加性數論；堆疊數論,,加性数论,2017-07-24
3185763,additive reduction,加性約化,,加性约化,2017-07-24
3185764,additive set function,加性集合函數,,加性集函数,2017-07-24
3185765,additivity of information,資訊可加性,,信息可加性,2017-07-24
3185766,adéle group,adéle群,,阿代尔群,2017-07-24
3185767,adjacency matrix,相鄰矩陣；鄰接矩陣,,邻接矩阵,2017-07-24
3185768,adjacent angle,鄰角,,邻角,2017-07-24
3185769,adjacent edge,鄰邊,,邻边,2017-07-24
3185770,adjacent side,鄰邊,,邻边,2017-07-24
3185771,adjacent vertices,相鄰頂點,,邻顶点,2017-07-24
3185772,adjoint determinant,伴隨行列式,,伴随行列式,2017-07-24
3185773,adjoint differential equation,伴隨微分方程,,伴随微分方程,2017-07-24
3185774,adjoint functor,伴隨函子,,伴随函子,2017-07-24
3185775,adjoint kernel,伴隨核,,伴随核,2017-07-24
3185776,adjoint matrix,伴隨矩陣,,伴随矩阵,2017-07-24
3185777,adjoint operator,伴隨算子,,伴随算子,2017-07-24
3185778,adjoint representation,伴隨表現,,伴随表示,2017-07-24
3185779,adjunction of roots,根的添加,,根添加,2017-07-24
3185780,admissible control,容許控制,,容许控制,2017-07-24
3185781,admissible error,容許誤差,,容许误差,2017-07-24
3185782,admissible estimate,容許估計,,容许估计,2017-07-24
3185783,admissible function,容許函數,,容许函数,2017-07-24
3185784,admissible set,容許集合,,容许集,2017-07-24
3185785,admissible solution,容許解,,可采纳解,2017-07-24
3185786,admissible subgroup,容許子群,,容许子群,2017-07-24
3185787,admissible test,容許檢定,,容许检验,2017-07-24
3185788,advanced potential,超前位勢,,超前位势,2017-07-24
3185789,affine connection,仿射聯絡,,仿射联络,2017-07-24
3185790,affine coordinate,仿射坐標,,仿射坐标,2017-07-24
3185791,affine curvature,仿射曲率,,仿射曲率,2017-07-24
3185792,affine curve,仿射曲線,,仿射曲线,2017-07-24
3185793,affine differential geometry,仿射微分幾何[學],,仿射微分几何[学],2017-07-24
3185794,affine equivalence,仿射等價,,仿射等价,2017-07-24
3185795,affine geometry,仿射幾何,,仿射几何[学],2017-07-24
3185796,affine group,仿射群,,仿射群,2017-07-24
3185797,affine hull,仿射包,,仿射包,2017-07-24
3185798,affine hyperplane,仿射超平面,,仿射超平面,2017-07-24
3185799,affine line,仿射直線,,仿射直线,2017-07-24
3185800,affine mapping,仿射映射,,仿射映射,2017-07-24
3185801,affine normal,仿射法線,,仿射法线,2017-07-24
3185802,affine plane,仿射平面,,仿射平面,2017-07-24
3185803,affine property,仿射性質,,仿射性质,2017-07-24
3185804,affine set,仿射集,,仿射集,2017-07-24
3185805,affine space,仿射空間,,仿射空间,2017-07-24
3185806,affine transformation,仿射變換,,仿射变换,2017-07-24
3185807,algebra,代數學；代數,,代数学,2017-07-24
3185808,algebra isomorphism,代數同構,,代数同构,2017-07-24
3185809,algebra of proposition,命題代數；命題運算,,命题代数,2017-07-24
3185810,algebraic,代數的,,代数的,2017-07-24
3185811,algebraic accuracy,代數精度,,代数精度,2017-07-24
3185812,algebraic closure,代數閉包,,代数闭包,2017-07-24
3185813,algebraic code,代數碼,,代数码,2017-07-24
3185814,algebraic cofactor,代數餘因子,,代数余子式,2017-07-24
3185815,algebraic curve,代數曲線,,代数曲线,2017-07-24
3185816,algebraic decoding,代數解碼,,代数译码,2017-07-24
3185817,algebraic differential equation,代數微分方程,,代数微分方程,2017-07-24
3185818,algebraic element,代數元[素],,代数元,2017-07-24
3185819,algebraic equation,代數方程,,代数方程,2017-07-24
3185820,algebraic expression,代數表示；代數式,,代数式,2017-07-24
3185821,algebraic extension,代數擴張,,代数扩张,2017-07-24
3185822,algebraic function field,代數函數體,,代数函数域,2017-07-24
3185823,algebraic geometry,代數幾何[學],,代数几何[学],2017-07-24
3185824,algebraic group,代數群,,代数群,2017-07-24
3185825,algebraic identity,代數恆等式,,代数的恒等式,2017-07-24
3185826,algebraic integer,代數整數,,代数整数,2017-07-24
3185827,algebraic invariant,代數不變式；代數不變量,,代数不变式,2017-07-24
3185828,algebraic number,代數數,,代数数,2017-07-24
3185829,algebraic number field,代數數體,,代数数域,2017-07-24
3185830,algebraic number theory,代數數論,,代数数论,2017-07-24
3185831,algebraic set,代數集,,代数集,2017-07-24
3185832,algebraic singularity,代數奇異點；代數奇異性,,代数奇点,2017-07-24
3185833,algebraic subgroup,代數子群,,代数子群,2017-07-24
3185834,algebraic sum,代數和,,代数和,2017-07-24
3185835,algebraic system,代數系,,代数系统,2017-07-24
3185836,algebraic topology,代數拓撲[學],,代数拓扑[学],2017-07-24
3185837,algebraic variety,代數曲體,,[代数]簇,2017-07-24
3185838,algebraically closed field,代數閉體,,代数闭域,2017-07-24
3185839,algebraically equivalent,代數等價[的],,代数等价,2017-07-24
3185840,algebraically independent,代數獨立,,代数无关[的],2017-07-24
3185841,algebroidal function,代數型函數,,代数体函数,2017-07-24
3185842,algorithm,演算法；算則,,算法,2017-07-24
3185843,almost complex manifold,殆複流形,,殆复流形,2017-07-24
3185844,almost complex structure,殆複結構,,殆复结构,2017-07-24
3185845,almost everywhere,殆遍；幾乎處處,,几乎处处,2017-07-24
3185846,almost periodic function,概週期函數；殆週期函數,,殆周期函数,2017-07-24
3185847,almost periodic motion,殆週期運動,,殆周期运动,2017-07-24
3185848,almost periodic solution,殆週期解,,殆周期解,2017-07-24
3185849,almost sure,殆必；幾乎必然,,几乎必然,2017-07-24
3185850,almost sure convergence,殆必收斂；幾乎必然收斂,,几乎必然收敛,2017-07-24
3185851,almost uniform convergence,殆均勻收斂；殆一致收斂,,几乎一致收敛,2017-07-24
3185852,alphabetic code,字母碼,,字母码,2017-07-24
3185853,alternate exterior angle,外錯角,,外错角,2017-07-24
3185854,alternate interior angle,內錯角,,内错角,2017-07-24
3185855,alternating chain,交錯鏈,,交错链,2017-07-24
3185856,alternating direction implicit method (ADI method),交替方向隱式法,,交替方向隐式法,2017-07-24
3185857,alternating direction method,交替方向法,,交替方向法,2017-07-24
3185858,alternating series,交錯級數,,交错级数,2017-07-24
3185859,alternative algebra,交錯代數,,交错代数,2017-07-24
3185860,alternative hypothesis,備擇假設；對立假設,,备择假设,2017-07-24
3185861,alternizer,交錯化子,,交错化子,2017-07-24
3185862,altitude,高[線],,高线,2017-07-24
3185863,amount of information,資訊量,,信息量,2017-07-24
3185864,amount of secrecy,保密量,,保密量,2017-07-24
3185865,amplification factor,放大因子,,放大因子,2017-07-24
3185866,amplification matrix,放大矩陣,,放大矩阵,2017-07-24
3185867,analysis,分析[學]；解析[學],,分析[学],2017-07-24
3185868,analysis of variance,變異數分析,,方差分析,2017-07-24
3185869,analysis of variance table,變異數分析表,,方差分析表,2017-07-24
3185870,analytic continuation,解析延拓,,解析延拓,2017-07-24
3185871,analytic function,解析函數,,解析函数,2017-07-24
3185872,analytic geometry,解析幾何[學],,解析几何[学],2017-07-24
3185873,analytic group,解析群,,解析群,2017-07-24
3185874,analytic homeomorphism,解析同胚,,解析同胚,2017-07-24
3185875,analytic homomorphism,解析同態,,解析同态,2017-07-24
3185876,analytic isomorphism,解析同構,,解析同构,2017-07-24
3185877,analytic manifold,解析流形,,解析流形,2017-07-24
3185878,analytic number theory,解析數論,,解析数论,2017-07-24
3185879,analytic polyhedron,解析多面體,,解析多面体,2017-07-24
3185880,analytic semi-group,解析半群,,解析半群,2017-07-24
3185881,analytic set,解析集合,,解析集,2017-07-24
3185882,analytic solution,解析解,,分析解,2017-07-24
3185883,analytic space,解析空間,,解析空间,2017-07-24
3185884,analytic subgroup,解析子群,,解析子群,2017-07-24
3185885,analyticity,解析性,,解析性,2017-07-24
3185886,anchor ring,錨環；環面,,环面,2017-07-24
3185887,ancillary statistic,輔助統計量,,从属统计量,2017-07-24
3185888,angle,角,,角,2017-07-24
3185889,angle in a circular segment,圓周角,,圆周角,2017-07-24
3185890,angle of depression,俯角,,俯角,2017-07-24
3185891,angle of elevation,仰角,,仰角,2017-07-24
3185892,angle of inclination,傾角；斜角,,倾角,2017-07-24
3185893,angle of rotation,旋轉角,,旋转角,2017-07-24
3185894,angular bisector,角平分線,,角平分线,2017-07-24
3185895,angular domain,角域,,角域,2017-07-24
3185896,annihilator of module,模的零化子,,模的零化子,2017-07-24
3185897,annular region,環狀區域；環形區域,,环形区域,2017-07-24
3185898,antecedent,前項,,前项,2017-07-24
3185899,anti-automorphism,反自同構,,反自同构,2017-07-24
3185900,anti-commutative,反交換,,反交换,2017-07-24
3185901,anti-homomorphism,反同態,,反同态,2017-07-24
3185902,anti-isomorphism,反同構,,反同构,2017-07-24
3185903,anti-logarithm,逆對數；反對數,,反对数,2017-07-24
3185904,anti-symmetric,反對稱,,反称[的],2017-07-24
3185905,antipodal point,對徑點,,对径点,2017-07-24
3185906,apothem,邊心距,,边心距,2017-07-24
3185907,applied mathematics,應用數學,,应用数学,2017-07-24
3185908,approaching sampling technique,接近抽樣方法,,近似抽样方法,2017-07-24
3185909,approximant,逼近式,,逼近式,2017-07-24
3185910,approximate derivative,近似導數,,近似导数,2017-07-24
3185911,approximate error,近似誤差,,逼近误差,2017-07-24
3185912,approximate solution,近似解,,近似解,2017-07-24
3185913,approximate value,近似值,,近似值,2017-07-24
3185914,approximating function,逼近函數,,逼近函数,2017-07-24
3185915,approximation,逼近；近似,,逼近,2017-07-24
3185916,approximation by interpolation,插值逼近,,插值逼近,2017-07-24
3185917,approximation in the mean,平均逼近,,平均逼近,2017-07-24
3185918,approximation theory,逼近論,,逼近论,2017-07-24
3185919,arc,弧,,弧,2017-07-24
3185920,arc without contact,無切弧,,无切弧,2017-07-24
3185921,Archimedean axiom,阿基米德公設；阿基米德公理,,阿基米得公理,2017-07-24
3185922,Archimedean ordered field,阿基米德有序體,,阿基米得序域,2017-07-24
3185923,arcsine,反正弦[函數],,反正弦,2017-07-24
3185924,area,面積,,面积,2017-07-24
3185925,area-preserving mapping,保面積映射,,保面积映射,2017-07-24
3185926,argument,輻角；自變數；論證,,辐角,2017-07-24
3185927,argument function,輻角函數,,变函数,2017-07-24
3185928,argument principle,輻角原理,,辐角原理,2017-07-24
3185929,arithmetic,算術；四則；算術的,,算术,2017-07-24
3185930,arithmetic code,算數碼,,算术码,2017-07-24
3185931,arithmetic function,算術函數,,算术函数,2017-07-24
3185932,arithmetic genus,算術虧格,,算术亏格,2017-07-24
3185933,arithmetic mean,算術平均數；算術平均值；等差中項,,算术平均,2017-07-24
3185934,arithmetic progression,等差數列；算術數列,,等差数列,2017-07-24
3185935,arithmetic series,算術級數；等差級數,,等差级数,2017-07-24
3185936,arithmetic system,運算系統；算術系統,,算术系统,2017-07-24
3185937,arithmetization,算術化,,算术化,2017-07-24
3185938,artificial basis,人為基底；人工基底,,人工基,2017-07-24
3185939,artificial variable,人工變數；人工變量,,人工变量,2017-07-24
3185940,ascending chain condition,升鏈條件,,升链条件,2017-07-24
3185941,assertion,斷定；結論,,论断,2017-07-24
3185942,associated bundle,相伴束,,配丛,2017-07-24
3185943,associated element,相伴元[素],,相伴元,2017-07-24
3185944,associated prime ideal,相伴質理想,,相伴素理想,2017-07-24
3185945,associated radius of convergence,相伴收斂半徑,,相伴收敛半径,2017-07-24
3185946,associative algebra,結合代數,,结合代数,2017-07-24
3185947,associative law,結合律,,结合律,2017-07-24
3185948,associative law of addition,加法結合律,,加法结合律,2017-07-24
3185949,associative law of multiplication,乘法結合律,,乘法结合律,2017-07-24
3185950,associative ring,結合環,,结合环,2017-07-24
3185951,astroid,星形線,,星形线,2017-07-24
3185952,asymptote,漸近線,,渐近线,2017-07-24
3185953,asymptotic center,漸近中心,,渐近中心,2017-07-24
3185954,asymptotic cone,漸近錐面,,渐近锥面,2017-07-24
3185955,asymptotic convergence,漸近收斂,,渐近收敛,2017-07-24
3185956,asymptotic curve,漸近曲線,,渐近曲线,2017-07-24
3185957,asymptotic direction,漸近方向,,渐近方向,2017-07-24
3185958,asymptotic expansion,漸近展開,,渐近展开,2017-07-24
3185959,asymptotic path,漸近路徑,,渐近路径,2017-07-24
