ID,英文名稱,中文名稱,圖片,更新日期
2120698,normalized variate,正規化變量,,2014-12-31
2120699,normalizer,正規化子,,2014-12-31
2120700,normalizing condition,正規化條件,,2014-12-31
2120701,normed algebra,賦範代數,,2014-12-31
2120702,normed linear space,賦範線性空間,,2014-12-31
2120703,normed ring,賦範環,,2014-12-31
2120704,normed vector ring,賦範向量環,,2014-12-31
2120705,normed vector space,賦範向量空間,,2014-12-31
2120706,not well-posed,不適定的,,2014-12-31
2120707,notation,記號,,2014-12-31
2120708,nought,零,,2014-12-31
2120709,nowhere dense,稀疏的；無處稠密的,,2014-12-31
2120710,nowhere dense set,無處稠密集；疏集,,2014-12-31
2120711,nowhere differentiable function,無處可微函數；處處不可微函數,,2014-12-31
2120712,n-person constant sum game,n人常和對局,,2014-12-31
2120713,n-person cooperative game,n人合作對局,,2014-12-31
2120714,n-person game,n人對局,,2014-12-31
2120715,n-person general sum game,n人一般和對局,,2014-12-31
2120716,n-person zero sum game,n人零和對局,,2014-12-31
2120717,n-simple space,n單純空間,,2014-12-31
2120718,n-stage decision,n步決策,,2014-12-31
2120719,n-th root,n次方根,,2014-12-31
2120720,n-th root of unity,1的n次方根,,2014-12-31
2120721,n-tuple,n元組,,2014-12-31
2120722,nuclear class,核類,,2014-12-31
2120723,nuclear map,核式映射,,2014-12-31
2120724,nuclear operator,核型算子,,2014-12-31
2120725,nuclear space,核型空間,,2014-12-31
2120726,nucleus,核,,2014-12-31
2120727,nuisance parameter,多餘參數,,2014-12-31
2120728,nulhomotopic ; null-homotopic,零倫的,,2014-12-31
2120729,,零；空,,2014-12-31
2120730,null algebra,零代數,,2014-12-31
2120731,null circle,點圓；零圓,,2014-12-31
2120732,null class,零類；空類,,2014-12-31
2120733,null curve,零曲線,,2014-12-31
2120734,null direction,零向,,2014-12-31
2120735,null displacement,零位移,,2014-12-31
2120736,null divisor,零因子,,2014-12-31
2120737,null element,零元[素],,2014-12-31
2120738,null ellipse,點橢圓；零橢圓,,2014-12-31
2120739,null ellipsoid,點橢面；零橢面,,2014-12-31
2120740,null event,空事件,,2014-12-31
2120741,null form,零型,,2014-12-31
2120742,null function,零函數,,2014-12-31
2120743,null geodesic,零測地線,,2014-12-31
2120744,null homotopy,零倫[的],,2014-12-31
2120745,null hypothesis,虛無假設,,2014-12-31
2120746,null ideal,零理想,,2014-12-31
2120747,null line,零線,,2014-12-31
2120748,null matrix,零矩陣,,2014-12-31
2120749,null path,零路徑,,2014-12-31
2120750,null plane,零平面,,2014-12-31
2120751,null point,零點,,2014-12-31
2120752,null ray,零射線,,2014-12-31
2120753,null recurrent state,零重現狀態,,2014-12-31
2120754,null ring,零環,,2014-12-31
2120755,null sequence,歸零序列；趨零序列,,2014-12-31
2120756,null set,零集；空集；零測集,,2014-12-31
2120757,null space,零核空間；點空間,,2014-12-31
2120758,null sphere,點球,,2014-12-31
2120759,null state,零狀態,,2014-12-31
2120760,null system,零系,,2014-12-31
