ID,英文名稱,中文名稱,圖片,分類,更新日期
7599429,emerging infectious disease,新興傳染病,,新冠病毒疾病名稱相關,2020-05-01
7599431,droplet transmission,飛沫傳播,,新冠病毒傳播與疫情描述相關,2020-05-01
7599433,community spread,社區擴散,,新冠病毒傳播與疫情描述相關,2020-05-01
7599434,community transmission,社區傳播,,新冠病毒傳播與疫情描述相關,2020-05-01
7599436,human-to-human transmission;person-to-person transmission,人傳人,,新冠病毒傳播與疫情描述相關,2020-05-01
7599437,cluster infection,群聚感染,,新冠病毒感染相關,2020-05-01
7599438,local transmission,局部傳播,,新冠病毒傳播與疫情描述相關,2020-05-01
7599439,contact tracing,接觸者追蹤,,新冠病毒疫調相關,2020-05-01
7599440,confirmed case,確診病例,,新冠病毒病例相關,2020-05-01
7599441,suspected case,疑似病例,,新冠病毒病例相關,2020-05-01
7599442,sporadic case,零星病例,,新冠病毒病例相關,2020-05-01
7599443,imported case,境外移入病例,,新冠病毒病例相關,2020-05-01
7599445,second-generation case,二代病例,,新冠病毒病例相關,2020-05-01
7599446,notifiable disease,法定傳染病,,新冠病毒疾病名稱相關,2020-05-01
7599447,geofencing,電子圍籬,,新冠病毒隔離檢疫相關,2020-05-01
7599448,severe case,重症,,新冠病毒症狀相關,2020-05-01
7599449,mild case,輕症,,新冠病毒症狀相關,2020-05-01
7599452,self-monitoring (for COVID-19),自主健康管理,,新冠病毒隔離檢疫相關,2020-05-01
7599453,take a swab and submit for testing,拭子送檢,,新冠病毒篩檢相關,2020-05-01
7599454,swab,拭子(醫用棉花棒),,新冠病毒篩檢相關,2020-05-01
7599455,Cell Broadcast messaging,小區簡訊/小區廣播,,新冠病毒疫情防控相關,2020-05-01
7599456,social distancing,社交距離,,新冠病毒疫情防控相關,2020-05-01
7599457,stay-at-home order,居家令,,新冠病毒疫情防控相關,2020-05-01
7599458,lockdown,封城,,新冠病毒疫情防控相關,2020-05-01
7599459,coronavirus,冠狀病毒,,新冠病毒疾病名稱相關,2020-05-01
7599461,coronavirus disease 2019; COVID-19 (infection);novel coronavirus pneumonia,新冠病毒肺炎,,新冠病毒疾病名稱相關,2020-05-01
7599464,incubation period,潛伏期,,新冠病毒症狀相關,2020-05-01
7599466,virus carrier,帶原者,,新冠病毒傳播與疫情描述相關,2020-05-01
7599467,asymptomatic carrier,無症狀帶原者,,新冠病毒傳播與疫情描述相關,2020-05-01
7599468,super spreader,超級傳播者,,新冠病毒傳播與疫情描述相關,2020-05-01
7599469,subclinical infection; inapparent infection,隱性感染,,新冠病毒感染相關,2020-05-01
7599470,subclinically infected person,隱性感染者,,新冠病毒感染相關,2020-05-01
7599471,vulnerable group; vulnerable population,易感人群,,新冠病毒感染相關,2020-05-01
7599472,high-risk population,高危險群,,新冠病毒感染相關,2020-05-01
7599475,recovery rate;case recovery rate,治癒率,,新冠病毒篩檢相關,2020-05-01
7599476,epidemic prevention and control,疫情防控,,新冠病毒疫情防控相關,2020-05-01
7599477,Wash your hands often and well!,勤洗手,,新冠病毒疫情防控相關,2020-05-01
7599478,health declaration form,健康申報表,,新冠病毒疫情防控相關,2020-05-01
7599480,contain the epidemic,遏制疫情,,新冠病毒疫情防控相關,2020-05-01
7599481,temperature monitoring,體溫檢測,,新冠病毒疫情防控相關,2020-05-01
7599482,temporary hospital;makeshift hospital,臨時醫院,,新冠病毒醫護相關,2020-05-01
7599484,underreport,虛報,,新冠病毒傳播與疫情描述相關,2020-05-01
7599485,frontline health workers,一線醫護人員,,新冠病毒醫護相關,2020-05-01
7599486,designated hospital,指定醫院,,新冠病毒醫護相關,2020-05-01
7599487,fever clinic,發燒門診,,新冠病毒醫護相關,2020-05-01
7599489,pulmonary infiltrate,肺浸潤,,新冠病毒症狀相關,2020-05-01
7599490,ventilator,呼吸器,,新冠病毒防疫儀器及器具相關,2020-05-01
7599491,infrared thermometer,紅外線體溫測量儀,,新冠病毒防疫儀器及器具相關,2020-05-01
7599492,ear thermometer,耳溫槍,,新冠病毒防疫儀器及器具相關,2020-05-01
7599493,forehead thermometer,額温槍,,新冠病毒防疫儀器及器具相關,2020-05-01
7599494,thermal imaging camera,體溫熱像儀,,新冠病毒防疫儀器及器具相關,2020-05-01
7599495,disinfecting wipes,消毒濕巾,,新冠病毒防疫儀器及器具相關,2020-05-01
7599496,hand sanitizer,乾洗手(劑),,新冠病毒防疫儀器及器具相關,2020-05-01
7599497,N95 respirator;N95 mask,N95口罩,,新冠病毒防疫儀器及器具相關,2020-05-01
7599498,surgical mask,外科口罩,,新冠病毒防疫儀器及器具相關,2020-05-01
7599499,protective clothing;protective suit,防護服,,新冠病毒防疫儀器及器具相關,2020-05-01
7599500,negative pressure ambulance,負壓救護車,,新冠病毒防疫儀器及器具相關,2020-05-01
7599501,negative-pressure ward;negative-pressure isolation room,負壓病房,,新冠病毒防疫儀器及器具相關,2020-05-01
7599502,"TOCC (travel history, occupation, contact history, & cluster history)",旅遊史，職業別，接觸史，群聚史,,新冠病毒疫調相關,2020-05-01
7599504,isolation gown,隔離衣,,新冠病毒防疫儀器及器具相關,2020-05-01
7599505,postpone or suspend mass gatherings,暫停或延後大型集會,,新冠病毒疫情防控相關,2020-05-01
7599506,comprehensive coronavirus testing,全面篩檢,,新冠病毒篩檢相關,2020-05-01
7599507,testing coverage,檢驗覆蓋率,,新冠病毒篩檢相關,2020-05-01
7599508,COVID-19 rapid test kits,新冠病毒快篩試劑,,新冠病毒篩檢相關,2020-05-01
7599509,identify source of infection,找出感染源,,新冠病毒感染相關,2020-05-01
7599510,flatten the curve (of cases),拉平(確診人數)曲線,,新冠病毒傳播與疫情描述相關,2020-05-01
7599512,collective quarantine facility,集中檢疫所,,新冠病毒隔離檢疫相關,2020-05-01
7599513,collective quarantine,集中檢疫,,新冠病毒隔離檢疫相關,2020-05-01
7599514,remdesivir,瑞德西韋,,新冠病毒防疫儀器及器具相關,2020-05-01
7599515,virus detoxification,排除病毒,,新冠病毒篩檢相關,2020-05-01
7599516,virus detoxification period;duration of virus detoxification,排毒時程,,新冠病毒篩檢相關,2020-05-01
7599517,cytokine storm,免疫風暴 (細胞激素風暴),,新冠病毒症狀相關,2020-05-01
7599518,major outbreak;massive outbreak,大爆發,,新冠病毒傳播與疫情描述相關,2020-05-01
7599519,epidemic outbreak,疫情爆發,,新冠病毒傳播與疫情描述相關,2020-05-01
7599520,cover up the epidemic;coverup of the epidemic,隱匿疫情,,新冠病毒傳播與疫情描述相關,2020-05-01
7599521,pandemic,全球大流行,,新冠病毒傳播與疫情描述相關,2020-05-01
7599523,misinformation (錯誤訊息);disinformation (扭曲訊息),不實消息,,新冠病毒傳播與疫情描述相關,2020-05-01
7599524,primary case,首例,,新冠病毒病例相關,2020-05-01
7599525,index case,指示病例,,新冠病毒病例相關,2020-05-01
7599526,patient zero,零號病人,,新冠病毒病例相關,2020-05-01
7599527,benchmark case,指標病例,,新冠病毒病例相關,2020-05-01
7599528,budget allocation,匡列預算,,新冠病毒疫情防控相關,2020-05-01
7599529,relief and economic stimulus package,紓困振興方案,,新冠病毒疫情防控相關,2020-05-01
7599530,quarantine of individuals,個人隔離,,新冠病毒隔離檢疫相關,2020-05-01
7599531,essential worker;key worker,重點工作者,,新冠病毒醫護相關,2020-05-01
7599532,epidemic slowdown,疫情趨緩,,新冠病毒傳播與疫情描述相關,2020-05-01
7599533,utilize technology to fight the epidemic,科技抗疫,,新冠病毒疫情防控相關,2020-05-01
7599534,fact-checking,事實查核,,新冠病毒疫情防控相關,2020-05-01
7599535,preemptive preparation; preemptive preparedness,超前部署,,新冠病毒疫情防控相關,2020-05-01
7599536,"Travel Health Notices:Warning Level 3, Avoid Nonessential TravelAlert Level 2, Practice Enhanced PrecautionsWatch Level 1, Practice Usual Precautions",旅遊疫情建議:第三級警告: 避免非必要旅遊第二級警示: 加強預防第一級注意: 提醒注意,,新冠病毒疫情防控相關,2020-05-01
7599537,specimen collection and testing,採檢,,新冠病毒篩檢相關,2020-05-01
7599538,virus strain,病毒株,,新冠病毒篩檢相關,2020-05-01
7599540,virus mutation,病毒突變,,新冠病毒篩檢相關,2020-05-01
7599541,virus isolation,病毒分離,,新冠病毒篩檢相關,2020-05-01
8251476,infection control breach,防疫破口,,新冠病毒疫調相關,2020-05-22
8251478,airborne transmission,空氣傳播,,新冠病毒傳播與疫情描述相關,2020-05-22
8251481,contact transmission,接觸傳播,,新冠病毒傳播與疫情描述相關,2020-05-22
8251490,domestic case,本土病例,,新冠病毒病例相關,2020-05-22
8251496,(government enforced) home quarantine,居家隔離,,新冠病毒隔離檢疫相關,2020-05-22
8251497,(locally monitored) home quarantine,居家檢疫,,新冠病毒隔離檢疫相關,2020-05-22
8251506,2019 novel coronavirus (2019-nCoV),新型冠狀病毒,,新冠病毒疾病名稱相關,2020-05-22
8251508,coronavirus disease 2019; COVID-19 (infection);novel coronavirus pneumonia,嚴重特殊傳染性肺炎,,新冠病毒疾病名稱相關,2020-05-22
8251509,mobile source of infection,移動傳染源,,新冠病毒傳播與疫情描述相關,2020-05-22
8251511,asymptomatic incubation period,無症狀潛伏期,,新冠病毒症狀相關,2020-05-22
8251519,hospital-acquired infection; nosocomial infection,院內感染,,新冠病毒感染相關,2020-05-22
8251520,case fatality rate (CFR),致死率,,新冠病毒篩檢相關,2020-05-22
8251525,avoid crowds,避免人潮,,新冠病毒疫情防控相關,2020-05-22
8251529,two-week observation period,兩周觀察期,,新冠病毒症狀相關,2020-05-22
8251534,clinical presentation;clinical manifestation;clinical picture,臨床表現,,新冠病毒症狀相關,2020-05-22
8251549,personal protective equipment (PPE),個人防護裝備,,新冠病毒防疫儀器及器具相關,2020-05-22
8251557,aerosol transmission,氣霧傳播 (氣溶膠),,新冠病毒傳播與疫情描述相關,2020-05-22
8251568,systemic failure,系統性失靈,,新冠病毒傳播與疫情描述相關,2020-05-22
