ID,英文名稱,中文名稱,圖片,更新日期
3255226,1-phenyl-3-pyrazolidone,{沖片}菲尼酮1-3號,,2017-08-08
3255227,16-bit graphics,十六位元圖形,,2017-08-08
3255228,2010 Healthy People,{美國}2010健康白皮書,,2017-08-08
3255229,20th Century-Fox,二十世紀福斯電影公司,,2017-08-08
3255230,24-bit graphics,二十四位元圖形,,2017-08-08
3255231,24-hour newscast,24小時新聞報導,,2017-08-08
3255232,2B film,2B底片,,2017-08-08
3255233,2D computer animation,2D電腦動畫,,2017-08-08
3255234,3-D ads,3D廣告,,2017-08-08
3255235,35mm camera,35毫米攝影機；35毫米照相機,,2017-08-08
3255236,3D computer animation,3D電腦動畫,,2017-08-08
3255237,3D film,3D電影,,2017-08-08
3255238,3GPP {=3rd Generation Partnership Project},第三代行動通訊合作計畫,,2017-08-08
3255239,3rd Generation Partnership Project {=3GPP},第三代行動通訊合作計畫,,2017-08-08
3255240,60 Minutes,{美國節目}「六十分鐘」,,2017-08-08
3255241,8 vestigial-side band modulation system broadcast {=8-VSB},八殘波帶調變系統廣播,,2017-08-08
3255242,8-bit graphics,八位元圖形,,2017-08-08
3255243,8-VSB {=8 vestigial-side band modulation system broadcast},八殘波帶調變系統廣播,,2017-08-08
3255244,8mm film,8毫米電影,,2017-08-08
3255245,9.5mm film,9.5毫米電影,,2017-08-08
3255246,A and B editing,ab帶剪接,,2017-08-08
3255247,A and B wind,分側捲片,,2017-08-08
3255248,a flash point,引爆點,,2017-08-08
3255249,a la carte advertising,單選廣告,,2017-08-08
3255250,a la carte channel,單選頻道,,2017-08-08
3255251,a take,好的鏡頭,,2017-08-08
3255252,a wind,A卷[繞]片,,2017-08-08
3255253,a-picture,a級片,,2017-08-08
3255254,A. C. Nielsen,Nielsen公司,,2017-08-08
3255255,A/C,交流電源,,2017-08-08
3255256,A/D {=Analog to Digital} converter,類比／數位轉換器,,2017-08-08
3255257,AAA {=American Arbitration Association},美國仲裁協會,,2017-08-08
3255258,AAAA {=American Association of Advertising Agencies},美國廣告代理商協會,,2017-08-08
3255259,AAC {=advanced audio coding},先進音訊編碼,,2017-08-08
3255260,AAF {=American Advertising Federation},美國廣告協會,,2017-08-08
3255261,AAL {=ATM adaptation layer},非同步傳輸模式適應層,,2017-08-08
3255262,AAPC {=American Association of Political Consultants},美國政治諮詢協會,,2017-08-08
3255263,AAPOR {=American Association for Public Opinion Research},美國民意研究學會,,2017-08-08
3255264,AB-roll editing,AB卷剪輯,,2017-08-08
3255265,ABA {=Australian Broadcasting Authority},澳洲廣播管理局,,2017-08-08
3255266,ABC {=American Broadcasting Company},美國廣播公司,,2017-08-08
3255267,ABC {=American Broadcasting Company} News,美國廣播公司新聞,,2017-08-08
3255268,ABC {=Audit Bureau of Circulation},發行量稽核局,,2017-08-08
3255269,ABC {=Australian Broadcasting Corporation},澳洲廣播公司,,2017-08-08
3255270,ABCN {=Asia Broadcasting and Communications Network},亞洲廣播視訊網,,2017-08-08
3255271,abdominal pain,腹痛,,2017-08-08
3255272,aberrant decoding,歧異解碼,,2017-08-08
3255273,aberration,逸軌；像差,,2017-08-08
3255274,ABIEN {=Advanced Broadband Integrated e-Service Network},{台灣}先進寬頻e化服務網路,,2017-08-08
3255275,abjection,棄卻,,2017-08-08
3255276,ABL {=automatic black level control},自動黑階控制,,2017-08-08
3255277,above-the-line personnel,線上人力,,2017-08-08
3255278,ABR {=Audit Bureau of Rating},收視率稽核組織,,2017-08-08
3255279,abrasion,{底片}刮痕,,2017-08-08
3255280,abrasion mark,{底片}刮痕,,2017-08-08
3255281,abrasion resistance,抗磨性,,2017-08-08
3255282,absence,缺席；不在場；隱缺,,2017-08-08
3255283,absentee ballots,缺席投票；不在籍投票,,2017-08-08
3255284,absentee voting,缺席投票,,2017-08-08
3255285,absolute cost advantage,絕對成本優勢,,2017-08-08
3255286,absolute film,絕對電影,,2017-08-08
3255287,absolute temperature,絕對溫度,,2017-08-08
3255288,absolutism,絕對主義,,2017-08-08
3255289,absorbed dose,吸收劑量,,2017-08-08
3255290,absorbent,吸附劑,,2017-08-08
3255291,absorption,吸光；吸收,,2017-08-08
3255292,absorption current,電流吸收,,2017-08-08
3255293,absorption maximum,最大吸收；吸收峰,,2017-08-08
3255294,absorption spectrum,吸收光譜,,2017-08-08
3255295,abstinence,停止使用；禁慾,,2017-08-08
3255296,abstract film,抽象電影,,2017-08-08
3255297,ABU {=Asia Pacific Broadcasting Union},亞太廣播電視聯盟,,2017-08-08
3255298,abundance principle,充裕原則,,2017-08-08
3255299,abuse of process,程序濫用,,2017-08-08
3255300,AC charger/adaptor,交流電充電器／轉接器,,2017-08-08
3255301,ACA {=Austrian Communications Authority},奧地利廣電局,,2017-08-08
3255302,Academic editing,影藝學院式剪接,,2017-08-08
3255303,Academy aperture,影藝學院片門,,2017-08-08
3255304,Academy awards,奧斯卡金像獎,,2017-08-08
3255305,Academy leader,影藝學院導片,,2017-08-08
3255306,Academy mask,影藝學院遮片,,2017-08-08
3255307,Academy of Motion Picture Arts & Science,美國影藝學院,,2017-08-08
3255308,Academy standards,影藝學院標準,,2017-08-08
3255309,ACC {=automatic chroma control circuit},色度自動調節迴路,,2017-08-08
3255310,ACCC {=Australia Competition & Consumer Commission},澳洲競爭與消費者委員會,,2017-08-08
3255311,accelerated montage,加速蒙太奇,,2017-08-08
3255312,accelerator,{顯影}促進劑,,2017-08-08
3255313,accenting,增強；口音,,2017-08-08
3255314,acceptability of risk,風險接受度,,2017-08-08
3255315,acceptable daily intake {=ADI},每日可接受攝取量,,2017-08-08
3255316,acceptable risk,可接受風險,,2017-08-08
3255317,acceptable use policy {=AUP},可接受的使用條款,,2017-08-08
3255318,acceptance fee,許可費,,2017-08-08
3255319,access channel,近用頻道；進用頻道,,2017-08-08
3255320,access charge,接取費用,,2017-08-08
3255321,access directive,{歐盟}接取指令,,2017-08-08
3255322,access fee,接續費,,2017-08-08
3255323,access network,接取網路,,2017-08-08
3255324,access point {=AP},存取點；網路橋接器,,2017-08-08
3255325,access right,近用權；進用權,,2017-08-08
3255326,access service,接續服務,,2017-08-08
3255327,access standard,接取標準,,2017-08-08
3255328,access-related condition,近用相關條件；進用相關條件,,2017-08-08
3255329,accessibility,近用性；進用性；可近用性；可進用性,,2017-08-08
3255330,accessibility to children,兒童近用；兒童進用,,2017-08-08
3255331,accessory,附件；輔助設備,,2017-08-08
3255332,accessory shoe,附件插座槽,,2017-08-08
3255333,accidental sampling,偶遇抽樣,,2017-08-08
3255334,accommodation,調和,,2017-08-08
3255335,account,客戶,,2017-08-08
3255336,account executive {=AE},業務人員,,2017-08-08
3255337,account hijacking,帳號竊取,,2017-08-08
3255338,account management information system {=AMIS},客戶管理資訊系統,,2017-08-08
3255339,account of profits,利潤考量,,2017-08-08
3255340,account planning,業務企畫,,2017-08-08
3255341,account supervisor,業務督導,,2017-08-08
3255342,accountability,責任,,2017-08-08
3255343,accountability principle,問責原則,,2017-08-08
3255344,accounting information system {=AIS},會計資訊系統,,2017-08-08
3255345,accounting rate,分攤費率,,2017-08-08
3255346,accreditation,認證；審定,,2017-08-08
3255347,accreditation program,認證方案,,2017-08-08
3255348,accredited journalist,特派記者 ,,2017-08-08
3255349,accretion measure,附加測量,,2017-08-08
3255350,acculturation,文化涵化；文化適應；文化同化,,2017-08-08
3255351,accuracy,精確；正確；準確,,2017-08-08
3255352,acetate,醋酸基,,2017-08-08
3255353,acetate film,醋酸鹽膠片,,2017-08-08
3255354,acetate-base film,醋酸銀基底片,,2017-08-08
3255355,acetic acid,醋酸,,2017-08-08
3255356,acetyl cellulose,醋酸纖維素；乙醯纖維素,,2017-08-08
3255357,achievement motivation theory,成就動機理論,,2017-08-08
3255358,achromat,消色差；消色差透鏡,,2017-08-08
3255359,achromatic color,消色；去色,,2017-08-08
3255360,achromatic lens,消色差透鏡；消色差鏡頭,,2017-08-08
3255361,achrony,含混,,2017-08-08
3255362,acid developer,酸性顯影液,,2017-08-08
3255363,acid fixer,酸性定影液,,2017-08-08
3255364,acid hardener,酸性固膜液,,2017-08-08
3255365,acid hardening fixer,酸性固膜定影液,,2017-08-08
3255366,acid stop bath,酸性停制液；酸性停顯液,,2017-08-08
3255367,acid-processed gelatin,酸性處理膠片；酸性膠,,2017-08-08
3255368,ACLU {=American Civil Liberties Union},美國公民自由聯盟,,2017-08-08
3255369,ACMA {=Australian Communications and Media Authority},澳洲通訊及媒體局,,2017-08-08
3255370,acoustics,音響學,,2017-08-08
3255371,ACPA {=Anti-cybersquatting Consumer Protection Act},{美國}反網路搶註消費者保護法,,2017-08-08
3255372,acquired immunodeficiency syndrome {=AIDS},愛滋病；後天免疫缺乏症候群,,2017-08-08
