ID,英文名稱,中文名稱,圖片,更新日期
219315,reinvestment,重投資,,2012-11-26
219317,reinsurance,再保險,,2012-11-26
219319,reimbursement,補償，歸墊,,2012-11-26
219320,reimbursable expenditure,可收回支出，墊付款,,2012-11-26
219322,rehabilitation,修復,,2012-11-26
219324,regular price,正常價格,,2012-11-26
219325,regular client,常年委託人,,2012-11-26
219328,re-group,重歸類,,2012-11-26
219330,regressive tax,累退稅,,2012-11-26
219331,regression equation,迴歸方程式,,2012-11-26
219333,registration statement,證券上市公司報表,,2012-11-26
219335,registration (of securities),登記(證券),,2012-11-26
219337,registrar,服務登記人,,2012-11-26
219339,registered warrant,已登記支付書,,2012-11-26
219343,registered capital,登記資本額,,2012-11-26
219345,registered bond,記名債券,,2012-11-26
219347,refunding bond,掉換債券,,2012-11-26
219348,register,登記簿,,2012-11-26
219351,refund,退款,,2012-11-26
219353,refinancing expense,債務掉期費用,,2012-11-26
219355,reducing-balance method (of depreciation),餘額遞減折舊法,,2012-11-26
219358,reducing-balance form，report form,餘額式，報告式,,2012-11-26
219361,reducing instalment method (of depreciation),分期遞減折舊法,,2012-11-26
219362,redistributed cost,再分配成本,,2012-11-26
219365,rediscount,重貼現,,2012-11-26
219368,red-ink entry,赤字記錄,,2012-11-26
219370,red-herring prospectus,非正式募股書，紅魚募股書,,2012-11-26
219373,redemption fund，sinking fund,贖債基金，償債基金,,2012-11-26
219374,redemption,贖回,,2012-11-26
219377,recurring cost,續生成本,,2012-11-26
219380,recurrent profit and loss,續生損益,,2012-11-26
219381,recurrent income,續生收益,,2012-11-26
219383,recovery value,收回價值,,2012-11-26
219386,recoverable value,可收回價值,,2012-11-26
219387,recovery,收回，回收,,2012-11-26
219389,recoverable loss,可補償損失,,2012-11-26
219391,recoverable expenditure,可收回支出,,2012-11-26
219392,recoverable cost,可收回成本,,2012-11-26
219395,recover,收回，補償,,2012-11-26
219396,recoup,補償,,2012-11-26
219398,recording medium,記錄依據，記帳原始依據,,2012-11-26
219399,recorded value,記錄價值,,2012-11-26
219401,recorded cost,已記錄成本,,2012-11-26
219402,record of goods sold,銷貨記錄,,2012-11-26
219405,record of cash receipt,現金收入記錄,,2012-11-26
219407,record of cash disbursement,現金付出記錄,,2012-11-26
219408,record date,列冊日期,,2012-11-26
219410,reconstruction,重建,,2012-11-26
219413,reconciling inventory,調節存貨,,2012-11-26
219415,reconciling bank account,調節銀行存款帳戶,,2012-11-26
219418,reconciliation of surplus,公積調節表,,2012-11-26
219419,reconciliation [statement],調節，調節表,,2012-11-26
219421,recognize,認定,,2012-11-26
219423,reciprocal account,相對帳戶,,2012-11-26
219425,receiving voucher,收入憑單，收入傳票,,2012-11-26
219427,receiving slip,收入傳票,,2012-11-26
219429,receiving expense,收貨費用,,2012-11-26
219433,receiving department expense,收貨部費用,,2012-11-26
219435,receiving department,收貨部,,2012-11-26
219438,receiver's certificate,清算人借款證,,2012-11-26
219441,receiver's cash account,清算人現金帳,,2012-11-26
219444,receiver,清算人，收受人,,2012-11-26
219445,received report，receiving report,收貨報單,,2012-11-26
219447,receivable,應收款項，應收,,2012-11-26
219449,receipt voucher,收入憑單，收入傳票,,2012-11-26
219453,receipt ledger,收入分類帳,,2012-11-26
219456,receipt and payment documents,收付憑證,,2012-11-26
219459,receipt and disbursement statement，receipt and payment account,現金收付表,,2012-11-26
219460,receipt,收入，收據,,2012-11-26
219461,recapitulation sheet，recapitulation statement,摘要表,,2012-11-26
219463,recapitalization,資本重整,,2012-11-26
219465,recap，recapitulation,摘總,,2012-11-26
219467,rebate,折扣，退回,,2012-11-26
219469,reappraisal surplus,重估價公積,,2012-11-26
219471,real-value item,實值項目,,2012-11-26
219473,realized surplus,已實現盈餘,,2012-11-26
219475,realized revenue,已實現收，已實現所入,,2012-11-26
219480,realized profit,已實現利益,,2012-11-26
219481,realized appreciation,已實現漲價,,2012-11-26
219486,realization of profit,利益實現,,2012-11-26
219487,realization and liquidation statement,變現清算表,,2012-11-26
219491,realization and liquidation profit and loss account,變現清算損益帳戶,,2012-11-26
219493,realization and liquidation account,變現清算表,,2012-11-26
219496,realization and liquidation,變現與清算,,2012-11-26
219497,realization account,變現帳戶,,2012-11-26
219499,realization,實現，變現,,2012-11-26
219502,realizable value,可變現價值,,2012-11-26
219503,real wages,實質工資,,2012-11-26
219504,real property,不動產,,2012-11-26
219506,real price，real value,實質價格，實質價值,,2012-11-26
219507,real liability,實質負債,,2012-11-26
219510,real estate mortgage,不動產抵押,,2012-11-26
219512,real estate,不動產，房地產,,2012-11-26
219516,real asset,實質資產,,2012-11-26
219517,real cost,實質成本,,2012-11-26
219521,real account,實質帳戶，實帳戶,,2012-11-26
219522,readjusting entry,重調整分錄,,2012-11-26
219525,reacquired bond,重取得債券,,2012-11-26
219526,reacquired stock,重取得股份,,2012-11-26
219530,reabsorption,再吸收，再分配,,2012-11-26
219532,reabsorbed cost,再吸收成本，再分配成本,,2012-11-26
219534,raw material ledger,原料分類帳,,2012-11-26
219535,raw material,原料,,2012-11-26
219537,ratio of trade account payable to purchase,應付款項對購貨比率,,2012-11-26
219540,ratio of surplus to net worth,盈餘對資本淨值比率,,2012-11-26
219542,ratio of quick asset to current liability,速動資產對流動負債比率,,2012-11-26
219544,ratio of net sale to receivable,銷貨淨額對應收款項比率,,2012-11-26
219546,ratio of net sale to proprietorship,銷貨淨額對業主權益比率,,2012-11-26
219548,ratio of net operating profit to net sale,營業利益對銷貨淨額比率,,2012-11-26
219550,ratio of net income to total asset,淨益對資產總額比率,,2012-11-26
219552,ratio of net income to proprietorship,淨益對業主權益比率,,2012-11-26
219556,ratio of net income to outstanding stock,淨益對淨發股本比率,,2012-11-26
219559,ratio of net income to net sale,淨益對銷貨淨額比率,,2012-11-26
219562,ratio of inventory to receivable,存貨對應收款項比率,,2012-11-26
219565,ratio of inside to outside equities,資本對負債比率,,2012-11-26
219568,ratio of fixed liability to asset held for security,固定負債對擔保資產比率,,2012-11-26
219572,ratio of fixed asset to total asset,固定資產對資產總額比率,,2012-11-26
219576,ratio of fixed asset to capital,固定資產對資本比率,,2012-11-26
219579,ratio of current liability to total liability,流動負債對負債總額比率,,2012-11-26
219581,ratio of current asset to total asset,流動資產對資產總額比率,,2012-11-26
219583,ratio of cash to current liability,現金對流動負債比率,,2012-11-26
219585,ratio of capital to current liability,資本對流動負債比率,,2012-11-26
219588,ratio analysis cost of sale and operating expense to net sale,銷貨成本與營業費用對銷貨淨額比率,,2012-11-26
219590,ratio analysis,比率分析,,2012-11-26
219592,ratio,比率,,2012-11-26
219594,rating,分等,,2012-11-26
219595,rate-of-return pricing,報酬率定價法,,2012-11-26
219597,rate of turnover,周轉率,,2012-11-26
219599,rate of return method (of capital budgeting),報酬率法(資本預算),,2012-11-26
219601,rate of margin，rate of gross profit,邊際率，毛利率,,2012-11-26
219603,rate of exchange,匯兌率，兌換率,,2012-11-26
219604,rate of dividend,股利率,,2012-11-26
219607,rate of discount,貼現率,,2012-11-26
219609,rate base,費率基礎,,2012-11-26
219611,rapid amortization，accelerated depreciation,快速攤銷，加速折舊,,2012-11-26
219614,ranking,分級,,2012-11-26
219616,range,全距,,2012-11-26
219620,random variation,隨機離勢,,2012-11-26
219621,random sampling,隨機選樣法,,2012-11-26
219622,random sample,隨機選樣,,2012-11-26
219625,random number,亂數,,2012-11-26
219627,random,隨機，任意,,2012-11-26
219629,R & D，research & development,研究發展,,2012-11-26
219631,quotations table,價目表,,2012-11-26
219633,quotations,價目，行市,,2012-11-26
219634,quick ratio,速動比率,,2012-11-26
219635,quick liability,速動負債,,2012-11-26
219636,quick asset,速動資產,,2012-11-26
219640,quasi reorganization,准改組，假改組,,2012-11-26
219641,quasi rent,准租金,,2012-11-26
219643,quasi public company,准公營公司,,2012-11-26
219645,quasi contract,准契約,,2012-11-26
219646,quarterly report,季報,,2012-11-26
219648,quantity variance,數量差異,,2012-11-26
219650,quantity method,數量方法,,2012-11-26
219652,quantity discount,購量折扣,,2012-11-26
219654,quantitative analysis,數量分析,,2012-11-26
219657,quality control,品質控制，品質管制,,2012-11-26
219659,qualitative analysis,品質分析,,2012-11-26
219660,qualifying reserve，valuation account,計價帳戶,,2012-11-26
219662,qualified endorsement,附條件背書,,2012-11-26
219665,qualified certificate,附條件證明書，保留意見查帳證明書,,2012-11-26
219667,qualified acceptance,附條件承兌,,2012-11-26
219669,qualification of the auditor,查帳員資格,,2012-11-26
219671,qualification,附帶申明，保留意見,,2012-11-26
219673,put,期貨買賣,,2012-11-26
219675,pure-interest rate,純利率,,2012-11-26
219677,pure profit,純利,,2012-11-26
219679,pure holding company,純股權公司,,2012-11-26
219681,purchasing power,購買力,,2012-11-26
219683,purchasing method,採購方法,,2012-11-26
219685,purchasing agent,採購代理人，採購員,,2012-11-26
219686,purchase-money obligation,置產債務,,2012-11-26
219689,purchase-method,購入法,,2012-11-26
219691,purchase returns and allowances journal,購貨退出與讓價日記帳,,2012-11-26
219692,purchase returns and allowances,購貨退出與讓價，進貨退出與讓價,,2012-11-26
219694,purchase returns,購貨退出，進貨退出,,2012-11-26
219695,purchase return book,購貨退出簿，進貨退出簿,,2012-11-26
219697,purchase requisition,請購單,,2012-11-26
219699,purchase record,採購記錄,,2012-11-26
219700,purchase rebates and allowances,購貨回扣與讓價,,2012-11-26
219702,purchase price adjustment (account),買價調整(帳戶),,2012-11-26
219705,purchase order,採購定單，定購單,,2012-11-26
219707,purchase journal,購貨簿，進貨簿,,2012-11-26
219708,purchase invoice,購貨發票，進貨發票,,2012-11-26
219711,purchase group，purchase syndicate，underwriting syndicate,購買集團，證券包銷集團,,2012-11-26
219713,purchase expense,採購費用,,2012-11-26
219715,purchase discount,購貨折扣，進貨折扣,,2012-11-26
219717,purchase cost,購買成本,,2012-11-26
219718,purchase contract,採購契約,,2012-11-26
219720,purchase commitment,採購承諾,,2012-11-26
219721,purchase book,購買簿，購貨簿，進貨簿,,2012-11-26
219724,purchase basis,採購基礎(指支出入帳),,2012-11-26
219725,purchase,採購，購貨，進貨,,2012-11-26
219728,publicity expense,宣傳費,,2012-11-26
219730,public trust fund,公共信託基金,,2012-11-26
219732,public treasury law,公庫法,,2012-11-26
219733,public treasury,公庫,,2012-11-26
219735,public service company，public utility company,公用事業公司,,2012-11-26
219737,public partner,出名合夥人,,2012-11-26
219739,public offering,公售證券,,2012-11-26
219742,public institution,公有事業,,2012-11-26
219743,public improvement fund，special assessment fund,公共改良基金，特賦基金,,2012-11-26
219745,public fund,公共基金,,2012-11-26
219747,public enterprise,公營企業,,2012-11-26
219748,public corporation,公營公司，股份公開公司,,2012-11-26
219751,public authority,公益機關,,2012-11-26
219752,public audit,公開審計,,2012-11-26
