ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
11562456,[structure] evolution equation,[結構]演化方程[式],,[结构]演化方程,2020-12-02
11562457,±45° laminate shear testing,±45°積層板剪切測試,,±45°层合板拉伸剪切试验,2020-12-02
11562458,1××× aluminum alloy,1XXX鋁合金,,1×××系铝合金,2020-12-02
11562459,2××× aluminum alloy,2XXX鋁合金,,2×××系铝合金,2020-12-02
11562460,3××× aluminum alloy,3XXX鋁合金,,3×××系铝合金,2020-12-02
11562461,350℃ embrittlement,350℃脆化,,不可逆回火脆性，第一类回火脆性，低温回火脆性,2020-12-02
11562462,3D cell culture,3D细胞培養,,三维细胞培养,2020-12-02
11562463,4××× aluminum alloy,4XXX鋁合金,,4×××系铝合金,2020-12-02
11562464,4C's diamond grading,鑽石4C分級,,钻石4C分级,2020-12-02
11562465,5××× aluminum alloy,5XXX鋁合金,,5×××系铝合金,2020-12-02
11562466,6××× aluminum alloy,6XXX鋁合金,,6×××系铝合金,2020-12-02
11562467,7××× aluminum alloy,7XXX鋁合金,,7×××系铝合金,2020-12-02
11562468,8××× aluminum alloy,8XXX鋁合金,,8×××系铝合金,2020-12-02
11562469,85 alumina ceramic,85氧化鋁陶瓷,,85氧化铝陶瓷,2020-12-02
11562470,95 alumina ceramic,95氧化鋁陶瓷,,95氧化铝陶瓷,2020-12-02
11562471,99 alumina ceramic,99氧化鋁陶瓷,,99氧化铝陶瓷,2020-12-02
11562472,Ⅱ-Ⅵ compound semiconductor,Ⅱ-Ⅵ族化合物半導體,,Ⅱ-Ⅵ族化合物半导体材料,2020-12-02
11562473,Ⅲ-Ⅴcompound semiconductor,Ⅲ-Ⅴ族化合物半導體,,Ⅲ-Ⅴ族化合物半导体材料,2020-12-02
11562474,Ⅳ-Ⅳcompound semiconductor,Ⅳ-Ⅳ族化合物半導體,,Ⅳ-Ⅳ族化合物半导体材料,2020-12-02
11562475,A1 critical point,A1臨界點,,A1临界点,2020-12-02
11562476,A-15 [compound] superconductor,A-15[化合物]超導體,,A-15[化合物]超导体,2020-12-02
11562477,A3 critical point,A3臨界點,,A3临界点,2020-12-02
11562478,ab initio calculation,從頭計算法{應用第一原理理論計算},,从头计算法,2020-12-02
11562479,ablation resistance,耐剝蝕性,,抗烧蚀性,2020-12-02
11562480,ablative composite,剝蝕複材,,烧蚀防热复合材料,2020-12-02
11562481,abnormal grain growth,異常晶粒成長,,反常晶粒长大,2020-12-02
11562482,abnormal Hall effect,異常霍爾效應,,反常霍尔效应,2020-12-02
11562483,abnormal segregation,異常偏析,,反常偏析,2020-12-02
11562484,abnormal structure,異常結構,,反常组织,2020-12-02
11562485,abrasion,磨損,,磨损，磨料磨损,2020-12-02
11562486,abrasion index,磨損指數,,磨耗指数,2020-12-02
11562487,abrasion loss,磨損量,,磨损[耗]量,2020-12-02
11562488,abrasion resistance,耐磨[損]性,,耐磨强度,2020-12-02
11562489,abrasion-resistant coating,耐磨[損]塗層,,耐磨涂层,2020-12-02
11562490,abrasive,研磨劑；磨料,,磨料,2020-12-02
11562491,abrasive wear,磨料磨耗,,磨料磨损,2020-12-02
11562492,absolute stability,絕對穩定性,,绝对稳定性,2020-12-02
11562493,absorbable bioceramic,可吸收生醫陶瓷,,可吸收生物陶瓷,2020-12-02
11562494,absorbable fiber,可吸收纖維,,可吸收纤维,2020-12-02
11562495,absorber,吸收材；吸收器,,吸收材料,2020-12-02
11562496,absorption coefficient,吸收係數,,吸收系数,2020-12-02
11562497,accelerated aging,加速老化{橡膠},,加速老化,2020-12-02
11562498,accelerated cement,快乾水泥；速凝水泥,,速凝水泥,2020-12-02
11562499,accelerated cooling (AC),加速冷卻[作用],,加速冷却,2020-12-02
11562500,accelerated crucible rotation technique (ACRT),加速坩堝旋轉技術,,坩埚加速旋转技术,2020-12-02
11562501,accelerated weathering,加速風化,,加速大气老化,2020-12-02
11562502,accelerating agent,加速劑；促進劑,,"促染剂,* 快速均染剂",2020-12-02
11562503,accelerator,加速劑；促進劑；加速器,,速凝剂,2020-12-02
11562504,acceptor impurity,受體雜質,,受主杂质，p型导电杂质,2020-12-02
11562505,acceptor level,受體能階,,受主能级,2020-12-02
11562506,accumulator lead alloy,蓄電池鉛合金,,蓄电池铅合金,2020-12-02
11562507,acetate fiber,醋酸纖維,,醋酯纤维，醋酸纤维　,2020-12-02
11562508,acetone furfural resin,丙酮糠醛樹脂,,糠酮树脂,2020-12-02
11562509,acetylated bamboo,乙醯化竹材,,乙酰化竹材,2020-12-02
11562510,acicular ferrite,針狀肥粒鐵,,针状铁素体,2020-12-02
11562511,acicular ferrite steel {= AF steel},針狀肥粒體鋼；AF鋼,,针状铁素体钢,2020-12-02
11562512,acicular martensite,針狀麻田散體,,针状马氏体,2020-12-02
11562513,acicular structure,針狀結構；針狀組織,,针状组织,2020-12-02
11562514,acid electrode,酸性銲條,,酸性焊条,2020-12-02
11562515,acid gilding,酸性鍍金,,腐蚀金，陶瓷雕金,2020-12-02
11562516,acid pickling,酸洗,,酸洗,2020-12-02
11562517,acid refractory,酸性耐火材,,酸性耐火材料,2020-12-02
11562518,acid slag,酸性渣,,酸性渣,2020-12-02
11562519,Acm critical point,Acm臨界點,,Acm临界点,2020-12-02
11562520,acoustic emission technique,聲發射技術；音洩技術,,声发射技术,2020-12-02
11562521,acoustic fatigue,音波疲勞,,声致疲劳,2020-12-02
11562522,acoustic insulating material,隔音材,,隔声材料,2020-12-02
11562523,acoustic levitation,聲致懸浮,,声悬浮,2020-12-02
11562524,acoustic material,聲材；音材,,吸音材料,2020-12-02
11562525,acoustic microscopy,聲波顯微術,,声学显微术,2020-12-02
11562526,acoustic property of wood,木材聲學性質,,木材声学性质,2020-12-02
11562527,acousto-optic ceramic,聲光陶瓷,,声光陶瓷,2020-12-02
11562528,acousto-optic effect,聲光效應,,声光效应,2020-12-02
11562529,acousto-optical crystal,聲光晶體,,声光晶体,2020-12-02
11562530,acrylate-modified ethylene propylene rubber,丙烯酸酯改質乙烯丙烯橡膠,,丙烯酸酯改性乙丙橡胶,2020-12-02
11562531,acrylic amino baking coating,丙烯酸胺基烘烤塗層,,丙烯酸氨基烘漆,2020-12-18
11562532,acrylic coating,丙烯酸塗層,,丙烯酸涂料,2020-12-02
11562533,acrylonitrile- butadiene latex,丙烯腈丁二烯乳膠,,丁腈胶乳,2020-12-02
