ID,英文名稱,中文名稱,圖片,更新日期
11557315,Neumann lamellae,紐曼層狀線,,2020-12-01
11557316,Neumann line,紐曼線,,2020-12-01
11557317,neutral atmosphere,中性蒙氣；中性氣氛,,2020-12-01
11557318,neutral axis,中立軸,,2020-12-01
11557319,neutral brick,中性磚,,2020-12-01
11557320,neutral flux,中心助熔劑,,2020-12-01
11557321,neutral glass,中性玻璃,,2020-12-01
11557322,neutral refractory,中性耐火材,,2020-12-01
11557323,neutral salt,中性鹽,,2020-12-01
11557324,neutral slag,中性渣,,2020-12-01
11557325,neutral zone,中性區域,,2020-12-01
11557326,neutralization equivalent,中和當量,,2020-12-01
11557327,neutralizer,中和劑,,2020-12-01
11557328,neutral-tinted glass,中性有色玻璃,,2020-12-01
11557329,neutretto,中[性]介子,,2020-12-01
11557330,neutrino,微[中]子,,2020-12-01
11557331,neutron,中子,,2020-12-01
11557332,neutron activation analysis,中子活化分析,,2020-12-01
11557333,neutron cross-section,中子橫載面,,2020-12-01
11557334,neutron diffraction,中子繞射,,2020-12-01
11557335,neutron flux,中子通量,,2020-12-01
11557336,neutron radiography,中子透視圖,,2020-12-01
11557337,neutron scattering,中子散射,,2020-12-01
11557338,neutron sputtering mass spectrometer,中子濺射質譜儀,,2020-12-01
11557339,neutron-absorbing glass,中子吸收玻璃,,2020-12-01
11557340,newlog,紐羅合金｛含35%Ni，1%Sn，具良好抗蝕力之銅鎳合金｝,,2020-12-01
11557341,Newtonian behavior,牛頓行爲,,2020-12-01
11557342,Newtonian flow,牛頓流動,,2020-12-01
11557343,Newtonian fluid,牛頓流體,,2020-12-01
11557344,Newtonian viscosity,牛頓黏度,,2020-12-01
11557345,Newton's law,牛頓定律,,2020-12-01
11557346,Newton's metal,牛頓[易熔]合金｛18.8%Sn-50%Bi- 31.2%Ni，M.P.96-97℃，或51.7%Bi- 40.2%Ni-8.1%Cd，M.P.92℃｝,,2020-12-01
11557347,Niag,鎳亞格合金｛含9%Ni，3%Pb，40%Zn之銅基合金｝,,2020-12-01
11557348,Ni-Al bronze,鎳鋁青銅,,2020-12-01
11557349,nibbed saggar,內突匣缽,,2020-12-01
11557350,nibbler,囓切機,,2020-12-01
11557351,nibbling,囓切,,2020-12-01
11557352,Nicarb process,氣體滲碳氮化法,,2020-12-01
11557353,Ni-Carbing,氣體滲碳氮化法,,2020-12-01
11557354,Nicaro process,尼卡洛法,,2020-12-01
11557355,nichrome,鎳克鉻｛一種電熱用合金｝,,2020-12-01
11557356,nick-bend test,凹痕彎斷試驗,,2020-12-01
11557357,nickel (Ni),鎳,,2020-12-01
11557358,nickel bronze,鎳青銅,,2020-12-01
11557359,nickel cast iron,鎳鑄鐵,,2020-12-01
11557360,nickel chelate,鎳螫合物,,2020-12-01
11557361,nickel chrome steel,鎳鉻鋼,,2020-12-01
11557362,nickel dipping,鎳鹽浸,,2020-12-01
11557363,nickel electrode,鎳電極,,2020-12-01
11557364,nickel ferrite,鎳鐵氧磁石,,2020-12-01
11557365,nickel oxide-iron battery,氧化鎳-鐵電池,,2020-12-01
11557366,nickel pellet,鎳珠,,2020-12-01
11557367,nickel print,鎳印法,,2020-12-01
11557368,nickel silver,鎳銀；白銅；德銀｛α相之銅鎳鋅合金｝,,2020-12-01
11557369,nickel steel,鎳鋼,,2020-12-01
11557370,nickel/YSZ cermet,鎳/釔安定化氧化鋯陶金,,2020-12-01
11557371,nickel-cadmium cell,鎳鎘電池,,2020-12-01
11557372,nickel-clad,包鎳｛鋼板｝,,2020-12-01
11557373,nickel-iron alloy,鎳鐵合金,,2020-12-01
11557374,nickel-iron cell,鎳鐵電池,,2020-12-01
11557375,nickelizing,鍍鎳處理,,2020-12-01
11557376,nickeloid,鎳克勞合金｛製藥儀器防鏽材料含55-60%Cu餘為Ni之合金｝,,2020-12-01
11557377,nickel-plating,鍍鎳,,2020-12-01
11557378,nicking,刻痕,,2020-12-01
11557379,niclad,包鎳｛鋼板｝,,2020-12-01
11557380,Nicol prism,尼可棱鏡,,2020-12-01
11557381,Ni-hard,鎳硬合金,,2020-12-01
11557382,nil-ductility temperature (NDT),零延性溫度,,2020-12-01
11557383,Nilo alloys,零羅合金｛30-50%Ni，其餘為鎂｝,,2020-12-01
11557384,Nimonic alloy,鎳蒙克合金｛一系族抗高溫氧化和潛變的鎳基超合金，多用於燃氣輪機｝,,2020-12-01
11557385,niobite,銀鐵礦,,2020-12-01
11557386,niobium (Nb),鈮,,2020-12-01
11557387,niobium alloy,鈮合金,,2020-12-01
11557388,Ni-resist,鎳耐蝕合金,,2020-12-01
11557389,nital,硝太蝕劑｛含硝酸之酒精蝕液｝,,2020-12-01
11557390,Nitinol,鎳鈦形狀記憶合金｛商標名｝,,2020-12-01
11557391,nitralising,硝酸鈉鹽浴處理,,2020-12-01
11557392,nitrate,硝酸鹽,,2020-12-01
11557393,nitrate pyrolysis,硝酸鹽熱解,,2020-12-01
11557394,nitration,硝化,,2020-12-01
11557395,nitride,氮化物,,2020-12-01
11557396,nitriding,氮化,,2020-12-01
11557397,nitriding steel,氮化鋼,,2020-12-01
11557398,nitriding structure,氮化組織｛鋼｝,,2020-12-01
11557399,nitrile,腈,,2020-12-01
11557400,nitrite,亞硝酸鹽,,2020-12-01
11557401,nitro dye,硝基染料,,2020-12-01
11557402,nitro polymer,硝基聚合物,,2020-12-01
11557403,nitrocarburizing,滲碳氮化法,,2020-12-01
11557404,nitrodeoxycellulose,硝基去氧纖維素,,2020-12-01
11557405,nitrogen,氮氣,,2020-12-01
11557406,nitrogen (N),氮,,2020-12-01
11557407,nitrogen base,氮鹼,,2020-12-01
11557408,nitrogen fluoride,氮氟化物,,2020-12-01
11557409,nitrogen hardening,氮硬化法,,2020-12-01
11557410,nitrogen oxide,氮氧化物,,2020-12-01
11557411,nitrogenous compounds-oxygen fuel cell,含氮化合物-氧燃料電池,,2020-12-01
11557412,nitroolefin,硝基烯,,2020-12-01
11557413,nitroso compound,亞硝基化合物,,2020-12-01
11557414,nobelium (No),鍩,,2020-12-01
11557415,noble metal,貴金屬,,2020-12-01
11557416,noble metal catalyst,貴金屬觸媒,,2020-12-01
11557417,noble metal catalyst recycling,貴金屬催化劑回收,,2020-12-01
11557418,noble metal loading,貴金屬添加量,,2020-12-01
11557419,noble potential,貴電位,,2020-12-01
11557420,Node,節點,,2020-12-01
11557421,nodulant,球化劑,,2020-12-01
11557422,nodular cast iron,球[狀石]墨鑄鐵,,2020-12-01
11557423,nodular graphite cast iron,球狀石墨鑄鐵,,2020-12-01
11557424,nodular graphite pig iron,球墨鑄鐵用生鐵,,2020-12-01
11557425,nodular powder,球狀粉末,,2020-12-01
11557426,nodular troostite,結節狀吐粒散體,,2020-12-01
11557427,nodular-fireclay,節狀火黏土,,2020-12-01
11557428,nodularizer,球化劑｛鑄造｝,,2020-12-01
11557429,nodules,生料粒,,2020-12-01
11557430,nodulizer,製粒機,,2020-12-01
11557431,nodulizing,粒結法,,2020-12-01
11557432,Noil,羅依合金｛含20%Sn之Cu合金｝,,2020-12-01
11557433,nomenclature,命名法,,2020-12-01
11557434,nominal dimension,標稱尺度,,2020-12-01
11557435,nominal stress,標稱應力,,2020-12-01
11557436,nomogram,列缐圖；圖解圖,,2020-12-01
11557437,nomograph,列缐圖；圖解圖,,2020-12-01
11557438,non-clay refractory,非黏土耐火材料,,2020-12-01
11557439,non-coking coal,非焦性煤,,2020-12-01
11557440,nonconjugated diene,非共軛二烯,,2020-12-01
11557441,non-conservative motion,非守恆運動,,2020-12-01
11557442,non-consumable electrode melting,非消耗電極熔解法,,2020-12-01
11557443,noncrystalline solid,非結晶固體,,2020-12-01
11557444,non-deforming steel,不變形鋼,,2020-12-01
11557445,nondestructive evaluation,非破壞性評估,,2020-12-01
11557446,nondestructive testing,非破壞性測試；非破壞性檢測,,2020-12-01
11557447,non-destructive testing,非破壞試驗,,2020-12-01
11557448,nonductile fracture,非延性斷口,,2020-12-01
11557449,nonelectrolyte,非電解質,,2020-12-01
11557450,nonequilibrium cooling,非平衡冷卻,,2020-12-01
11557451,nonequilibrium phase,非平衡相,,2020-12-01
11557452,nonequilibrium solidification,非平衡凝固,,2020-12-01
11557453,non-ferrous alloy,非鐵合金,,2020-12-01
11557454,non-ferrous casting,非鐵鑄件,,2020-12-01
11557455,non-ferrous metal,非鐵金屬,,2020-12-01
11557456,non-Hookeian,非虎克性｛應力與應變非線性關係情況｝,,2020-12-01
11557457,non-isomorphic alloy system,非同質異晶合金系統,,2020-12-01
11557458,non-isothermal process,非等溫過程,,2020-12-01
11557459,nonlinear optical property,非線性光學性質,,2020-12-01
11557460,nonlinear optics (NLO),非線性光學,,2020-12-01
11557461,non-load bearing tile,非載重磚；非載重瓦,,2020-12-01
11557462,nonlocality,非侷域性,,2020-12-01
11557463,non-magnetic cast iron,非磁性鑄鐵,,2020-12-01
11557464,non-magnetic steel,非磁性鋼,,2020-12-01
11557465,nonmetal,非金屬,,2020-12-01
11557466,nonmetallic inclusion,非金屬夾雜物,,2020-12-01
11557467,non-oxiding acid,非氧化性酸,,2020-12-01
11557468,non-polar material,非極性材料,,2020-12-01
11557469,non-propagating crack,不延伸裂痕,,2020-12-01
11557470,non-shrinking steel,不縮鋼,,2020-12-01
11557471,nonsteady-state condition,非穩定態條件,,2020-12-01
11557472,nonsteady-state diffusion,非穩定態擴散,,2020-12-01
11557473,non-stoichiometric,非化學計量的,,2020-12-01
11557474,nonstoichiometric compound,非化合比化合物,,2020-12-01
11557475,non-stoichiometric compounds,非等計量比化合物,,2020-12-01
