ID,英文詞彙,中文名詞,越南語,印尼語,緬甸文,泰文,柬埔寨文,資料來源,法令,注解,菲律賓文,更新日期
21375269,(administrative) fine,罰鍰,khoản tiền phạt (không thực hiện quy định sẽ nộp lại nhiều lần cho đến khi thực hiện),denda,,,,,,,,
21375270,(case) acceptance for processing,受理,thụ lý/tiếp nhận giải quyết,menerima,,,,,,,,
21375271,(judicial) fine,罰金,tiền phạt,denda,,,,,,,,
21375272,(medical) case,病例,ca bệnh,penyakit,,,,,,,,
21375273,(physical) object,實物,"hiện vật, vật dụng thực tế",barang,,,,,,,,
21375274,(taxes) imposed; (taxes) levied,開徵,"thu tiền, đánh thuế",pemungutan pajak,,,,,,,,
21375275,a commissioned position,委任職,chức vụ được ủy nhiệm,ditunjuk; diangkat,,,,,,,,
21375276,abolishment,廢止,"hủy bỏ, bãi bỏ",dihapuskan; diakhiri,,,,,,,,
21375277,absence from work,曠工,"bỏ việc, không đi làm",pekerja tambang,,,,,,,,
21375278,absence without leave,曠職,nghỉ làm (không xin phép),bolos kerja,,,,,,,,
21375279,abuse,濫用,lạm dụng,menyalahgunakan,,,,,,,,
21375280,access,存取,lưu giữ và truy cập,mengakses,,,,,,,,
21375281,accommodation,容留,"giữ lại, không được tùy ý rời khỏi nơi chỉ định",tempat penampungan,,,,,,,,
21375282,accommodation; detention,收容,"tạm giam, thu nhận",penampungan,,,,,,,,
21375283,accomplice,共犯,đồng phạm,komplotan,,,,,,,,
21375284,accumulated debt; to owe,積欠,"nợ góp, nợ chồng chất",utang yang bertimbun,,,,,,,,
21375285,acknowledgement,知悉,biết rõ,mengetahui,,,,,,,,
21375286,activities,動態,động thái,kondisi; keadaan,,,,,,,,
21375287,actor; perpetrator,行為人,người thực hiện hành vi,pelaku,,,,,,,,
21375288,actual collection,實收,thực thu,dipungut biaya,,,,,,,,
21375289,actual record,實錄,ghi chép thực tế,catatan,,,,,,,,
21375290,actuarial,精算,tính toán chính xác,perhitungan; aktuari,,,,,,,,
21375291,actuary,精算師,chuyên gia tính toán,aktuaris,,,,,,,,
21375292,acute care ward,急性病房,Buồng bệnh cấp tính,Instalasi Gawat Darurat (IGD),,,,,,,,
21375293,addiction treatment,戒癮治療,điều trị cai nghiện,terapi kecanduan,,,,,,,,
21375294,additional grant,加發,cấp phát thêm,menambah pembayaran,,,,,,,,
21375295,additional levy,加徵,thu thêm,retribusi tambahan,,,,,,,,
21375296,adjustment,調節,điều tiết,menyesuaikan,,,,,,,,
21375297,administration office,公所,văn phòng,kantor,,,,,,,,
21375298,administrator; manager,管理人,người quản lý,pengurus,,,,,,,,
21375299,advance compensation,墊償,tiền bồi thường,pengembalian dana,,,,,,,,
21375300,advance payment,墊款,khoản tiền ứng trước,pinjaman; uang muka,,,,,,,,
21375301,advanced payment by oneself,自墊,đóng phí trước,membayar terlebih dahulu,,,,,,,,
21375302,advertising items,廣告物,vật phẩm quảng cáo,iklan,,,,,,,,
21375303,agenda,議程,"chương trình hội nghị, lịch trình",agenda,,,,,,,,
21375304,agent,代理人,người được ủy quyền,agen; wakil,,,,,,,,
21375305,aggregation,匯集,"tập hợp, thu thập lại",mengumpulkan   ,,,,,,,,
21375306,agreement,協議,sự thỏa thuận,perjanjian,,,,,,,,
21375307,agreements,協約,hiệp ước,perjanjian,,,,,,,,
21375308,agriculture,農業,"nghề nông, ngành nông nghiệp",pertanian; agronomi,,,,,,,,
21375309,aid,扶助,hỗ trợ,dukungan,,,,,,,,
21375310,aircraft,航空器,"phi cơ, các vật thể bay do con người tạo ra (máy bay, phi thuyền, trực thăng,...)",pesawat udara,,,,,,,,
21375311,alien resident certificate,外僑居留證,thẻ cư trú ngoại kiều (thẻ cư trú),ARC,,,,,,,,
21375312,alimony,扶養費,"phí cấp dưỡng, tiền nuôi dưỡng",biaya pengasuhan anak,,,,,,,,
21375313,allocation,調配,điều phối,alokasi,,,,,,,,
21375314,allocation for supplementation,撥補,cấp phát bù,pemberian dana,,,,,,,,
21375315,allocation; put in place,配置,"cân nhắc bố trí, sắp xếp",menyebarkan; alokasi,,,,,,,,
21375316,allowance,補貼,trợ cấp thêm,subsidi,,,,,,,,
21375317,alone,獨力,"một mình (làm), tự lực",individual,,,,,,,,
21375318,along with,附帶,kèm theo,tambahan,,,,,,,,
21375319,"along with; besides, together with",連同,cùng với,beserta,,,,,,,,
21375320,along with; together with; jointly,併同,"cùng với, kèm theo",bersamaan; sekaligus,,,,,,,,
