ID,英文名稱,中文名稱,圖片,更新日期
2557,Rim,輞,,2012-11-26
2963,Protect-range,保護區,,2012-11-26
2965,Protective measure,保護法,,2012-11-26
2967,Protective dune,防砂丘,,2012-11-26
3045,Pressure-reducing valve,減壓瓣,,2012-11-26
3051,Preservation of fertility,地力保持,,2012-11-26
3064,Preliminary steaming treatment,初步蒸汽處理,,2012-11-26
3090,Powdery mildew,白粉病,,2012-11-26
3126,Pollard,截頭木,,2012-11-26
3278,Pinnate leaf,羽狀葉,,2012-11-26
3304,Pile of wood,積材,,2012-11-26
3307,Pilaster,柱材,,2012-11-26
3326,Physiological moisture,生理的水分,,2012-11-26
3369,Petal,花瓣,,2012-11-26
3370,Peruvian bark tree(Cinchona succirubra，Pav.),鷄納樹,,2012-11-26
3471,Passing-place,轉轍,,2012-11-26
3478,Partial mast,歉年,,2012-11-26
3499,Parasitic insect,寄生性昆蟲,,2012-11-26
3534,Palm kernel oil,椰子仁油,,2012-11-26
3572,Overhead-light,上光線,,2012-11-26
3577,Overflow spring,溢泉,,2012-11-26
3593,Out-of-city park,市郊公園,,2012-11-26
3599,Outer pit aperture,紋孔外隙,,2012-11-26
3757,Notice of delivery,交貨通知書,,2012-11-26
3798,Non-forest land,非林地,,2012-11-26
3825,Net-planting,網狀植樹,,2012-11-26
3836,Needle-leaved tree,針葉樹,,2012-11-26
3945,Monocotyle,單子葉的,,2012-11-26
4019,Mineral matter,礦物質,,2012-11-26
4021,Mimosa bark,相思樹類(Acacia)樹皮,,2012-11-26
4023,Mill run,初步鋸材,,2012-11-26
4092,Memoranda book,備忘錄,,2012-11-26
4161,Marly soil,泥灰土,,2012-11-26
4178,Maple-sugar,槭糖,,2012-11-26
4183,Many storied high forest system,多層喬林作業,,2012-11-26
4204,Management-strip,區劃主線,,2012-11-26
4223,Main road,主道，幹線,,2012-11-26
4236,Magazine grinder,自動磨木機,,2012-11-26
4409,Line shaft,線軸,,2012-11-26
4737,Intolerant,陽性的,,2012-11-26
4755,Intermediate yield,間收穫,,2012-11-26
4772,Intercalary growth,節間生長,,2012-11-26
4796,Inner bark,內皮,,2012-11-26
4835,Indian rose chestnut (Mesua ferrea， Linn.),鐵刀木,,2012-11-26
4871,Impulse wheel,衝動水車,,2012-11-26
4886,Impervious seed,硬殼種子,,2012-11-26
4909,Ichneumon fly,寄生蜂(膜翅目),,2012-11-26
4933,Hydrometric tube,測流管,,2012-11-26
4983,Hongkony kumquat (Fortunella hindsii， Swingle.),金豆,,2012-11-26
4984,Honey-locust (Gleditsia triacanthos， Linn.),美國皂莢,,2012-11-26
4999,Holard,全水量,,2012-11-26
5074,Heavy thinning,強度疏伐,,2012-11-26
5188,Growing-stock,立木積蓄，林分,,2012-11-26
124347,Grating for stopping floating wood,欄筏壩,,2012-11-26
124348,Grassland vegetation,草生植物羣,,2012-11-26
124349,Grass-hook,鎌,,2012-11-26
124350,Grass-grown,草生地,,2012-11-26
124351,Grass-fire,地表火,,2012-11-26
124352,Grass-covered land,草生地,,2012-11-26
124353,Grappling irons,把持鈎,,2012-11-26
124354,Grapple,把持鈎,,2012-11-26
124355,Graphic method of valuation,曲線求積法,,2012-11-26
124356,Grand-myrtle (Largerstroemia indica， Linn.),紫薇,,2012-11-26
124357,Grand Whit Fir,大冷杉,,2012-11-26
124358,Grand fir (Abies grandi ， Lindl.),大冷杉,,2012-11-26
124359,Grain weight,種子絕對重,,2012-11-26
124360,Grain of wood,木理,,2012-11-26
124361,Grain,紋理，木理,,2012-11-26
124362,Graftling,嫁接苗,,2012-11-26
124363,Grafting,接木，嫁接,,2012-11-26
124364,Graft,接穗,,2012-11-26
124365,Graduated circle,分度環,,2012-11-26
124366,Grading,分級,,2012-11-26
124367,Gradient,傾斜，傾斜度,,2012-11-26
124368,Grade-line,路線,,2012-11-26
124369,Grade of locality,地位,,2012-11-26
124370,Grade,傾斜度，等級,,2012-11-26
124371,Gradation of moisture,含水量層次,,2012-11-26
124372,Gradation of age classes,齡級順序,,2012-11-26
124373,Governor,調速機,,2012-11-26
124374,Governmental felling,公家伐採,,2012-11-26
124375,Governmental afforestation of communal lands,公有林地造林,,2012-11-26
124376,Goniomenter,角度計,,2012-11-26
124377,Goldschmidt barometer Goldschmidt,氣壓計,,2012-11-26
124378,Goldenleaf chinquapin (Castanopsis chrysophylla A. D. C.),黃葉錐儲,,2012-11-26
124379,Golden phianix tree,鳳凰木,,2012-11-26
124380,Golden larch (Pseudolarix amabilis， Rehd.),金錢松,,2012-11-26
124381,Golden dewdrop(Duranta repens， Linn.),台灣連翹,,2012-11-26
124382,Go-devil,曳板,,2012-11-26
124383,Goat-wiilow,黃花柳,,2012-11-26
124384,Goatsucker,蚊母鳥,,2012-11-26
124385,Goatowl,蚊母鳥,,2012-11-26
124386,Goatmilker,蚊母鳥,,2012-11-26
124387,Gnawed by rabbits,兔之囓害,,2012-11-26
124388,Glycerine ester,甘油酯,,2012-11-26
124389,Glyceride,甘油酯,,2012-11-26
124390,Gluten,麩質,,2012-11-26
124391,Gluing,膠著,,2012-11-26
124392,Glued joint,膠接,,2012-11-26
124393,Glue spreader,塗膠機,,2012-11-26
124394,Glue,膠,,2012-11-26
124395,Glucoside,糖原質,,2012-11-26
124396,Glucoresin,醣樹脂,,2012-11-26
124397,Glossy privet(Ligustrum lucidum， Ait.),女貞,,2012-11-26
124398,Gloss oil,光滑油,,2012-11-26
124399,Globe valve,球形瓣,,2012-11-26
124400,Glen,幽谷,,2012-11-26
124401,Glazier's wood,冰河材,,2012-11-26
124402,Glazed rain,冰雨,,2012-11-26
124403,Gland,腺,,2012-11-26
124404,Glazed frost,冰霜,,2012-11-26
124405,Glacier-torrent,冰河野溪,,2012-11-26
124406,Glacier-avalanche,冰河頹雪,,2012-11-26
124407,Glacier,冰河，冰川,,2012-11-26
124408,Glacial acetic acid,冰醋酸,,2012-11-26
124409,Girth,周圍,,2012-11-26
124410,Girdling,環剝枯,,2012-11-26
124411,Ginger Pine (Chamaecyparis Lawsoniana Parl.),羅生柏,,2019-03-11
124412,Gill,菌褶,,2012-11-26
124413,Gigantic Red Cedar,美國西部側柏,,2012-11-26
124414,Gigantic Pine (Pinus Lambertiana， Do),砂糖松,,2012-11-26
124415,Gigantic cedar,美國西部側柏,,2012-11-26
124416,Giant sequoia,世界爺,,2012-11-26
124417,Giant redwood (Sequoiaden dron giganteum， Buchh.),世界爺,,2012-11-26
124418,Giant gum (Eucalyptus amygdalina， L),杏仁香桉樹,,2012-11-26
124419,Giant cedar,美國西部側柏,,2012-11-26
124420,Giant arborvitae,美國西部側柏,,2012-11-26
124421,Germinator,發芽試驗器,,2012-11-26
124422,Germinative power,發芽力,,2012-11-26
124423,Germinative force,發芽勢,,2012-11-26
124424,Germinative energy,發芽勢,,2012-11-26
124425,Germinative capacity,發芽能力,,2012-11-26
124426,Germination test,發芽試驗,,2012-11-26
124427,Germination speed,發芽速度,,2012-11-26
124428,Germination percent,發芽率,,2012-11-26
124429,Germination number,發芽量，發芽數,,2012-11-26
124430,Germination in the second year,越年發芽,,2012-11-26
124431,Germination,發芽,,2012-11-26
124432,Germinating-box,發芽箱,,2012-11-26
124433,Germinating-apparatus,發芽試驗器,,2012-11-26
124434,Germinating test,發芽試驗,,2012-11-26
124435,Germinating energy,發芽勢,,2012-11-26
124436,Germinating bed,發芽床,,2012-11-26
124437,Germinable,能發芽的,,2012-11-26
124438,Germ,發芽,,2012-11-26
124439,Gerad process,硝化人造絲製造法,,2012-11-26
124440,Geotropism,趨地性,,2012-11-26
124441,Georgia Yellow Pine,大王松,,2012-11-26
124442,Georgia Pitch Pine,大王松,,2012-11-26
124443,Georgia Pine,大王松,,2012-11-26
124444,Georgia Long-leaved Pine,大王松,,2012-11-26
124445,Georgia heart pine,大王松,,2012-11-26
124446,Geophytes,地中冬芽植物,,2012-11-26
124447,Geological map,地質圖,,2012-11-26
124448,Geographical indicator,地理指標,,2012-11-26
124449,Geographical distribution,地理分佈,,2012-11-26
124450,Genus,屬,,2012-11-26
124451,Genuiness of seeds,種子真實性,,2012-11-26
124452,Gentle,緩斜(3 °─8 °),,2012-11-26
124454,Generator gas,發生爐瓦斯,,2012-11-26
124455,Generator,發電機,,2012-11-26
124456,Generation,世代,,2012-11-26
124457,General yield table,一般收穫表,,2012-11-26
124458,General working-plan,基本施業計劃,,2012-11-26
124459,General supervision of the forests,森林總監督,,2012-11-26
124460,General plan of working,施業計劃,,2012-11-26
124461,General plan,一般計劃,,2012-11-26
124462,General design,設計,,2012-11-26
124463,General cutting-plan,基本採伐計劃,,2012-11-26
124464,Gemmage a vie,活取法,,2012-11-26
124465,Gemmage a mort,死取法,,2012-11-26
124466,Gelantinous fibre,膠質纖維,,2012-11-26
124467,Geared locomotive,齒輪機車,,2012-11-26
124468,Gauge,軌間，軌隔,,2012-11-26
124469,Gasoline skidder,汽油集材機,,2012-11-26
124470,Gasoline engine,汽油發動機,,2012-11-26
124471,Gas-engine,瓦斯發動機,,2012-11-26
124472,Garden suburb,市郊庭園,,2012-11-26
124473,Garden city,市庭園,,2012-11-26
124474,Gap-cover,補植木,,2012-11-26
124475,Gap felling,孔狀伐,,2012-11-26
124476,Gap cutting,孔狀伐,,2012-11-26
124477,Gap,無立木地,,2012-11-26
124478,Gang-saw,框鋸，直鋸,,2012-11-26
124479,Gametes,配偶子,,2012-11-26
124480,Game-preserver,獵區主,,2012-11-26
124481,Game-preserve,禁獵區，野獸園,,2012-11-26
124482,Game-park,野獸園,,2012-11-26
124483,Game-licen,狩獵執照,,2012-11-26
124484,Game-law,狩獵法,,2012-11-26
124485,Game-Cover,禁獵區，野獸園,,2012-11-26
124486,Game,狩獵動物,,2012-11-26
124487,Gamboge (Gambogia),藤黃 (Garcinia Hamburgi， Hook. F. 之樹脂),,2012-11-26
124488,Gambir,阿仙藥[黑兒茶所含之單甯],,2012-11-26
124489,Gambier catechu,阿仙藥[黑兒茶所含之單甯],,2012-11-26
124490,Gambier (Uncaria gambier， Roxb.),阿仙藥[黑兒茶所含之單甯],,2012-11-26
124491,Galvanized iron wire,鉛絲,,2012-11-26
124492,Gallotannic acid,鞣酸,,2012-11-26
124493,Gallic acid,五倍子酸,,2012-11-26
124494,Gall wasp,五倍子蜂，癭蜂,,2012-11-26
124495,Gall nut,五倍子,,2012-11-26
124496,Gall midge,五倍子蠅,,2012-11-26
124497,Gall,蟲癭，五倍子,,2012-11-26
124498,Galipot,固形樹脂,,2012-11-26
124499,Galbulus,肉質毬果,,2012-11-26
