ID,英文名稱,中文名稱,圖片,更新日期
425501,charge density,電荷密度,,2012-11-26
425503,charge coupled device,電荷耦合裝置,,2012-11-26
425505,charge conservation,電荷守恒,,2012-11-26
425506,charge collection time,電荷收集時間,,2012-11-26
425509,charge collecting electrodes,電荷收集電極,,2012-11-26
425511,charge cloud model,電荷雲模型,,2012-11-26
425512,charge cloud,電荷雲,,2012-11-26
425515,charge chute,裝料斜槽；裝料瀉槽,,2012-11-26
425516,charge cask,裝料容器,,2012-11-26
425517,charge carrier,電荷載體,,2012-11-26
425519,charge,(一)充電(二)充裝﹝動詞、名詞﹞,,2012-11-26
425521,charcoal ignition,木炭點火,,2012-11-26
425522,charcoal filter,木炭濾器,,2012-11-26
425523,charcoal bed design,木炭床設計,,2012-11-26
425525,charcoal bed,木炭床,,2012-11-26
425527,charcoal adsorption,木炭吸附法,,2012-11-26
425528,charcoal adsorber,木炭吸附劑,,2012-11-26
425531,characteristics， recovery,恢復特性,,2012-11-26
425532,characteristics， plasma loading,電漿負載特性,,2012-11-26
425533,characteristics,(一)特性(二)特性曲線,,2012-11-26
425534,characteristic， volt-current,電流-電壓特性,,2012-11-26
425536,characteristic， resonance,共振特性,,2012-11-26
425540,characteristic， phase-shift,相移特性,,2012-11-26
425541,characteristic， phase,相位特性,,2012-11-26
425543,characteristic， operating,工作特性曲線,,2012-11-26
425545,characteristic， frequency response,頻率回應特性,,2012-11-26
425547,characteristic， fluorescence,螢光特性,,2012-11-26
425553,characteristic， amplitude,振輻特性曲線,,2012-11-26
425554,characteristic X-rays,特性X射線；標識X射線,,2012-11-26
425555,characteristic value,特徵值,,2012-11-26
425557,characteristic time delay,特性時間遲延,,2012-11-26
425559,characteristic spectrum,特性譜,,2012-11-26
425560,characteristic radiation,特性輻射,,2012-11-26
425562,characteristic equation,特性方程﹝式﹞,,2012-11-26
425564,characteristic energy,特性能量,,2012-11-26
425566,characteristic delay time,特性遲延時間,,2012-11-26
425567,characteristic decay,特性衰變,,2012-11-26
425569,characteristic curve,特性曲線,,2012-11-26
425571,characteristic,(一)特性(二)特性曲線,,2012-11-26
425573,character,特性,,2012-11-26
425574,channeling-effect factor,波道效應因數,,2012-11-26
425576,channeling effect,波道效應,,2012-11-26
425577,channeling,(一)管道作用(二)波道作用,,2012-11-26
425578,channel， water,水道,,2012-11-26
425580,channel， uranium,鈾管道,,2012-11-26
425582,channel， uncharged fuel,末裝填燃料管道,,2012-11-26
