ID,英文名稱,中文名稱,圖片,業務標示類別,備註,更新日期
1506798,Land Value Increment Tax ,土地增值稅收件,,稅務業務,,2012-11-26
1506799,House Tax Service District 1,房屋稅第1服務區,,稅務業務,,2012-11-26
1506800,Property Tax Service Counter,財產稅多功能櫃台,,稅務業務,,2012-11-26
1506801,Uniform Invoice Sales Counter,發票發售處,,稅務業務,,2012-11-26
1506802,Updates,稅務動態,,稅務業務,,2012-11-26
1506803,Tax Statements,稅籍證明,,稅務業務,,2012-11-26
1506804,Proof of Duty Payment,完稅證明,,稅務業務,,2012-11-26
1506805,Tax Payment Inquiries,納稅查詢,,稅務業務,,2012-11-26
1506806,Tax Information Verification,課稅資料核對,,稅務業務,,2012-11-26
1506807,Gift Tax,贈與稅 (名詞),,稅務業務,,2012-11-26
1506808,Be an Honest Taxpayer,誠實納稅,,稅務業務,,2012-11-26
1506809,Tax Categories,稅目,,稅務業務,,2012-11-26
1506810,Provisional Taxes,臨時稅,,稅務業務,,2012-11-26
1506811,Liquor and Tobacco Taxes Administration,菸酒稅業務,,稅務業務,,2012-11-26
1506812,Fee Discrepancies Resolved According to the Law,欠款依法追繳,,稅務業務,,2012-11-26
1506813,Arrears Settlement,欠稅處理,,稅務業務,,2012-11-26
1506814,Land Value Increment Tax ,土地增值稅收件,,稅務業務,,2012-11-26
1506815,Land Value Increment Tax Service District 1,土地增值稅第1服務區,,稅務業務,,2012-11-26
1506816,Construction Benefit Fee,工程受益費,,稅務業務,,2012-11-26
1506817,Bank of Taiwan Tax Collections,台灣銀行代收稅款處,,稅務業務,,2012-11-26
1506818,Land Property Tax,田賦,,稅務業務,,2012-11-26
1506819,Stamps Tax,印花稅,,稅務業務,,2012-11-26
1506820,Vehicle License Tax,使用牌照稅,,稅務業務,,2012-11-26
1506821,Negotiation Room,協談中心 (稅捐機關),,稅務業務,,2012-11-26
1506822,House Tax,房屋稅,,稅務業務,,2012-11-26
1506823,House Tax Service District 1,房屋稅第1服務區,,稅務業務,,2012-11-26
1506824,Deed Tax,契稅,,稅務業務,,2012-11-26
1506825,Land Value Tax,地價稅,,稅務業務,,2012-11-26
1506826,Land Value Increment Tax,土地增值稅,,稅務業務,,2012-11-26
1506827,Amusement Tax,娛樂稅,,稅務業務,,2012-11-26
1506828,Taxation Information,租稅園地,,稅務業務,,2012-11-26
1506829,Lounge,納稅人休息處,,稅務業務,,2012-11-26
1506830,Property Tax Service Counter,財產稅多功能櫃台,,稅務業務,,2012-11-26
1506831,Heritage / Government-owned Land,祭祀公業‧公有土地,,稅務業務,,2012-11-26
1506832,Tax Forms Storage,單室(放置相關稅單之倉庫),,稅務業務,,2012-11-26
1506833,Uniform Invoice Sales Counter,發票發售處,,稅務業務,,2012-11-26
1506834,Updates,稅務動態,,稅務業務,,2012-11-26
1506835,Tax Statements,稅籍證明,,稅務業務,,2012-11-26
1506836,Fines and Arrears ,違章審理‧欠稅執行,,稅務業務,,2012-11-26
1506837,Office of MOA,審計部查帳室,,稅務業務,,2012-11-26
