ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
1261920,aberration,像差；光行差,,像差,2012-11-26
1261921,abrasion,磨損；磨耗；剝蝕,,磨粒磨损,2012-11-26
1261922,abrasive,磨料,,磨料,2012-11-26
1261923,absolute error,絕對誤差,,绝对误差,2012-11-26
1261924,absolute pressure,絕對壓力,,绝对压力,2012-11-26
1261925,absorbent,吸收劑,,吸收剂,2012-11-26
1261926,absorber,吸收器；減震器；避震器；緩衝器,,吸收器,2012-11-26
1261927,absorptivity,吸收率,,吸收率,2012-11-26
1261928,accelerated corrosion test,加速腐蝕試驗,,加速腐蚀试验,2012-11-26
1261929,acceleration transducer,加速度換能器,,加速度传感器,2012-11-26
1261930,accelerator pedal,加速踏板（汽車）,,加速踏板,2012-11-26
1261931,access,出入口,,引道,2012-11-26
1261932,access panel,快拆門；通路板,,观察板,2012-11-26
1261933,accumulator,累積器；積儲器,,分液蓄液器,2012-11-26
1261934,accuracy,準確度；精確度,,准确度,2012-11-26
1261935,acicular structure,針狀組織,,针状组织,2012-11-26
1261936,acidity,酸度,,酸度,2012-11-26
1261937,acorn nut,銜螺帽,,盖形螺母,2012-11-26
1261938,acoustic emission,聲頻發射；音洩,,声发射,2012-11-26
1261939,acoustic impedance,聲阻抗,,声阻抗,2012-11-26
1261940,acoustics,聲學,,声学,2012-11-26
1261941,activator,觸媒；催化劑,,活化剂,2012-11-26
1261942,active force,作用力,,作用力,2012-11-26
1261943,actuating mechanism,引動機構,,驱动机构,2012-11-26
1261944,actuator,引動器；致動器,,执行机构；驱动件；执行器；执行机构,2012-11-26
1261945,adapter plate,接裝板,,过渡块,2012-11-26
1261946,adaptive control,適應控制,,适应控制,2012-11-26
1261947,addendum,齒冠,,牙顶高；齿顶高,2012-11-26
1261948,addendum angle,齒冠角,,齿顶角,2012-11-26
1261949,"additional tank,expansion tank",膨脹箱櫃,,辅助水箱,2012-11-26
1261950,additive,添加物；添加劑,,添加剂,2012-11-26
1261951,"additive,sorbent",添加物；添加劑,,添加剂,2012-11-26
1261952,adhesion,附著力；黏著力；黏著,,黏着；附着力,2012-11-26
1261953,adhesion coefficient,黏著系數,,附着系数,2012-11-26
1261954,adhesion weight,黏著重量；附著重量,,附着载荷,2012-11-26
1261955,adhesive force,黏著力,,黏着力,2012-11-26
1261956,adiabatic engine,絕熱引擎,,绝热发动机,2012-11-26
1261957,A-display,A 型顯示；A 型顯示器,,A型显示,2012-11-26
1261958,adjuster,調整具；調節器,,调整机构,2012-11-26
1261959,adjusting,調整,,调整,2012-11-26
1261960,adjusting screw,調整螺釘,,调压螺钉,2012-11-26
1261961,adjustment,調整；校準；校正,,调整,2012-11-26
1261962,adsorbent,吸著劑,,吸附剂,2012-11-26
1261963,adsorber,吸著器,,吸附器,2012-11-26
1261964,aeration,充氣法；通風,,松砂,2012-11-26
1261965,aerator,充氣器；通風機,,松砂机,2012-11-26
1261966,aerial ropeway,架空索道,,架空索道,2012-11-26
1261967,aerodynamic drag,氣動阻力,,空气阻力,2012-11-26
1261968,aerofoil,翼形；翼剖面,,导流罩,2012-11-26
1261969,aerosol,氣態膠體；懸浮微粒；煙霧劑,,悬浮颗粒,2012-11-26
1261970,after-cooler,後壓冷卻器,,后冷却器,2012-11-26
1261971,"agglomeration,clinkering,coking",灰之熔結,,结焦,2012-11-26
1261972,agricultural tractor,農用曳引機,,农业拖拉机,2012-11-26
1261973,air blower,鼓風機,,鼓风机,2012-11-26
1261974,air chamber,空氣室,,空气室,2012-11-26
1261975,air compressor,空氣壓縮機,,气泵；空气压缩机,2012-11-26
1261976,air condenser,空氣凝結器,,空气凝汽器,2012-11-26
1261977,air conditioning,空氣調節；空調,,空气调节,2012-11-26
1261978,air consumption,空氣消耗量,,耗气量,2012-11-26
1261979,air cooler,空氣冷卻器,,空气冷却器,2012-11-26
1261980,air cooling,氣冷；氣冷法,,气冷；空气冷却,2012-11-26
1261981,air distributor,空氣分配器,,布风板；空气分配器,2012-11-26
1261982,air dryer,空氣乾燥器；風乾器,,空气干燥器,2012-11-26
1261983,air duct,通風管；導氣管,,风道,2012-11-26
1261984,air ejector,氣力衝射器；空氣抽射器,,抽气器,2012-11-26
1261985,air filter,空氣過濾器；空氣濾清器,,空气过滤器,2012-11-26
1261986,"air filter,air cleaner",空氣過濾器；空氣濾清器；空氣清潔器；空氣濾清器,,空气滤清器,2012-11-26
1261987,air hammer,氣槍槌,,气击,2012-11-26
1261988,air hardening,氣冷硬化,,空冷淬火,2012-11-26
1261989,air heater,空氣加熱器,,空气加热器,2012-11-26
1261990,"air horn,pneumatic horn",氣笛,,气喇叭,2012-11-26
1261991,air injection,空氣噴射,,空气喷射,2012-11-26
1261992,air inlet valve,進氣閥,,进气门,2012-11-26
1261993,air leakage test,漏氣試驗,,漏风试验,2012-11-26
1261994,air motor,氣動馬達,,气马达,2012-11-26
1261995,"air nozzle,bubbling cap,nozzle",空氣噴嘴；噴嘴；火口出入口,,风帽,2012-11-26
1261996,air plug,空氣塞,,气动塞规,2012-11-26
1261997,air preheater,空氣預熱器,,空气预热器,2012-11-26
1261998,air pressure gauge,氣壓計,,气压表,2012-11-26
1261999,air refrigeration cycle,空氣冷凍循環,,空气制冷循环,2012-11-26
1262000,air spring,空氣彈簧；氣墊,,空气弹簧,2012-11-26
1262001,air washer,洗氣器,,空气洗涤器,2012-11-26
1262002,"air-conditioning unit,air conditioner",空氣調節器,,空气调节机,2012-11-26
1262003,air-cooled engine,氣冷式引擎,,风冷发动机,2012-11-26
1262004,airfoil,翼形；翼切面；翼剖面,,翼型,2012-11-26
1262005,alarm monitoring,警報偵檢,,报警监测,2012-11-26
1262006,alkalinity,鹼度,,碱度,2012-11-26
1262007,"all-speed governor,variable speed governor",可變調速器,,全程式调速器,2012-11-26
1262008,alumina,礬土；氧化鋁,,刚玉,2012-11-26
1262009,ambient noise,周遭噪音,,环境噪声,2012-11-26
1262010,ambient pressure,周圍壓力；環境壓力,,环境压力,2012-11-26
1262011,ambient temperature,周圍溫度；機外溫度；環境溫度,,环境温度,2012-11-26
1262012,ambulance,救護車,,救护车,2012-11-26
1262013,ammeter,電流表；安培計,,电流表,2012-11-26
1262014,"amplifier,magnifier",放大器；擴大器；增幅器；放大器；放大鏡,,放大器,2012-11-26
1262015,analytical balance,化學天平,,分析天平,2012-11-26
1262016,anchor,錨；固定器,,锚定装置,2012-11-26
1262017,"anchor point,dead point",死點,,死点,2012-11-26
1262018,anemometer,風速計,,风速仪,2012-11-26
1262019,anemoscope,風向儀；風向計,,风向仪,2012-11-26
1262020,angle drive,轉交傳動法,,角度传动,2012-11-26
1262021,"angle of approach,approach angle",漸近角；進場角,,接近角,2012-11-26
1262022,angle of contact,接觸角,,包角,2012-11-26
1262023,angle of friction,摩擦角,,摩擦角,2012-11-26
1262024,angle of repose,靜止角； 穩定角； 安息角,,自然坡度角,2012-11-26
1262025,angle valve,角閥,,角式阀,2012-11-26
1262026,angular frequency,角頻率,,角频率,2012-11-26
1262027,anisotropy,異向性；異方性；非均質,,各向异性,2012-11-26
1262028,annealing,退火,,退火,2012-11-26
1262029,anode,陽極,,阳极,2012-11-26
1262030,anodic oxidation,陽極氧化,,阳极氧化,2012-11-26
1262031,anodic protection,陽極防蝕,,阳极保护,2012-11-26
1262032,"antenna motor,aerial motor",航空發動機,,天线电动机,2012-11-26
1262033,anteroom,客廳,,穿堂,2012-11-26
1262034,anvil,鐵砧,,样冲,2012-11-26
1262035,aperture,開口；光圈；螺槳拱,,窗孔,2012-11-26
1262036,apex,頂點,,三角胶条,2012-11-26
1262037,apparent density,虛表密度；視密度,,松装密度,2012-11-26
1262038,apparent mass,視質量；表觀質量,,视在质量,2012-11-26
1262039,approach,進場；接近,,切入量；趋近,2012-11-26
1262040,apron conveyor,裙板運送機，裙運機,,鳞板输送机,2012-11-26
1262041,arc brazing,電弧硬焊,,电弧硬钎焊,2012-11-26
