ID,英文名稱,中文名稱,圖片,更新日期
20917362,D. C. motor,直流馬達；直流電動機,,2022-09-29
20917363,D.C. arc welding,直流電孤銲接,,2022-09-29
20917364,d.c. link,直流鏈,,2022-09-29
20917365,d.c. voltage,直流電壓,,2022-09-29
20917366,D.C.arc,直流電弧,,2022-09-29
20917367,D.C.circuit,直流電路,,2022-09-29
20917368,D.C.direct current,直流[電],,2022-09-29
20917369,D.C.generator,直流發電機,,2022-09-29
20917370,D.C.machine,直流電機,,2022-09-29
20917371,D.C.voltage,直流電壓,,2022-09-29
20917372,D.C.welder,直流電熔接機,,2022-09-29
20917373,D.C.welding,直流電熔接,,2022-09-29
20917374,D.F.{=direction finder},方位測定器,,2022-09-29
20917375,D/A converter,數位類比轉換器,,2022-09-29
20917376,D/G (= diesel generator),柴油發電機,,2022-09-29
20917377,DA fuze,碰撞引信,,2022-09-29
20917378,dabber,塗刷,,2022-09-29
20917379,dacron fiber dado,達克龍纖維槽,,2022-09-29
20917380,dado and rabbet,槽口接合,,2022-09-29
20917381,dagger (or dog shore),止滑木,,2022-09-29
20917382,dagger board,插板,,2022-09-29
20917383,dagger shore,下水撐柱,,2022-09-29
20917384,dail calliper,帶表卡尺,,2022-09-29
20917385,daily construction report,施工日報,,2022-09-29
20917386,daily extreme,日極值,,2022-09-29
20917387,daily inspection{=DI},每日檢查,,2022-09-29
20917388,Daily life,日常生活,,2022-09-29
20917389,daily maintenance,日常保養,,2022-09-29
20917390,daily management,日常管理,,2022-09-29
20917391,daily mean,日平均,,2022-09-29
20917392,daily meeting,每日會議,,2022-09-29
20917393,daily range,日較差,,2022-09-29
20917394,daily range of temperature,溫度日較差,,2022-09-29
20917395,daily report,每日報表；日報,,2022-09-29
20917396,daily service fresh water pump,日用淡水泵,,2022-09-29
20917397,daily service fuel oil pump,日用燃油泵,,2022-09-29
20917398,daily tank,日用櫃,,2022-09-29
20917399,daily variation,日變化,,2022-09-29
20917400,daily water,洗滌水；日用水,,2022-09-29
20917401,daily weather chart,每日天氣圖,,2022-09-29
20917402,daily weather map,每日天氣圖,,2022-09-29
20917403,dairy machinery,乳酪機械,,2022-09-29
20917404,D'alembent's principle,達朗原理,,2022-09-29
20917405,d'Alembert couple,慣性力偶,,2022-09-29
20917406,d'Alembert force,慣性力,,2022-09-29
20917407,D'Alembert's paradox,達蘭伯詭論,,2022-09-29
20917408,D'Alembert's principle,達蘭伯原理,,2022-09-29
20917409,Daltan's law,道耳吞定律,,2022-09-29
20917410,Dalton's law,道爾頓定律,,2022-09-29
20917411,dam,壩,,2022-09-29
20917412,dam & conduit type power plant,水壩機導髮式發電廠,,2022-09-29
20917413,dam body,壩體,,2022-09-29
20917414,dam door,水壩門；水堰門,,2022-09-29
20917415,dam project,水壩工程,,2022-09-29
20917416,dam type ladle,擋渣口澆桶,,2022-09-29
20917417,dam type power plant,水壩式發電廠,,2022-09-29
20917418,damage,損傷；損害；損壞,,2022-09-29
20917419,damage assessment,損壞情況評估,,2022-09-29
