ID,英文名稱,中文名稱,圖片,更新日期
721473,reduced stress,等效應力,,2012-11-26
721474,reduced moment,等效矩,,2012-11-26
721475,reduced mass of a mechanism,機構之等效質量,,2012-11-26
721476,reduced force,等效力,,2012-11-26
721477,rectilinear translation,直線平移,,2012-11-26
721478,rectilinear motion,直線運動,,2012-11-26
721479,reciprocating motion,往復運動,,2012-11-26
721480,reciprocating cam follower,往復從動件,,2012-11-26
721481,receptance,位移響應（振動）,,2012-11-26
721482,receding side,退出側（皮帶輪）,,2012-11-26
721483,real part of dual quantity,雙量之實部,,2012-11-26
721484,reaction,反作用，反作用力,,2012-11-26
721485,Rayleigh dissipation function,Rayleigh散逸函數,,2012-11-26
721486,ratio,比，比率,,2012-11-26
721487,ratchet wheel,棘輪,,2012-11-26
721488,ratchet mechanism,棘輪機構,,2012-11-26
721489,ratchet,棘輪,,2012-11-26
721490,Rapson slide,Rapson滑行裝置,,2012-11-26
721492,random vibration,隨機振動,,2012-11-26
721493,random process,隨機程序,,2012-11-26
721494,random,隨機的,,2012-11-26
721495,ram,撞鎚,,2012-11-26
721496,radius of the throat,喉半徑（蝸輪）,,2012-11-26
721497,radius of gyration,迴轉半徑,,2012-11-26
721498,radius of curvature,曲率半徑,,2012-11-26
721499,radius,半徑,,2012-11-26
721500,radian,弳，弳度,,2012-11-26
721501,radial component,徑〔向〕分量,,2012-11-26
721502,radial cam follower,徑向從動件,,2012-11-26
721503,rack,齒條,,2012-11-26
721504,r.m.s. value,均方根值,,2012-11-26
721505,quinary link,五接頭桿,,2012-11-26
721506,quick-return mechanism,急回機構,,2012-11-26
721507,quaternion,四數,,2012-11-26
721508,quaternary link,四接頭桿,,2012-11-26
721509,quartic of derivative curvature,導數曲率四次曲線,,2012-11-26
721510,quantity,量,,2012-11-26
721511,quality factor,品質因子，品質因數（振動）,,2012-11-26
721513,quadratic transformation,二次變換,,2012-11-26
721514,Q-factor,品質因子，品質因數（振動）,,2012-11-26
721515,pulsating load,脈動負載,,2012-11-26
721516,pulley,1.皮帶輪；2.滑輪,,2012-11-26
721517,proximity sense,近接感度（機器人）,,2012-11-26
721518,proximal,近軀端（機器人）,,2012-11-26
721519,prosthetic device,義肢,,2012-11-26
721520,proportional mechanism,比例機構,,2012-11-26
721521,proportional control,比例控制,,2012-11-26
721522,proper vector,固有振動模態,,2012-11-26
721523,pronation,內下運動（機器人）,,2012-11-26
721524,prolate trochoid,長次擺線,,2012-11-26
721525,programming,1.程式設計；2.規劃,,2012-11-26
721526,programmable manipulator,可程式機械臂,,2012-11-26
721528,profile,輪廓，外形,,2012-11-26
721529,product of inertia,慣性積,,2012-11-26
721530,process,程序,,2012-11-26
721531,prismatic pair,稜柱〔運動〕對,,2012-11-26
