ID,英文名稱,中文名稱,圖片,更新日期
127761,Superior mesenteric vein,上腸繫膜靜脈,,2012-11-26
127762,Superior mesenteric ganglion,上腸繫膜［神經］結,,2012-11-26
127763,Superior mesenteric artery,上腸繫膜動脈,,2012-11-26
127764,Superior meatus of nose,上鼻道,,2020-01-14
127765,Superior maxillary branch,上頜神經,,2020-01-13
127766,Superior maxillary bone,上頜骨,,2020-01-14
127767,Superior laryngeal nerve,上喉神經【與 Anterior laryngeal nerve 所指相同】,,2012-11-26
127768,Superior labial vein,上脣靜脈,,2012-11-26
127769,Superior labial branch,上脣［神經］枝,,2012-11-26
127770,Superior labial artery,上脣動脈,,2012-11-26
127771,Superior jugular vein,上頸靜脈【即前主靜脈】,,2012-11-26
127772,Superior hemorrhoidal artery,上痔動脈,,2012-11-26
127773,Superior gluteal nerve,上臀神經,,2012-11-26
127774,Superior femoral septum,上股隔,,2012-11-26
127775,Superior epigastric artery,上腹壁動脈,,2012-11-26
127776,Superior dermopharyngeals,上皮咽軟骨,,2012-11-26
127777,Superior dental nerve,眶下神經,,2020-01-13
127778,Superior dental canal,上齒管【即眶下管 Infraorbital canal】,,2012-11-26
127779,Superior dental artery,眶下動脈,,2020-01-14
127780,Superior common ligament,背長韌帶,,2020-01-13
127781,Superior commissure,上連合,,2012-11-26
127782,superior colliculi,上疊體,,2012-11-26
127783,Superior cervical ganglion,前頸神經結,,2020-01-14
127784,Superior cervical artery,上頸動脈,,2012-11-26
127785,Superior auricular muscle (or Dorsal auricular muscle),上耳肌,,2012-11-26
127786,Superficial temporal vein,淺顳靜脈,,2012-11-26
127787,Superficial temporal nerve,淺顳神經,,2012-11-26
127788,Superficial temporal artery,淺顳動脈,,2012-11-26
127789,Superficial sesamoidean ligament,淺子骨韌帶【與 Straight sesamoidean ligament 所指相同】,,2012-11-26
127790,Superficial radial nerve,淺橈神經,,2012-11-26
127791,Superficial planter metatarsal arteries,淺蹠動脈,,2012-11-26
127792,superficial peroneal nerve,淺腓神經,,2012-11-26
127793,Superficial pectoral muscle,淺胸肌　,,2012-11-26
127794,Superficial palmar branch,淺掌［神經］枝,,2012-11-26
127795,Superficial ophthalmic nerve,淺眼神經,,2012-11-26
127796,Superficial lateralis trunk,淺側腺神經,,2012-11-26
127797,Superficial lateral coccygeal artery,淺側尾動脈,,2012-11-26
127798,Superficial inguinal lymph glands,淺鼠蹊淋巴腺,,2012-11-26
127799,Superficial flexor muscle,淺屈肌,,2012-11-26
127800,Superficial fascia,淺肌膜；脂膜,,2012-11-26
127801,Superficial facial lateral trunk,淺面側［淋巴］幹,,2012-11-26
127802,Superficial digital flexor muscle,淺趾屈肌,,2012-11-26
127803,Superficial cervical lymph gland,淺頸淋巴腺,,2020-01-14
127804,Superficial branch,淺［神經］枝,,2012-11-26
127805,Summer plumage,夏羽,,2020-01-14
127806,Sulcus of sclera,鞏膜溝,,2012-11-26
127807,Sulcus of chiasma,視叉溝,,2020-01-14
127808,Sulcus of ankle bone,距骨溝,,2012-11-26
127809,Sulcus (brain ) (or Fissure(brain)),腦溝,,2012-11-26
127810,Subvertebral space,椎下［淋巴］隙,,2012-11-26
127811,Suburethral diverticulum,尿道下囊,,2012-11-26
127812,Subtemporal,下顳骨,,2012-11-26
127813,Subtarsal ligament,跗下韌帶,,2012-11-26
127814,Subsphenoid canal,翼孔,,2020-01-13
127815,Subscapular vein,髆下靜脈,,2012-11-26
127816,Subscapular nerves,髆下神經,,2012-11-26
127817,Subscapular muscle,髆下肌,,2012-11-26
127818,Subscapular fossa,髆下窩,,2012-11-26
127819,Subscapular artery,（骨專）下動脈,,2012-11-26
127820,Subrostral cartilage,吻下軟骨,,2012-11-26
127821,Sub-peritoneal space,腹膜下［淋巴］隙,,2012-11-26
127822,Subperitoneal rib,腹膜下肋【與 False rib; Ventral rib 所指相同】,,2012-11-26
127823,Suborbital vacuity,眶下窩,,2012-11-26
127824,Suborbital crest,眶下脊,,2012-11-26
127825,Suborbital bar,眶下條,,2020-01-13
127826,Suborbital,下眶骨,,2020-01-14
127827,Subopercular,下鰓蓋骨,,2012-11-26
127828,Subocular bone,眼下骨,,2012-11-26
127829,Subocular arch,眼下弧,,2012-11-26
127830,Subnasal bar,鼻下條,,2012-11-26
127831,Submucous plexus,粘膜下［神經］叢,,2012-11-26
127832,Submental vein,頦下靜脈,,2012-11-26
127833,Submental artery,頦下動脈,,2012-11-26
127834,Submaxillary space,下頜隙,,2020-01-14
127835,Submaxillary lymph-sac,頜下淋巴囊,,2012-11-26
127836,Submaxillary lymph glands (or Mandibular lymph glands),下頜淋巴腺,,2012-11-26
127837,Submaxillary gland,頜下腺,,2020-01-14
127838,Submaxillary ganglion,頜下神經結,,2012-11-26
127839,Submaxillary duct,頜下腺管,,2020-01-14
127840,Submaxillary cartilage,頜下軟骨,,2012-11-26
127841,Submaxillary artery (or External maxillary artery),外頜動脈,,2012-11-26
127842,Sub-mandibular gland,頜下腺,,2020-01-14
127843,Sublumbar muscles,腰下肌,,2012-11-26
127844,Sublingual vein,舌下腺靜脈,,2012-11-26
127845,Sublingual gland,舌下腺,,2012-11-26
127846,Sublingual fold,舌下褶,,2012-11-26
127847,Sublingual ducts,舌下腺管,,2020-01-13
127848,Sublingual caruncle,舌下肉阜,,2012-11-26
127849,Sublingual artery,舌下動脈,,2012-11-26
127850,Sublingua,下舌,,2012-11-26
127851,Sublimbic fissure,緣下溝,,2012-11-26
127852,Subintestinal vein,腸下靜脈,,2012-11-26
127853,Subiliac lymph gland,胯下淋巴腺,,2012-11-26
127854,Subfascial space,肌膜下［淋巴］隙【即肌間［淋巴］隙】,,2012-11-26
127855,Subfascial bursae,肌膜下滑液囊,,2012-11-26
127856,Subdural space,韌膜下隙,,2020-01-14
127857,Subdural cavity,韌膜下隙,,2020-01-14
127858,Subcutaneous lymph-sac,皮下淋巴囊,,2012-11-26
127859,Subcutaneous inguinal ring,皮下鼠蹊環,,2012-11-26
127860,Subcutaneous bursa,踵皮下滑液囊,,2012-11-26
127861,Subcutaneous abdominal vein,皮下腹靜脈,,2012-11-26
127862,Subcutaneous abdominal artery,皮下腹動脈,,2012-11-26
127863,Subclavius muscle,鎖下肌,,2012-11-26
127864,Subclavian vein,鎖下靜脈,,2012-11-26
127865,Subclavian artery,鎖下動脈,,2012-11-26
127866,Subcardinal vein,下主靜脈,,2012-11-26
127867,Subcallosal gyrus,胼體下回,,2012-11-26
127868,Subarachnoid space,蛛膜下隙,,2012-11-26
127869,Subarachnoid cisterns,蛛膜下池,,2012-11-26
127870,Stylus (Process),針突,,2020-01-14
127871,Stylopodium,肢柱,,2012-11-26
127872,Stylopharyngeus muscle,莖咽肌,,2012-11-26
127873,Stylo-mastoid foramen,莖乳孔,,2012-11-26
127874,Stylomastoid artery,莖乳動脈,,2012-11-26
127875,Styloideum,柱骨,,2012-11-26
127876,Styloid process,莖突【即副乳突】,,2012-11-26
127877,Stylohyoid muscle,莖舌骨肌,,2012-11-26
127878,Stylohyal cartilage,莖舌軟骨,,2020-01-13
127879,Stylohyal,莖舌骨,,2020-01-14
127880,Stylo-glossus muscle,莖舌肌,,2012-11-26
127881,Styliform process,針突,,2020-01-14
