ID,英文名稱,中文名稱,圖片,更新日期
252001,reduced temperature,訂正溫度,,2012-11-26
252002,reduced pressure,訂正氣壓,,2012-11-26
252004,reduced mass,約化質量,,2012-11-26
252005,reduced incident intensity,約化入射強度,,2012-11-26
252006,reduced gravity,浮力,,2012-11-26
252008,reduced frequency,約化頻率,,2012-11-26
252009,reduced form,略式,,2012-11-26
252011,redshift,紅移,,2012-11-26
252012,red-noise type,紅噪型,,2012-11-26
252013,red tide,紅潮,,2012-11-26
252014,Red Spot Hollow,紅斑穴,,2012-11-26
252015,red snow,紅雪,,2012-11-26
252016,red rain,紅雨,,2012-11-26
252017,red noise,紅噪,,2012-11-26
252019,red flash,紅閃,,2012-11-26
252020,recycled water,再循環水,,2012-11-26
252022,recurved occlusion,後曲囚錮,,2012-11-26
252023,recurvature of storm,風暴轉向,,2012-11-26
252024,recurvature latitude,轉向緯度,,2012-11-26
252026,recurvature,轉向,,2012-11-26
252027,recursion,循環,,2012-11-26
252028,recurring weather,重現天氣,,2012-11-26
252029,recurrent period,重現週期,,2012-11-26
252030,recurrent magnetic storm,重現磁暴,,2012-11-26
252032,recurrent flow,迴流,,2012-11-26
252033,recurrence interval,重現期,,2012-11-26
252034,recurrence frequency,重現頻率,,2012-11-26
252036,recurrence formula,遞推公式,,2012-11-26
252037,rectangular grid,矩形網格,,2012-11-26
252038,rectangular function,矩形函數,,2012-11-26
252039,rectangular element,矩形元,,2012-11-26
252041,rectangular curvilinear coordinates,正交曲線坐標,,2012-11-26
252043,rectangular coordinates,正交坐標,,2012-11-26
252044,rectangular Cartesian coordinates,正交卡氏坐標,,2012-11-26
252045,recovery factor,訂正因子,,2012-11-26
252047,recording visibility meter,自記能見度計,,2012-11-26
252048,recording theodolite,自記經緯儀,,2012-11-26
252049,recording raingauge,自記雨量計,,2012-11-26
252051,recording psychrometer,自記乾溼計,,2012-11-26
252052,recording potentiometer,自記電位計,,2012-11-26
252053,recording pointer,自記筆尖,,2012-11-26
252054,recording pluviometer,自記雨量計,,2012-11-26
252056,recording pen,自記筆,,2012-11-26
252057,recording pan,自記蒸發皿,,2012-11-26
252059,recording ombrometer,自記微雨量計,,2012-11-26
252060,recording observation,記錄觀測,,2012-11-26
252061,recording lever,自記筆桿,,2012-11-26
252062,recording instrument,自記儀器,,2012-11-26
252063,recording frigorimeter,自記電位計,,2012-11-26
252065,recording equipment,自記設備,,2012-11-26
252066,recording drum,記錄筒；鐘筒,,2012-11-26
252068,recording cylinder,記錄筒；鐘筒,,2012-11-26
252070,recording clock,自記鐘,,2012-11-26
252071,recording ceilometer,自記雲幕計,,2012-11-26
252072,recording barometer,自記氣壓計,,2012-11-26
252074,recording arm,自記筆桿,,2012-11-26
252075,recording anemometer,自記風速計,,2012-11-26
252076,recording albedometer,自記反照率計,,2012-11-26
252079,recorder,記錄器,,2012-11-26
252080,reconnaissance summary,飛行偵察紀要,,2012-11-26
252081,reconnaissance,飛行偵察,,2012-11-26
252082,recon,飛行偵察,,2012-11-26
252083,recombination energy,復合能,,2012-11-26
252086,recombination coefficient,復合係數,,2012-11-26
252087,recombination,復合,,2012-11-26
252088,reciprocity theorem,互反定理,,2012-11-26
252089,reciprocity,互反性,,2012-11-26
252090,recession curve,退水曲線,,2012-11-26
252092,recession,消退,,2012-11-26
252093,recent thunderstorm,觀測時雷雨,,2012-11-26
252094,recent snow shower,觀測時陣雪,,2012-11-26
252095,recent snow,觀測時有雪,,2012-11-26
252097,recent rain and snow,觀測時雨夾雪,,2012-11-26
252098,recent rain,觀測時有雨,,2012-11-26
252100,recent hail,觀測時有雹,,2012-11-26
252101,recent freezing rain,觀測時凍雨,,2012-11-26
252102,recent drizzle,觀測時毛雨,,2012-11-26
252103,receiving bucket,受雨器,,2012-11-26
252104,receiver gain,接收增益,,2012-11-26
252106,receiver,接收機,,2012-11-26
252107,received power,接收功率,,2012-11-26
252109,recco,飛機氣象偵察,,2012-11-26
252110,reboyo,雷波約暴,,2012-11-26
252112,rebat,雷巴風,,2012-11-26
252113,Reaumur thermometer,列氏溫度計,,2012-11-26
252114,Reaumur temperature scale,列氏溫標,,2012-11-26
252115,real-time transmission system,即時傳送系統,,2012-11-26
252116,real-time processing,即時處理,,2012-11-26
252118,real-time prediction,即時預報,,2012-11-26
252119,real-time measurement,即時測量,,2012-11-26
252120,real-time analyzer,即時分析器,,2012-11-26
252122,real-time analysis,即時分析,,2012-11-26
252123,realization,呈現[值],,2012-11-26
252125,real time,即時,,2012-11-26
252126,real part,實部,,2012-11-26
252127,real number,實數,,2012-11-26
252128,real latent instability,真潛在不穩度,,2012-11-26
252129,real horizon,真地平,,2012-11-26
252130,real atmosphere,實際大氣,,2012-11-26
252132,real air temperature,實際氣溫,,2012-11-26
252133,reading microscope,讀數顯微鏡,,2012-11-26
252135,reading error,讀數誤差,,2012-11-26
252136,reading,讀數,,2012-11-26
252137,read only memory (ROM),唯讀記憶體,,2012-11-26
252138,reactivation,再活化,,2012-11-26
252139,reach,河段,,2012-11-26
252141,rayon cloud,人造雲,,2012-11-26
252142,Rayleigh-Taylor instability,瑞泰不穩度,,2012-11-26
252144,Rayleigh's wave,瑞立波,,2012-11-26
252145,Rayleigh's law,瑞立定律,,2012-11-26
252147,Rayleigh's formula,瑞立[公]式,,2012-11-26
252148,Rayleigh-Jeans law,瑞金定律,,2012-11-26
252150,Rayleigh-Debye scattering,瑞德散射,,2012-11-26
252151,Rayleigh-Benard convection,瑞本對流,,2012-11-26
252152,Rayleigh scattering,瑞立散射,,2012-11-26
252153,Rayleigh phase function,瑞立相位函數,,2012-11-26
252155,Rayleigh parameter,瑞立參數,,2012-11-26
252157,Rayleigh number,瑞立數,,2012-11-26
252158,Rayleigh limit,瑞立限,,2012-11-26
252159,Rayleigh instability,瑞立不穩度,,2012-11-26
252160,Rayleigh hypothesis,瑞立假說,,2012-11-26
252161,Rayleigh friction,瑞立摩擦,,2012-11-26
252163,Rayleigh distribution,瑞立分布,,2012-11-26
252164,Rayleigh cell,瑞立單體,,2012-11-26
252165,Rayleigh atmosphere,瑞立大氣,,2012-11-26
252167,ray tracing,線軌法,,2012-11-26
252168,ray optics,射線光學,,2012-11-26
252169,ray equation,射線方程,,2012-11-26
252171,ray bending,射線彎曲,,2012-11-26
252172,ray,線；射線；光線,,2012-11-26
252173,rawinsonde station,雷文送測站；探空站,,2012-11-26
252174,rawinsonde observation,雷文送觀測；探空觀測,,2012-11-26
252175,rawinsonde,雷文送；探空儀,,2012-11-26
252176,rawin target,雷文標,,2012-11-26
252178,rawin,雷文；無線電測風,,2012-11-26
252179,raw data,原始資料,,2012-11-26
252180,raw,溼寒,,2012-11-26
252182,ravine wind,峽谷風,,2012-11-26
252183,rattler,猛烈雷暴；豪雨,,2012-11-26
252185,rational horizon,合理地平,,2012-11-26
252186,ratio,比；比率,,2012-11-26
252188,rating curve,率定曲線,,2012-11-26
252190,rate-of-rainfall recorder,雨率記錄器,,2012-11-26
252191,rate-of-rainfall gauge,雨率計,,2012-11-26
252193,rate-of-climb indicator,爬升指示器,,2012-11-26
252194,rate of response,反應率,,2012-11-26
252195,rate of convergence,收歛率,,2012-11-26
252197,rate of change,變率,,2012-11-26
252198,rasvodye,冰面槽構,,2012-11-26
252199,rarefaction wave,稀疏波,,2012-11-26
252200,rare gas,稀有氣體,,2012-11-26
252202,Raoult's law,拉午耳定律,,2012-11-26
252203,Raoult effect,拉午耳效應,,2012-11-26
252205,raob,雷送觀測,,2012-11-26
252207,Rankine vortex,阮肯渦旋,,2012-11-26
252208,Rankine temperature scale,阮肯溫標,,2012-11-26
252209,rank correlation,等級相關,,2012-11-26
252210,range-velocity display,距速顯示器,,2012-11-26
252211,range-height indicator (RHI),距高指示器,,2012-11-26
252213,range-elevation indicator,距離仰角指示器,,2012-11-26
252214,range wind,射程風,,2012-11-26
252215,range strobe,測距標,,2012-11-26
252216,range resolution,測距解析[度],,2012-11-26
252217,range of tide,潮差,,2012-11-26
252218,range of temperature,溫度較差,,2012-11-26
252220,range of influence,影響範圍,,2012-11-26
252222,range marker,距標,,2012-11-26
252223,range gating,距閘,,2012-11-26
252225,range gate,距閘,,2012-11-26
252226,range finder,測距儀,,2012-11-26
252227,range error,距誤,,2012-11-26
252228,range distortion,距畸變,,2012-11-26
252229,range delay,距延,,2012-11-26
252231,range attenuation,距衰,,2012-11-26
252232,range analysis,較差分析,,2012-11-26
252233,range,較差；測距；全距；範圍；程,,2012-11-26
252235,randomized seeding trial,隨機種雲試驗,,2012-11-26
252236,randomize,隨機化,,2012-11-26
252237,randomization,隨機化,,2012-11-26
252238,random walk,隨機漫步,,2012-11-26
252240,random variate,隨機變量,,2012-11-26
252241,random variable,隨機變數,,2012-11-26
252242,random signal,隨機信號,,2012-11-26
252244,random sampling,隨機取樣,,2012-11-26
252246,random sample,隨機樣本,,2012-11-26
252247,random process,隨機過程,,2012-11-26
252248,random phase approximation,隨機相位近似,,2012-11-26
252250,random observing error,隨機觀測誤差,,2012-11-26
252251,random number,隨機數,,2012-11-26
252252,random noise,隨機噪音,,2012-11-26
252254,random model,隨機模式,,2012-11-26
252256,random mixing,隨機混合,,2012-11-26
252257,random medium,隨機介質,,2012-11-26
252259,random forecast,隨機預報,,2012-11-26
252261,random forcing,隨機強迫[作用],,2012-11-26
252262,random fluctuation,隨機變動,,2012-11-26
252264,random error,隨機誤差,,2012-11-26
252265,random amplitude,隨機振幅,,2012-11-26
252267,random access memory (RAM),隨機存取記憶體,,2012-11-26
252268,random access,隨機存取,,2012-11-26
252269,random,隨機,,2012-11-26
252270,ramsonde,硬度送,,2012-11-26
252272,rams,冰角,,2012-11-26
252273,Raman spectral analysis,拉曼光譜分析,,2012-11-26
252274,Raman scattering,拉曼散射,,2012-11-26
252276,Raman lidar,拉曼光達,,2012-11-26
252277,Raman effect,拉曼效應,,2012-11-26
252279,ram penetrometer,冰雪硬度計,,2012-11-26
252280,rainy season,雨季,,2012-11-26
252281,rainy day,雨日,,2012-11-26
252282,rainy climate,多雨氣候,,2012-11-26
252284,rainwater,雨水,,2012-11-26
252285,rainwash,雨洗,,2012-11-26
252286,rainshadow effect,雨蔭效應,,2012-11-26
252288,rain-producing system,致雨系統,,2012-11-26
252289,rainout,雨除,,2012-11-26
252290,rain-intensity gauge,降雨強度計,,2012-11-26
252292,raininess,降雨強度；降雨特性,,2012-11-26
252293,raingauge shield,雨量計風檔,,2012-11-26
252294,raingauge,雨量計,,2012-11-26
252295,rainforest climate,雨林氣候,,2012-11-26
252296,rainforest,雨林,,2012-11-26
252298,rainfall variability,降雨變率,,2012-11-26
252300,rainfall station,雨量站,,2012-11-26
252301,rainfall reliability,降雨可靠率,,2012-11-26
252302,rainfall regime,降雨型,,2012-11-26
252304,rainfall recorder,雨量記錄器,,2012-11-26
252305,rainfall rate,降雨率,,2012-11-26
252306,rainfall potential,降雨潛勢,,2012-11-26
252308,rainfall pattern,雨型,,2012-11-26
252309,rainfall inversion,降雨[量]逆變,,2012-11-26
252310,rainfall intensity recorder,雨強記錄器,,2012-11-26
252311,rainfall intensity,降雨強度,,2012-11-26
252312,rainfall hours,降雨時數,,2012-11-26
252314,rainfall frequency,降雨頻率,,2012-11-26
252316,rainfall factor,降雨因子,,2012-11-26
252317,rainfall erosion,雨蝕[作用],,2012-11-26
252319,rainfall effectiveness,降雨有效度,,2012-11-26
252321,rainfall duration,降雨延時,,2012-11-26
252322,rainfall distribution,降雨分布,,2012-11-26
252323,rainfall density,雨量強度,,2012-11-26
252324,rainfall area,降雨區,,2012-11-26
252326,rainfall amount,雨量,,2012-11-26
252327,rainfall,雨量；降雨,,2012-11-26
252328,raindrop spectrograph,雨滴徑譜儀,,2012-11-26
252330,raindrop sorting collector,雨滴篩集器,,2012-11-26
252331,raindrop size distribution,雨滴徑譜；雨滴粒徑分布,,2012-11-26
252332,raindrop recorder,雨滴記錄器,,2012-11-26
252334,raindrop freezing,雨滴凍結,,2012-11-26
252335,raindrop disdrometer,衝力雨滴譜計,,2012-11-26
252337,raindrop,雨滴,,2012-11-26
252338,rain-cloud polarization,雨雲極化,,2012-11-26
252339,rainbow,虹,,2012-11-26
252341,rainband,雨帶,,2012-11-26
252343,rain washout,雨洗除,,2012-11-26
252344,rain virga,雨旛,,2012-11-26
252345,rain tree,雨樹,,2012-11-26
252346,rain storm,雨暴,,2012-11-26
252348,rain stage,成雨階段,,2012-11-26
252349,rain squall,雨颮,,2012-11-26
252350,rain splash,雨濺,,2012-11-26
252351,rain spell,霪雨期,,2012-11-26
252352,rain shower,陣雨,,2012-11-26
252353,rain shadow,雨蔭,,2012-11-26
252355,rain salinity,雨水鹽度,,2012-11-26
252356,rain making,人造雨,,2012-11-26
252358,rain intensity,降雨強度,,2012-11-26
252359,rain hours,降雨時數,,2012-11-26
252360,rain gust,暴雨,,2012-11-26
252362,rain gush,暴雨,,2012-11-26
252364,rain frequency,降雨頻率,,2012-11-26
252365,rain factor,降雨因子,,2012-11-26
252366,rain erosion,雨蝕,,2012-11-26
252367,rain droplet size spectrum,雨滴譜,,2012-11-26
252368,rain droplet collector,雨滴蒐集器,,2012-11-26
252370,rain day,雨日,,2012-11-26
252371,rain crust,雨雪殼,,2012-11-26
252372,rain cloud,雨雲,,2012-11-26
252373,rain cell,雨胞,,2012-11-26
252375,rain belt,雨帶,,2012-11-26
252376,rain attenuation,雨衰[減],,2012-11-26
252378,rain area,雨區,,2012-11-26
252379,rain and snow mixed,雨夾雪,,2012-11-26
252380,rain,雨,,2012-11-26
252382,ragut,拉古特風,,2012-11-26
252383,raggiatura,強陸風,,2012-11-26
252384,ragged ceiling,碎雲幕,,2012-11-26
252385,rageas,拉基斯風,,2012-11-26
252386,rafted ice,載冰,,2012-11-26
252387,rafraichometer,體溫計,,2012-11-26
252388,raffiche,來富其風,,2012-11-26
252389,radon,氡,,2012-11-26
252391,radome,天線罩,,2012-11-26
252393,radix,記數根；根值；基數,,2012-11-26
252394,radius vector,徑向量,,2012-11-26
252395,radius of protection,避雷半徑,,2012-11-26
252397,radius of maximum wind,最大風半徑,,2012-11-26
252398,radius of deformation,變形半徑,,2012-11-26
252399,radius of curvature,曲率半徑,,2012-11-26
252401,radius of  influence,影響半徑,,2012-11-26
252402,radius,半徑,,2012-11-26
252403,radio-wave sounding,無線電波探空,,2012-11-26
252404,radio-tracked pilot balloon,無線電追蹤測風氣球,,2012-11-26
252405,radiotracer,放射性追蹤劑,,2012-11-26
252407,radiotheodolite recording receiver,無線電經緯儀記錄接收機,,2012-11-26
252408,radioteletypewriter,電傳印字機,,2012-11-26
252410,radioteletype transmitter,電傳印字發射機,,2012-11-26
252411,radioteletype receiver,電傳印字接收機,,2012-11-26
252413,radiosonding,無線電探空,,2012-11-26
252414,radiosonde-radiowind system,雷送雷文系,,2012-11-26
252415,radiosonde transmitter,雷送發射機,,2012-11-26
252417,radiosonde station recorder,探空站記錄器,,2012-11-26
252418,radiosonde station,雷送站；無線電探空站,,2012-11-26
252420,radiosonde recorder,雷送記錄器,,2012-11-26
252421,radiosonde receiver-recorder,雷送接收記錄器,,2012-11-26
252422,radiosonde observation,雷送觀測,,2012-11-26
252425,radiosonde network,雷送站網,,2012-11-26
252426,radiosonde modulator,雷送調變器,,2012-11-26
252427,radiosonde data digitizer,雷送資料數位機,,2012-11-26
252429,radiosonde commutator,雷送換向器,,2012-11-26
252431,radiosonde balloon,雷送氣球,,2012-11-26
252432,radiosonde,雷送；[無線電]探空儀,,2012-11-26
252434,radio-refractive index,無線電折射指數,,2012-11-26
252435,radio-range receiver,無線電導航接收機,,2012-11-26
252437,radio-range goniometer,無線電導航測向計,,2012-11-26
252438,radiophotograph,無線電照片,,2012-11-26
252440,radiometry,輻射測量術,,2012-11-26
252441,radiometric thermosonde,輻射溫度送,,2012-11-26
252443,radiometric correction,輻射訂正,,2012-11-26
252444,radiometersonde,輻射送,,2012-11-26
252445,radiometer amplifier,輻射計放大器,,2012-11-26
252447,radiometer,輻射計,,2012-11-26
252448,radiomaximograph,天電強度儀,,2012-11-26
252449,radiological chemistry,放射化學,,2012-11-26
252450,radiological air pollution,放射性空[氣]污[染],,2012-11-26
252451,radiolocator,無線電定位器,,2012-11-26
252453,radioisotope,放射性同位素,,2012-11-26
252454,radiofacsimile converter,無線電傳真轉換器,,2012-11-26
252456,radioelectric meteorology,無線電氣象[學],,2012-11-26
252457,radiocinemograph,射電攝像儀,,2012-11-26
252458,radiocarbon dating,放射性碳定年[法],,2012-11-26
252460,radiocarbon concentration,放射性碳濃度,,2012-11-26
252461,radiocarbon age,放射性碳年代,,2012-11-26
252462,radiocarbon,放射[性]碳,,2012-11-26
252463,radioassay,放射[性]測量,,2012-11-26
252465,radioactivity,放射性,,2012-11-26
252467,radioactive tracer,放射性追蹤劑,,2012-11-26
252468,radioactive snowgauge,放射[性]雪量計,,2012-11-26
252471,radioactive rain,放射性雨,,2012-11-26
252472,radioactive precipitation,放射性降水,,2012-11-26
252473,radioactive pollution,放射性污染,,2012-11-26
252475,radioactive pollutant,放射性污染物,,2012-11-26
252476,radioactive gas,放射[性]氣體,,2012-11-26
252478,radioactive fallout plot,放射[性]落塵[區域]圖,,2012-11-26
252479,radioactive fallout,放射[性]落塵,,2012-11-26
252480,radioactive emanations,射氣,,2012-11-26
252481,radioactive collector,放射[性]集電器,,2012-11-26
252483,radioactive air monitoring system,放射性空氣監測系統,,2012-11-26
252484,radio-acoustic sounding system (RASS),電聲探測系統,,2012-11-26
252485,radio window,無線電窗,,2012-11-26
252488,radio wind finding,無線電測風,,2012-11-26
252489,radio whistler,無線電哨音,,2012-11-26
252490,radio wave,無線電波,,2012-11-26
252491,radio transmission,無線電傳送,,2012-11-26
252492,radio tracking,無線電追蹤,,2012-11-26
252494,radio theodolite,無線電經緯儀,,2012-11-26
252495,radio refractometer,無線電折射計,,2012-11-26
252497,radio refraction correction,無線電折射訂正,,2012-11-26
252499,radio pilot balloon,無線電測風氣球,,2012-11-26
252500,radio oceanography,無線電海洋學,,2012-11-26
252501,radio occultation technique,無線電掩星法,,2012-11-26
252503,radio nuclide,放射性核種,,2012-11-26
252504,radio navigation,無線電導航,,2012-11-26
252505,radio mirage,無線電幻波,,2012-11-26
252507,radio meteorology,無線電氣象[學],,2012-11-26
252508,radio meteorograph,無線電氣象儀,,2012-11-26
252510,radio meteor,無線電流星,,2012-11-26
252511,radio horizon,無線電地平,,2012-11-26
252513,radio hole,無線電洞,,2012-11-26
252514,radio goniometry,無線電測向術,,2012-11-26
252516,radio goniometer,無線電測向計,,2012-11-26
252517,radio goniograph,無線電測向儀,,2012-11-26
252519,radio frequency band,射頻波段,,2012-11-26
252520,radio frequency,無線電頻率；射頻,,2012-11-26
252522,radio fadeout,無線電衰退,,2012-11-26
252523,radio energy,無線電能,,2012-11-26
252524,radio duct,無線電波槽,,2012-11-26
