ID,英文名稱,中文名稱,圖片,更新日期
124137,Slipway,船架滑道,,2012-11-26
124138,"Slip, double",雙船道,,2012-11-26
124139,Slip,船道,,2012-11-26
124140,"Slide, levee",坍堤,,2012-11-26
124141,"Slide, land",崩坍,,2012-11-26
124142,"Slide, detritus",土石崩滑,,2012-11-26
124143,Slide,滑動,,2012-11-26
124144,Sleet,霰,,2012-11-26
124145,Slate,板岩,,2012-11-26
124146,"Slab, foundation",基礎底版,,2012-11-26
124147,"Slab, articulated",連接版,,2012-11-26
124148,Slab,底版,,2012-11-26
124149,Skinplate,面鈑,,2012-11-26
124150,Skimming,撇清,,2012-11-26
124151,Skimmer,撇清器,,2012-11-26
124152,"Size, particle",粒徑,,2012-11-26
124153,"Size, grain",粒徑,,2012-11-26
124154,"Size, effective",有效粒徑,,2012-11-26
124155,"Siphon, inverted",倒虹吸管,,2012-11-26
124156,"Siphon, capillary",毛細管虹吸,,2012-11-26
124157,"Siphon, baby",子虹吸管,,2012-11-26
124158,Siphon,虹吸管,,2012-11-26
124159,Sinkhole,陷孔,,2012-11-26
124160,Sink,滅點，洗槽,,2012-11-26
124161,"Simulator, rain",降雨模仿器,,2012-11-26
124162,"Similitude, law of",相似定律,,2012-11-26
124163,Similitude,相似性,,2012-11-26
124164,"Similarity, kinematic",運動相似性,,2012-11-26
124165,"Similarity, hydraulic",水力相似性,,2012-11-26
124166,"Similarity, geometrical",幾何相似性,,2012-11-26
124167,"Similarity, dynamical",動力相似性,,2012-11-26
124168,"Similarity, criterion for",相似性規律,,2012-11-26
124169,Similarity,相似性,,2012-11-26
124170,"Silting, reservoir",水庫淤積,,2012-11-26
124171,Silting,淤積,,2012-11-26
124172,Silt,泥,,2012-11-26
124173,Silo,倉,,2012-11-26
124174,"Sill, submerged",潛檻,,2012-11-26
124175,"Sill, mitering",人字門檻,,2012-11-26
124176,"Sill, intake",進水口檻,,2012-11-26
124177,"Sill, ground",潛檻,,2012-11-26
124178,"Sill, gate",門檻,,2012-11-26
124179,"Sill, end",端檻，尾檻,,2012-11-26
124180,"Sill, dentated end",端部齒形檻,,2012-11-26
124181,"Sill, dentate",齒形檻，消力檻,,2012-11-26
124182,Sill,潛壩，檻，閾,,2012-11-26
124183,"Signal, subaqueous",水下標誌,,2012-11-26
124184,"Signal, night",夜間標誌,,2012-11-26
124185,"Signal, fog",霧標誌,,2012-11-26
124186,"Signal, day",日間標誌,,2012-11-26
124187,"Sieve, standard",標準篩,,2012-11-26
124188,"Sieve, screen",篩,,2012-11-26
124189,Sieve,篩,,2012-11-26
124190,"Shutter, automatic drop",自倒盾門,,2012-11-26
124191,Shutter,門，盾門,,2012-11-26
124192,"Shrinkage, volumetric",體縮,,2012-11-26
124193,"Shrinkage, lineal",線縮,,2012-11-26
124194,Shrinkage,收縮,,2012-11-26
124195,Shoal,淺灘,,2012-11-26
124196,"Ship, light",燈船,,2012-11-26
124197,"Ship, inland",內河船,,2012-11-26
124198,"Shield, damming",壅水版,,2012-11-26
124199,Shield,盾構,,2012-11-26
124200,"Shell, pipe",管壳,,2012-11-26
124201,"Shed, transit",貨棚,,2012-11-26
124202,Shed,貨棚,,2012-11-26
124203,Sheathing,鈑，面鈑,,2012-11-26
124204,"Shear, single",單剪力,,2012-11-26
124205,"Shear, perimeter",周剪力,,2012-11-26
