ID,英文名稱,中文名稱,圖片,德文,法文,法類/法條,審譯日期,更新日期
7196843,Constitution,憲法,,Verfassung,Constitution,,,2020-04-01
7196844,Constitutionalism,憲政主義／立憲主義,,Konstitutionalismus,Constitutionalism,,,2020-04-01
7196845,Unwritten constitution,不成文憲法,,Ungeschriebene Verfassung,Constitution coutumière,,,2020-04-01
7196846,Written constitution,成文憲法,,Geschriebene Verfassung,Constitution écrite,,,2020-04-01
7196847,Formal constitution,形式憲法,,Formale Verfassung,Constitution formelle,德國憲法學用語,,2020-04-01
7196848,Substantive constitution,實質憲法,,Materielle Verfassung,Constitution matèrielle,德國憲法學用語,,2020-04-01
7196849,Flexible constitution,柔性憲法,,Flexible Verfassung,Constitution souple,,,2020-04-01
7196850,Rigid constitution,剛性憲法,,Rigide Verfassung,Constitution rigide,,,2020-04-01
7196851,Three Peoples’ Principles,三民主義,,Drei Prinzipien des Volkes,Trois principes du peuple,,,2020-04-01
7196852,Republic of China,中華民國,,Republik China,République de Chine,,,2020-04-01
7196853,"Government of the people, by the people, for the people",民有民治民享,,"Regierung des Volkes, durch das Volk und für das Volk","Gouvernement du peuple, par le peuple, pour le peuple",,,2020-04-01
7196854,Democracy,民主；民主國原則,,Demokratie；Demokratieprinzip,Démocratie,,,2020-04-01
7196855,Direct democracy,直接民主,,Unmittelbare Demokratie,Démocratie directe,,,2020-04-01
7196856,Representative democracy,代議民主／間接民主,,Repräsentative Demokratie,Démocratie indirecte／Démocratie représentative,,,2020-04-01
7196857,Parliamentary democracy,議會民主,,Parlamentarische Demokratie,Démocratie parlementaire,,,2020-04-01
7196858,Deliberative democracy,審議民主,,Deliberative Demokratie,Démocratie délibérative,,,2020-04-01
7196859,Constitutional order of liberal democracy,自由民主憲政秩序,,Freiheitliche demokratische Grundordnung,Ordre constitutionnel libéral et démocratique,德國憲法學用語。,,2020-04-01
7196860,Republicanism,共和主義,,Republikanismus,Républicanisme,美國憲法學用語,,2020-04-01
7196861,Liberalism,自由主義,,Liberalismus,Libéralisme,美國憲法學用語,,2020-04-01
7196862,Constitutional monarchy,君主立憲,,Konstitutionelle Monarchie,Monarchie constitution,,,2020-04-01
7196863,Federation,聯邦,,Bund／Gesamtstaat,Fédération,,,2020-04-01
7196864,State,邦／州,,Bundesland／Land／Gliedstaat,État,,,2020-04-01
7196865,Federalism,聯邦制,,Föderalismus,Fédéralisme,,,2020-04-01
7196866,Confederation,邦聯,,Staatenbund／Konföderation,Confédération,,,2020-04-01
7196867,Unitary state,單一國,,Einheitsstaat／Zentralstaat,État unitaire,,,2020-04-01
7196868,State／Nation,國家,,Staat／Nation,Nation,,,2020-04-01
7196869,State power,國家權力,,Staatsgewalt,Pouvoir de  l'Etat,,,2020-04-01
7196870,Rule of law,法治,,Rule of Law,Autorité de la loi,英美憲法學用語。,,2020-04-01
7196871,Seperation of powers,權力分立,,Gewaltenteilung,Séparation des pouvoirs,,,2020-04-01
7196872,Horizontal seperation of powers,水平權力分立,,Horizontale Gewaltenteilung,Séparation des pouvoirs horizontal,,,2020-04-01
7196873,Vertical seperation of powers,垂直權力分立,,Vertikale Gewaltenteilung,Séparation des pouvoirs verticale,,,2020-04-01
7196874,Sovereignty,主權,,Souveränität,Souveraineté,,,2020-04-01
7196875,Popular sovereignty,國民主權,,Volkssouveränität,Souveraineté nationale,,,2020-04-01
7196876,Parliamentary sovereignty／Parliamentary supremacy,議會主權,,Parlamentssouveränität,Souveraineté parlementaire,,,2020-04-01
7196877,Democratic legitimacy,民主正當性,,Demokratische Legitimation,Légitimité démocratique,,,2020-04-01
7196878,Nationality,國籍,,Staatsangehörigkeit／Staatsbürgerschaft／Nationalität,Nationalité,,,2020-04-01
7196879,National,國民,,Staatsangehöriger／Staatsbürger,Citoyen,,,2020-04-01
7196880,Territory,領土,,Staatsgebiet,Territoire,,,2020-04-01
7196881,Protection of ethnic minority,少數民族保護,,Minderheitenschutz／Schutz der nationalen Minderheiten,Protection des minorités nationales,,,2020-04-01
7196882,National flag,國旗,,Nationalflagge,Drapeau national,,,2020-04-01
7196883,Principle of equality,平等原則,,Gleichheitsprinzip,Principe d'égalité,,,2020-04-01
7196884,Equal protection,平等權,,Gleichheitsrecht,Droit à l'égalité,,,2020-04-01
7196885,Formal equality,形式平等,,Formelle Gleichheit,Égalité formelle,此二名詞為我國大法官所創，在各國的脈絡多所差異，僅能以字面意義翻譯之。,,2020-04-01
7196886,Substantive equality,實質平等,,Materielle Gleichheit,Égalité réelle,,,2020-04-01
7196887,Gender equality,性別平等,,Geschlechtergleichheit,Égalité des genres,,,2020-04-01
7196888,Sexual equality／Equality of men and women,男女平等,,Gleichstellung von Mann und Frau,Égalité hommes-femmes ,,,2020-04-01
7196889,Personal freedom／Right to security of the person,人身自由,,Freiheit der Person,Liberté individuelle et la sûreté personnelle,,,2020-04-01
7196890,Habeas corpus,人身保護令,,Habeas Corpus,Habeas corpus,,,2020-04-01
7196891,Due process of law,正當法律程序,,Rechtsstaatliches Verfahren／Rechtliches Gehör,Procédure régulière,,,2020-04-01
7196892,Access to the court,法官保留,,Richtervorbehalt,Accès au juge,,,2020-04-01
7196893,,法定法官,,Gesetzlicher Richter,Les citoyens ne peuvent être distraits des juges que la loi leur assigne,英語中無相對應用語。參照1791年法國憲法第5章第4條,,2020-04-01
7196894,Freedom of residence,居住自由,,Niederlassungsfreiheit,Droit de séjourner librement,,,2020-04-01
7196895,,住居不受侵害,,Unverletzlichkeit der Wohnung,,此為德國基本法第13條重要概念，英文與法文無對應之概念,,2020-04-01
7196896,Freedom of movement,遷徙自由,,Freizügigkeit,Liberté d'aller et de venir,,,2020-04-01
7196897,Autonomy of university,大學自治,,Akademische Selbstverwaltung／Hochschulautonomie,Autonomie universitaire,,,2020-04-01
7196898,Freedom of speech,言論自由,,Meinungsfreiheit,Liberté d'opinion,,,2020-04-01
7196899,Actual malice,真實惡意／真正惡意／實質惡意,,,Malveillance véritable,此為美國法用語，德國法無對應之概念,,2020-04-01
7196900,Freedom of research,研究自由,,Forschungsfreiheit,Liberté de la recherche,,,2020-04-01
7196901,Freedom of the publication,著作與出版自由,,Publikationsfreiheit／Pressefreiheit,Liberté de la publication,,,2020-04-01
7196902,Freedom of the press,新聞自由,,Pressefreiheit,Liberté de la presse,,,2020-04-01
7196903,Academic freedom,學術自由,,Wissenschaftsfreiheit,Liberté académique,,,2020-04-01
7196904,Freedom of teaching,講學自由,,Lehrfreiheit,Liberté de l'enseignement,,,2020-04-01
7196905,Freedom of correspondence,秘密通訊自由,,"Briefgeheimnis, Postgeheimnis und Fernmeldegeheimnis",Droit au respect du secet des correspondance,,,2020-04-01
7196906,Freedom of religion／Freedom of belief,宗教自由,,Religionsfreiheit,Liberté reglieuse,,,2020-04-01
7196907,Freedom of conscience,信仰自由,,Glaubensfreiheit,Liberté de conscience,,,2020-04-01
7196908,Separation of church and the state,政教分離,,Trennung von Kirche und Staat／Religiöse Neutralität des Staates,Séparation des Églises et de l'État,,,2020-04-01
7196909,Freedom of association,結社自由,,Vereinigungsfreiheit,Liberté d'association,,,2020-04-01
7196910,Freedom of assembly,集會自由,,Versammlungsfreiheit,Liberté de réunion,,,2020-04-01
7196911,Freedom to choose career,職業自由,,Berufsfreiheit,Liberté du travail,,,2020-04-01
7196912,Right to work,工作權,,Recht auf Arbeit,Droit au travail,,,2020-04-01
7196913,Right to minimum livelihood,生存權,,Gewährleistung des Existenzminimums,Droit à la vie (Droit à une vie décente),,,2020-04-01
7196914,Right to life,生命權,,Recht auf Leben,Droit à la vie,,,2020-04-01
7196915,Property rights,財產權,,Eigentumsgarantie／Eigentumsfreiheit,Droit de propriété,,,2020-04-01
7196916,Right of access to the courts,訴訟；訴訟權,,Rechtsweggarantie／Rechtsschutzgarantie,Droit au recours,,,2020-04-01
7196917,Right to administrative complaints,訴願；訴願權,,Recht auf Erhebung einer Beschwerde,Droit de recours administratives,,,2020-04-01
7196918,Right to petition,請願；請願權,,Petitionsrecht,Droit de pétition,,,2020-04-01
7196919,Voting right,選舉；選舉權,,Wahlrecht,Droit de vote,,,2020-04-01
7196920,Right of recall,罷免；罷免權,,Abberufungsrecht,Droit de rappel,,,2020-04-01
7196921,Right of initiative,創制；創制權,,Initiativrecht,Droit d'initiative,,,2020-04-01
7196922,Right of referendum,複決；複決權,,Referendumsrecht,Droit de référendum,,,2020-04-01
7196923,Direct election,直接選舉,,Unmittelbare Wahl,Scrutin directe,,,2020-04-01
7196924,Indirect election,間接選舉,,Mittelbare Wahl,Scrutin indirecte,,,2020-04-01
7196925,"one person, one vote／one person, one vote, one value",選舉平等,,Wahlrechtsgleichheit,Un vote de valeur égale pour tous,選舉平等係我國法與德國法中之概念,,2020-04-01
7196926,"one person, one vote／one person, one vote, one value",票票等值,,Zählwertgleichheit,Vote de valeur,,,2020-04-01
7196927,Universal suffrage,普通選舉；普選權,,Allgemeinheit der Wahl,Suffrage universel,,,2020-04-01
7196928,Secret ballot,無記名投票,,Geheime Wahl,Vote à bulletin secret,,,2020-04-01
7196929,Right to be candidates,被選舉權,,Passives Wahlrecht,Droit d'éligibilité,,,2020-04-01
7196930,Referendum,公民投票,,Volksabstimmung,Référendum,,,2020-04-01
7196931,Right of holding public offices,服公職權,,Recht auf Zugang zum öffentlichen Dienst,Droit de devenir fonctionnaire public,,,2020-04-01
7196932,Right of taking public examinations,應考試權,,Recht auf Staatsprüfungsbeteiligung,Droit de prendre les concours,,,2020-04-01
7196933,Duty of paying taxes,納稅義務,,Steuerpflicht,Assujetti à l'impôt,,,2020-04-01
7196934,Duty of military service,服兵役義務,,Wehrdienstpflicht／Wehrpflicht,Obligations militairs,,,2020-04-01
7196935,Right and duty to mandatory education,受國民教育之權利及義務,,Schulbesuchsrecht und Schulpflicht,Droit et le devoir à l'éducation；Obligation scolaire,,,2020-04-01
7196936,Public interests,公共利益／公益,,Gemeinwohl／Öffentliches Interesse,Intérêts publics／Intérêts général,,,2020-04-01
