ID,英文名稱,中文名稱,圖片,德文,日文,法類/法條,審定日期,更新日期
10645011,Principle of legality,罪刑法定原則／罪刑法定主義,,Gesetzlichkeitsprinzip,罪刑法定主義,,,2020-10-15
10645012,Prohibition of analogy (of law),類推禁止,,Analogieverbot,類推解釈の禁止,,,2020-10-15
10645013,Prohibition of retroactive law／Prohibition of ex post facto law,溯及禁止／溯及既往禁止,,Rückwirkungsverbot,遡及処罰の禁止,,,2020-10-15
10645014,Principle of clarity／Vagueness doctrine,明確性要求,,Bestimmtheitsgebot,明確性の要請,,,2020-10-15
10645015,Prohibition of customary law,習慣法禁止,,Gewohnheitsrechtsverbot,慣習法の排除,,,2020-10-15
10645016,Temporary law,限時法,,Zeitgesetz,限時法,,,2020-10-15
10645017,Worthiness of punishment,得罰性；應罰性,,Strafwürdigkeit,当罰性,,,2020-10-15
10645018,Necessity of punishment,需罰性,,Strafbedürftigkeit,要罰性,,,2020-10-15
10645019,Fulfillment of the legal element,構成要件該當性,,Tatbestandsmäßigkeit,構成要件該当性,,,2020-10-15
10645020,Unlawfulness,違法性,,Rechtswidrigkeit,違法性,,,2020-10-15
10645021,Culpability,罪責／有責性,,Schuld,責任；有責性,,,2020-10-15
10645022,Act,行為,,Handlung,行為,,,2020-10-15
10645023,Affirmative act,作為,,Tun,作為,,,2020-10-15
10645024,Omission,不作為,,Unterlassen,不作為,,,2020-10-15
10645025,Causation,因果關係,,Kausalität,因果関係,,,2020-10-15
10645026,Non-result constituted offense,行為犯；舉動犯,,Tätigkeitsdelikt,行為犯；挙動犯,,,2020-10-15
10645027,Result-constituted offense,結果犯,,Erfolgsdelikt,結果犯,,,2020-10-15
10645028,Legal interest,法益,,Rechtsgut,法益,,,2020-10-15
10645029,Basic legal element,基本構成要件,,Grundtatbestand,基本的構成要件,,,2020-10-15
10645030,Aggravated legal element,加重構成要件,,Qualifizierter Tatbestand,加重構成要件,,,2020-10-15
10645031,Mitigative legal element,減輕構成要件,,Privilegierter Tatbestand,減軽構成要件,,,2020-10-15
10645032,Objective condition for punishment,客觀處罰條件；客觀可罰性條件,,Objektive Strafbarkeitsbedingung,客観的処罰条件,,,2020-10-15
10645033,Normative legal element,規範性構成要件要素,,Normatives Tatbestandsmerkmal,規範的構成要件要素,,,2020-10-15
10645034,Descriptive legal element,描述性構成要件要素,,Deskriptives Tatbestandsmerkmal,記述的構成要件要素,,,2020-10-15
10645035,Objective legal element,客觀構成要件,,Objektiver Tatbestand,客観的構成要件,,,2020-10-15
10645036,Subjective legal element,主觀構成要件,,Subjektiver Tatbestand,主観的構成要件,,,2020-10-15
10645037,Statutory legal element,成文的構成要件要素,,Geschriebenes Tatbestandsmerkmal,条文に明記された構成要件要素,,,2020-10-15
10645038,Non-statutory legal element,不成文的構成要件要素,,Ungeschriebenes Tatbestandsmerkmal,書かれざる構成要件要素／記述されざる構成要件要素,,,2020-10-15
10645039,Criminal offense committed by affirmative act,作為犯,,Begehungsdelikt,作為犯,,,2020-10-15
10645040,Criminal offense committed by intent,故意犯,,Vorsatzdelikt,故意犯,,,2020-10-15
