ID,英文名稱,中文名稱,圖片,德文,日文,出處,章條,備註,更新日期
7197021,A conduct of sexual or gendered nature,性或性別有關之行為,,,,性別平等教育法,第2條,,2020-04-01
7197022,A safe and gender-fair campus,安全且平等的校園空間,,,,性別平等教育法,第6條,,2020-04-01
7197023,Abnormal children,異常子女,,,,人工生殖法,第11條,,2020-04-01
7197024,Activities design,活動設計,,,,性別平等教育法,第17條,,2020-04-01
7197025,Adoptee,被收養人,,,,人工生殖法,第29條,,2020-04-01
7197026,Advisory committee,諮詢委員會,,,,人工生殖法,第4條,,2020-04-01
7197027,Affecting ability to give birth,有礙生育健康,,,,人工生殖法,第7條,,2020-04-01
7197028,Alternative treatment,替代治療,,,,人工生殖法,第12條,,2020-04-01
7197029,An opportunity to make a written statement,書面陳述意見之機會,,,,性別平等教育法,第25條,,2020-04-01
7197030,Apologize to the victim,向被害人道歉,,,,性別平等教育法,第25條,,2020-04-01
7197031,Artificial insemination with donor gametes {=AID},捐精人工授精,,,,人工生殖法,,,2020-04-01
7197032,Artificial insemination with husband gametes {=AIH},夫精人工授精,,,,人工生殖法,,,2020-04-01
7197033,Artificial reproduction,人工生殖,,,,人工生殖法,第1條,,2020-04-01
7197034,Artificial reproduction act,人工生殖法,,,,人工生殖法,,,2020-04-01
7197035,Artificial reproduction database,人工生殖資料庫,,,,人工生殖法,第27條,,2020-04-01
7197036,Artificial reproduction institution / Healthcare institutions providing assisted reproduction services,人工生殖機構,,,,人工生殖法,第2條,,2020-04-01
7197037,Assessments on gender equality education and related issues,性別平等教育之評量,,,,性別平等教育法,第4條,,2020-04-01
7197038,Assisted reproduction between husband and wife,配偶間人工生殖,,,,人工生殖法,第5條,,2020-04-01
7197039,Assisted reproductive technology {=ART},人工助孕科技,,,,人工生殖,,,2020-04-01
7197040,Awareness and acceptance of one's own gender,性別的自我認知與接受,,,,性別平等教育法,第2條,,2020-04-01
7197041,"Belittleling, attacks, or threats directed at another person",貶抑、攻擊或威脅他人之行為,,,,性別平等教育法,第2條,,2020-04-01
7197042,Brokering of reproductive cells or embryos,生殖細胞或胚胎之居間介紹,,,,人工生殖法,第31條,,2020-04-01
7197043,Campus safety plans,學校安全規劃,,,,性別平等教育法,第21條,,2020-04-01
7197044,Campus sexual harassment or sexual bullying,校園性騷擾或性霸凌事件,,,,性別平等教育法,第36條,,2020-04-01
7197045,Child born in wedlock,婚生子女,,,,人工生殖法,第23條,,2020-04-01
7197046,Children and youth welfare act,兒童及少年福利法,,,,性別平等教育法,第21條,,2020-04-01
7197047,Children conceived through artificial reproduction,人工生殖子女,,,,人工生殖法,第29條,,2020-04-01
7197048,Collateral blood relatives,旁系血親,,,,人工生殖法,第15條,,2020-04-01
7197049,Competent authority,主管機關,,,,人工生殖法,第2條,,2020-04-01
7197050,Conception and birth,受孕生育,,,,人工生殖法,第2條,,2020-04-01
7197051,Consultation services,諮詢服務,,,,性別平等教育法,第4條,,2020-04-01
7197052,Courses in fields that are not traditionally affiliated with gender,非傳統性別之學科領域,,,,性別平等教育法,第19條,,2020-04-01
7197053,Courses on gender studies,性別研究相關課程,,,,性別平等教育法,第17條,,2020-04-01
7197054,Courses or activities on gender equality education,性別平等教育相關課程或活動,,,,性別平等教育法,第17條,,2020-04-01
7197055,Cryopreservation of gamete,冷凍配子技術,,,,人工生殖法,,,2020-04-01
