ID,英文名詞,中文名詞,德文,日文,法類/法條,審定日期,更新日期
21324956,,假執行,Vorläufig Vollstreckung,,,,
21324957,,假處分,Einstweilige Verfügung,,,,
21324958,,假扣押,Arrest,,,,
21324959,,保全程序 / 暫時權利保護,Verfahren des einstweiligen Rechtsschutzes,,,,
21324960,,督促程序,Mahnverfahren,,,,
21324961,,再審程序,Wiederaufnahmeverfahren,,,,
21324962,,第三審上訴程序,Revisionsverfahren,,,,
21324963,,第二審上訴程序,Berufungsverfahren,,,,
21324964,,小額訴訟程序,Begatellverfahren,,,,
21324965,,言詞辯論,Mündliche Verhandlung,,,,
21324966,,訴訟救助,Prozesshilfe,,,,
21324967,,訴訟費用,Prozesskosten,,,,
21324968,,權利保護必要,Rechtsschutzbedürfnis,,,,
21324970,,程序輔佐人,Verfahrensbeistand,,,,
21324971,,輔佐人,Beistand,,,,
21324972,,反訴,Widerklage,,,,
21324973,,訴之撤回,Klagerücknahme,,,,
21324974,,實質當事人,Materielle Partei,,,,
21324975,,形式當事人,Formelle Partei,,,,
21324976,,當事人,Partei,,,,
21324977,,當事人能力,Parteifähigkeit,,,,
21324978,,專屬管轄,Ausschließliche Zuständigkeit,,,,
21324979,,管轄權,Zuständigkeit,,,,
21324980,,推定,Vermutung,,,,
21324981,,既判力,Rechtskraft,,,,
21324982,,依職權,Von Amts wegen,,,,
21324983,,舉證責任分配,Beweislastsverteilung,,,,
21324984,,經驗法則,Erfahrungssatz,,,,
21324985,,調查證據之結果,Ergebnis der Beweisaufnahme,,,,
21324986,,集中審理原則,Konzentrationsgrundsatz,,,,
21324987,,辯論主義 / 提出原則,Verhandlungsmaxime / Beibringungsgrundsatz,,,,
21324988,,處分權主義 / 處分權原則,Dispositionsmaxime / Dispositionsgrundsatz,,,,
21324989,,訴訟經濟原則,Grundsatz der Prozessökonomie,,,,
21324990,,訴訟上和解,Prozessvergleich,,,,
21324991,,調解,Mediation,,,,
21324992,,家事事件,Familiensachen,,,,
21324993,,程序基本權,Pozessuale Grundrechte,,,,
21324994,,程序選擇權,Recht auf Prozessauswahl,,,,
21324995,,更正登記,Grundbuchberichtigung,更正の登記,,,
21324996,,登記機關,Grundbuchamt,登記所/法務局,,,
21324997,,登記,Eintragung im Grundbuch,登記,,,
21324998,,返還請求權讓與,Übergabe durch Abtretung des Herausgabeanspruch,指図による交付,,,
21324999,,物權行為,Dingliche Rechtsgeschäft,物権行為,,,
21325000,,慰撫金,Schmerzgeld,慰謝料,,,
21325001,Changes in rights in rem,物權之變更,Dingliche Rechtsänderungen,物権変動,,,
21325002,Claim for removal of interference,妨害除去請求權,Beseitigungsanspruch,妨害排除請求権,,,
21325003,Claim of an obligation; Right in personam,債權,Forderung,債権,,,
21325004,Obligation to compensate,償還義務,Verpflichtung zum Wertersatz,償還義務,,,
21325005,A fasle declaration of will in collusion with another/ Collution/ Simulation,通謀虛偽意思表示,Scheingeschäft,虚偽表示,,,
