ID,英文名稱,中文名稱,圖片,出處,備註,更新日期
6250120,(Policy) Ambiguity,疑義,,保險法法條,,2020-01-07
6250121,(Third party) Direct action,(第三人)直接請求權,,保險法學,,2020-01-07
6250122,Abandon,委棄 ； 委付,,海商法法條,,2020-01-07
6250123,Abandoning trademark right,拋棄商標權,,商標法,,2020-01-07
6250124,Absolute novelty,絕對新穎性,,專利法學,,2020-01-07
6250125,Abstract,摘要,,專利法條,,2020-01-07
6250126,Accelerated examination,優先審查,,專利法條,,2020-01-07
6250127,Accessory,附屬費,,海商法法條,,2020-01-07
6250128,Accident,意外事故,,保險法學,,2020-01-07
6250129,Accredited investor,合格投資人,,證券交易法條文,,2020-01-07
6250130,Acquisition,收購,,企業併購法條文,,2020-01-07
6250131,Act of god,天災,,海商法法條,,2020-01-07
6250132,Actuarial fairness,精算公平,,保險實務,英美法無對價平衡原則之名稱，其原文來自德文Aeguivalenzsprinzip，但保險實務上有精算公平原則與對價平衡原則相同內涵,2020-01-07
6250133,Additions and corrections,補正,,專利法條,,2020-01-07
6250134,Adjustment,理算,,保險法法條,,2020-01-07
6250135,Advance notice of patent rejection,專利核駁理由先行通知書,,專利法條,,2020-01-07
6250136,Affiliate,關係企業,,公司法條文 ；企業併購法條文,,2020-01-07
6250137,Agency costs,代理成本,,公司法學,,2020-01-07
6250138,Agency problems,代理問題,,公司法學,,2020-01-07
6250139,Agricultural invention,農業發明,,專利法條,,2020-01-07
6250140,All elements rule,全要件原則,,專利法學,,2020-01-07
6250141,Alter ego,（股東之）變裝,,公司法學,,2020-01-07
6250142,Alternative name,字號,,商標法,,2020-01-07
6250143,Ambiguity is construed against the drafter / Doctrine of contra preferentem,疑義不利於擬文者,,保險法學,,2020-01-07
6250144,Amendment,修正,,專利法條,,2020-01-07
6250145,Amendment of article,變更章程,,公司法條文,,2020-01-07
6250146,Amendment to the reproduction of a trademark which does not substantially change such trademark,商標圖樣之非實質變更,,商標法,,2020-01-07
6250147,American Depositary Receipt / ADR,美國存託憑證,,證券交易實務,,2020-01-07
6250148,Annual business report,營業報告書,,公司法條文,,2020-01-07
6250149,Annual financial report,年度財務報告,,證券交易法條文,,2020-01-07
6250150,Annual general meeting / AGM,股東常會,,公司法條文,,2020-01-07
6250151,Annual report,年報,,證券交易法條文,,2020-01-07
6250152,Annuity insurance,年金保險,,保險法法條,,2020-01-07
6250153,Anti-fraud provision,反詐欺條款,,證券交易法學,,2020-01-07
6250154,Application for declaration of bankruptcy,聲請宣告破產,,公司法條文,,2020-01-07
6250155,Apply / Mutatis mutandis,準用,,商標法,,2020-01-07
6250156,Appointment,委任,,公司法條文,,2020-01-07
