ID,英文名稱,中文名稱,圖片,更新日期
180462,isolating resistor,隔離電阻,,2012-11-26
180465,I-scope,雷達幕；I型顯示器；雷達幕工型顯示器,,2012-11-26
180468,irrgeular reflection,不規則反射,,2012-11-26
180469,irregular distortion,不規則畸變；不規則失真,,2012-11-26
180472,iron-core reactor,鐵芯電抗器,,2012-11-26
180475,iron loss,鐵損失,,2012-11-26
180476,iron-core choking coil,鐵芯抗流[線]卷,,2012-11-26
180478,iron core,鐵芯,,2012-11-26
180481,ionospheric storm disturbance,電離層風騷動,,2012-11-26
180482,ionospheric prediction,電離層預報,,2012-11-26
180485,ionosphere [= ionzed layer],游離層；電離層,,2012-11-26
180488,ionization vacuum gauge,游離真空計,,2012-11-26
180489,ionization probability,游離概率,,2012-11-26
180490,ionization potential,游離電勢；游離電位,,2012-11-26
180493,ionization degree,游離度,,2012-11-26
180497,ionization by collision,碰撞游離；碰撞電離,,2012-11-26
180499,ionization,游離[作用]；電離,,2012-11-26
180501,ionic current; ionization current,離子電流,,2012-11-26
180504,ion trap,離子[陷]阱,,2012-11-26
180505,ion spot,離子斑點,,2012-11-26
180506,ion focusing,離子聚焦,,2012-11-26
180509,ion concentration,離子濃度,,2012-11-26
180511,invisible rays,不可見射線,,2012-11-26
180514,invisible radiation,不可見幅射,,2012-11-26
180517,inverted-L type antenna,倒L型天線,,2012-11-26
180519,inverted converter; inverter,反用換流機,,2012-11-26
180520,inverted amplifier,倒數放大器,,2012-11-26
180521,inverse-square law,反平方律,,2012-11-26
180523,inverse ratio,反比{比例},,2012-11-26
180526,inverse network,倒量[電]網路,,2012-11-26
180528,intrinsic wavelength; natural wave-length,固有波長,,2012-11-26
180529,intrinsic permeability,固有導磁率,,2012-11-26
180530,intrinsic impedance,固有阻抗,,2012-11-26
180532,intrinsic induction,本徵感應,,2012-11-26
180533,interval timer,間隔定時器,,2012-11-26
180535,inter-train pulse,際列脈搏,,2012-11-26
180539,interstage transformer,級際變壓器,,2012-11-26
180540,interstage shielding,級際屏蔽,,2012-11-26
180542,interruption of service,停電；服務中斷,,2012-11-26
180545,interrupted ringing,斷續振鈴,,2012-11-26
180547,interpreter,譯印機；解譯機,,2012-11-26
180550,interphase reactor,相間電抗器；相間反應器,,2012-11-26
180553,International Telegraph and Telephone Consultative Committee {= ITTCC},國際電報電話諮詢委員會,,2012-11-26
180556,International Telecommunication Union {= ITU},國際電信聯[合]會{簡稱電聯會},,2012-11-26
180559,international telecommunication,國際電信,,2012-11-26
180560,international signs,國際符號,,2012-11-26
180562,international service,國際業務,,2012-11-26
180564,International Scientific Radio Union {= URSI},國際科學無線電聯合會,,2012-11-26
180566,International Radio Consultative Committee {= CCIR},國際無線電諮詢委員會,,2012-11-26
180568,international ohm,國際歐姆,,2012-11-26
180571,international morse code,國際莫爾斯電碼,,2012-11-26
180573,International Frequency Registration Board {= IFRB},國際頻率登記委員會,,2012-11-26
180578,international code of signals,國際信號簡碼,,2012-11-26
180580,international broadcasting,國際廣播,,2012-11-26
180582,internal resistance,內阻力,,2012-11-26
180585,internal noise,內雜訊,,2012-11-26
180586,internal impedance,內阻抗,,2012-11-26
180590,intermodulation frequency,互調變頻率,,2012-11-26
180591,intermodulation,相互調隔幅,,2012-11-26
180594,intermittent recorder,斷續記錄器,,2012-11-26
180596,intermittent duty,間歇使用,,2012-11-26
180597,intermediate repeater station,中間中繼站,,2012-11-26
180599,intermediate power amplifier,中級功率放大器,,2012-11-26
180603,intermediate frequency; medium frequence,中頻,,2012-11-26
180604,intermediate frequency transformer {= IFT},中頻變壓器；中週變壓器,,2012-11-26
180607,intermediate frequency amplifier {= IFA},中頻放大器,,2012-11-26
180610,interlocking signal,聯鎖信號,,2012-11-26
180612,interlocking relay,聯鎖繼電器,,2012-11-26
180615,interlock,聯鎖；互鎖,,2012-11-26
180617,interlaced scanning,[電視]間條掃描,,2012-11-26
180619,interior circuit,內部電路,,2012-11-26
180621,interference level,干擾位準,,2012-11-26
180622,interference,干擾,,2012-11-26
180626,inter-electrode capacitance,極際電容,,2012-11-26
180627,intercom,[內部]對講機；艦內對講通信系統,,2012-11-26
180630,interco; international signal code,國際信號代碼,,2012-11-26
