ID,英文名稱,中文名稱,圖片,更新日期
3128432,water invasion,水侵,,2017-07-19
3128433,water jet,1.噴水口；2.水注,,2017-07-19
3128434,water lag,含水區，水體,,2017-07-19
3128435,water layer,水層,,2017-07-19
3128436,water leak,漏水,,2017-07-19
3128437,water leakage,1.漏水；2.漏水量,,2017-07-19
3128438,water level,1.水位，水平面；2.吃水線,,2017-07-19
3128439,water level gauge,水位計，水尺,,2017-07-19
3128440,water level indicator,水位指示器,,2017-07-19
3128441,water level mark,水位痕跡,,2017-07-19
3128442,water loss,失水量,,2017-07-19
3128443,water mark,1.水印；2.水位標誌,,2017-07-19
3128444,water of compaction,擠壓水,,2017-07-19
3128445,water of crystallization,結晶水,,2017-07-19
3128446,water of dehydration,脫出水,,2017-07-19
3128447,water of hydration,結合水,,2017-07-19
3128448,water of imbibition,飽和水,,2017-07-19
3128449,water of retention,原生水,,2017-07-19
3128450,water of saturation,飽和水,,2017-07-19
3128451,water of zeolite,沸石水,,2017-07-19
3128452,water opal,玉滴石，玻璃蛋白石,,2017-07-19
3128453,water opening,冰間水面,,2017-07-19
3128454,water parting,分水嶺,,2017-07-19
3128455,water percolation,水滲透,,2017-07-19
3128456,water permeability,透水性，水滲透率,,2017-07-19
3128457,water pocket,水坑,,2017-07-19
3128458,water pollution,水污染,,2017-07-19
3128459,water potential,水勢，水位,,2017-07-19
3128460,water power,水力,,2017-07-19
3128461,water quality,水質,,2017-07-19
3128462,water regimen,水動態,,2017-07-19
3128463,water resources,水資源,,2017-07-19
3128464,water sand,含水砂,,2017-07-19
3128465,water saturation,1.含水率；2.水飽和度,,2017-07-19
3128466,water seepage,滲出水，泉水,,2017-07-19
3128467,water softening,水軟化,,2017-07-19
3128468,water supply,供水,,2017-07-19
3128469,water surface,水面，水位,,2017-07-19
3128470,water system,1.水系，河系；2.供水系統,,2017-07-19
3128471,water table,地下水位,,2017-07-19
3128472,water track,水跡,,2017-07-19
3128473,water trap,1.集水坑；2.分水器,,2017-07-19
3128474,water type,水團類型,,2017-07-19
3128475,water vascular system,1.水管系；2.水脈系,,2017-07-19
3128476,water vein,水脈,,2017-07-19
3128477,water velocity,水中聲速,,2017-07-19
3128478,water wave,水波,,2017-07-19
3128479,water wettability,親水性,,2017-07-19
3128480,water yield,出水量,,2017-07-19
3128481,water yield formation,產水層,,2017-07-19
3128482,water zone,含水帶,,2017-07-19
3128483,water-bearing,含水的,,2017-07-19
3128484,water-bearing bed,含水岩層,,2017-07-19
3128485,water-bearing level,含水位,,2017-07-19
3128486,water-bearing stratum,含水層,,2017-07-19
3128487,water-bearing zone,含水帶,,2017-07-19
3128488,water-bottom multiple,海底複反射,,2017-07-19
3128489,water-break,1.防波堤；2.纜位信號,,2017-07-19
3128490,water-depth profile,水深剖面,,2017-07-19
3128491,water-depth variation,水深變化,,2017-07-19
3128492,water-escape structure,泄水構造,,2017-07-19
3128493,water-expandable clay,水膨脹黏土,,2017-07-19
3128494,water-faceted stone,海灘巨礫,,2017-07-19
3128495,water-fast,耐水的,,2017-07-19
3128497,water-gas ratio,水氣比,,2017-07-19
3128498,water-intake capacity,吸水能力,,2017-07-19
3128499,water-intake rate,吸水率,,2017-07-19
3128500,water-invaded,水侵的,,2017-07-19
3128501,water-laid deposit,水成堆積物,,2017-07-19
3128502,water-laid volcanics,水沉火山岩,,2017-07-19
3128503,water-repellent,憎水的，抗水的，疏水性,,2017-07-19
3128504,water-resistant,抗水的,,2017-07-19
3128505,water-resisting layer,隔水層，阻水層,,2017-07-19
3128506,water-rolled,水磨圓的,,2017-07-19
3128507,water-sand,含水砂,,2017-07-19
3128508,water-sensitive shale,水敏頁岩,,2017-07-19
3128509,water-soluble,水溶性的,,2017-07-19
3128510,watercraft,船，艇,,2017-07-19
3128511,waterfall,瀑布,,2017-07-19
3128512,waterfall lake,瀑布潭,,2017-07-19
3128513,waterflood channel,水驅孔道,,2017-07-19
3128514,waterflood fill-up,注水彌補,,2017-07-19
3128515,waterflood front,水驅前緣，注水前緣,,2017-07-19
3128516,waterflood permeability,水驅滲透率，注水滲透率,,2017-07-19
3128517,waterhole,水塘，水池，水坑,,2017-07-19
3128518,waterline,海岸線,,2017-07-19
3128519,waterlogged,積水的,,2017-07-19
3128520,waterlogging,積水作用,,2017-07-19
3128521,watermass,水團,,2017-07-19
3128522,watermeet,匯流點,,2017-07-19
3128523,waterproof,不透水的,,2017-07-19
3128524,waterproof stratum,隔水層，防水層,,2017-07-19
3128525,waters,臨海,,2017-07-19
