ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3193310,ammonia nitrogen,氨氮,,,2017-07-31
3193311,normal water,國際[哥本哈根]標準海水,,国际[哥本哈根]标准海水,2017-07-31
3193312,3-amino-2-hydroxypropanesulfonic acid,3-胺基-2-羥基丙磺酸；3-氨基-2-羥基丙磺酸,,3-氨基-2-羟基丙磺酸,2017-07-31
3193313,7-α-hydroxyfucosterol,7-α-羥基岩藻固醇,,7-α-羟基岩藻甾醇,2017-07-31
3193314,abalones,鮑魚；九孔{臺灣},,鲍,2017-07-31
3193315,ablation,冰融,,消融,2017-07-31
3193316,ablation breccia,消融角礫岩,,消融角砾岩,2017-07-31
3193317,ablation cone,消融錐,,消融锥,2017-07-31
3193318,ablatograph,冰融儀,,消融仪,2017-07-31
3193319,abraded bedrock surface,浪蝕基岩面,,浪蚀基岩面,2017-07-31
3193320,abrasion,磨蝕,,磨蚀,2017-07-31
3193321,abrasion mark,磨蝕痕跡,,磨蚀痕迹,2017-07-31
3193322,abrasion platform,海蝕平台；海蝕台地,,海蚀台[地],2017-07-31
3193323,abrasion shoreline,浪蝕海岸線,,浪蚀海岸线,2017-07-31
3193324,abrasion surface,海蝕面；浪蝕面,,海蚀面；浪蚀面,2017-07-31
3193325,abrasion tableland,海蝕台地；浪蝕台地,,海蚀台地；浪蚀台地,2017-07-31
3193326,abrasion terrace,海蝕階地；浪蝕階地,,海蚀阶地；浪蚀阶地,2017-07-31
3193327,abrupt change of climate,氣候突變,,气候突变,2017-07-31
3193328,absorptance,吸收率,,吸收率；吸收比,2017-07-31
3193329,absorption coefficient,吸收係數,,吸收系数,2017-07-31
3193330,absorptivity,吸收性；吸收率,,吸收性；吸收率,2017-07-31
3193331,abundance,豐度,,丰度,2017-07-31
3193332,Abundance-Biomass Curve,豐度-生物量曲線；AB曲線,,半度—生物量曲线,2017-07-31
3193333,abyss,深淵,,海渊,2017-07-31
3193334,abyssal,深淵底；深海的,,深渊,2017-07-31
3193335,abyssal circulation,深淵循環,,深渊环流,2017-07-31
3193336,abyssal clay,深海黏土；遠洋黏土；褐黏土；紅黏土,,深海黏土；远洋黏土；褐黏土；红黏土,2017-07-31
3193337,abyssal fauna,深淵動物相,,深渊动物,2017-07-31
3193338,abyssal hill,深海丘陵,,深海丘陵,2017-07-31
3193339,abyssal ooze,深海軟泥,,深海软泥,2017-07-31
3193340,abyssal plain,深淵底平原；深海平原,,深海平原,2017-07-31
3193341,abyssal red earth,深海紅土,,深海红土,2017-07-31
3193342,abyssal zone,深淵带；深淵區,,深渊带,2017-07-31
3193343,abyssopelagic,深淵水層{4000–6000 M},,大洋深渊，深渊,2017-07-31
3193344,abyssopelagic organism,深淵帶生物,,大洋深渊水层生物,2017-07-31
3193345,abyssopelagic plankton,深淵浮游生物,,深渊浮游生物,2017-07-31
3193346,Acanthocephala,棘(鉤)頭動物門,,棘头虫动物门,2017-07-31
3193347,accelerated corrosion test,加速腐蝕實驗,,加速腐蚀实验,2017-07-31
3193348,accelerator mass spectrometry ｛=AMS｝,加速器質譜儀,,加速器质谱仪,2017-07-31
3193349,accessory mark,副標記,,副轮,2017-07-31
3193350,accidental pollution,意外污染,,意外污染,2017-07-31
3193351,accidental spillage,意外洩漏,,意外泄露,2017-07-31
3193352,acclimation,馴化,,驯化,2017-07-31
3193353,acclimatization,馴化,,驯化,2017-07-31
3193354,accommodation and power platform｛=APP｝,生活及動力供應平台,,生活动力平台,2017-07-31
3193355,accreting plate boundary,增積板塊邊界；增生型板塊邊界,,增生型板块边界,2017-07-31
3193356,accretion,固結；凝聚；堆積,,固结；凝聚；堆积,2017-07-31
3193357,accretion beach face,增積海灘面；加積海灘面,,加积海滩面,2017-07-31
3193358,accretion bed,增積層；加積層,,加积层；增积层,2017-07-31
3193359,accretion ridge,增積砂嶺；外展灘脊,,增积砂岭,2017-07-31
3193360,accretion ripple mark,加積波痕,,加积波痕,2017-07-31
3193361,accretion topography,加積地形,,加积地形,2017-07-31
3193362,accretion vein,填加脈,,加填矿脉,2017-07-31
3193363,accretionary bar,增積砂壩；加積砂壩,,增积砂坝，加积砂坝,2017-07-31
3193364,accretionary basin,增積盆地,,增积盆地,2017-07-31
3193365,accretionary belt,增積帶；加積帶,,增积带；加积带,2017-07-31
3193366,accretionary coast,增積海岸；加積海岸,,增积海岸；加积海岸,2017-07-31
3193367,accretionary lapilli,增積火山泥礫,,增生火山泥砾,2017-07-31
3193368,accretionary lava ball,增積熔岩球,,增积熔岩球,2017-07-31
3193369,accretionary plate boundary,增積板塊邊界；增生型板塊邊界,,增积板块边界；增生型板块边界,2017-07-31
3193370,accretionary prism,增積岩體,,增生楔；增生棱柱,2017-07-31
3193371,accretionary ridge,增積海脊,,增积海脊,2017-07-31
3193372,accretionary subduction complex,增積隱沒複合體,,增积隐没复合体，加积俯冲复合体，加积俯冲带杂岩,2017-07-31
3193373,accretionary wedge,增積楔形體,,增生楔,2017-07-31
3193374,accumulated island,堆積島,,堆积岛,2017-07-31
3193375,accumulation,堆積作用,,堆积作用,2017-07-31
3193376,accumulation rate,堆積速率,,堆积速率,2017-07-31
3193377,accumulation species of marine pollution,海洋污染累積種,,海洋污染累积种,2017-07-31
3193378,acetate,乙酸鹽；醋酸鹽,,乙酸盐；醋酸盐,2017-07-31
3193379,acidic mucopolysaccharide of Apostichopus japonicus,刺參黏多糖,,刺参黏多糖,2017-07-31
3193380,acidification,酸化作用,,酸化作用,2017-07-31
3193381,acidity,酸度；酸性,,酸度，酸性,2017-07-31
3193382,acorn barnacle,藤壺,,藤壶,2017-07-31
3193383,acoustic absorption,聲波吸收,,声波吸收,2017-07-31
3193384,acoustic absorption coefficient,聲波吸收係數,,声波吸收系数,2017-07-31
3193385,acoustic absorption factor,聲波吸收因子,,声波吸收因子,2017-07-31
3193386,acoustic absorptivity,聲波吸收度,,声波吸收度,2017-07-31
3193387,acoustic basement,聲波基盤,,声波基底；声波基盘,2017-07-31
3193388,Acoustic Doppler Current Profiler｛=ADCP｝,聲波都卜勒流剖儀,,声学多普勒海流剖面仪,2017-07-31
3193389,acoustic fishing,音響渔法,,音响渔法,2017-07-31
3193390,acoustic release,聲波釋放,,声释放器,2017-07-31
3193391,acoustic remote sensing,聲波遙測；聲學遙測,,声遥感,2017-07-31
3193392,acoustic sounding,聲波測深；聲學探測,,声波探测；声学探测,2017-07-31
3193393,acoustic swath-mapping,聲波條帶測繪,,声波条带测绘,2017-07-31
3193394,acoustic transponder,音響詢答機,,声应答器,2017-07-31
3193395,acoustical correlation current profiler｛=ACCP｝,聲學相關海流剖面儀,,声学相关海流剖面仪,2017-07-31
3193396,acoustical Doppler current profiler｛=ADCP｝,聲學都卜勒海流剖面儀,,声学多普勒海流剖面仪,2017-07-31
3193397,acoustical oceanography,聲學海洋學,,声学海洋学,2017-07-31
3193398,acrid bittern,苦鹵,,苦卤,2017-07-31
3193399,Acropyge,尖尾蟲屬｛三葉蟲類｝,,尖尾虫属（三叶虫类P2）,2017-07-31
3193400,Acrosaleniidae,頂薩列海膽科,,顶萨列海胆科,2017-07-31
3193401,Acrospirifer,巔石燕屬｛腕足類｝,,巅石燕属（腕足类；D1-2）,2017-07-31
3193402,across-track scanner,跨軌掃描儀,,跨轨扫描仪,2017-07-31
3193403,Acrothele,乳房貝屬｛腕足類｝,,乳房贝属（腕足类；C1-2）,2017-07-31
3193404,Acrothoracica,端胸目｛節肢動物蔓足類｝,,端胸目（节肢动物蔓足类）,2017-07-31
3193405,Acrothyris,巔孔貝屬｛腕足類｝,,巅孔贝属（腕足类；D2）,2017-07-31
3193406,Acrotreta,乳孔貝屬；頂孔貝屬｛腕足類｝,,乳孔贝属；顶孔贝属（腕足类；o）,2017-07-31
3193407,acrozone,生物異限帶,,生物异限带,2017-07-31
3193408,Actinaraea,輻線珊瑚屬,,辐线珊瑚属（J3）,2017-07-31
3193409,Actinaria,肉珊瑚目,,肉珊瑚目,2017-07-31
3193410,Actinastrum,星形藻屬｛綠藻類｝,,星形藻属（绿藻类；Q）,2017-07-31
3193411,actine,星狀骨針｛海綿動物｝,,星状骨针（海绵动物）,2017-07-31
3193412,Actinia,紅海葵屬｛腔腸類｝,,红海葵属（腔肠类；Q）,2017-07-31
3193413,Actiniaria,海葵目,,海葵目,2017-07-31
3193414,Actinocamax,星樁箭石屬,,星桩箭石属（K2）,2017-07-31
3193415,Actinoceras,珠角石屬｛頭足類｝,,珠角石属（头足类；O2-S1）,2017-07-31
3193416,Actinocrinites,輻射海百合屬｛棘皮類｝,,辐射海百合属（棘皮类；C1-P）,2017-07-31
3193417,Actinocyclus,輻環藻屬,,辐环藻属,2017-07-31
3193418,Actinocystidae,輻射泡沫珊瑚科,,辐射泡沫珊瑚科,2017-07-31
3193419,Actinodesma,射帶蛤屬｛雙殼類｝,,射带蛤属（双壳类；D）,2017-07-31
3193420,Actinodictyon,射網格層孔蟲屬,,射网格层孔虫属（D3）,2017-07-31
3193421,actinodont,輻射櫛牙；射齒,,辐射栉牙；射齿,2017-07-31
3193422,Actinomorpha,星形角石屬｛頭足類｝,,星形角石属（头足类;O2）,2017-07-31
3193423,Actinophycus,放射線藻屬,,放射线藻属（Z）,2017-07-31
3193424,Actinopoda,射足蟲類｛原生動物｝；射足類｛棘皮動物｝,,1.射足虫类（原生动物）;2.射足类（棘皮动物）,2017-07-31
3193425,Actinoporella,輻孔藻屬,,辐孔藻属（J2）,2017-07-31
3193426,Actinopteria,射翼蛤屬｛雙殼類｝,,射翼蛤属（双壳类；S-P）,2017-07-31
3193427,Actinosiphon,輻管蟲屬｛有孔蟲類｝,,辐管虫属（有孔虫类；E）,2017-07-31
3193428,Actinostroma,放射層孔蟲屬,,放射层孔虫属（S-D）,2017-07-31
3193429,Actinostromaria,仿放射層孔蟲屬,,仿放射层孔虫属（J3）,2017-07-31
3193430,Actinothecaceae,翼脈藻（囊孢）科,,翼脉藻（囊孢）科,2017-07-31
3193431,Actinozoan,珊瑚綱,,珊瑚纲,2017-07-31
3193432,activated sewage,活性污水,,活性污水,2017-07-31
3193433,activated sludge process,活性污泥法,,活性污泥法,2017-07-31
3193434,activation analysis,活化分析,,活化分析,2017-07-31
3193435,activation energy,活化能,,活化能,2017-07-31
3193436,active carbon,活性碳,,活性炭,2017-07-31
3193437,active continental margin,活動大陸邊緣,,主动大陆边缘,2017-07-31
3193438,active microwave,主動微波,,主动微波,2017-07-31
3193439,active plate margin,活動板塊邊緣,,活动板块边缘,2017-07-31
3193440,active remote sensor,主動式遙測感應器,,主动式遥感器；有源遥感器,2017-07-31
3193441,active sensor,主動感測器,,主动传感器,2017-07-31
3193442,active volcano,活火山,,活火山,2017-07-31
3193443,activity,活度；活動性；活力；活動,,活度；活动性；活力；活动,2017-07-31
3193444,activity coefficient,活度係數,,活度系数,2017-07-31
3193445,activity coefficient of seawater,海水活度係數,,海水活度系数,2017-07-31
3193446,activity quotient,活度係數,,活度系数,2017-07-31
3193447,acuate delta,弓形三角洲,,扇形三角洲,2017-07-31
3193448,Acuneopsis,非楔蚌屬｛雙殼類｝,,非楔蚌属（双壳类；J1-2）,2017-07-31
3193449,Acus,針刺藻屬,,针刺藻属（Z2）,2017-07-31
3193450,Acutatheca,尖鞘貝屬｛腕足類｝,,尖鞘贝属（腕足类；D2-3）,2017-07-31
3193451,Acuticosta,銳棱蚌屬；尖脊蚌屬｛雙殼類｝,,锐棱蚌属；尖脊蚌属（双壳类；K-Q）,2017-07-31
3193452,Acutimitoceras,尖仿菊石屬,,尖仿菊石属（D3）,2017-07-31
3193453,Acuturris,尖石屬｛鈣質超微化石｝,,尖石属（钙质超微化石；K2）,2017-07-31
3193454,adaptive radiation,適應輻射,,适应辐射,2017-07-31
3193455,additive colour,加色,,加色，颜色添加剂,2017-07-31
3193456,adductor muscle,閉殼肌,,闭壳肌,2017-07-31
3193457,Adelochordata,隱索動物；半索動物亞門｛脊索動物｝,,隐索动物；半索动物亚门（脊索动物）,2017-07-31
3193458,Adelocyrtis,隱籠蟲屬｛放射蟲屬｝,,隐笼虫属（放射虫属；T）,2017-07-31
3193459,Adelograptus,匿筆石屬,,匿笔石属（O1）,2017-07-31
3193460,adenosine triphosphate｛=ATP｝,三磷酸腺,,三磷酸腺苷,2017-07-31
3193461,Adeonidae,滿苔蘚蟲科,,满苔藓虫科,2017-07-31
3193462,Adetognathus,自由顎牙形石屬,,自由颚牙形石属（C）,2017-07-31
3193463,Adetopora,自由孔珊瑚屬；樹枝管珊瑚屬,,自由孔珊瑚属；树枝管珊瑚属（C）,2017-07-31
3193464,adhesion,黏附；黏附力,,黏附，黏附力,2017-07-31
3193465,adhesive,黏附物；黏合劑,,黏附物；黏合剂,2017-07-31
3193466,adhesive egg,黏著卵,,粘着卵,2017-07-31
3193467,adhesive force,附著力；黏附力,,附着力；黏附力,2017-07-31
3193468,adhesive organ,黏附器官,,粘器官、固着器,2017-07-31
3193469,adiabatic,絕熱曲線,,绝热曲线,2017-07-31
3193470,adiabatic change,絕熱變化,,絕熱變化,2017-07-31
3193471,adiabatic cooling,絕熱冷卻,,绝热冷却,2017-07-31
3193472,adiabatic heating,絕熱增溫,,绝热升温,2017-07-31
3193473,adiabatic lapse rate,絕熱遞減率,,绝热递减率,2017-07-31
3193474,adiabatic phenomenon,絕熱現象,,绝热现象,2017-07-31
3193475,adiabatic process,絕熱過程,,绝热过程,2017-07-31
3193476,adiabatic temperature gradient,絕熱溫度梯度,,绝热温度梯度,2017-07-31
3193477,adiabatic warming,絕熱增溫,,绝热增温,2017-07-31
3193478,adit,平坑,,平坑,2017-07-31
3193479,admiralty chart,海圖,,海圖,2017-07-31
3193480,adolecent,亞成體,,亚成体；次成体,2017-07-31
3193481,adolescent coast,青年期海岸,,少壮海岸,2017-07-31
3193482,Adolfia,阿道夫貝屬｛腕足類｝,,阿道夫贝属（腕足类；D3）,2017-07-31
3193483,Adrianitidae,亞得里亞菊石科｛頭足類｝,,亚得里亚菊石科（头足类；P）,2017-07-31
3193484,adsorbent,吸附劑,,吸附剂,2017-07-31
3193485,adsorption equation,吸附方程,,吸附方程,2017-07-31
3193486,adsorption isotherm,吸附等溫線,,吸附等温线,2017-07-31
3193487,adsorption process,吸附過程,,吸附过程,2017-07-31
3193488,adsorption rate,吸附率,,吸附率,2017-07-31
3193489,adult stage,成熟期；成體期,,成熟期；成体期,2017-07-31
3193490,advanced coast,前移海岸,,前移海岸,2017-07-31
3193491,Advanced Very High Resolution Radiometer｛=AVHRR｝,進階極高解析度輻射儀,,先进甚高分别率辐射计，高级甚高分别率辐射计,2017-07-31
3193492,advancing coast,前進海岸,,前进海岸,2017-07-31
3193493,advection fog,平流霧,,平流雾,2017-07-31
3193494,advective terms,平流項,,平流項,2017-07-31
3193495,adventitious deposit,外源堆積,,外源沉积,2017-07-31
3193496,Adygella,亞迪吉貝屬,,亚迪吉贝属（T2-3）,2017-07-31
3193497,Aechmina,荸薺介屬｛介形類｝,,荸荠介属,2017-07-31
3193498,Aegiria,埃吉爾貝屬｛腕足類｝,,埃吉而贝属（腕足类；S2）,2017-07-31
3193499,Aegiromena,埃月貝屬｛腕足類｝,,埃月贝属（腕足类；O3）,2017-07-31
3193500,Aegironetes,似埃吉爾貝屬｛腕足類｝,,似埃吉而贝属（腕足类；O2）,2017-07-31
3193501,aeolation,風成沉積；風積物,,风成作用,2017-07-31
3193502,aeolian,風成相；風成的,,风成相；风成的,2017-07-31
3193503,aeolian deposit,風成沉積；風積物,,风成沉积；风积物,2017-07-31
