ID,英文名稱,中文名稱,圖片,中國大陸譯名,更新日期
3555839,sun compass,日規,,太陽羅經；天體羅經,2018-08-15
3555840,sun rise,日出,,日出,2018-08-15
3555841,sun set,日沒,,日沒,2018-08-15
3555842,sunk object,沉沒物,,沉沒 物,2018-08-15
3555843,sunken danger,水下危險物,,水下障礙物,2018-08-15
3555844,sunken mine,沉雷,,沉雷 {水雷},2018-08-15
3555845,sunken rock,暗礁,,暗礁,2018-08-15
3555846,sun's azimuth table,太陽方位表,,太陽方位表,2018-08-15
3555847,super high pressure boiler,超高壓鍋爐,,超高壓鍋爐,2018-08-15
3555848,super large engine,超大型引擎；超大型發動機,,超大型發動機,2018-08-15
3555849,super-cavitating propeller,超空化螺槳,,超空化螺旋槳,2018-08-15
3555850,supercharge,增壓,,增壓,2018-08-15
3555851,supercharged boiler,增壓鍋爐,,增壓鍋爐,2018-08-15
3555852,supercharged engine,增壓引擎；增壓發動機,,增壓內燃機,2018-08-15
3555853,superconducting generator,超導發電機,,超導發電機,2018-08-15
3555854,superconductivity,超導電性,,超導電性,2018-08-15
3555855,superconductor electric propulsion plant,超導電力推進設備,,超導電力推進裝置,2018-08-15
3555856,supercooling,過冷,,過冷,2018-08-15
3555857,supercritical velocity,超臨界速度,,超臨界速度,2018-08-15
3555858,superheater,過熱器,,過熱器,2018-08-15
3555859,super-long stroke diesel engine,超長衝程柴油機,,超長行程柴油機,2018-08-15
3555860,super-power accident,超功率事故,,超功率事故,2018-08-15
3555861,super-refraction,超折射,,超折射,2018-08-15
3555862,supersonic method,超音波探測法,,超聲波探傷法,2018-08-15
3555863,superstructure,船艛；上層建築,,上層建築,2018-08-15
3555864,superstructure deck,船艛甲板,,上層建築甲板,2018-08-15
3555865,supplement of sailing directions,航行指南增補篇,,航路指南補篇,2018-08-15
3555866,supplemental instruction,補充說明,,補充說明,2018-08-15
3555867,supplementary [weather] forecast,補充[天氣]預報,,補充[天氣]預報,2018-08-15
3555868,supplementary report,補充報告,,補充報告,2018-08-15
3555869,supply network,供電網,,供電網,2018-08-15
3555870,supply ship,補給船,,供應船,2018-08-15
3555871,supplying helicopter,補給直升機,,補給直升機,2018-08-15
3555872,supplying station,補給站,,補給站,2018-08-15
3555873,support,支座,,支架,2018-08-15
3555874,support level,助理級別,,支持級,2018-08-15
3555875,supporting liquid,支承液體,,支承液體,2018-08-15
3555876,suppressed carrier emission,抑制載波發射,,抑制載波發射,2018-08-15
3555877,surf,拍岸浪；碎波,,拍岸浪,2018-08-15
3555878,surface,表面,,表面,2018-08-15
3555879,surface air cooler,表面式空氣冷卻器,,表面式空氣冷卻器,2018-08-15
3555880,surface blow off valve,液面吹泄閥,,上排汙閥,2018-08-15
3555881,surface blowdown valve,液面吹泄閥,,上排汙閥,2018-08-15
3555882,surface combat ship,水面戰鬥艦艇,,水面戰鬥艦艇,2018-08-15
3555883,surface condenser,表面式冷凝器,,表面式凝汽器,2018-08-15
3555884,surface craft,水面船艇,,水面戰鬥艦艇,2018-08-15
3555885,surface current,表面流；表層流,,表層流,2018-08-15
3555886,surface force,表面力,,表面力,2018-08-15
3555887,surface ignition,表面點火,,熱面點火,2018-08-15
3555888,surface navigation,水面航行,,水面航行,2018-08-15
3555889,surface pretreatment,表面預處理,,表面預處理,2018-08-15
3555890,surface roughness,表面粗糙度,,表面粗糙度,2018-08-15
3555891,surface search coordinator,海面搜索協調船,,海面搜尋協調船,2018-08-15
3555892,surface speed,水面航速,,水上航速,2018-08-15
3555893,surface tension,表面張力,,表面張力,2018-08-15
3555894,surface treatment,表面處理,,表面處理,2018-08-15
3555895,surface wave,表面波,,表面波,2018-08-15
3555896,surface weather chart,地面天氣圖,,地面[天氣]圖,2018-08-15
3555897,surfacing,上浮；堆銲[接]；表面處理,,堆焊,2018-08-15
3555898,surge,縱移；喘振,,喘振,2018-08-15
3555899,surge arrester,避雷器,,避雷器,2018-08-15
3555900,surge line,喘振線,,喘振線,2018-08-15
3555901,surge tank,緩衝櫃,,緩衝櫃,2018-08-15
3555902,surge-preventing system,防喘系統,,防喘系統,2018-08-15
3555903,surging,縱移,,縱蕩,2018-08-15
3555904,surging limit,喘振限,,喘振限,2018-08-15
3555905,surplus power,剩餘功率,,剩餘功率,2018-08-15
3555906,surrounding fishing,旋網漁業,,圍網作業,2018-08-15
3555907,survey of anchor and chain gear,錨與錨鍊設備檢驗,,錨設備檢驗,2018-08-15
3555908,survey of refrigerated cargo installation,貨物冷凍裝置檢驗；貨物冷藏裝置檢驗,,貨物冷藏裝置檢驗,2018-08-15
3555909,survey on damage to cargo,貨損鑑定,,殘損鑒定,2018-08-15
3555910,survey report,檢驗報告；鑑定報告,,檢驗報告,2018-08-15
3555911,survey ship,測量船,,航道測量船,2018-08-15
3555912,surveying,測量,,測量,2018-08-15
3555913,surveying ship,測量船,,測量船,2018-08-15
3555914,surveyor,驗船師；公證人；檢驗師,,驗船師,2018-08-15
3555915,survivability,存活性,,生存能力,2018-08-15
3555916,survival at sea,海上求生,,海上求生,2018-08-15
3555917,survival craft,求生艇筏,,救生艇筏,2018-08-15
3555918,survival craft radio station,求生艇筏無線電電臺,,營救器電臺,2018-08-15
