ID,英文名稱,中文名稱,圖片,更新日期
2491738,[water] surface elevation,水位,,2015-12-01
2491739,abnormal climate,異常氣候,,2015-12-01
2491740,abnormal tide,異常潮,,2015-12-01
2491741,abnormal value,異常值,,2015-12-01
2491742,abrasion,海蝕,,2015-12-01
2491743,abrasion platform,海蝕平台,,2015-12-01
2491744,absorbing-type wave generator,吸收式造波機,,2015-12-01
2491745,accelerometer,加速計,,2015-12-01
2491746,access route,通路,,2015-12-01
2491747,accessibility to waterfront,親水性,,2015-12-01
2491748,accommodation,適應,,2015-12-01
2491749,accreting beach,堆積海岸,,2015-12-01
2491750,accretion,堆積,,2015-12-01
2491751,accumulation curve,累積曲線,,2015-12-01
2491752,acid rain,酸雨,,2015-12-01
2491753,acid resistance,耐酸性,,2015-12-01
2491754,acoustic adaptation equipment,調音裝置,,2015-12-01
2491755,Acoustic Doppler Current Profiler {=ADCP},聲波流速剖面儀,,2015-12-01
2491756,acoustical oceanography,海洋聲學,,2015-12-01
2491757,acoustics,聲學,,2015-12-01
2491758,active earth pressure,主動土壓,,2015-12-01
2491759,active fault,活斷層,,2015-12-01
2491760,added inertia force,附加慣性力,,2015-12-01
2491761,added mass,附加質量,,2015-12-01
2491762,added mass coefficient,附加質量係數,,2015-12-01
2491763,added mass force,附加質量力,,2015-12-01
2491764,adjustable groin,調整型突堤,,2015-12-01
2491765,adjusted fill factor,養灘增加率,,2015-12-01
2491766,admixture,混合材料,,2015-12-01
2491767,advance,[迴旋]縱距,,2015-12-01
2491768,advancing coast,成長型海岸,,2015-12-01
2491769,advection,平流,,2015-12-01
2491770,advection term,平流項,,2015-12-01
2491771,advection-diffusion,平流擴散,,2015-12-01
2491772,advective diffusion,平流擴散,,2015-12-01
2491773,advective diffusion equation,平流擴散方程式,,2015-12-01
2491774,aeolian,風積,,2015-12-01
2491775,aeration of cement,混凝土風化,,2015-12-01
2491776,aerosol particle,氣溶膠粒子,,2015-12-01
2491777,after body,艉部,,2015-12-01
2491778,after breast line,艉橫纜,,2015-12-01
2491779,after line,艉纜,,2015-12-01
2491780,after spring,艉斜纜,,2015-12-01
2491781,age determination,年代測定,,2015-12-01
2491782,aggradation,堆積,,2015-12-01
2491783,aggregate,骨材,,2015-12-01
2491784,aids to navigation,助航施設,,2015-12-01
2491785,air bag,氣袋,,2015-12-01
2491786,air breakwater,空氣防波堤,,2015-12-01
2491787,air bubble curtain,氣泡幕,,2015-12-01
2491788,air entraining,空氣混入,,2015-12-01
2491789,air slider,空氣滑槽,,2015-12-01
2491790,air-cushion boat,氣墊艇,,2015-12-01
2491791,Airy wave,艾瑞波,,2015-12-01
2491792,alarm transmitting system,警報傳輸系統,,2015-12-01
2491793,algae,藻類,,2015-12-01
2491794,algae zone,藻場,,2015-12-01
2491795,aliasing,摺疊效應,,2015-12-01
2491796,alignment of dike,堤線,,2015-12-01
2491797,alignment of levee,堤防線,,2015-12-01
2491798,alkali resistance,耐鹼性,,2015-12-01
2491799,alkali-aggregate reaction,骨材耐鹼反應,,2015-12-01
2491800,allowable overtopping quantity,容許越波量,,2015-12-01
2491801,allowable overtopping rate,容許越波率,,2015-12-01
2491802,allowable quantity of overtopping,容許越波量,,2015-12-01
2491803,allowable stress,容許應力,,2015-12-01
2491804,allowable stress design method,容許應力設計法,,2015-12-01
2491805,alluvial cone,沖積錐,,2015-12-01
2491806,alluvial deposits,沖積沉積物,,2015-12-01
2491807,alluvial fan,沖積扇,,2015-12-01
2491808,alluvial plain,沖積平原,,2015-12-01
2491809,alluvial plane,沖積平原,,2015-12-01
2491810,alluvium,沖積層,,2015-12-01
2491811,along-jetty wave,沿堤波,,2015-12-01
2491812,alongshore,沿岸,,2015-12-01
2491813,alongshore drift,沿岸漂沙,,2015-12-01
2491814,altimeter,高度計,,2015-12-01
2491815,amenity space,親水[性]空間,,2015-12-01
2491816,amenity-oriented breakwater,親水[性]防波堤,,2015-12-01
2491817,amenity-oriented environment,親水[性]環境,,2015-12-01
2491818,amenity-oriented greenery zone,親水[性]綠帶,,2015-12-01
2491819,amenity-oriented seawall,親水[性]海堤,,2015-12-01
2491820,amenity-oriented waterfront,親水[性]水岸,,2015-12-01
2491821,amphidromic point,無潮點,,2015-12-01
2491822,amplitude,振幅,,2015-12-01
2491823,amplitude spectrum,振幅譜,,2015-12-01
2491824,anaerobiosis,厭氧,,2015-12-01
2491825,analysis in frequency domain,頻域分析,,2015-12-01
2491826,analysis in time domain,時域分析,,2015-12-01
2491827,analysis of historiography,歷史資料分析,,2015-12-01
2491828,anchor,錨,,2015-12-01
2491829,anchor barge,錨碇駁船,,2015-12-01
2491830,anchor block,錨碇塊,,2015-12-01
2491831,anchor boat,錨船,,2015-12-01
2491832,anchor chain,錨鏈,,2015-12-01
2491833,anchor coupled-pile,錨碇組樁,,2015-12-01
2491834,anchor davit,吊錨桿,,2015-12-01
2491835,anchor gear,起錨裝置,,2015-12-01
2491836,anchor ice,沈冰；錨冰,,2015-12-01
2491837,anchor light,錨泊燈,,2015-12-01
2491838,anchor pile,錨碇樁,,2015-12-01
2491839,anchor plate,錨碇板,,2015-12-01
2491840,anchor rod,錨柱,,2015-12-01
2491841,anchor rope,錨索,,2015-12-01
2491842,anchor sheet-pile,錨碇鋼版樁,,2015-12-01
2491843,anchor type wharf,錨碇式碼頭,,2015-12-01
2491844,anchor vertical-pile,錨碇直樁,,2015-12-01
2491845,anchor wall,錨碇牆,,2015-12-01
2491846,anchorage,泊地；錨地,,2015-12-01
2491847,anchorage and basin,錨泊區,,2015-12-01
2491848,anchorage works,錨碇工,,2015-12-01
2491849,anchoring,錨碇,,2015-12-01
2491850,anearobic bacteria,厭氧性細菌,,2015-12-01
2491851,anemometer,風速計,,2015-12-01
2491852,angle of repose,安息角,,2015-12-01
2491853,angle steel,角鋼,,2015-12-01
2491854,angular frequency,角頻率,,2015-12-01
2491855,angular spreading,角擴散,,2015-12-01
2491856,angular spreading method,方向分散法,,2015-12-01
2491857,angular velocity,角速度,,2015-12-01
2491858,anisotropic,非同向性,,2015-12-01
2491859,anomalous condition,異常狀態,,2015-12-01
2491860,anticorrosion,防蝕,,2015-12-01
2491861,anticorrosion design,防蝕設計,,2015-12-01
2491862,anticyclone,反氣旋,,2015-12-01
2491863,antidune,對風沙丘；反向沙丘,,2015-12-01
2491864,antifouling chemical,防生物附著化學物質,,2015-12-01
2491865,antifouling paint,防生物附著塗料,,2015-12-01
2491866,antinode,波腹；反節點,,2015-12-01
2491867,antirolling tank,抗搖箱,,2015-12-01
2491868,aphotic layer,無光層,,2015-12-01
2491869,apogean tide,遠地潮,,2015-12-01
2491870,apparent reflection coefficient,視反射率,,2015-12-01
2491871,approaching,靠岸,,2015-12-01
2491872,approaching force,靠岸力,,2015-12-01
2491873,approaching velocity,靠岸速度,,2015-12-01
2491874,appropriated wharf,專用碼頭,,2015-12-01
2491875,apron,護床,,2015-12-01
2491876,apron light,岸肩燈,,2015-12-01
2491877,aquacultural waste treatment facilities,水產廢棄物處理施設,,2015-12-01
2491878,aquafarm,海洋牧場,,2015-12-01
2491879,aquifer,含水層,,2015-12-01
2491880,arbitrary water depth,任意水深,,2015-12-01
2491881,archipelago,群島；列島,,2015-12-01
2491882,arc-shaped sand bar,弧狀沙洲,,2015-12-01
2491883,arcuate delta,弧狀三角洲,,2015-12-01
2491884,arcuate sand bar,弧狀沙洲,,2015-12-01
2491885,area adjacent to the port,臨港區,,2015-12-01
2491886,area for coastal protection,海岸保護區,,2015-12-01
2491887,armor block,被覆塊,,2015-12-01
2491888,armor block breakwater,被覆塊防波堤,,2015-12-01
2491889,armor layer,被覆層,,2015-12-01
2491890,armor material,被覆材,,2015-12-01
2491891,armor stone,被覆石,,2015-12-01
2491892,armor unit or stone,被覆塊,,2015-12-01
2491893,armor units,被覆塊,,2015-12-01
2491894,armoring,被覆層,,2015-12-01
2491895,armoring materials of slope,坡面被覆材,,2015-12-01
2491896,armoring work on crown,堤頂保護工,,2015-12-01
2491897,armour layer,被覆層,,2015-12-01
2491898,array of wave gage,波高計陣列,,2015-12-01
2491899,artificial aggregate,人工骨材,,2015-12-01
2491900,artificial algae zone,人工藻場,,2015-12-01
2491901,artificial bank,人工堤,,2015-12-01
2491902,artificial beach,人工海灘,,2015-12-01
